Date,Thomas Weisel Partners
2005-04-09,0
2005-04-10,0
2005-04-11,0
2005-04-12,0
2005-04-13,0
2005-04-14,0
2005-04-15,0
2005-04-16,0
2005-04-17,0
2005-04-18,0
2005-04-19,0
2005-04-20,0
2005-04-21,0
2005-04-22,0
2005-04-23,0
2005-04-24,7
2005-04-25,14
2005-04-26,21
2005-04-27,29
2005-04-28,36
2005-04-29,43
2005-04-30,51
2005-05-01,53
2005-05-02,55
2005-05-03,58
2005-05-04,60
2005-05-05,63
2005-05-06,65
2005-05-07,68
2005-05-08,58
2005-05-09,48
2005-05-10,38
2005-05-11,29
2005-05-12,19
2005-05-13,9
2005-05-14,0
2005-05-15,0
2005-05-16,0
2005-05-17,0
2005-05-18,0
2005-05-19,0
2005-05-20,0
2005-05-21,0
2005-05-22,0
2005-05-23,0
2005-05-24,0
2005-05-25,0
2005-05-26,0
2005-05-27,0
2005-05-28,0
2005-05-29,0
2005-05-30,0
2005-05-31,0
2005-06-01,0
2005-06-02,0
2005-06-03,0
2005-06-04,0
2005-06-05,0
2005-06-06,0
2005-06-07,0
2005-06-08,0
2005-06-09,0
2005-06-10,0
2005-06-11,0
2005-06-12,0
2005-06-13,0
2005-06-14,0
2005-06-15,0
2005-06-16,0
2005-06-17,0
2005-06-18,0
2005-06-19,0
2005-06-20,0
2005-06-21,0
2005-06-22,0
2005-06-23,0
2005-06-24,0
2005-06-25,0
2005-06-26,0
2005-06-27,0
2005-06-28,0
2005-06-29,0
2005-06-30,0
2005-07-01,0
2005-07-02,0
2005-07-03,0
2005-07-04,0
2005-07-05,0
2005-07-06,0
2005-07-07,0
2005-07-08,0
2005-07-09,0
2005-07-10,0
2005-07-11,0
2005-07-12,0
2005-07-13,0
2005-07-14,0
2005-07-15,0
2005-07-16,0
2005-07-17,0
2005-07-18,0
2005-07-19,0
2005-07-20,0
2005-07-21,0
2005-07-22,0
2005-07-23,0
2005-07-24,0
2005-07-25,0
2005-07-26,0
2005-07-27,0
2005-07-28,0
2005-07-29,0
2005-07-30,0
2005-07-31,0
2005-08-01,0
2005-08-02,0
2005-08-03,0
2005-08-04,0
2005-08-05,0
2005-08-06,0
2005-08-07,0
2005-08-08,0
2005-08-09,0
2005-08-10,0
2005-08-11,0
2005-08-12,0
2005-08-13,0
2005-08-14,0
2005-08-15,0
2005-08-16,0
2005-08-17,0
2005-08-18,0
2005-08-19,0
2005-08-20,0
2005-08-21,0
2005-08-22,0
2005-08-23,0
2005-08-24,0
2005-08-25,0
2005-08-26,0
2005-08-27,0
2005-08-28,0
2005-08-29,0
2005-08-30,0
2005-08-31,0
2005-09-01,0
2005-09-02,0
2005-09-03,0
2005-09-04,0
2005-09-05,0
2005-09-06,0
2005-09-07,0
2005-09-08,0
2005-09-09,0
2005-09-10,0
2005-09-11,6
2005-09-12,12
2005-09-13,18
2005-09-14,25
2005-09-15,31
2005-09-16,37
2005-09-17,44
2005-09-18,44
2005-09-19,45
2005-09-20,46
2005-09-21,46
2005-09-22,47
2005-09-23,48
2005-09-24,49
2005-09-25,48
2005-09-26,47
2005-09-27,46
2005-09-28,45
2005-09-29,44
2005-09-30,43
2005-10-02,43
2005-10-03,43
2005-10-04,43
2005-10-05,43
2005-10-06,43
2005-10-07,43
2005-10-08,43
2005-10-09,43
2005-10-10,48
2005-10-11,43
2005-10-12,43
2005-10-13,43
2005-10-14,43
2005-10-15,43
2005-10-16,51
2005-10-17,60
2005-10-18,68
2005-10-19,76
2005-10-20,85
2005-10-21,93
2005-10-22,102
2005-10-23,96
2005-10-24,88
2005-10-25,82
2005-10-26,76
2005-10-27,70
2005-10-28,64
2005-10-29,58
2005-10-30,55
2005-10-31,52
2005-11-01,50
2005-11-02,47
2005-11-03,45
2005-11-04,42
2005-11-05,40
2005-11-06,40
2005-11-07,40
2005-11-08,40
2005-11-09,40
2005-11-10,40
2005-11-11,40
2005-11-12,40
2005-11-13,40
2005-11-14,40
2005-11-15,40
2005-11-16,40
2005-11-17,40
2005-11-18,40
2005-11-19,40
2005-11-20,40
2005-11-21,40
2005-11-22,40
2005-11-23,40
2005-11-24,40
2005-11-25,40
2005-11-26,41
2005-11-27,41
2005-11-28,41
2005-11-29,41
2005-11-30,41
2005-12-01,41
2005-12-02,42
2005-12-03,42
2005-12-04,42
2005-12-05,44
2005-12-06,45
2005-12-07,46
2005-12-08,47
2005-12-09,49
2005-12-10,51
2005-12-11,40
2005-12-12,33
2005-12-13,26
2005-12-14,20
2005-12-15,13
2005-12-16,6
2005-12-17,0
2005-12-18,0
2005-12-19,0
2005-12-20,0
2005-12-21,0
2005-12-22,0
2005-12-23,0
2005-12-24,0
2005-12-25,0
2006-01-01,0
2006-01-02,0
2006-01-03,0
2006-01-04,0
2006-01-05,0
2006-01-06,0
2006-01-07,0
2006-01-08,0
2006-01-09,0
2006-01-10,0
2006-01-11,0
2006-01-12,0
2006-01-13,0
2006-01-14,0
2006-01-15,5
2006-01-16,11
2006-01-17,16
2006-01-18,22
2006-01-19,27
2006-01-20,33
2006-01-21,39
2006-01-22,42
2006-01-23,46
2006-01-24,50
2006-01-25,54
2006-01-26,58
2006-01-27,62
2006-01-28,66
2006-01-29,69
2006-01-30,74
2006-01-31,78
2006-02-01,82
2006-02-02,86
2006-02-03,90
2006-02-04,94
2006-02-05,89
2006-02-06,82
2006-02-07,77
2006-02-08,71
2006-02-09,66
2006-02-10,61
2006-02-11,56
2006-02-12,53
2006-02-13,51
2006-02-14,48
2006-02-15,46
2006-02-16,43
2006-02-17,40
2006-02-18,38
2006-02-19,38
2006-02-20,38
2006-02-21,38
2006-02-22,39
2006-02-23,39
2006-02-24,39
2006-02-25,40
2006-02-26,40
2006-02-27,40
2006-02-28,40
2006-03-01,40
2006-03-02,40
2006-03-03,40
2006-03-04,41
2006-03-05,39
2006-03-06,38
2006-03-07,37
2006-03-08,36
2006-03-09,35
2006-03-10,34
2006-03-11,33
2006-03-12,33
2006-03-13,33
2006-03-14,33
2006-03-15,33
2006-03-16,33
2006-03-17,33
2006-03-18,33
2006-03-19,33
2006-03-20,33
2006-03-21,33
2006-03-22,33
2006-03-23,33
2006-03-24,33
2006-03-25,33
2006-03-26,33
2006-04-02,33
2006-04-03,33
2006-04-04,33
2006-04-05,33
2006-04-06,33
2006-04-07,33
2006-04-08,33
2006-04-09,33
2006-04-10,33
2006-04-11,33
2006-04-12,34
2006-04-13,34
2006-04-14,34
2006-04-15,35
2006-04-16,30
2006-04-17,25
2006-04-18,20
2006-04-19,15
2006-04-20,10
2006-04-21,5
2006-04-22,0
2006-04-23,0
2006-04-24,0
2006-04-25,0
2006-04-26,0
2006-04-27,0
2006-04-28,0
2006-04-29,0
2006-04-30,0
2006-05-01,0
2006-05-02,0
2006-05-03,0
2006-05-04,0
2006-05-05,0
2006-05-06,0
2006-05-07,0
2006-05-08,0
2006-05-09,0
2006-05-10,0
2006-05-11,0
2006-05-12,0
2006-05-13,0
2006-05-14,0
2006-05-15,0
2006-05-16,0
2006-05-17,0
2006-05-18,0
2006-05-19,0
2006-05-20,0
2006-05-21,7
2006-05-22,14
2006-05-23,21
2006-05-24,29
2006-05-25,36
2006-05-26,44
2006-05-27,54
2006-05-28,47
2006-05-29,45
2006-05-30,43
2006-05-31,41
2006-06-01,39
2006-06-02,37
2006-06-03,36
2006-06-04,35
2006-06-05,35
2006-06-06,34
2006-06-07,34
2006-06-08,33
2006-06-09,33
2006-06-10,33
2006-06-11,33
2006-06-12,33
2006-06-13,33
2006-06-14,34
2006-06-15,34
2006-06-16,34
2006-06-17,35
2006-06-18,35
2006-06-19,35
2006-06-20,35
2006-06-21,36
2006-06-22,36
2006-06-23,36
2006-06-24,37
2006-06-25,37
2006-07-02,39
2006-07-03,39
2006-07-04,39
2006-07-05,40
2006-07-06,40
2006-07-07,40
2006-07-08,41
2006-07-09,41
2006-07-10,41
2006-07-11,41
2006-07-12,42
2006-07-13,42
2006-07-14,42
2006-07-15,43
2006-07-16,41
2006-07-17,40
2006-07-18,39
2006-07-19,38
2006-07-20,37
2006-07-21,36
2006-07-22,35
2006-07-23,35
2006-07-24,35
2006-07-25,35
2006-07-26,35
2006-07-27,35
2006-07-28,35
2006-07-29,35
2006-07-30,35
2006-07-31,40
2006-08-01,35
2006-08-02,35
2006-08-03,35
2006-08-04,35
2006-08-05,35
2006-08-06,35
2006-08-07,35
2006-08-08,35
2006-08-09,35
2006-08-10,35
2006-08-11,35
2006-08-12,35
2006-08-13,34
2006-08-14,34
2006-08-15,33
2006-08-16,33
2006-08-17,32
2006-08-18,32
2006-08-19,32
2006-08-20,32
2006-08-21,33
2006-08-22,34
2006-08-23,34
2006-08-24,35
2006-08-25,36
2006-08-26,37
2006-08-27,37
2006-08-28,38
2006-08-29,39
2006-08-30,40
2006-08-31,40
2006-09-01,41
2006-09-02,42
2006-09-03,42
2006-09-04,43
2006-09-05,43
2006-09-06,43
2006-09-07,44
2006-09-08,44
2006-09-09,46
2006-09-10,41
2006-09-11,40
2006-09-12,39
2006-09-13,39
2006-09-14,38
2006-09-15,37
2006-09-16,37
2006-09-17,37
2006-09-18,37
2006-09-19,37
2006-09-20,37
2006-09-21,37
2006-09-22,37
2006-09-23,37
2006-09-24,36
2006-10-01,33
2006-10-02,33
2006-10-03,33
2006-10-04,33
2006-10-05,33
2006-10-06,33
2006-10-07,33
2006-10-08,33
2006-10-09,34
2006-10-10,33
2006-10-11,33
2006-10-12,33
2006-10-13,33
2006-10-14,33
2006-10-15,34
2006-10-16,36
2006-10-17,38
2006-10-18,40
2006-10-19,42
2006-10-20,44
2006-10-21,47
2006-10-22,40
2006-10-23,38
2006-10-24,36
2006-10-25,33
2006-10-26,31
2006-10-27,29
2006-10-28,27
2006-10-29,27
2006-10-30,27
2006-10-31,27
2006-11-01,27
2006-11-02,27
2006-11-03,27
2006-11-04,28
2006-11-05,28
2006-11-06,28
2006-11-07,28
2006-11-08,28
2006-11-09,28
2006-11-10,28
2006-11-11,28
2006-11-12,28
2006-11-13,28
2006-11-14,28
2006-11-15,28
2006-11-16,28
2006-11-17,28
2006-11-18,28
2006-11-19,28
2006-11-20,28
2006-11-21,28
2006-11-22,28
2006-11-23,28
2006-11-24,28
2006-11-25,29
2006-11-26,29
2006-11-27,30
2006-11-28,29
2006-11-29,29
2006-11-30,29
2006-12-01,29
2006-12-02,29
2006-12-03,29
2006-12-04,29
2006-12-05,29
2006-12-06,29
2006-12-07,29
2006-12-08,29
2006-12-09,30
2006-12-10,30
2006-12-11,31
