Date,Mascoma Corp
2011-03-01,37
2011-03-02,37
2011-03-03,37
2011-03-04,37
2011-03-05,38
2011-03-06,38
2011-03-07,38
2011-03-08,39
2011-03-09,39
2011-03-10,39
2011-03-11,40
2011-03-12,40
2011-03-13,40
2011-03-14,41
2011-03-15,41
2011-03-16,41
2011-03-17,42
2011-03-18,42
2011-03-19,42
2011-03-20,43
2011-03-21,43
2011-03-22,43
2011-03-23,44
2011-03-24,44
2011-03-25,44
2011-03-26,45
2011-03-27,45
2011-03-28,45
2011-03-29,46
2011-03-30,46
2011-03-31,46
2011-04-01,47
2011-04-02,46
2011-04-03,45
2011-04-04,44
2011-04-05,44
2011-04-06,43
2011-04-07,42
2011-04-08,41
2011-04-09,41
2011-04-10,40
2011-04-11,39
2011-04-12,38
2011-04-13,38
2011-04-14,37
2011-04-15,36
2011-04-16,36
2011-04-17,35
2011-04-18,34
2011-04-19,33
2011-04-20,33
2011-04-21,32
2011-04-22,31
2011-04-23,30
2011-04-24,30
2011-04-25,29
2011-04-26,28
2011-04-27,27
2011-04-28,27
2011-04-29,26
2011-04-30,25
2011-05-01,25
2011-05-02,25
2011-05-03,26
2011-05-04,27
2011-05-05,28
2011-05-06,29
2011-05-07,30
2011-05-08,31
2011-05-09,32
2011-05-10,33
2011-05-11,34
2011-05-12,35
2011-05-13,36
2011-05-14,37
2011-05-15,38
2011-05-16,39
2011-05-17,40
2011-05-18,41
2011-05-19,42
2011-05-20,43
2011-05-21,44
2011-05-22,45
2011-05-23,46
2011-05-24,47
2011-05-25,48
2011-05-26,49
2011-05-27,50
2011-05-28,51
2011-05-29,52
2011-05-30,53
2011-05-31,54
2011-06-01,55
2011-06-02,54
2011-06-03,54
2011-06-04,54
2011-06-05,53
2011-06-06,53
2011-06-07,53
2011-06-08,52
2011-06-09,52
2011-06-10,52
2011-06-11,51
2011-06-12,51
2011-06-13,51
2011-06-14,50
2011-06-15,50
2011-06-16,50
2011-06-17,49
2011-06-18,49
2011-06-19,49
2011-06-20,48
2011-06-21,48
2011-06-22,48
2011-06-23,47
2011-06-24,47
2011-06-25,47
2011-06-26,46
2011-06-27,46
2011-06-28,46
2011-06-29,45
2011-06-30,45
2011-07-01,45
2011-07-02,44
2011-07-03,44
2011-07-04,44
2011-07-05,44
2011-07-06,44
2011-07-07,44
2011-07-08,44
2011-07-09,44
2011-07-10,44
2011-07-11,44
2011-07-12,43
2011-07-13,43
2011-07-14,43
2011-07-15,43
2011-07-16,43
2011-07-17,43
2011-07-18,43
2011-07-19,43
2011-07-20,43
2011-07-21,43
2011-07-22,42
2011-07-23,42
2011-07-24,42
2011-07-25,42
2011-07-26,42
2011-07-27,42
2011-07-28,42
2011-07-29,42
2011-07-30,42
2011-07-31,42
2011-08-01,42
2011-08-02,43
2011-08-03,45
2011-08-04,47
2011-08-05,49
2011-08-06,51
2011-08-07,53
2011-08-08,55
2011-08-09,56
2011-08-10,58
2011-08-11,60
2011-08-12,62
2011-08-13,64
2011-08-14,66
2011-08-15,68
2011-08-16,70
2011-08-17,71
2011-08-18,73
2011-08-19,75
2011-08-20,77
2011-08-21,79
2011-08-22,81
2011-08-23,83
2011-08-24,85
2011-08-25,86
2011-08-26,88
2011-08-27,90
2011-08-28,92
2011-08-29,94
2011-08-30,96
2011-08-31,98
2011-09-01,100
2011-09-02,97
2011-09-03,95
2011-09-04,93
2011-09-05,91
2011-09-06,89
2011-09-07,87
2011-09-08,85
2011-09-09,83
2011-09-10,81
2011-09-11,79
2011-09-12,76
2011-09-13,74
2011-09-14,72
2011-09-15,70
2011-09-16,68
2011-09-17,66
2011-09-18,64
2011-09-19,62
2011-09-20,60
2011-09-21,58
2011-09-22,55
2011-09-23,53
2011-09-24,51
2011-09-25,49
2011-09-26,47
2011-09-27,45
2011-09-28,43
2011-09-29,41
2011-09-30,39
2011-10-01,37
2011-10-02,37
2011-10-03,37
2011-10-04,37
2011-10-05,37
2011-10-06,37
2011-10-07,37
2011-10-08,37
2011-10-09,37
2011-10-10,37
2011-10-11,37
2011-10-12,37
2011-10-13,37
2011-10-14,37
2011-10-15,37
2011-10-16,37
2011-10-17,38
2011-10-18,38
2011-10-19,38
2011-10-20,38
2011-10-21,38
2011-10-22,38
2011-10-23,38
2011-10-24,38
2011-10-25,38
2011-10-26,38
2011-10-27,38
2011-10-28,38
2011-10-29,38
2011-10-30,38
2011-10-31,38
2011-11-01,39
2011-11-02,39
2011-11-03,40
2011-11-04,41
2011-11-05,42
2011-11-06,43
2011-11-07,43
