Date,Barracuda Networks
2013-04-01,0
2013-04-02,0
2013-04-03,0
2013-04-04,0
2013-04-05,0
2013-04-06,0
2013-04-07,0
2013-04-08,0
2013-04-09,0
2013-04-10,0
2013-04-11,0
2013-04-12,0
2013-04-13,0
2013-04-14,8
2013-04-15,17
2013-04-16,26
2013-04-17,34
2013-04-18,43
2013-04-19,52
2013-04-20,61
2013-04-21,52
2013-04-22,43
2013-04-23,34
2013-04-24,26
2013-04-25,17
2013-04-26,8
2013-04-27,0
2013-04-28,0
2013-04-29,0
2013-04-30,0
2013-05-01,0
2013-05-02,0
2013-05-03,0
2013-05-04,0
2013-05-05,0
2013-05-06,0
2013-05-07,0
2013-05-08,0
2013-05-09,0
2013-05-10,0
2013-05-11,0
2013-05-12,0
2013-05-13,0
2013-05-14,0
2013-05-15,0
2013-05-16,0
2013-05-17,0
2013-05-18,0
2013-05-19,0
2013-05-20,0
2013-05-21,0
2013-05-22,0
2013-05-23,0
2013-05-24,0
2013-05-25,0
2013-05-26,0
2013-05-27,0
2013-05-28,0
2013-05-29,0
2013-05-30,0
2013-05-31,0
2013-06-01,0
2013-06-02,0
2013-06-03,0
2013-06-04,0
2013-06-05,0
2013-06-06,0
2013-06-07,0
2013-06-08,0
2013-06-09,0
2013-06-10,0
2013-06-11,0
2013-06-12,0
2013-06-13,0
2013-06-14,0
2013-06-15,0
2013-06-16,0
2013-06-17,0
2013-06-18,0
2013-06-19,0
2013-06-20,0
2013-06-21,0
2013-06-22,0
2013-06-23,6
2013-06-24,13
2013-06-25,20
2013-06-26,26
2013-06-27,33
2013-06-28,40
2013-06-29,47
2013-06-30,47
2013-07-01,47
2013-07-02,47
2013-07-03,47
2013-07-04,47
2013-07-05,47
2013-07-06,48
2013-07-07,48
2013-07-08,48
2013-07-09,48
2013-07-10,48
2013-07-11,48
2013-07-12,48
2013-07-13,48
2013-07-14,48
2013-07-15,48
2013-07-16,48
2013-07-17,48
2013-07-18,48
2013-07-19,48
2013-07-20,48
2013-07-21,48
2013-07-22,48
2013-07-23,48
2013-07-24,48
2013-07-25,48
2013-07-26,48
2013-07-27,48
2013-07-28,48
2013-07-29,48
2013-07-30,48
2013-07-31,48
2013-08-01,48
2013-08-02,48
2013-08-03,49
2013-08-04,49
2013-08-05,49
2013-08-06,49
2013-08-07,49
2013-08-08,49
2013-08-09,49
2013-08-10,49
2013-08-11,49
2013-08-12,49
2013-08-13,49
2013-08-14,50
2013-08-15,50
2013-08-16,50
2013-08-17,51
2013-08-18,51
2013-08-19,51
2013-08-20,51
2013-08-21,52
2013-08-22,52
2013-08-23,52
2013-08-24,53
2013-08-25,53
2013-08-26,53
2013-08-27,53
2013-08-28,54
2013-08-29,54
2013-08-30,54
2013-08-31,55
2013-09-01,55
2013-09-02,55
2013-09-03,55
2013-09-04,56
2013-09-05,56
2013-09-06,56
2013-09-07,57
2013-09-08,57
2013-09-09,57
2013-09-10,57
2013-09-11,58
2013-09-12,58
2013-09-13,58
2013-09-14,59
2013-09-15,57
2013-09-16,56
2013-09-17,55
2013-09-18,53
2013-09-19,52
2013-09-20,51
2013-09-21,50
2013-09-22,50
2013-09-23,50
2013-09-24,50
2013-09-25,50
2013-09-26,50
2013-09-27,50
2013-09-28,50
2013-09-29,50
2013-09-30,50
2013-10-06,50
2013-10-07,50
2013-10-08,50
2013-10-09,50
2013-10-10,50
2013-10-11,50
2013-10-12,50
2013-10-13,51
2013-10-14,53
2013-10-15,55
2013-10-16,56
2013-10-17,58
2013-10-18,60
2013-10-19,62
2013-10-20,63
2013-10-21,65
2013-10-22,67
2013-10-23,69
2013-10-24,71
2013-10-25,73
2013-10-26,75
2013-10-27,76
2013-10-28,78
2013-10-29,80
2013-10-30,81
2013-10-31,83
2013-11-01,85
2013-11-02,87
2013-11-03,88
2013-11-04,91
2013-11-05,93
2013-11-06,95
2013-11-07,98
2013-11-08,100
2013-11-09,102
2013-11-10,94
2013-11-11,84
2013-11-12,76
2013-11-13,68
2013-11-14,60
2013-11-15,52
2013-11-16,44
2013-11-17,37
2013-11-18,31
2013-11-19,25
2013-11-20,18
2013-11-21,12
2013-11-22,6
2013-11-23,0
2013-11-24,0
2013-11-25,0
2013-11-26,0
2013-11-27,0
2013-11-28,0
2013-11-29,0
2013-11-30,0
2013-12-01,0
2013-12-02,0
2013-12-03,0
2013-12-04,0
2013-12-05,0
2013-12-06,0
2013-12-07,0
2013-12-08,0
2013-12-09,0
2013-12-10,0
2013-12-11,0
2013-12-12,0
2013-12-13,0
2013-12-14,0
2013-12-15,0
2013-12-16,0
2013-12-17,0
2013-12-18,0
2013-12-19,0
2013-12-20,0
2013-12-21,0
2013-12-22,0
2013-12-23,0
2013-12-24,0
2013-12-25,0
2013-12-26,0
2013-12-27,0
2013-12-28,0
2013-12-29,0
2014-01-01,0
2014-01-02,0
2014-01-03,0
2014-01-04,0
2014-01-05,0
2014-01-06,0
2014-01-07,0
2014-01-08,0
2014-01-09,0
2014-01-10,0
2014-01-11,0
2014-01-12,0
2014-01-13,0
2014-01-14,0
2014-01-15,0
2014-01-16,0
2014-01-17,0
2014-01-18,0
2014-01-19,6
2014-01-20,12
2014-01-21,18
2014-01-22,24
2014-01-23,30
2014-01-24,36
2014-01-25,42
2014-01-26,43
2014-01-27,45
2014-01-28,47
2014-01-29,48
2014-01-30,50
2014-01-31,52
2014-02-01,54
2014-02-02,46
2014-02-03,38
2014-02-04,30
2014-02-05,23
2014-02-06,15
2014-02-07,7
2014-02-08,0
2014-02-09,0
2014-02-10,0
2014-02-11,0
2014-02-12,0
2014-02-13,0
2014-02-14,0
2014-02-15,0
2014-02-16,0
2014-02-17,0
2014-02-18,0
2014-02-19,0
2014-02-20,0
2014-02-21,0
2014-02-22,0
2014-02-23,0
2014-02-24,0
2014-02-25,0
2014-02-26,0
2014-02-27,0
2014-02-28,0
