Date,Innophos
2006-01-01,91
2006-01-02,91
2006-01-03,91
2006-01-04,91
2006-01-05,91
2006-01-06,91
2006-01-07,91
2006-01-08,91
2006-01-09,91
2006-01-10,91
2006-01-11,91
2006-01-12,92
2006-01-13,92
2006-01-14,92
2006-01-15,92
2006-01-16,92
2006-01-17,92
2006-01-18,92
2006-01-19,92
2006-01-20,92
2006-01-21,92
2006-01-22,93
2006-01-23,93
2006-01-24,93
2006-01-25,93
2006-01-26,93
2006-01-27,93
2006-01-28,93
2006-01-29,93
2006-01-30,93
2006-01-31,93
2006-02-01,94
2006-02-02,93
2006-02-03,93
2006-02-04,92
2006-02-05,92
2006-02-06,91
2006-02-07,91
2006-02-08,90
2006-02-09,90
2006-02-10,89
2006-02-11,89
2006-02-12,88
2006-02-13,88
2006-02-14,87
2006-02-15,87
2006-02-16,86
2006-02-17,86
2006-02-18,85
2006-02-19,85
2006-02-20,84
2006-02-21,84
2006-02-22,83
2006-02-23,83
2006-02-24,82
2006-02-25,82
2006-02-26,81
2006-02-27,81
2006-02-28,80
2006-03-01,80
2006-03-02,80
2006-03-03,80
2006-03-04,80
2006-03-05,80
2006-03-06,80
2006-03-07,80
2006-03-08,80
2006-03-09,80
2006-03-10,80
2006-03-11,80
2006-03-12,80
2006-03-13,80
2006-03-14,80
2006-03-15,80
2006-03-16,80
2006-03-17,80
2006-03-18,80
2006-03-19,80
2006-03-20,80
2006-03-21,80
2006-03-22,80
2006-03-23,80
2006-03-24,80
2006-03-25,80
2006-03-26,80
2006-03-27,80
2006-03-28,80
2006-03-29,80
2006-03-30,80
2006-03-31,80
2006-04-01,80
2006-04-02,80
2006-04-03,80
2006-04-04,80
2006-04-05,80
2006-04-06,80
2006-04-07,80
2006-04-08,80
2006-04-09,80
2006-04-10,80
2006-04-11,80
2006-04-12,80
2006-04-13,80
2006-04-14,80
2006-04-15,80
2006-04-16,80
2006-04-17,80
2006-04-18,80
2006-04-19,80
2006-04-20,80
2006-04-21,80
2006-04-22,80
2006-04-23,80
2006-04-24,80
2006-04-25,80
2006-04-26,80
2006-04-27,80
2006-04-28,80
2006-04-29,80
2006-04-30,80
2006-05-01,80
2006-05-02,79
2006-05-03,79
2006-05-04,78
2006-05-05,78
2006-05-06,77
2006-05-07,77
2006-05-08,77
2006-05-09,76
2006-05-10,76
2006-05-11,75
2006-05-12,75
2006-05-13,74
2006-05-14,74
2006-05-15,74
2006-05-16,73
2006-05-17,73
2006-05-18,72
2006-05-19,72
2006-05-20,72
2006-05-21,71
2006-05-22,71
2006-05-23,70
2006-05-24,70
2006-05-25,69
2006-05-26,69
2006-05-27,69
2006-05-28,68
2006-05-29,68
2006-05-30,67
2006-05-31,67
2006-06-01,67
2006-06-02,67
2006-06-03,67
2006-06-04,67
2006-06-05,67
2006-06-06,67
2006-06-07,67
2006-06-08,67
2006-06-09,67
2006-06-10,67
2006-06-11,67
2006-06-12,67
2006-06-13,67
2006-06-14,67
2006-06-15,67
2006-06-16,67
2006-06-17,67
2006-06-18,67
2006-06-19,67
2006-06-20,67
2006-06-21,67
2006-06-22,67
2006-06-23,67
2006-06-24,67
2006-06-25,67
2006-06-26,67
2006-06-27,67
2006-06-28,67
2006-06-29,67
2006-06-30,67
2006-07-01,67
2006-07-02,67
2006-07-03,67
2006-07-04,67
2006-07-05,67
2006-07-06,67
2006-07-07,67
2006-07-08,67
2006-07-09,67
2006-07-10,67
2006-07-11,67
2006-07-12,67
2006-07-13,67
2006-07-14,67
2006-07-15,67
2006-07-16,67
2006-07-17,67
2006-07-18,67
2006-07-19,67
2006-07-20,67
2006-07-21,67
2006-07-22,67
2006-07-23,67
2006-07-24,67
2006-07-25,67
2006-07-26,67
2006-07-27,67
2006-07-28,67
2006-07-29,67
2006-07-30,67
2006-07-31,67
2006-08-01,67
2006-08-02,67
2006-08-03,67
2006-08-04,67
2006-08-05,67
2006-08-06,67
2006-08-07,67
2006-08-08,67
2006-08-09,67
2006-08-10,67
2006-08-11,67
2006-08-12,67
2006-08-13,67
2006-08-14,67
2006-08-15,67
2006-08-16,67
2006-08-17,67
2006-08-18,67
2006-08-19,67
2006-08-20,67
2006-08-21,67
2006-08-22,67
2006-08-23,67
2006-08-24,67
2006-08-25,67
2006-08-26,67
2006-08-27,67
2006-08-28,67
2006-08-29,67
2006-08-30,67
2006-08-31,67
2006-09-01,67
2006-09-02,68
2006-09-03,69
2006-09-04,70
2006-09-05,71
2006-09-06,72
2006-09-07,73
2006-09-08,74
2006-09-09,75
2006-09-10,76
2006-09-11,77
2006-09-12,78
2006-09-13,79
2006-09-14,80
2006-09-15,81
2006-09-16,82
2006-09-17,83
2006-09-18,84
2006-09-19,85
2006-09-20,86
2006-09-21,87
2006-09-22,88
2006-09-23,89
2006-09-24,90
2006-09-25,91
2006-09-26,92
2006-09-27,93
2006-09-28,94
2006-09-29,95
2006-09-30,96
2006-10-01,98
2006-10-02,98
2006-10-03,98
2006-10-04,98
2006-10-05,98
2006-10-06,98
2006-10-07,98
2006-10-08,98
2006-10-09,98
2006-10-10,98
2006-10-11,98
2006-10-12,98
2006-10-13,98
2006-10-14,98
2006-10-15,98
2006-10-16,98
2006-10-17,99
2006-10-18,99
2006-10-19,99
2006-10-20,99
2006-10-21,99
2006-10-22,99
2006-10-23,99
2006-10-24,99
2006-10-25,99
2006-10-26,99
2006-10-27,99
2006-10-28,99
2006-10-29,99
2006-10-30,99
2006-10-31,99
2006-11-01,100
2006-11-02,98
2006-11-03,97
2006-11-04,96
2006-11-05,94
2006-11-06,93
2006-11-07,92
2006-11-08,90
2006-11-09,89
2006-11-10,88
2006-11-11,87
2006-11-12,85
2006-11-13,84
2006-11-14,83
2006-11-15,81
2006-11-16,80
2006-11-17,79
2006-11-18,77
2006-11-19,76
2006-11-20,75
2006-11-21,74
2006-11-22,72
2006-11-23,71
2006-11-24,70
2006-11-25,68
2006-11-26,67
2006-11-27,66
2006-11-28,64
2006-11-29,63
2006-11-30,62
2006-12-01,61
2006-12-02,61
2006-12-03,61
2006-12-04,61
2006-12-05,62
2006-12-06,62
2006-12-07,62
2006-12-08,63
2006-12-09,63
2006-12-10,63
2006-12-11,63
2006-12-12,64
2006-12-13,64
2006-12-14,64
2006-12-15,65
2006-12-16,65
2006-12-17,65
2006-12-18,65
2006-12-19,66
2006-12-20,66
2006-12-21,66
2006-12-22,67
2006-12-23,67
2006-12-24,67
2006-12-25,67
2006-12-26,68
2006-12-27,68
2006-12-28,68
2006-12-29,69
2006-12-30,69
2006-12-31,69
2007-01-01,70
2007-01-02,70
2007-01-03,70
2007-01-04,70
