Date,Amyris Biotechnologies
2009-10-01,0
2009-10-02,2
2009-10-03,5
2009-10-04,8
2009-10-05,11
2009-10-06,14
2009-10-07,17
2009-10-08,20
2009-10-09,22
2009-10-10,25
2009-10-11,28
2009-10-12,31
2009-10-13,34
2009-10-14,37
2009-10-15,40
2009-10-16,43
2009-10-17,45
2009-10-18,48
2009-10-19,51
2009-10-20,54
2009-10-21,57
2009-10-22,60
2009-10-23,63
2009-10-24,66
2009-10-25,68
2009-10-26,71
2009-10-27,74
2009-10-28,77
2009-10-29,80
2009-10-30,83
2009-10-31,86
2009-11-01,89
2009-11-02,88
2009-11-03,87
2009-11-04,86
2009-11-05,85
2009-11-06,85
2009-11-07,84
2009-11-08,83
2009-11-09,82
2009-11-10,81
2009-11-11,81
2009-11-12,80
2009-11-13,79
2009-11-14,78
2009-11-15,77
2009-11-16,77
2009-11-17,76
2009-11-18,75
2009-11-19,74
2009-11-20,73
2009-11-21,73
2009-11-22,72
2009-11-23,71
2009-11-24,70
2009-11-25,69
2009-11-26,69
2009-11-27,68
2009-11-28,67
2009-11-29,66
2009-11-30,65
2009-12-01,65
2009-12-02,65
2009-12-03,66
2009-12-04,66
2009-12-05,67
2009-12-06,67
2009-12-07,68
2009-12-08,68
2009-12-09,69
2009-12-10,69
2009-12-11,70
2009-12-12,71
2009-12-13,71
2009-12-14,72
2009-12-15,72
2009-12-16,73
2009-12-17,73
2009-12-18,74
2009-12-19,74
2009-12-20,75
2009-12-21,75
2009-12-22,76
2009-12-23,77
2009-12-24,77
2009-12-25,78
2009-12-26,78
2009-12-27,79
2009-12-28,79
2009-12-29,80
2009-12-30,80
2009-12-31,81
2010-01-01,82
2010-01-02,82
2010-01-03,83
2010-01-04,83
2010-01-05,84
2010-01-06,84
2010-01-07,85
2010-01-08,86
2010-01-09,86
2010-01-10,87
2010-01-11,87
2010-01-12,88
2010-01-13,88
2010-01-14,89
2010-01-15,90
2010-01-16,90
2010-01-17,91
2010-01-18,91
2010-01-19,92
2010-01-20,93
2010-01-21,93
2010-01-22,94
2010-01-23,94
2010-01-24,95
2010-01-25,95
2010-01-26,96
2010-01-27,97
2010-01-28,97
2010-01-29,98
2010-01-30,98
2010-01-31,99
2010-02-01,100
2010-02-02,99
2010-02-03,98
2010-02-04,97
2010-02-05,96
2010-02-06,96
2010-02-07,95
2010-02-08,94
2010-02-09,93
2010-02-10,92
2010-02-11,92
2010-02-12,91
2010-02-13,90
2010-02-14,89
2010-02-15,89
2010-02-16,88
2010-02-17,87
2010-02-18,86
2010-02-19,85
2010-02-20,85
2010-02-21,84
2010-02-22,83
2010-02-23,82
2010-02-24,81
2010-02-25,81
2010-02-26,80
2010-02-27,79
2010-02-28,78
2010-03-01,78
2010-03-02,78
2010-03-03,78
2010-03-04,78
2010-03-05,78
2010-03-06,78
2010-03-07,78
2010-03-08,78
2010-03-09,79
2010-03-10,79
2010-03-11,79
2010-03-12,79
2010-03-13,79
2010-03-14,79
2010-03-15,79
2010-03-16,79
2010-03-17,80
2010-03-18,80
2010-03-19,80
2010-03-20,80
2010-03-21,80
2010-03-22,80
2010-03-23,80
2010-03-24,80
2010-03-25,81
2010-03-26,81
2010-03-27,81
2010-03-28,81
2010-03-29,81
2010-03-30,81
2010-03-31,81
2010-04-01,82
2010-04-02,82
2010-04-03,82
2010-04-04,82
2010-04-05,82
2010-04-06,82
2010-04-07,83
2010-04-08,83
2010-04-09,83
2010-04-10,83
2010-04-11,83
2010-04-12,83
2010-04-13,84
2010-04-14,84
2010-04-15,84
2010-04-16,84
2010-04-17,84
2010-04-18,84
2010-04-19,85
2010-04-20,85
2010-04-21,85
2010-04-22,85
2010-04-23,85
2010-04-24,85
2010-04-25,86
2010-04-26,86
2010-04-27,86
2010-04-28,86
2010-04-29,86
2010-04-30,86
2010-05-01,87
2010-05-02,86
2010-05-03,85
2010-05-04,84
2010-05-05,84
2010-05-06,83
2010-05-07,82
2010-05-08,82
2010-05-09,81
2010-05-10,80
2010-05-11,80
2010-05-12,79
2010-05-13,78
2010-05-14,78
2010-05-15,77
2010-05-16,76
2010-05-17,76
2010-05-18,75
2010-05-19,74
2010-05-20,74
2010-05-21,73
2010-05-22,72
2010-05-23,72
2010-05-24,71
2010-05-25,70
2010-05-26,70
2010-05-27,69
2010-05-28,68
2010-05-29,68
2010-05-30,67
2010-05-31,66
2010-06-01,66
2010-06-02,66
2010-06-03,66
2010-06-04,66
2010-06-05,66
2010-06-06,66
2010-06-07,66
2010-06-08,66
2010-06-09,66
2010-06-10,66
2010-06-11,66
2010-06-12,66
2010-06-13,66
2010-06-14,66
2010-06-15,66
2010-06-16,66
2010-06-17,66
2010-06-18,66
2010-06-19,66
2010-06-20,66
2010-06-21,66
2010-06-22,66
2010-06-23,66
2010-06-24,66
2010-06-25,66
2010-06-26,66
2010-06-27,66
2010-06-28,66
