Date,Cinemark
2006-08-06,41
2006-08-07,41
2006-08-08,41
2006-08-09,41
2006-08-10,41
2006-08-11,41
2006-08-12,41
2006-08-13,42
2006-08-14,44
2006-08-15,45
2006-08-16,47
2006-08-17,48
2006-08-18,50
2006-08-19,51
2006-08-20,49
2006-08-21,46
2006-08-22,43
2006-08-23,41
2006-08-24,38
2006-08-25,36
2006-08-26,34
2006-08-27,33
2006-08-28,32
2006-08-29,31
2006-08-30,30
2006-08-31,29
2006-09-01,28
2006-09-02,27
2006-09-03,27
2006-09-04,27
2006-09-05,27
2006-09-06,27
2006-09-07,27
2006-09-08,27
2006-09-09,27
2006-09-10,27
2006-09-11,27
2006-09-12,27
2006-09-13,27
2006-09-14,27
2006-09-15,27
2006-09-16,28
2006-09-17,28
2006-09-18,28
2006-09-19,28
2006-09-20,28
2006-09-21,28
2006-09-22,28
2006-09-23,29
2006-09-24,29
2006-09-25,29
2006-09-26,29
2006-09-27,29
2006-09-28,29
2006-09-29,29
2006-09-30,30
2006-10-01,30
2006-10-02,30
2006-10-03,30
2006-10-04,30
2006-10-05,30
2006-10-06,30
2006-10-07,31
2006-10-08,30
2006-10-09,30
2006-10-10,29
2006-10-11,29
2006-10-12,28
2006-10-13,28
2006-10-14,28
2006-10-15,28
2006-10-16,29
2006-10-17,30
2006-10-18,30
2006-10-19,31
2006-10-20,32
2006-10-21,33
2006-10-22,33
2006-10-23,34
2006-10-24,34
2006-10-25,35
2006-10-26,36
2006-10-27,36
2006-10-28,37
2006-10-29,35
2006-11-05,30
2006-11-06,34
2006-11-07,38
2006-11-08,42
2006-11-09,46
2006-11-10,49
2006-11-11,53
2006-11-12,49
2006-11-13,44
2006-11-14,40
2006-11-15,36
2006-11-16,32
2006-11-17,28
2006-11-18,24
2006-11-19,24
2006-11-20,24
2006-11-21,24
2006-11-22,24
2006-11-23,24
2006-11-24,24
2006-11-25,24
2006-11-26,24
2006-11-27,25
2006-11-28,26
2006-11-29,26
2006-11-30,27
2006-12-01,28
2006-12-02,29
2006-12-03,29
2006-12-04,30
2006-12-05,30
2006-12-06,31
2006-12-07,31
2006-12-08,32
2006-12-09,33
2006-12-10,33
2006-12-11,34
2006-12-12,35
2006-12-13,35
2006-12-14,36
2006-12-15,37
2006-12-16,38
2006-12-17,37
2006-12-18,37
2006-12-19,36
2006-12-20,36
2006-12-21,35
2006-12-22,35
2006-12-23,35
2006-12-24,36
2006-12-25,37
2006-12-26,39
2006-12-27,40
2006-12-28,42
2006-12-29,43
2006-12-30,45
2006-12-31,47
2007-01-01,51
2007-01-02,54
2007-01-03,57
2007-01-04,60
2007-01-05,63
2007-01-06,66
2007-01-07,63
2007-01-08,58
2007-01-09,55
2007-01-10,51
2007-01-11,48
2007-01-12,45
2007-01-13,42
2007-01-14,43
2007-01-15,44
2007-01-16,45
2007-01-17,46
2007-01-18,47
2007-01-19,48
2007-01-20,50
2007-01-21,47
2007-01-22,45
2007-01-23,43
2007-01-24,41
2007-01-25,39
2007-01-26,37
2007-01-27,35
2007-01-28,37
2007-02-04,49
2007-02-05,45
2007-02-06,41
2007-02-07,38
2007-02-08,34
2007-02-09,30
2007-02-10,27
2007-02-11,29
2007-02-12,31
2007-02-13,33
2007-02-14,35
2007-02-15,37
2007-02-16,39
2007-02-17,42
2007-02-18,43
2007-02-19,44
2007-02-20,46
2007-02-21,47
2007-02-22,48
2007-02-23,50
2007-02-24,51
2007-02-25,50
2007-02-26,48
2007-02-27,47
2007-02-28,45
2007-03-01,44
2007-03-02,43
2007-03-03,42
2007-03-04,41
2007-03-05,41
2007-03-06,40
2007-03-07,40
