Date,ShoreTel
2006-08-01,0
2006-08-02,0
2006-08-03,0
2006-08-04,0
2006-08-05,0
2006-08-06,0
2006-08-07,0
2006-08-08,0
2006-08-09,0
2006-08-10,0
2006-08-11,0
2006-08-12,0
2006-08-13,0
2006-08-14,0
2006-08-15,0
2006-08-16,0
2006-08-17,0
2006-08-18,0
2006-08-19,0
2006-08-20,0
2006-08-21,0
2006-08-22,0
2006-08-23,0
2006-08-24,0
2006-08-25,0
2006-08-26,0
2006-08-27,0
2006-08-28,0
2006-08-29,0
2006-08-30,0
2006-08-31,0
2006-09-01,0
2006-09-02,0
2006-09-03,0
2006-09-04,0
2006-09-05,0
2006-09-06,0
2006-09-07,0
2006-09-08,0
2006-09-09,0
2006-09-10,0
2006-09-11,0
2006-09-12,0
2006-09-13,0
2006-09-14,0
2006-09-15,0
2006-09-16,0
2006-09-17,0
2006-09-18,0
2006-09-19,0
2006-09-20,0
2006-09-21,0
2006-09-22,0
2006-09-23,0
2006-09-24,0
2006-09-25,0
2006-09-26,0
2006-09-27,0
2006-09-28,0
2006-09-29,0
2006-09-30,0
2006-10-01,0
2006-10-02,0
2006-10-03,0
2006-10-04,0
2006-10-05,0
2006-10-06,0
2006-10-07,0
2006-10-08,0
2006-10-09,0
2006-10-10,0
2006-10-11,0
2006-10-12,0
2006-10-13,0
2006-10-14,0
2006-10-15,0
2006-10-16,0
2006-10-17,0
2006-10-18,0
2006-10-19,0
2006-10-20,0
2006-10-21,0
2006-10-22,0
2006-10-23,0
2006-10-24,0
2006-10-25,0
2006-10-26,0
2006-10-27,0
2006-10-28,0
2006-10-29,0
2006-10-30,0
2006-10-31,0
2006-11-01,0
2006-11-02,0
2006-11-03,0
2006-11-04,0
2006-11-05,0
2006-11-06,0
2006-11-07,0
2006-11-08,0
2006-11-09,0
2006-11-10,0
2006-11-11,0
2006-11-12,0
2006-11-13,0
2006-11-14,0
2006-11-15,0
2006-11-16,0
2006-11-17,0
2006-11-18,0
2006-11-19,0
2006-11-20,0
2006-11-21,0
2006-11-22,0
2006-11-23,0
2006-11-24,0
2006-11-25,0
2006-11-26,0
2006-11-27,0
2006-11-28,0
2006-11-29,0
2006-11-30,0
2006-12-01,0
2006-12-02,0
2006-12-03,0
2006-12-04,0
2006-12-05,0
2006-12-06,0
2006-12-07,0
2006-12-08,0
2006-12-09,0
2006-12-10,0
2006-12-11,0
2006-12-12,0
2006-12-13,0
2006-12-14,0
2006-12-15,0
2006-12-16,0
2006-12-17,0
2006-12-18,0
2006-12-19,0
2006-12-20,0
2006-12-21,0
2006-12-22,0
2006-12-23,0
2006-12-24,0
2006-12-25,0
2006-12-26,0
2006-12-27,0
2006-12-28,0
2006-12-29,0
2006-12-30,0
2006-12-31,0
2007-01-01,0
2007-01-02,2
2007-01-03,4
2007-01-04,7
2007-01-05,9
2007-01-06,12
2007-01-07,14
2007-01-08,17
2007-01-09,19
2007-01-10,22
2007-01-11,24
2007-01-12,27
2007-01-13,29
2007-01-14,32
2007-01-15,34
2007-01-16,37
2007-01-17,39
2007-01-18,42
2007-01-19,44
2007-01-20,47
2007-01-21,49
2007-01-22,52
2007-01-23,54
2007-01-24,57
2007-01-25,59
2007-01-26,62
2007-01-27,64
2007-01-28,67
2007-01-29,69
2007-01-30,72
2007-01-31,74
2007-02-01,77
2007-02-02,75
2007-02-03,74
2007-02-04,73
2007-02-05,72
2007-02-06,70
2007-02-07,69
2007-02-08,68
2007-02-09,67
2007-02-10,66
2007-02-11,64
2007-02-12,63
2007-02-13,62
2007-02-14,61
2007-02-15,60
2007-02-16,58
2007-02-17,57
2007-02-18,56
2007-02-19,55
2007-02-20,53
2007-02-21,52
2007-02-22,51
2007-02-23,50
2007-02-24,49
2007-02-25,47
2007-02-26,46
2007-02-27,45
2007-02-28,44
2007-03-01,43
2007-03-02,42
2007-03-03,42
2007-03-04,42
2007-03-05,42
2007-03-06,42
2007-03-07,42
2007-03-08,42
2007-03-09,42
2007-03-10,42
2007-03-11,42
2007-03-12,42
2007-03-13,42
2007-03-14,42
2007-03-15,42
2007-03-16,42
2007-03-17,42
2007-03-18,42
2007-03-19,42
2007-03-20,42
2007-03-21,42
2007-03-22,42
2007-03-23,42
2007-03-24,42
2007-03-25,42
2007-03-26,42
2007-03-27,42
2007-03-28,42
2007-03-29,42
2007-03-30,42
2007-03-31,42
2007-04-01,42
2007-04-02,42
2007-04-03,42
2007-04-04,42
2007-04-05,42
2007-04-06,42
2007-04-07,42
2007-04-08,42
2007-04-09,42
2007-04-10,42
2007-04-11,42
2007-04-12,42
2007-04-13,42
2007-04-14,42
2007-04-15,42
2007-04-16,42
2007-04-17,42
2007-04-18,42
2007-04-19,42
2007-04-20,42
2007-04-21,42
2007-04-22,42
2007-04-23,42
2007-04-24,42
2007-04-25,42
2007-04-26,42
2007-04-27,42
2007-04-28,42
2007-04-29,42
2007-04-30,42
2007-05-01,42
2007-05-02,43
2007-05-03,45
2007-05-04,47
2007-05-05,49
2007-05-06,51
2007-05-07,53
2007-05-08,55
2007-05-09,56
2007-05-10,58
2007-05-11,60
2007-05-12,62
2007-05-13,64
2007-05-14,66
2007-05-15,68
2007-05-16,70
2007-05-17,71
2007-05-18,73
2007-05-19,75
2007-05-20,77
2007-05-21,79
2007-05-22,81
2007-05-23,83
2007-05-24,85
2007-05-25,86
2007-05-26,88
2007-05-27,90
2007-05-28,92
2007-05-29,94
2007-05-30,96
2007-05-31,98
2007-06-01,100
2007-06-02,98
2007-06-03,96
2007-06-04,95
2007-06-05,93
2007-06-06,91
2007-06-07,90
2007-06-08,88
2007-06-09,86
2007-06-10,85
2007-06-11,83
2007-06-12,81
2007-06-13,80
2007-06-14,78
2007-06-15,76
2007-06-16,75
2007-06-17,73
2007-06-18,71
2007-06-19,70
2007-06-20,68
2007-06-21,66
2007-06-22,65
2007-06-23,63
2007-06-24,61
2007-06-25,60
2007-06-26,58
2007-06-27,56
2007-06-28,55
2007-06-29,53
2007-06-30,51
2007-07-01,50
2007-07-02,48
2007-07-03,46
2007-07-04,45
2007-07-05,43
2007-07-06,41
2007-07-07,40
2007-07-08,38
2007-07-09,37
2007-07-10,35
2007-07-11,33
2007-07-12,32
2007-07-13,30
2007-07-14,29
2007-07-15,27
2007-07-16,25
2007-07-17,24
2007-07-18,22
2007-07-19,20
2007-07-20,19
2007-07-21,17
2007-07-22,16
2007-07-23,14
2007-07-24,12
2007-07-25,11
2007-07-26,9
2007-07-27,8
2007-07-28,6
2007-07-29,4
2007-07-30,3
2007-07-31,1
2007-08-01,0
2007-08-02,0
2007-08-03,0
2007-08-04,0
2007-08-05,0
2007-08-06,0
2007-08-07,0
2007-08-08,0
2007-08-09,0
2007-08-10,0
2007-08-11,0
2007-08-12,0
2007-08-13,0
2007-08-14,0
2007-08-15,0
2007-08-16,0
2007-08-17,0
2007-08-18,0
2007-08-19,0
2007-08-20,0
2007-08-21,0
2007-08-22,0
2007-08-23,0
2007-08-24,0
2007-08-25,0
2007-08-26,0
2007-08-27,0
2007-08-28,0
2007-08-29,0
2007-08-30,0
2007-08-31,0
2007-09-01,0
2007-09-02,0
2007-09-03,0
2007-09-04,0
2007-09-05,0
2007-09-06,0
2007-09-07,0
2007-09-08,0
2007-09-09,0
2007-09-10,0
2007-09-11,0
2007-09-12,0
2007-09-13,0
2007-09-14,0
2007-09-15,0
2007-09-16,0
2007-09-17,0
2007-09-18,0
2007-09-19,0
2007-09-20,0
2007-09-21,0
2007-09-22,0
2007-09-23,0
2007-09-24,0
2007-09-25,0
2007-09-26,0
2007-09-27,0
2007-09-28,0
2007-09-29,0
2007-09-30,0
2007-10-01,0
2007-10-02,0
2007-10-03,0
2007-10-04,0
2007-10-05,0
2007-10-06,0
2007-10-07,0
2007-10-08,0
2007-10-09,0
2007-10-10,0
2007-10-11,0
2007-10-12,0
2007-10-13,0
2007-10-14,0
2007-10-15,0
2007-10-16,0
2007-10-17,0
2007-10-18,0
2007-10-19,0
2007-10-20,0
2007-10-21,0
2007-10-22,0
2007-10-23,0
2007-10-24,0
2007-10-25,0
2007-10-26,0
2007-10-27,0
2007-10-28,0
2007-10-29,0
2007-10-30,0
2007-10-31,0
2007-11-01,0
2007-11-02,0
2007-11-03,0
2007-11-04,0
2007-11-05,0
2007-11-06,0
2007-11-07,0
2007-11-08,0
2007-11-09,0
2007-11-10,0
2007-11-11,0
2007-11-12,0
2007-11-13,0
2007-11-14,0
2007-11-15,0
2007-11-16,0
2007-11-17,0
2007-11-18,0
2007-11-19,0
2007-11-20,0
2007-11-21,0
2007-11-22,0
2007-11-23,0
2007-11-24,0
2007-11-25,0
2007-11-26,0
2007-11-27,0
2007-11-28,0
2007-11-29,0
2007-11-30,0
2007-12-01,0
2007-12-02,1
2007-12-03,3
2007-12-04,4
2007-12-05,6
2007-12-06,7
2007-12-07,9
2007-12-08,10
2007-12-09,12
2007-12-10,13
2007-12-11,15
2007-12-12,16
2007-12-13,18
2007-12-14,19
2007-12-15,21
2007-12-16,22
2007-12-17,24
2007-12-18,25
2007-12-19,27
2007-12-20,28
2007-12-21,30
2007-12-22,31
2007-12-23,33
2007-12-24,34
2007-12-25,36
2007-12-26,37
2007-12-27,39
2007-12-28,40
2007-12-29,42
2007-12-30,43
2007-12-31,45
2008-01-01,47
2008-01-02,46
2008-01-03,45
2008-01-04,45
2008-01-05,44
2008-01-06,43
2008-01-07,43
2008-01-08,42
2008-01-09,42
2008-01-10,41
2008-01-11,40
2008-01-12,40
2008-01-13,39
2008-01-14,39
2008-01-15,38
2008-01-16,37
2008-01-17,37
2008-01-18,36
2008-01-19,35
2008-01-20,35
2008-01-21,34
2008-01-22,34
2008-01-23,33
2008-01-24,32
2008-01-25,32
2008-01-26,31
2008-01-27,31
2008-01-28,30
2008-01-29,29
2008-01-30,29
2008-01-31,28
2008-02-01,28
2008-02-02,28
2008-02-03,28
2008-02-04,28
2008-02-05,28
2008-02-06,28
2008-02-07,28
2008-02-08,28
2008-02-09,28
2008-02-10,28
2008-02-11,28
2008-02-12,28
2008-02-13,28
2008-02-14,28
2008-02-15,28
2008-02-16,28
2008-02-17,28
2008-02-18,28
2008-02-19,28
2008-02-20,28
2008-02-21,28
2008-02-22,28
2008-02-23,28
2008-02-24,28
2008-02-25,28
2008-02-26,28
2008-02-27,28
2008-02-28,28
2008-02-29,28
2008-03-01,28
2008-03-02,28
2008-03-03,28
2008-03-04,28
2008-03-05,28
2008-03-06,28
2008-03-07,28
2008-03-08,28
2008-03-09,28
2008-03-10,28
2008-03-11,28
2008-03-12,28
2008-03-13,28
2008-03-14,28
2008-03-15,28
2008-03-16,28
2008-03-17,28
2008-03-18,28
2008-03-19,28
2008-03-20,28
2008-03-21,28
2008-03-22,28
2008-03-23,28
2008-03-24,28
2008-03-25,28
2008-03-26,28
2008-03-27,28
2008-03-28,28
2008-03-29,28
2008-03-30,28
2008-03-31,28
2008-04-01,28
2008-04-02,28
2008-04-03,28
2008-04-04,28
2008-04-05,28
2008-04-06,28
2008-04-07,28
2008-04-08,28
2008-04-09,28
2008-04-10,28
2008-04-11,28
2008-04-12,28
2008-04-13,28
2008-04-14,28
2008-04-15,28
2008-04-16,28
2008-04-17,28
2008-04-18,28
2008-04-19,28
2008-04-20,28
2008-04-21,28
2008-04-22,28
2008-04-23,28
2008-04-24,28
2008-04-25,28
2008-04-26,28
2008-04-27,28
2008-04-28,28
2008-04-29,28
2008-04-30,28
2008-05-01,29
2008-05-02,29
2008-05-03,29
2008-05-04,29
2008-05-05,29
2008-05-06,29
2008-05-07,29
2008-05-08,29
2008-05-09,29
2008-05-10,29
2008-05-11,29
2008-05-12,29
2008-05-13,29
2008-05-14,29
2008-05-15,29
2008-05-16,29
2008-05-17,29
2008-05-18,29
2008-05-19,29
2008-05-20,29
2008-05-21,29
2008-05-22,29
2008-05-23,29
2008-05-24,29
2008-05-25,29
2008-05-26,29
2008-05-27,29
2008-05-28,29
2008-05-29,29
2008-05-30,29
2008-05-31,29
2008-06-01,30
2008-06-02,30
2008-06-03,30
2008-06-04,30
2008-06-05,30
2008-06-06,30
2008-06-07,30
2008-06-08,30
2008-06-09,30
2008-06-10,30
2008-06-11,30
2008-06-12,30
2008-06-13,30
2008-06-14,30
2008-06-15,30
2008-06-16,30
2008-06-17,30
2008-06-18,30
2008-06-19,30
2008-06-20,30
2008-06-21,30
2008-06-22,30
2008-06-23,30
2008-06-24,30
2008-06-25,30
2008-06-26,30
2008-06-27,30
2008-06-28,30
2008-06-29,30
2008-06-30,30
2008-07-01,30
