Date,Sirtris
2006-09-01,0
2006-09-02,0
2006-09-03,0
2006-09-04,0
2006-09-05,0
2006-09-06,0
2006-09-07,0
2006-09-08,0
2006-09-09,0
2006-09-10,0
2006-09-11,0
2006-09-12,0
2006-09-13,0
2006-09-14,0
2006-09-15,0
2006-09-16,0
2006-09-17,0
2006-09-18,0
2006-09-19,0
2006-09-20,0
2006-09-21,0
2006-09-22,0
2006-09-23,0
2006-09-24,0
2006-09-25,0
2006-09-26,0
2006-09-27,0
2006-09-28,0
2006-09-29,0
2006-09-30,0
2006-10-01,0
2006-10-02,2
2006-10-03,5
2006-10-04,7
2006-10-05,10
2006-10-06,12
2006-10-07,15
2006-10-08,17
2006-10-09,20
2006-10-10,22
2006-10-11,25
2006-10-12,28
2006-10-13,30
2006-10-14,33
2006-10-15,35
2006-10-16,38
2006-10-17,40
2006-10-18,43
2006-10-19,45
2006-10-20,48
2006-10-21,50
2006-10-22,53
2006-10-23,56
2006-10-24,58
2006-10-25,61
2006-10-26,63
2006-10-27,66
2006-10-28,68
2006-10-29,71
2006-10-30,73
2006-10-31,76
2006-11-01,79
2006-11-02,79
2006-11-03,79
2006-11-04,79
2006-11-05,79
2006-11-06,79
2006-11-07,79
2006-11-08,79
2006-11-09,79
2006-11-10,79
2006-11-11,79
2006-11-12,79
2006-11-13,79
2006-11-14,79
2006-11-15,79
2006-11-16,79
2006-11-17,79
2006-11-18,79
2006-11-19,79
2006-11-20,79
2006-11-21,79
2006-11-22,79
2006-11-23,79
2006-11-24,79
2006-11-25,79
2006-11-26,79
2006-11-27,79
2006-11-28,79
2006-11-29,79
2006-11-30,79
2006-12-01,79
2006-12-02,79
2006-12-03,79
2006-12-04,79
2006-12-05,79
2006-12-06,79
2006-12-07,79
2006-12-08,79
2006-12-09,79
2006-12-10,79
2006-12-11,79
2006-12-12,79
2006-12-13,79
2006-12-14,79
2006-12-15,79
2006-12-16,79
2006-12-17,79
2006-12-18,79
2006-12-19,79
2006-12-20,79
2006-12-21,79
2006-12-22,79
2006-12-23,79
2006-12-24,79
2006-12-25,79
2006-12-26,79
2006-12-27,79
2006-12-28,79
2006-12-29,79
2006-12-30,79
2006-12-31,79
2007-01-01,79
2007-01-02,78
2007-01-03,77
2007-01-04,76
2007-01-05,75
2007-01-06,74
2007-01-07,73
2007-01-08,72
2007-01-09,71
2007-01-10,70
2007-01-11,69
2007-01-12,68
2007-01-13,67
2007-01-14,66
2007-01-15,65
2007-01-16,64
2007-01-17,63
2007-01-18,62
2007-01-19,61
2007-01-20,60
2007-01-21,59
2007-01-22,58
2007-01-23,57
2007-01-24,56
2007-01-25,55
2007-01-26,54
2007-01-27,53
2007-01-28,52
2007-01-29,51
2007-01-30,50
2007-01-31,49
2007-02-01,48
2007-02-02,48
2007-02-03,48
2007-02-04,48
2007-02-05,48
2007-02-06,48
2007-02-07,48
2007-02-08,48
2007-02-09,48
2007-02-10,48
2007-02-11,48
2007-02-12,48
2007-02-13,48
2007-02-14,48
2007-02-15,48
2007-02-16,48
2007-02-17,48
2007-02-18,48
2007-02-19,48
2007-02-20,48
2007-02-21,48
2007-02-22,48
2007-02-23,48
2007-02-24,48
2007-02-25,48
2007-02-26,48
2007-02-27,48
2007-02-28,48
2007-03-01,48
2007-03-02,48
2007-03-03,48
2007-03-04,49
2007-03-05,49
2007-03-06,49
2007-03-07,50
2007-03-08,50
2007-03-09,51
2007-03-10,51
2007-03-11,51
2007-03-12,52
2007-03-13,52
2007-03-14,53
2007-03-15,53
2007-03-16,53
2007-03-17,54
2007-03-18,54
2007-03-19,54
2007-03-20,55
2007-03-21,55
2007-03-22,56
2007-03-23,56
2007-03-24,56
2007-03-25,57
2007-03-26,57
2007-03-27,58
2007-03-28,58
2007-03-29,58
2007-03-30,59
2007-03-31,59
2007-04-01,60
2007-04-02,60
2007-04-03,60
2007-04-04,61
2007-04-05,61
2007-04-06,62
2007-04-07,62
2007-04-08,63
2007-04-09,63
2007-04-10,63
2007-04-11,64
2007-04-12,64
2007-04-13,65
2007-04-14,65
2007-04-15,66
2007-04-16,66
2007-04-17,66
2007-04-18,67
2007-04-19,67
2007-04-20,68
2007-04-21,68
2007-04-22,69
2007-04-23,69
2007-04-24,69
2007-04-25,70
2007-04-26,70
2007-04-27,71
2007-04-28,71
2007-04-29,72
2007-04-30,72
2007-05-01,73
2007-05-02,71
2007-05-03,70
2007-05-04,69
2007-05-05,67
2007-05-06,66
2007-05-07,65
2007-05-08,63
2007-05-09,62
2007-05-10,61
2007-05-11,60
2007-05-12,58
2007-05-13,57
2007-05-14,56
2007-05-15,54
2007-05-16,53
2007-05-17,52
2007-05-18,51
2007-05-19,49
2007-05-20,48
2007-05-21,47
2007-05-22,45
2007-05-23,44
2007-05-24,43
2007-05-25,42
2007-05-26,40
2007-05-27,39
2007-05-28,38
2007-05-29,36
2007-05-30,35
2007-05-31,34
2007-06-01,33
2007-06-02,33
2007-06-03,33
2007-06-04,33
2007-06-05,33
2007-06-06,33
2007-06-07,33
2007-06-08,33
2007-06-09,33
2007-06-10,33
2007-06-11,33
2007-06-12,33
2007-06-13,33
2007-06-14,33
2007-06-15,33
2007-06-16,33
2007-06-17,33
2007-06-18,33
2007-06-19,33
2007-06-20,33
2007-06-21,33
2007-06-22,33
2007-06-23,33
2007-06-24,33
2007-06-25,33
2007-06-26,33
2007-06-27,33
2007-06-28,33
2007-06-29,33
2007-06-30,33
2007-07-01,33
2007-07-02,33
2007-07-03,33
2007-07-04,33
2007-07-05,33
2007-07-06,33
2007-07-07,33
2007-07-08,33
2007-07-09,33
2007-07-10,33
2007-07-11,33
2007-07-12,33
2007-07-13,33
