Date,Francescas
2010-10-01,0
2010-10-02,1
2010-10-03,3
2010-10-04,5
2010-10-05,7
2010-10-06,9
2010-10-07,11
2010-10-08,12
2010-10-09,14
2010-10-10,16
2010-10-11,18
2010-10-12,20
2010-10-13,22
2010-10-14,23
2010-10-15,25
2010-10-16,27
2010-10-17,29
2010-10-18,31
2010-10-19,33
2010-10-20,34
2010-10-21,36
2010-10-22,38
2010-10-23,40
2010-10-24,42
2010-10-25,44
2010-10-26,45
2010-10-27,47
2010-10-28,49
2010-10-29,51
2010-10-30,53
2010-10-31,55
2010-11-01,57
2010-11-02,56
2010-11-03,56
2010-11-04,56
2010-11-05,56
2010-11-06,56
2010-11-07,56
2010-11-08,56
2010-11-09,56
2010-11-10,56
2010-11-11,56
2010-11-12,55
2010-11-13,55
2010-11-14,55
2010-11-15,55
2010-11-16,55
2010-11-17,55
2010-11-18,55
2010-11-19,55
2010-11-20,55
2010-11-21,55
2010-11-22,54
2010-11-23,54
2010-11-24,54
2010-11-25,54
2010-11-26,54
2010-11-27,54
2010-11-28,54
2010-11-29,54
2010-11-30,54
2010-12-01,54
2010-12-02,54
2010-12-03,54
2010-12-04,54
2010-12-05,54
2010-12-06,54
2010-12-07,54
2010-12-08,54
2010-12-09,54
2010-12-10,54
2010-12-11,54
2010-12-12,54
2010-12-13,54
2010-12-14,54
2010-12-15,54
2010-12-16,54
2010-12-17,54
2010-12-18,54
2010-12-19,54
2010-12-20,54
2010-12-21,54
2010-12-22,54
2010-12-23,54
2010-12-24,54
2010-12-25,54
2010-12-26,54
2010-12-27,54
2010-12-28,54
2010-12-29,54
2010-12-30,54
2010-12-31,54
2011-01-01,54
2011-01-02,54
2011-01-03,54
2011-01-04,54
2011-01-05,54
2011-01-06,54
2011-01-07,54
2011-01-08,54
2011-01-09,54
2011-01-10,54
2011-01-11,54
2011-01-12,54
2011-01-13,54
2011-01-14,54
2011-01-15,54
2011-01-16,54
2011-01-17,54
2011-01-18,54
2011-01-19,54
2011-01-20,54
2011-01-21,54
2011-01-22,54
2011-01-23,54
2011-01-24,54
2011-01-25,54
2011-01-26,54
2011-01-27,54
2011-01-28,54
2011-01-29,54
2011-01-30,54
2011-01-31,54
2011-02-01,54
2011-02-02,54
2011-02-03,54
2011-02-04,54
2011-02-05,54
2011-02-06,54
2011-02-07,54
2011-02-08,54
2011-02-09,54
2011-02-10,54
2011-02-11,54
2011-02-12,54
2011-02-13,54
2011-02-14,54
2011-02-15,54
2011-02-16,54
2011-02-17,54
2011-02-18,54
2011-02-19,54
2011-02-20,54
2011-02-21,54
2011-02-22,54
2011-02-23,54
2011-02-24,54
2011-02-25,54
2011-02-26,54
2011-02-27,54
2011-02-28,54
2011-03-01,54
2011-03-02,54
2011-03-03,54
2011-03-04,54
2011-03-05,54
2011-03-06,54
2011-03-07,54
2011-03-08,54
2011-03-09,55
2011-03-10,55
2011-03-11,55
2011-03-12,55
2011-03-13,55
2011-03-14,55
2011-03-15,55
2011-03-16,55
2011-03-17,56
2011-03-18,56
2011-03-19,56
2011-03-20,56
2011-03-21,56
2011-03-22,56
2011-03-23,56
2011-03-24,56
2011-03-25,57
2011-03-26,57
2011-03-27,57
2011-03-28,57
2011-03-29,57
2011-03-30,57
2011-03-31,57
2011-04-01,58
2011-04-02,58
2011-04-03,58
2011-04-04,58
2011-04-05,58
2011-04-06,58
2011-04-07,58
2011-04-08,58
2011-04-09,58
2011-04-10,58
2011-04-11,59
2011-04-12,59
2011-04-13,59
2011-04-14,59
2011-04-15,59
2011-04-16,59
2011-04-17,59
2011-04-18,59
2011-04-19,59
2011-04-20,59
2011-04-21,60
2011-04-22,60
2011-04-23,60
2011-04-24,60
2011-04-25,60
2011-04-26,60
2011-04-27,60
2011-04-28,60
2011-04-29,60
2011-04-30,60
2011-05-01,61
2011-05-02,61
2011-05-03,61
2011-05-04,61
2011-05-05,61
2011-05-06,61
2011-05-07,61
2011-05-08,61
2011-05-09,62
2011-05-10,62
2011-05-11,62
2011-05-12,62
2011-05-13,62
2011-05-14,62
2011-05-15,62
2011-05-16,62
2011-05-17,63
2011-05-18,63
2011-05-19,63
2011-05-20,63
2011-05-21,63
2011-05-22,63
2011-05-23,63
2011-05-24,63
2011-05-25,64
2011-05-26,64
2011-05-27,64
2011-05-28,64
2011-05-29,64
2011-05-30,64
2011-05-31,64
2011-06-01,65
2011-06-02,65
2011-06-03,65
2011-06-04,65
2011-06-05,66
2011-06-06,66
2011-06-07,66
2011-06-08,67
2011-06-09,67
2011-06-10,67
2011-06-11,68
2011-06-12,68
2011-06-13,68
2011-06-14,68
2011-06-15,69
2011-06-16,69
2011-06-17,69
2011-06-18,70
2011-06-19,70
2011-06-20,70
2011-06-21,71
2011-06-22,71
2011-06-23,71
2011-06-24,71
2011-06-25,72
2011-06-26,72
2011-06-27,72
2011-06-28,73
2011-06-29,73
2011-06-30,73
2011-07-01,74
2011-07-02,74
2011-07-03,74
2011-07-04,74
2011-07-05,74
2011-07-06,74
2011-07-07,74
2011-07-08,74
2011-07-09,74
2011-07-10,74
2011-07-11,74
2011-07-12,74
2011-07-13,74
2011-07-14,74
2011-07-15,74
2011-07-16,74
2011-07-17,74
2011-07-18,74
2011-07-19,74
2011-07-20,74
2011-07-21,74
2011-07-22,74
2011-07-23,74
2011-07-24,74
2011-07-25,74
2011-07-26,74
2011-07-27,74
2011-07-28,74
2011-07-29,74
2011-07-30,74
2011-07-31,74
2011-08-01,75
2011-08-02,75
2011-08-03,75
2011-08-04,75
2011-08-05,75
2011-08-06,75
2011-08-07,75
2011-08-08,75
2011-08-09,75
2011-08-10,75
2011-08-11,75
2011-08-12,75
2011-08-13,75
2011-08-14,75
2011-08-15,75
2011-08-16,75
2011-08-17,75
2011-08-18,75
2011-08-19,75
2011-08-20,75
2011-08-21,75
2011-08-22,75
2011-08-23,75
2011-08-24,75
2011-08-25,75
2011-08-26,75
2011-08-27,75
2011-08-28,75
2011-08-29,75
2011-08-30,75
2011-08-31,75
2011-09-01,76
2011-09-02,76
2011-09-03,77
2011-09-04,78
2011-09-05,79
2011-09-06,80
2011-09-07,80
2011-09-08,81
2011-09-09,82
2011-09-10,83
2011-09-11,84
2011-09-12,84
2011-09-13,85
2011-09-14,86
2011-09-15,87
2011-09-16,88
2011-09-17,88
2011-09-18,89
2011-09-19,90
2011-09-20,91
2011-09-21,92
2011-09-22,92
2011-09-23,93
2011-09-24,94
2011-09-25,95
2011-09-26,96
2011-09-27,96
2011-09-28,97
2011-09-29,98
2011-09-30,99
2011-10-01,100
2011-10-02,99
2011-10-03,98
2011-10-04,97
2011-10-05,96
2011-10-06,95
2011-10-07,94
2011-10-08,93
2011-10-09,93
2011-10-10,92
2011-10-11,91
2011-10-12,90
2011-10-13,89
2011-10-14,88
2011-10-15,87
2011-10-16,86
2011-10-17,86
2011-10-18,85
2011-10-19,84
2011-10-20,83
2011-10-21,82
2011-10-22,81
2011-10-23,80
2011-10-24,79
2011-10-25,79
2011-10-26,78
2011-10-27,77
2011-10-28,76
2011-10-29,75
2011-10-30,74
2011-10-31,73
2011-11-01,73
2011-11-02,72
2011-11-03,72
2011-11-04,72
2011-11-05,71
2011-11-06,71
2011-11-07,71
2011-11-08,70
2011-11-09,70
2011-11-10,70
2011-11-11,69
2011-11-12,69
2011-11-13,69
2011-11-14,68
2011-11-15,68
2011-11-16,68
