Date,Insight Management
2009-07-05,70
2009-07-06,70
2009-07-07,70
2009-07-08,70
2009-07-09,70
2009-07-10,70
2009-07-11,70
2009-07-12,72
2009-07-13,74
2009-07-14,76
2009-07-15,79
2009-07-16,81
2009-07-17,83
2009-07-18,86
2009-07-19,83
2009-07-20,80
2009-07-21,77
2009-07-22,74
2009-07-23,71
2009-07-24,68
2009-07-25,65
2009-07-26,65
2009-07-27,65
2009-07-28,65
2009-07-29,65
2009-07-30,65
2009-07-31,65
2009-08-01,65
2009-08-02,68
2009-08-03,71
2009-08-04,74
2009-08-05,77
2009-08-06,81
2009-08-07,84
2009-08-08,87
2009-08-09,86
2009-08-10,85
2009-08-11,84
2009-08-12,83
2009-08-13,82
2009-08-14,81
2009-08-15,81
2009-08-16,77
2009-08-17,73
2009-08-18,69
2009-08-19,65
2009-08-20,61
2009-08-21,57
2009-08-22,54
2009-08-23,57
2009-08-24,60
2009-08-25,64
2009-08-26,67
2009-08-27,70
2009-08-28,73
2009-08-29,77
2009-08-30,74
2009-08-31,72
2009-09-01,69
2009-09-02,67
2009-09-03,64
2009-09-04,62
2009-09-05,60
2009-09-06,60
2009-09-07,60
2009-09-08,60
2009-09-09,60
2009-09-10,60
2009-09-11,60
2009-09-12,60
2009-09-13,61
2009-09-14,62
2009-09-15,63
2009-09-16,64
2009-09-17,65
2009-09-18,66
2009-09-19,68
2009-09-20,68
2009-09-21,70
2009-09-22,70
2009-09-23,71
2009-09-24,72
2009-09-25,73
2009-09-26,76
2009-09-27,69
2009-10-04,73
2009-10-05,74
2009-10-06,74
2009-10-07,75
2009-10-08,75
2009-10-09,76
2009-10-10,77
2009-10-11,80
2009-10-12,83
2009-10-13,86
2009-10-14,90
2009-10-15,93
2009-10-16,96
2009-10-17,100
2009-10-18,97
2009-10-19,96
2009-10-20,93
2009-10-21,91
2009-10-22,89
2009-10-23,86
2009-10-24,84
2009-10-25,79
2009-10-26,73
2009-10-27,69
2009-10-28,64
2009-10-29,60
2009-10-30,55
2009-10-31,51
2009-11-01,53
2009-11-02,56
2009-11-03,58
2009-11-04,61
2009-11-05,63
2009-11-06,66
2009-11-07,69
2009-11-08,71
2009-11-09,74
2009-11-10,77
2009-11-11,79
2009-11-12,82
2009-11-13,85
2009-11-14,87
2009-11-15,85
2009-11-16,82
2009-11-17,80
2009-11-18,78
2009-11-19,76
2009-11-20,74
2009-11-21,73
2009-11-22,70
2009-11-23,68
2009-11-24,65
2009-11-25,63
2009-11-26,60
2009-11-27,58
2009-11-28,56
2009-11-29,57
2009-11-30,58
2009-12-01,59
2009-12-02,60
2009-12-03,61
2009-12-04,62
2009-12-05,63
2009-12-06,63
2009-12-07,64
2009-12-08,65
2009-12-09,65
2009-12-10,66
2009-12-11,67
2009-12-12,68
2009-12-13,68
2009-12-14,68
2009-12-15,68
2009-12-16,69
2009-12-17,69
2009-12-18,69
2009-12-19,69
2009-12-20,67
2009-12-21,66
2009-12-22,64
2009-12-23,62
2009-12-24,61
2009-12-25,59
2009-12-26,59
2009-12-27,54
2010-01-03,58
2010-01-04,59
2010-01-05,60
2010-01-06,60
2010-01-07,61
2010-01-08,62
2010-01-09,63
2010-01-10,65
2010-01-11,68
2010-01-12,71
2010-01-13,73
2010-01-14,76
2010-01-15,79
2010-01-16,82
2010-01-17,80
2010-01-18,78
2010-01-19,76
2010-01-20,74
2010-01-21,72
2010-01-22,70
2010-01-23,69
2010-01-24,66
2010-01-25,62
2010-01-26,60
2010-01-27,57
2010-01-28,55
2010-01-29,52
2010-01-30,50
2010-01-31,50
2010-02-01,50
2010-02-02,50
2010-02-03,50
2010-02-04,50
2010-02-05,50
2010-02-06,50
2010-02-07,56
2010-02-08,62
2010-02-09,68
2010-02-10,74
2010-02-11,81
2010-02-12,87
2010-02-13,93
2010-02-14,87
2010-02-15,81
2010-02-16,75
2010-02-17,69
2010-02-18,63
2010-02-19,57
2010-02-20,51
2010-02-21,51
2010-02-22,51
2010-02-23,52
2010-02-24,52
2010-02-25,52
2010-02-26,53
2010-02-27,53
2010-02-28,51
2010-03-01,49
2010-03-02,48
2010-03-03,46
2010-03-04,45
2010-03-05,43
2010-03-06,42
2010-03-07,47
2010-03-08,52
2010-03-09,58
2010-03-10,63
2010-03-11,68
2010-03-12,74
2010-03-13,79
2010-03-14,78
2010-03-15,76
2010-03-16,75
2010-03-17,74
2010-03-18,73
2010-03-19,72
2010-03-20,71
2010-03-21,72
2010-03-22,75
2010-03-23,76
2010-03-24,78
2010-03-25,80
2010-03-26,83
2010-03-27,87
2010-03-28,75
2010-04-04,52
2010-04-05,52
2010-04-06,52
2010-04-07,52
2010-04-08,52
2010-04-09,52
2010-04-10,52
2010-04-11,50
2010-04-12,49
2010-04-13,47
2010-04-14,46
2010-04-15,44
2010-04-16,43
2010-04-17,42
2010-04-18,47
2010-04-19,53
2010-04-20,59
2010-04-21,65
2010-04-22,70
2010-04-23,76
2010-04-24,82
2010-04-25,78
2010-04-26,75
2010-04-27,72
2010-04-28,68
2010-04-29,65
2010-04-30,62
2010-05-01,59
2010-05-02,63
2010-05-03,69
2010-05-04,74
2010-05-05,79
2010-05-06,84
2010-05-07,89
2010-05-08,94
2010-05-09,88
2010-05-10,81
2010-05-11,75
2010-05-12,69
2010-05-13,63
2010-05-14,57
2010-05-15,51
2010-05-16,51
2010-05-17,51
2010-05-18,51
2010-05-19,51
2010-05-20,51
2010-05-21,51
2010-05-22,52
2010-05-23,52
2010-05-24,52
2010-05-25,52
2010-05-26,52
2010-05-27,52
2010-05-28,52
2010-05-29,52
2010-05-30,52
2010-05-31,52
2010-06-01,52
2010-06-02,52
2010-06-03,52
2010-06-04,52
2010-06-05,52
2010-06-06,55
2010-06-07,59
2010-06-08,63
2010-06-09,66
2010-06-10,70
2010-06-11,73
2010-06-12,77
2010-06-13,74
2010-06-14,72
2010-06-15,69
2010-06-16,67
2010-06-17,64
2010-06-18,62
2010-06-19,60
2010-06-20,61
2010-06-21,62
2010-06-22,64
2010-06-23,65
2010-06-24,66
2010-06-25,68
2010-06-26,69
2010-06-27,68
2010-07-04,59
2010-07-05,59
2010-07-06,58
2010-07-07,58
2010-07-08,57
2010-07-09,57
2010-07-10,57
2010-07-11,57
2010-07-12,57
2010-07-13,57
2010-07-14,57
2010-07-15,57
2010-07-16,57
2010-07-17,57
2010-07-18,61
2010-07-19,67
2010-07-20,72
2010-07-21,77
2010-07-22,82
2010-07-23,87
2010-07-24,92
2010-07-25,89
2010-07-26,82
2010-07-27,79
2010-07-28,75
2010-07-29,72
2010-07-30,68
2010-07-31,65
2010-08-01,62
2010-08-02,60
2010-08-03,58
2010-08-04,55
2010-08-05,53
2010-08-06,51
2010-08-07,49
2010-08-08,48
2010-08-09,48
2010-08-10,48
2010-08-11,48
2010-08-12,48
2010-08-13,48
2010-08-14,48
2010-08-15,49
2010-08-16,51
2010-08-17,53
2010-08-18,55
2010-08-19,57
2010-08-20,59
2010-08-21,61
2010-08-22,64
2010-08-23,68
2010-08-24,71
2010-08-25,75
2010-08-26,78
2010-08-27,82
2010-08-28,85
2010-08-29,79
2010-08-30,72
2010-08-31,66
2010-09-01,60
2010-09-02,54
2010-09-03,48
2010-09-04,42
2010-09-05,43
2010-09-06,44
2010-09-07,45
2010-09-08,46
2010-09-09,48
2010-09-10,49
2010-09-11,50
2010-09-12,51
2010-09-13,51
2010-09-14,52
2010-09-15,53
2010-09-16,54
2010-09-17,55
2010-09-18,56
2010-09-19,57
2010-09-20,58
2010-09-21,59
2010-09-22,60
2010-09-23,61
2010-09-24,62
2010-09-25,63
2010-09-26,62
2010-10-03,58
2010-10-04,63
2010-10-05,67
2010-10-06,72
2010-10-07,77
2010-10-08,81
2010-10-09,86
2010-10-10,85
2010-10-11,84
2010-10-12,83
2010-10-13,82
2010-10-14,81
2010-10-15,80
2010-10-16,80
2010-10-17,77
2010-10-18,75
2010-10-19,73
2010-10-20,70
2010-10-21,68
2010-10-22,66
2010-10-23,64
2010-10-24,64
2010-10-25,66
2010-10-26,67
2010-10-27,68
2010-10-28,69
2010-10-29,70
2010-10-30,71
2010-10-31,69
2010-11-01,66
2010-11-02,64
2010-11-03,62
2010-11-04,60
2010-11-05,58
2010-11-06,56
2010-11-07,54
2010-11-08,52
2010-11-09,51
2010-11-10,49
2010-11-11,48
2010-11-12,46
2010-11-13,45
2010-11-14,47
2010-11-15,49
2010-11-16,51
2010-11-17,53
2010-11-18,55
2010-11-19,57
2010-11-20,59
2010-11-21,57
2010-11-22,55
2010-11-23,53
2010-11-24,51
2010-11-25,49
2010-11-26,47
2010-11-27,45
2010-11-28,44
2010-11-29,44
2010-11-30,44
2010-12-01,44
2010-12-02,44
2010-12-03,44
2010-12-04,44
2010-12-05,45
2010-12-06,47
2010-12-07,48
2010-12-08,50
2010-12-09,51
2010-12-10,53
2010-12-11,55
2010-12-12,54
2010-12-13,54
2010-12-14,53
2010-12-15,53
2010-12-16,52
2010-12-17,51
2010-12-18,51
2010-12-19,50
2010-12-20,49
2010-12-21,48
2010-12-22,47
2010-12-23,46
2010-12-24,46
2010-12-25,46
2010-12-26,42
2011-01-02,43
2011-01-03,44
2011-01-04,45
2011-01-05,46
2011-01-06,46
2011-01-07,47
2011-01-08,48
2011-01-09,49
2011-01-10,50
2011-01-11,52
2011-01-12,53
2011-01-13,55
2011-01-14,56
2011-01-15,58
2011-01-16,54
2011-01-17,51
2011-01-18,48
2011-01-19,44
2011-01-20,41
2011-01-21,38
2011-01-22,35
2011-01-23,41
2011-01-24,47
2011-01-25,53
2011-01-26,59
2011-01-27,65
2011-01-28,71
2011-01-29,77
2011-01-30,76
2011-01-31,75
2011-02-01,74
2011-02-02,73
2011-02-03,72
2011-02-04,71
2011-02-05,70
2011-02-06,71
2011-02-07,73
2011-02-08,75
2011-02-09,77
2011-02-10,79
2011-02-11,80
2011-02-12,82
2011-02-13,81
2011-02-14,80
2011-02-15,79
2011-02-16,78
2011-02-17,77
2011-02-18,76
2011-02-19,75
2011-02-20,72
2011-02-21,67
2011-02-22,63
2011-02-23,60
2011-02-24,56
2011-02-25,52
2011-02-26,49
2011-02-27,50
2011-02-28,53
2011-03-01,55
2011-03-02,57
2011-03-03,59
2011-03-04,61
2011-03-05,63
2011-03-06,59
2011-03-07,54
2011-03-08,51
2011-03-09,47
2011-03-10,44
2011-03-11,40
2011-03-12,37
2011-03-13,36
2011-03-14,35
2011-03-15,34
2011-03-16,33
2011-03-17,32
2011-03-18,31
2011-03-19,31
2011-03-20,40
2011-03-21,51
2011-03-22,61
2011-03-23,71
2011-03-24,81
2011-03-25,91
2011-03-26,101
2011-03-27,95
2011-04-03,52
2011-04-04,56
2011-04-05,59
2011-04-06,61
2011-04-07,64
2011-04-08,67
2011-04-09,70
2011-04-10,65
2011-04-11,58
2011-04-12,53
2011-04-13,47
2011-04-14,42
2011-04-15,37
2011-04-16,32
2011-04-17,35
2011-04-18,38
2011-04-19,41
2011-04-20,44
2011-04-21,47
2011-04-22,50
2011-04-23,53
2011-04-24,53
2011-04-25,53
2011-04-26,54
2011-04-27,54
2011-04-28,54
2011-04-29,54
2011-04-30,55
2011-05-01,54
2011-05-02,53
2011-05-03,53
2011-05-04,52
2011-05-05,51
2011-05-06,50
2011-05-07,50
2011-05-08,47
2011-05-09,45
2011-05-10,43
2011-05-11,40
2011-05-12,38
2011-05-13,36
2011-05-14,34
2011-05-15,34
2011-05-16,35
2011-05-17,35
2011-05-18,36
2011-05-19,36
2011-05-20,36
2011-05-21,37
2011-05-22,39
2011-05-23,41
2011-05-24,43
2011-05-25,46
2011-05-26,48
2011-05-27,50
2011-05-28,53
2011-05-29,55
2011-05-30,57
2011-05-31,59
2011-06-01,61
2011-06-02,63
2011-06-03,65
2011-06-04,67
2011-06-05,66
2011-06-06,64
2011-06-07,63
2011-06-08,62
2011-06-09,60
2011-06-10,59
2011-06-11,58
2011-06-12,58
2011-06-13,59
2011-06-14,59
2011-06-15,60
2011-06-16,60
2011-06-17,61
2011-06-18,62
2011-06-19,58
2011-06-20,55
2011-06-21,52
2011-06-22,49
2011-06-23,46
2011-06-24,43
2011-06-25,40
2011-06-26,42
