Date,Violin Memory
2013-02-01,47
2013-02-02,46
2013-02-03,45
2013-02-04,45
2013-02-05,44
2013-02-06,43
2013-02-07,43
2013-02-08,42
2013-02-09,42
2013-02-10,41
2013-02-11,40
2013-02-12,40
2013-02-13,39
2013-02-14,39
2013-02-15,38
2013-02-16,37
2013-02-17,37
2013-02-18,36
2013-02-19,36
2013-02-20,35
2013-02-21,34
2013-02-22,34
2013-02-23,33
2013-02-24,33
2013-02-25,32
2013-02-26,31
2013-02-27,31
2013-02-28,30
2013-03-01,30
2013-03-02,30
2013-03-03,30
2013-03-04,30
2013-03-05,30
2013-03-06,30
2013-03-07,30
2013-03-08,30
2013-03-09,30
2013-03-10,30
2013-03-11,30
2013-03-12,30
2013-03-13,30
2013-03-14,30
2013-03-15,30
2013-03-16,30
2013-03-17,30
2013-03-18,30
2013-03-19,30
2013-03-20,30
2013-03-21,30
2013-03-22,30
2013-03-23,30
2013-03-24,30
2013-03-25,30
2013-03-26,30
2013-03-27,30
2013-03-28,30
2013-03-29,30
2013-03-30,30
2013-03-31,30
2013-04-01,30
2013-04-02,30
2013-04-03,30
2013-04-04,30
2013-04-05,30
2013-04-06,30
2013-04-07,30
2013-04-08,30
2013-04-09,30
2013-04-10,30
2013-04-11,30
2013-04-12,30
2013-04-13,30
2013-04-14,30
2013-04-15,30
2013-04-16,30
2013-04-17,30
2013-04-18,30
2013-04-19,30
2013-04-20,30
2013-04-21,30
2013-04-22,30
2013-04-23,30
2013-04-24,30
2013-04-25,30
2013-04-26,30
2013-04-27,30
2013-04-28,30
2013-04-29,30
2013-04-30,30
2013-05-01,30
2013-05-02,30
2013-05-03,30
2013-05-04,30
2013-05-05,30
2013-05-06,30
2013-05-07,30
2013-05-08,31
2013-05-09,31
2013-05-10,31
2013-05-11,31
2013-05-12,31
2013-05-13,31
2013-05-14,32
2013-05-15,32
2013-05-16,32
2013-05-17,32
2013-05-18,32
2013-05-19,32
2013-05-20,33
2013-05-21,33
2013-05-22,33
2013-05-23,33
2013-05-24,33
2013-05-25,33
2013-05-26,34
2013-05-27,34
2013-05-28,34
2013-05-29,34
2013-05-30,34
2013-05-31,34
2013-06-01,35
2013-06-02,34
2013-06-03,34
2013-06-04,34
2013-06-05,34
2013-06-06,34
2013-06-07,34
2013-06-08,33
2013-06-09,33
2013-06-10,33
2013-06-11,33
2013-06-12,33
2013-06-13,33
2013-06-14,32
2013-06-15,32
2013-06-16,32
2013-06-17,32
2013-06-18,32
2013-06-19,32
2013-06-20,31
2013-06-21,31
2013-06-22,31
2013-06-23,31
2013-06-24,31
2013-06-25,31
2013-06-26,30
2013-06-27,30
2013-06-28,30
2013-06-29,30
2013-06-30,30
2013-07-01,30
2013-07-02,30
2013-07-03,30
2013-07-04,30
2013-07-05,30
2013-07-06,30
2013-07-07,30
2013-07-08,30
2013-07-09,30
2013-07-10,30
2013-07-11,30
2013-07-12,30
2013-07-13,30
2013-07-14,30
2013-07-15,30
2013-07-16,30
2013-07-17,30
2013-07-18,30
2013-07-19,30
2013-07-20,30
2013-07-21,30
2013-07-22,30
2013-07-23,30
2013-07-24,30
2013-07-25,30
2013-07-26,30
2013-07-27,30
2013-07-28,30
2013-07-29,30
2013-07-30,30
2013-07-31,30
2013-08-01,30
2013-08-02,32
2013-08-03,34
2013-08-04,36
2013-08-05,39
2013-08-06,41
2013-08-07,43
2013-08-08,45
2013-08-09,48
2013-08-10,50
2013-08-11,52
2013-08-12,54
2013-08-13,57
2013-08-14,59
2013-08-15,61
2013-08-16,63
2013-08-17,66
2013-08-18,68
2013-08-19,70
2013-08-20,72
2013-08-21,75
2013-08-22,77
2013-08-23,79
2013-08-24,81
2013-08-25,84
2013-08-26,86
2013-08-27,88
2013-08-28,90
2013-08-29,93
2013-08-30,95
2013-08-31,97
2013-09-01,100
2013-09-02,99
2013-09-03,98
2013-09-04,97
2013-09-05,96
2013-09-06,95
2013-09-07,94
2013-09-08,93
2013-09-09,92
2013-09-10,91
2013-09-11,90
2013-09-12,89
2013-09-13,88
2013-09-14,87
2013-09-15,86
2013-09-16,85
2013-09-17,84
2013-09-18,83
2013-09-19,82
2013-09-20,81
2013-09-21,80
2013-09-22,79
2013-09-23,78
2013-09-24,77
2013-09-25,76
2013-09-26,75
2013-09-27,74
2013-09-28,73
2013-09-29,72
2013-09-30,71
2013-10-01,70
2013-10-02,68
2013-10-03,67
2013-10-04,66
2013-10-05,64
2013-10-06,63
2013-10-07,62
2013-10-08,60
2013-10-09,59
2013-10-10,58
2013-10-11,56
2013-10-12,55
2013-10-13,54
2013-10-14,52
2013-10-15,51
2013-10-16,50
2013-10-17,48
2013-10-18,47
2013-10-19,46
2013-10-20,44
2013-10-21,43
2013-10-22,42
2013-10-23,40
2013-10-24,39
2013-10-25,38
2013-10-26,36
2013-10-27,35
2013-10-28,34
2013-10-29,32
2013-10-30,31
2013-10-31,30
2013-11-01,29
2013-11-02,29
2013-11-03,30
2013-11-04,31
2013-11-05,31
2013-11-06,32
2013-11-07,33
2013-11-08,34
2013-11-09,34
2013-11-10,35
2013-11-11,36
2013-11-12,37
2013-11-13,37
2013-11-14,38
2013-11-15,39
2013-11-16,40
2013-11-17,40
2013-11-18,41
2013-11-19,42
2013-11-20,42
2013-11-21,43
2013-11-22,44
2013-11-23,45
2013-11-24,45
2013-11-25,46
2013-11-26,47
2013-11-27,48
2013-11-28,48
2013-11-29,49
2013-11-30,50
2013-12-01,51
2013-12-02,50
2013-12-03,49
2013-12-04,49
2013-12-05,48
2013-12-06,48
2013-12-07,47
2013-12-08,47
2013-12-09,46
2013-12-10,46
2013-12-11,45
2013-12-12,45
2013-12-13,44
2013-12-14,44
2013-12-15,43
2013-12-16,43
2013-12-17,42
2013-12-18,42
2013-12-19,41
2013-12-20,41
2013-12-21,40
2013-12-22,40
2013-12-23,39
2013-12-24,39
2013-12-25,38
2013-12-26,38
2013-12-27,37
2013-12-28,37
2013-12-29,36
2013-12-30,36
2013-12-31,35
2014-01-01,35
2014-01-02,35
2014-01-03,35
2014-01-04,35
2014-01-05,35
2014-01-06,35
2014-01-07,35
2014-01-08,35
2014-01-09,35
2014-01-10,35
2014-01-11,35
2014-01-12,35
2014-01-13,35
2014-01-14,35
2014-01-15,35
2014-01-16,35
2014-01-17,35
2014-01-18,35
2014-01-19,35
2014-01-20,35
2014-01-21,35
2014-01-22,35
2014-01-23,35
2014-01-24,35
2014-01-25,35
2014-01-26,35
2014-01-27,35
2014-01-28,35
2014-01-29,35
2014-01-30,35
2014-01-31,35
2014-02-01,35
2014-02-02,35
2014-02-03,35
2014-02-04,35
2014-02-05,35
2014-02-06,35
2014-02-07,35
2014-02-08,36
2014-02-09,36
2014-02-10,36
2014-02-11,36
2014-02-12,36
2014-02-13,36
2014-02-14,36
2014-02-15,37
2014-02-16,37
2014-02-17,37
2014-02-18,37
2014-02-19,37
2014-02-20,37
2014-02-21,37
2014-02-22,38
2014-02-23,38
2014-02-24,38
2014-02-25,38
2014-02-26,38
2014-02-27,38
2014-02-28,38
2014-03-01,39
