Date,AMC Entertainment
2013-02-09,0
2013-02-10,0
2013-02-11,0
2013-02-12,0
2013-02-13,0
2013-02-14,0
2013-02-15,0
2013-02-16,0
2013-02-17,13
2013-02-18,26
2013-02-19,39
2013-02-20,52
2013-02-21,65
2013-02-22,78
2013-02-23,92
2013-02-24,88
2013-02-25,84
2013-02-26,80
2013-02-27,76
2013-02-28,72
2013-03-01,68
2013-03-02,65
2013-03-03,65
2013-03-04,65
2013-03-05,65
2013-03-06,65
2013-03-07,65
2013-03-08,65
2013-03-09,65
2013-03-10,65
2013-03-11,65
2013-03-12,65
2013-03-13,65
2013-03-14,65
2013-03-15,65
2013-03-16,65
2013-03-17,64
2013-03-18,63
2013-03-19,62
2013-03-20,61
2013-03-21,60
2013-03-22,59
2013-03-23,59
2013-03-24,61
2013-03-25,64
2013-03-26,67
2013-03-27,70
2013-03-28,73
2013-03-29,76
2013-03-30,79
2013-03-31,81
2013-04-01,84
2013-04-02,87
2013-04-03,90
2013-04-04,93
2013-04-05,96
2013-04-06,99
2013-04-07,95
2013-04-08,92
2013-04-09,88
2013-04-10,85
2013-04-11,81
2013-04-12,78
2013-04-13,75
2013-04-14,72
2013-04-15,69
2013-04-16,66
2013-04-17,63
2013-04-18,60
2013-04-19,57
2013-04-20,54
2013-04-21,54
2013-04-22,54
2013-04-23,54
2013-04-24,54
2013-04-25,54
2013-04-26,54
2013-04-27,54
2013-04-28,54
2013-04-29,55
2013-04-30,55
2013-05-05,58
2013-05-06,58
2013-05-07,59
2013-05-08,59
2013-05-09,60
2013-05-10,60
2013-05-11,61
2013-05-12,61
2013-05-13,61
2013-05-14,62
2013-05-15,62
2013-05-16,63
2013-05-17,63
2013-05-18,64
2013-05-19,64
2013-05-20,64
2013-05-21,65
2013-05-22,65
2013-05-23,66
2013-05-24,66
2013-05-25,67
2013-05-26,67
2013-05-27,67
2013-05-28,68
2013-05-29,68
2013-05-30,69
2013-05-31,69
2013-06-01,70
2013-06-02,69
2013-06-03,69
2013-06-04,68
2013-06-05,68
2013-06-06,67
2013-06-07,67
2013-06-08,67
2013-06-09,67
2013-06-10,67
2013-06-11,67
2013-06-12,67
2013-06-13,67
2013-06-14,67
2013-06-15,67
2013-06-16,67
2013-06-17,67
2013-06-18,67
2013-06-19,67
2013-06-20,67
2013-06-21,67
2013-06-22,67
2013-06-23,67
2013-06-24,67
2013-06-25,67
2013-06-26,67
2013-06-27,67
2013-06-28,67
2013-06-29,67
2013-06-30,67
2013-07-01,67
2013-07-02,67
2013-07-03,67
2013-07-04,67
2013-07-05,67
2013-07-06,67
2013-07-07,66
2013-07-08,65
2013-07-09,64
2013-07-10,63
2013-07-11,62
2013-07-12,61
2013-07-13,61
2013-07-14,64
2013-07-15,68
2013-07-16,71
2013-07-17,74
2013-07-18,78
2013-07-19,81
2013-07-20,85
2013-07-21,84
2013-07-22,82
2013-07-23,81
2013-07-24,80
2013-07-25,79
2013-07-26,78
2013-07-27,77
2013-07-28,77
2013-08-04,73
2013-08-05,70
2013-08-06,67
2013-08-07,64
2013-08-08,61
2013-08-09,58
2013-08-10,55
2013-08-11,55
2013-08-12,57
2013-08-13,57
2013-08-14,58
2013-08-15,59
2013-08-16,60
2013-08-17,63
2013-08-18,57
2013-08-19,57
2013-08-20,57
2013-08-21,57
2013-08-22,57
2013-08-23,57
2013-08-24,58
2013-08-25,58
2013-08-26,58
2013-08-27,58
2013-08-28,58
2013-08-29,58
2013-08-30,58
2013-08-31,59
2013-09-01,58
2013-09-02,57
2013-09-03,56
2013-09-04,55
2013-09-05,54
2013-09-06,53
2013-09-07,52
2013-09-08,52
2013-09-09,52
2013-09-10,52
2013-09-11,53
2013-09-12,53
2013-09-13,53
2013-09-14,54
2013-09-15,54
2013-09-16,54
2013-09-17,54
2013-09-18,55
2013-09-19,55
2013-09-20,55
2013-09-21,56
2013-09-22,48
2013-09-23,40
2013-09-24,32
2013-09-25,24
2013-09-26,16
2013-09-27,8
2013-09-28,0
2013-09-29,0
2013-09-30,0
2013-10-01,0
2013-10-02,0
2013-10-03,0
2013-10-04,0
2013-10-05,0
2013-10-06,0
2013-10-07,0
2013-10-08,0
2013-10-09,0
2013-10-10,0
2013-10-11,0
2013-10-12,0
2013-10-13,0
2013-10-14,0
2013-10-15,0
2013-10-16,0
2013-10-17,0
2013-10-18,0
2013-10-19,0
2013-10-20,0
2013-10-21,0
2013-10-22,0
2013-10-23,0
2013-10-24,0
2013-10-25,0
2013-10-26,0
2013-10-27,8
2013-11-03,59
2013-11-04,57
2013-11-05,56
2013-11-06,54
2013-11-07,53
2013-11-08,51
2013-11-09,50
2013-11-10,50
2013-11-11,51
2013-11-12,52
2013-11-13,52
2013-11-14,53
2013-11-15,54
2013-11-16,55
2013-11-17,55
2013-11-18,56
2013-11-19,56
2013-11-20,57
2013-11-21,57
2013-11-22,58
2013-11-23,59
2013-11-24,62
2013-11-25,65
2013-11-26,68
2013-11-27,71
2013-11-28,74
2013-11-29,78
2013-11-30,81
2013-12-01,77
2013-12-02,73
2013-12-03,69
2013-12-04,65
2013-12-05,61
2013-12-06,57
2013-12-07,54
2013-12-08,54
2013-12-09,54
2013-12-10,54
2013-12-11,54
2013-12-12,54
2013-12-13,54
2013-12-14,55
2013-12-15,55
2013-12-16,55
2013-12-17,55
2013-12-18,56
2013-12-19,56
2013-12-20,56
2013-12-21,57
2013-12-22,63
2013-12-23,69
2013-12-24,76
2013-12-25,82
2013-12-26,88
2013-12-27,95
2013-12-28,101
2013-12-29,97
2013-12-30,91
2013-12-31,87
2014-01-01,82
2014-01-02,78
2014-01-03,74
2014-01-04,70
2014-01-05,69
2014-01-06,69
2014-01-07,69
2014-01-08,68
2014-01-09,68
2014-01-10,68
2014-01-11,68
2014-01-12,65
2014-01-13,63
2014-01-14,61
2014-01-15,59
2014-01-16,57
2014-01-17,55
2014-01-18,53
2014-01-19,54
2014-01-20,58
2014-01-21,60
2014-01-22,62
2014-01-23,65
2014-01-24,68
2014-01-25,73
2014-01-26,63
2014-02-02,47
2014-02-03,60
2014-02-04,48
2014-02-05,48
2014-02-06,49
2014-02-07,49
2014-02-08,50
2014-02-09,52
2014-02-10,54
2014-02-11,56
2014-02-12,59
2014-02-13,61
2014-02-14,63
2014-02-15,66
2014-02-16,67
2014-02-17,68
2014-02-18,69
2014-02-19,71
2014-02-20,72
2014-02-21,73
2014-02-22,75
2014-02-23,73
2014-02-24,71
2014-02-25,69
2014-02-26,67
2014-02-27,65
2014-02-28,63
2014-03-01,61
2014-03-02,59
2014-03-03,58
2014-03-04,57
2014-03-05,55
2014-03-06,54
2014-03-07,53
2014-03-08,52
2014-03-09,52
2014-03-10,52
2014-03-11,52
2014-03-12,52
2014-03-13,52
2014-03-14,52
2014-03-15,52
2014-03-16,54
2014-03-17,55
2014-03-18,57
2014-03-19,58
2014-03-20,60
2014-03-21,62
2014-03-22,64
2014-03-23,65
2014-03-24,67
2014-03-25,69
2014-03-26,70
2014-03-27,72
2014-03-28,73
2014-03-29,75
2014-03-30,64
