Date,Biotrove
2007-10-01,0
2007-10-02,0
2007-10-03,0
2007-10-04,0
2007-10-05,0
2007-10-06,0
2007-10-07,0
2007-10-08,0
2007-10-09,0
2007-10-10,0
2007-10-11,0
2007-10-12,0
2007-10-13,0
2007-10-14,0
2007-10-15,0
2007-10-16,0
2007-10-17,0
2007-10-18,0
2007-10-19,0
2007-10-20,0
2007-10-21,0
2007-10-22,0
2007-10-23,0
2007-10-24,0
2007-10-25,0
2007-10-26,0
2007-10-27,0
2007-10-28,0
2007-10-29,0
2007-10-30,0
2007-10-31,0
2007-11-01,0
2007-11-02,0
2007-11-03,0
2007-11-04,0
2007-11-05,0
2007-11-06,0
2007-11-07,0
2007-11-08,0
2007-11-09,0
2007-11-10,0
2007-11-11,0
2007-11-12,0
2007-11-13,0
2007-11-14,0
2007-11-15,0
2007-11-16,0
2007-11-17,0
2007-11-18,0
2007-11-19,0
2007-11-20,0
2007-11-21,0
2007-11-22,0
2007-11-23,0
2007-11-24,0
2007-11-25,0
2007-11-26,0
2007-11-27,0
2007-11-28,0
2007-11-29,0
2007-11-30,0
2007-12-01,0
2007-12-02,2
2007-12-03,4
2007-12-04,6
2007-12-05,8
2007-12-06,10
2007-12-07,12
2007-12-08,14
2007-12-09,16
2007-12-10,18
2007-12-11,20
2007-12-12,22
2007-12-13,24
2007-12-14,26
2007-12-15,28
2007-12-16,30
2007-12-17,33
2007-12-18,35
2007-12-19,37
2007-12-20,39
2007-12-21,41
2007-12-22,43
2007-12-23,45
2007-12-24,47
2007-12-25,49
2007-12-26,51
2007-12-27,53
2007-12-28,55
2007-12-29,57
2007-12-30,59
2007-12-31,61
2008-01-01,64
2008-01-02,64
2008-01-03,64
2008-01-04,65
2008-01-05,65
2008-01-06,65
2008-01-07,66
2008-01-08,66
2008-01-09,67
2008-01-10,67
2008-01-11,67
2008-01-12,68
2008-01-13,68
2008-01-14,69
2008-01-15,69
2008-01-16,69
2008-01-17,70
2008-01-18,70
2008-01-19,70
2008-01-20,71
2008-01-21,71
2008-01-22,72
2008-01-23,72
2008-01-24,72
2008-01-25,73
2008-01-26,73
2008-01-27,74
2008-01-28,74
2008-01-29,74
2008-01-30,75
2008-01-31,75
2008-02-01,76
2008-02-02,76
2008-02-03,76
2008-02-04,77
2008-02-05,77
2008-02-06,78
2008-02-07,78
2008-02-08,78
2008-02-09,79
2008-02-10,79
2008-02-11,80
2008-02-12,80
2008-02-13,80
2008-02-14,81
2008-02-15,81
2008-02-16,82
2008-02-17,82
2008-02-18,83
2008-02-19,83
2008-02-20,83
2008-02-21,84
2008-02-22,84
2008-02-23,85
2008-02-24,85
2008-02-25,85
2008-02-26,86
2008-02-27,86
2008-02-28,87
2008-02-29,87
2008-03-01,88
2008-03-02,88
2008-03-03,88
2008-03-04,89
2008-03-05,89
2008-03-06,89
2008-03-07,90
2008-03-08,90
2008-03-09,91
2008-03-10,91
2008-03-11,91
2008-03-12,92
2008-03-13,92
2008-03-14,93
2008-03-15,93
2008-03-16,93
2008-03-17,94
2008-03-18,94
2008-03-19,94
2008-03-20,95
2008-03-21,95
2008-03-22,96
2008-03-23,96
2008-03-24,96
2008-03-25,97
2008-03-26,97
2008-03-27,98
2008-03-28,98
2008-03-29,98
2008-03-30,99
2008-03-31,99
2008-04-01,100
2008-04-02,98
2008-04-03,96
2008-04-04,94
2008-04-05,92
2008-04-06,91
2008-04-07,89
2008-04-08,87
2008-04-09,85
2008-04-10,83
2008-04-11,82
2008-04-12,80
2008-04-13,78
2008-04-14,76
2008-04-15,74
2008-04-16,73
2008-04-17,71
2008-04-18,69
2008-04-19,67
2008-04-20,65
2008-04-21,64
2008-04-22,62
2008-04-23,60
2008-04-24,58
2008-04-25,56
2008-04-26,55
2008-04-27,53
2008-04-28,51
2008-04-29,49
2008-04-30,47
2008-05-01,46
2008-05-02,46
2008-05-03,46
2008-05-04,46
2008-05-05,46
2008-05-06,47
2008-05-07,47
2008-05-08,47
2008-05-09,47
2008-05-10,48
2008-05-11,48
2008-05-12,48
2008-05-13,48
2008-05-14,48
2008-05-15,49
2008-05-16,49
2008-05-17,49
2008-05-18,49
2008-05-19,50
2008-05-20,50
2008-05-21,50
2008-05-22,50
2008-05-23,50
2008-05-24,51
2008-05-25,51
2008-05-26,51
2008-05-27,51
2008-05-28,52
2008-05-29,52
2008-05-30,52
2008-05-31,52
2008-06-01,53
2008-06-02,53
2008-06-03,53
2008-06-04,53
2008-06-05,53
2008-06-06,54
2008-06-07,54
2008-06-08,54
2008-06-09,54
2008-06-10,55
2008-06-11,55
2008-06-12,55
2008-06-13,55
2008-06-14,56
2008-06-15,56
2008-06-16,56
2008-06-17,56
2008-06-18,56
2008-06-19,57
2008-06-20,57
2008-06-21,57
2008-06-22,57
2008-06-23,58
2008-06-24,58
2008-06-25,58
2008-06-26,58
2008-06-27,59
2008-06-28,59
2008-06-29,59
2008-06-30,59
2008-07-01,60
2008-07-02,59
2008-07-03,59
2008-07-04,59
2008-07-05,59
2008-07-06,59
2008-07-07,59
2008-07-08,59
2008-07-09,58
2008-07-10,58
2008-07-11,58
2008-07-12,58
2008-07-13,58
2008-07-14,58
2008-07-15,58
2008-07-16,58
2008-07-17,57
2008-07-18,57
2008-07-19,57
2008-07-20,57
2008-07-21,57
2008-07-22,57
2008-07-23,57
2008-07-24,57
2008-07-25,56
2008-07-26,56
2008-07-27,56
2008-07-28,56
2008-07-29,56
2008-07-30,56
2008-07-31,56
2008-08-01,56
2008-08-02,56
2008-08-03,56
2008-08-04,56
2008-08-05,56
2008-08-06,56
2008-08-07,56
2008-08-08,56
2008-08-09,56
2008-08-10,56
2008-08-11,56
2008-08-12,56
2008-08-13,56
2008-08-14,56
2008-08-15,56
2008-08-16,56
2008-08-17,56
2008-08-18,56
2008-08-19,56
2008-08-20,56
2008-08-21,56
2008-08-22,56
2008-08-23,56
2008-08-24,56
2008-08-25,56
2008-08-26,56
2008-08-27,56
2008-08-28,56
2008-08-29,56
2008-08-30,56
2008-08-31,56
2008-09-01,56
2008-09-02,54
2008-09-03,52
2008-09-04,50
2008-09-05,48
2008-09-06,46
2008-09-07,44
2008-09-08,42
2008-09-09,41
2008-09-10,39
2008-09-11,37
2008-09-12,35
2008-09-13,33
2008-09-14,31
2008-09-15,29
2008-09-16,28
2008-09-17,26
2008-09-18,24
2008-09-19,22
2008-09-20,20
2008-09-21,18
2008-09-22,16
2008-09-23,14
2008-09-24,13
2008-09-25,11
2008-09-26,9
2008-09-27,7
2008-09-28,5
2008-09-29,3
2008-09-30,1
2008-10-01,0
2008-10-02,0
2008-10-03,0
2008-10-04,0
2008-10-05,0
2008-10-06,0
2008-10-07,0
2008-10-08,0
2008-10-09,0
2008-10-10,0
2008-10-11,0
2008-10-12,0
2008-10-13,0
2008-10-14,0
2008-10-15,0
2008-10-16,0
2008-10-17,0
2008-10-18,0
2008-10-19,0
2008-10-20,0
2008-10-21,0
2008-10-22,0
2008-10-23,0
2008-10-24,0
2008-10-25,0
2008-10-26,0
2008-10-27,0
2008-10-28,0
2008-10-29,0
2008-10-30,0
2008-10-31,0
2008-11-01,0
2008-11-02,0
2008-11-03,0
2008-11-04,0
2008-11-05,0
2008-11-06,0
2008-11-07,0
2008-11-08,0
2008-11-09,0
2008-11-10,0
2008-11-11,0
2008-11-12,0
2008-11-13,0
2008-11-14,0
2008-11-15,0
2008-11-16,0
2008-11-17,0
2008-11-18,0
2008-11-19,0
2008-11-20,0
2008-11-21,0
2008-11-22,0
2008-11-23,0
2008-11-24,0
2008-11-25,0
2008-11-26,0
2008-11-27,0
2008-11-28,0
2008-11-29,0
2008-11-30,0
2008-12-01,0
2008-12-02,0
2008-12-03,0
2008-12-04,0
2008-12-05,0
2008-12-06,0
2008-12-07,0
2008-12-08,0
2008-12-09,0
2008-12-10,0
2008-12-11,0
2008-12-12,0
2008-12-13,0
2008-12-14,0
2008-12-15,0
2008-12-16,0
2008-12-17,0
2008-12-18,0
2008-12-19,0
2008-12-20,0
2008-12-21,0
2008-12-22,0
2008-12-23,0
2008-12-24,0
2008-12-25,0
2008-12-26,0
2008-12-27,0
2008-12-28,0
2008-12-29,0
2008-12-30,0
2008-12-31,0
2009-01-01,0
2009-01-02,0
2009-01-03,0
2009-01-04,0
2009-01-05,0
2009-01-06,0
2009-01-07,0
2009-01-08,0
2009-01-09,0
2009-01-10,0
2009-01-11,0
2009-01-12,0
2009-01-13,0
2009-01-14,0
2009-01-15,0
2009-01-16,0
2009-01-17,0
2009-01-18,0
2009-01-19,0
2009-01-20,0
2009-01-21,0
2009-01-22,0
