Date,Agios Pharmaceuticals
2012-12-01,0
2012-12-02,0
2012-12-03,0
2012-12-04,0
2012-12-05,0
2012-12-06,0
2012-12-07,0
2012-12-08,0
2012-12-09,0
2012-12-10,0
2012-12-11,0
2012-12-12,0
2012-12-13,0
2012-12-14,0
2012-12-15,0
2012-12-16,0
2012-12-17,0
2012-12-18,0
2012-12-19,0
2012-12-20,0
2012-12-21,0
2012-12-22,0
2012-12-23,0
2012-12-24,0
2012-12-25,0
2012-12-26,0
2012-12-27,0
2012-12-28,0
2012-12-29,0
2012-12-30,0
2012-12-31,0
2013-01-01,0
2013-01-02,1
2013-01-03,2
2013-01-04,3
2013-01-05,4
2013-01-06,5
2013-01-07,7
2013-01-08,8
2013-01-09,9
2013-01-10,10
2013-01-11,11
2013-01-12,13
2013-01-13,14
2013-01-14,15
2013-01-15,16
2013-01-16,17
2013-01-17,19
2013-01-18,20
2013-01-19,21
2013-01-20,22
2013-01-21,23
2013-01-22,25
2013-01-23,26
2013-01-24,27
2013-01-25,28
2013-01-26,29
2013-01-27,31
2013-01-28,32
2013-01-29,33
2013-01-30,34
2013-01-31,35
2013-02-01,37
2013-02-02,37
2013-02-03,37
2013-02-04,37
2013-02-05,37
2013-02-06,38
2013-02-07,38
2013-02-08,38
2013-02-09,38
2013-02-10,38
2013-02-11,39
2013-02-12,39
2013-02-13,39
2013-02-14,39
2013-02-15,40
2013-02-16,40
2013-02-17,40
2013-02-18,40
2013-02-19,40
2013-02-20,41
2013-02-21,41
2013-02-22,41
2013-02-23,41
2013-02-24,41
2013-02-25,42
2013-02-26,42
2013-02-27,42
2013-02-28,42
2013-03-01,43
2013-03-02,43
2013-03-03,43
2013-03-04,43
2013-03-05,43
2013-03-06,44
2013-03-07,44
2013-03-08,44
2013-03-09,44
2013-03-10,45
2013-03-11,45
2013-03-12,45
2013-03-13,45
2013-03-14,45
2013-03-15,46
2013-03-16,46
2013-03-17,46
2013-03-18,46
2013-03-19,47
2013-03-20,47
2013-03-21,47
2013-03-22,47
2013-03-23,47
2013-03-24,48
2013-03-25,48
2013-03-26,48
2013-03-27,48
2013-03-28,49
2013-03-29,49
2013-03-30,49
2013-03-31,49
2013-04-01,50
2013-04-02,50
2013-04-03,50
2013-04-04,50
2013-04-05,50
2013-04-06,51
2013-04-07,51
2013-04-08,51
2013-04-09,51
2013-04-10,51
2013-04-11,52
2013-04-12,52
2013-04-13,52
2013-04-14,52
2013-04-15,52
2013-04-16,53
2013-04-17,53
2013-04-18,53
2013-04-19,53
2013-04-20,53
2013-04-21,54
2013-04-22,54
2013-04-23,54
2013-04-24,54
2013-04-25,54
2013-04-26,55
2013-04-27,55
2013-04-28,55
2013-04-29,55
2013-04-30,55
2013-05-01,56
2013-05-02,56
2013-05-03,56
2013-05-04,56
2013-05-05,56
2013-05-06,57
2013-05-07,57
2013-05-08,57
2013-05-09,57
2013-05-10,58
2013-05-11,58
2013-05-12,58
2013-05-13,58
2013-05-14,58
2013-05-15,59
2013-05-16,59
2013-05-17,59
2013-05-18,59
2013-05-19,60
2013-05-20,60
2013-05-21,60
2013-05-22,60
2013-05-23,60
2013-05-24,61
2013-05-25,61
2013-05-26,61
2013-05-27,61
2013-05-28,62
2013-05-29,62
2013-05-30,62
2013-05-31,62
2013-06-01,63
2013-06-02,64
2013-06-03,65
2013-06-04,66
2013-06-05,67
2013-06-06,69
2013-06-07,70
2013-06-08,71
2013-06-09,72
2013-06-10,74
2013-06-11,75
2013-06-12,76
2013-06-13,77
2013-06-14,79
2013-06-15,80
2013-06-16,81
2013-06-17,82
2013-06-18,83
2013-06-19,85
2013-06-20,86
2013-06-21,87
2013-06-22,88
2013-06-23,90
2013-06-24,91
2013-06-25,92
2013-06-26,93
2013-06-27,95
2013-06-28,96
2013-06-29,97
2013-06-30,98
2013-07-01,100
2013-07-02,98
2013-07-03,97
2013-07-04,95
2013-07-05,94
2013-07-06,92
2013-07-07,91
2013-07-08,89
2013-07-09,88
2013-07-10,86
2013-07-11,85
2013-07-12,84
2013-07-13,82
