Date,Cempra
2011-04-01,0
2011-04-02,0
2011-04-03,0
2011-04-04,0
2011-04-05,0
2011-04-06,0
2011-04-07,0
2011-04-08,0
2011-04-09,0
2011-04-10,0
2011-04-11,0
2011-04-12,0
2011-04-13,0
2011-04-14,0
2011-04-15,0
2011-04-16,0
2011-04-17,0
2011-04-18,0
2011-04-19,0
2011-04-20,0
2011-04-21,0
2011-04-22,0
2011-04-23,0
2011-04-24,0
2011-04-25,0
2011-04-26,0
2011-04-27,0
2011-04-28,0
2011-04-29,0
2011-04-30,0
2011-05-01,0
2011-05-02,0
2011-05-03,0
2011-05-04,0
2011-05-05,0
2011-05-06,0
2011-05-07,0
2011-05-08,0
2011-05-09,0
2011-05-10,0
2011-05-11,0
2011-05-12,0
2011-05-13,0
2011-05-14,0
2011-05-15,0
2011-05-16,0
2011-05-17,0
2011-05-18,0
2011-05-19,0
2011-05-20,0
2011-05-21,0
2011-05-22,0
2011-05-23,0
2011-05-24,0
2011-05-25,0
2011-05-26,0
2011-05-27,0
2011-05-28,0
2011-05-29,0
2011-05-30,0
2011-05-31,0
2011-06-01,0
2011-06-02,0
2011-06-03,0
2011-06-04,0
2011-06-05,0
2011-06-06,0
2011-06-07,0
2011-06-08,0
2011-06-09,0
2011-06-10,0
2011-06-11,0
2011-06-12,0
2011-06-13,0
2011-06-14,0
2011-06-15,0
2011-06-16,0
2011-06-17,0
2011-06-18,0
2011-06-19,0
2011-06-20,0
2011-06-21,0
2011-06-22,0
2011-06-23,0
2011-06-24,0
2011-06-25,0
2011-06-26,0
2011-06-27,0
2011-06-28,0
2011-06-29,0
2011-06-30,0
2011-07-01,0
2011-07-02,2
2011-07-03,4
2011-07-04,6
2011-07-05,9
2011-07-06,11
2011-07-07,13
2011-07-08,16
2011-07-09,18
2011-07-10,20
2011-07-11,22
2011-07-12,25
2011-07-13,27
2011-07-14,29
2011-07-15,32
2011-07-16,34
2011-07-17,36
2011-07-18,38
2011-07-19,41
2011-07-20,43
2011-07-21,45
2011-07-22,48
2011-07-23,50
2011-07-24,52
2011-07-25,54
2011-07-26,57
2011-07-27,59
2011-07-28,61
2011-07-29,64
2011-07-30,66
2011-07-31,68
2011-08-01,71
2011-08-02,71
2011-08-03,71
2011-08-04,71
2011-08-05,71
2011-08-06,71
2011-08-07,71
2011-08-08,71
2011-08-09,71
2011-08-10,71
2011-08-11,71
2011-08-12,71
2011-08-13,71
2011-08-14,71
2011-08-15,71
2011-08-16,71
2011-08-17,71
2011-08-18,71
2011-08-19,71
2011-08-20,71
2011-08-21,71
2011-08-22,71
2011-08-23,71
2011-08-24,71
2011-08-25,71
2011-08-26,71
2011-08-27,71
2011-08-28,71
2011-08-29,71
2011-08-30,71
2011-08-31,71
2011-09-01,71
2011-09-02,71
2011-09-03,71
2011-09-04,71
2011-09-05,71
2011-09-06,71
2011-09-07,71
2011-09-08,71
2011-09-09,71
2011-09-10,71
2011-09-11,71
2011-09-12,71
2011-09-13,71
2011-09-14,71
2011-09-15,71
2011-09-16,71
2011-09-17,71
2011-09-18,71
2011-09-19,71
2011-09-20,71
2011-09-21,71
2011-09-22,71
2011-09-23,71
2011-09-24,71
2011-09-25,71
2011-09-26,71
2011-09-27,71
2011-09-28,71
2011-09-29,71
2011-09-30,71
2011-10-01,71
2011-10-02,71
2011-10-03,71
2011-10-04,71
2011-10-05,72
2011-10-06,72
2011-10-07,72
2011-10-08,73
2011-10-09,73
2011-10-10,73
2011-10-11,74
2011-10-12,74
2011-10-13,74
2011-10-14,75
2011-10-15,75
2011-10-16,75
2011-10-17,76
2011-10-18,76
2011-10-19,76
2011-10-20,77
2011-10-21,77
2011-10-22,77
2011-10-23,78
2011-10-24,78
2011-10-25,78
2011-10-26,79
2011-10-27,79
2011-10-28,79
2011-10-29,80
2011-10-30,80
2011-10-31,80
2011-11-01,81
2011-11-02,81
2011-11-03,81
2011-11-04,81
2011-11-05,82
2011-11-06,82
2011-11-07,82
2011-11-08,83
2011-11-09,83
2011-11-10,83
2011-11-11,84
2011-11-12,84
2011-11-13,84
2011-11-14,84
2011-11-15,85
2011-11-16,85
2011-11-17,85
2011-11-18,86
2011-11-19,86
2011-11-20,86
2011-11-21,87
2011-11-22,87
2011-11-23,87
2011-11-24,87
2011-11-25,88
2011-11-26,88
2011-11-27,88
2011-11-28,89
2011-11-29,89
2011-11-30,89
2011-12-01,90
2011-12-02,90
2011-12-03,90
2011-12-04,90
2011-12-05,91
2011-12-06,91
2011-12-07,91
2011-12-08,92
2011-12-09,92
2011-12-10,92
2011-12-11,93
2011-12-12,93
2011-12-13,93
2011-12-14,94
2011-12-15,94
2011-12-16,94
2011-12-17,95
2011-12-18,95
2011-12-19,95
2011-12-20,96
2011-12-21,96
2011-12-22,96
2011-12-23,97
2011-12-24,97
2011-12-25,97
2011-12-26,98
2011-12-27,98
2011-12-28,98
2011-12-29,99
2011-12-30,99
2011-12-31,99
2012-01-01,100
2012-01-02,99
2012-01-03,99
2012-01-04,99
2012-01-05,99
2012-01-06,99
2012-01-07,99
2012-01-08,99
2012-01-09,99
2012-01-10,99
2012-01-11,99
2012-01-12,99
2012-01-13,99
2012-01-14,99
2012-01-15,99
2012-01-16,99
2012-01-17,99
2012-01-18,99
2012-01-19,99
2012-01-20,99
2012-01-21,99
2012-01-22,99
2012-01-23,99
2012-01-24,99
2012-01-25,99
2012-01-26,99
2012-01-27,99
2012-01-28,99
2012-01-29,99
2012-01-30,99
2012-01-31,99
2012-02-01,99
2012-02-02,97
2012-02-03,96
2012-02-04,95
2012-02-05,94
2012-02-06,93
2012-02-07,91
2012-02-08,90
2012-02-09,89
2012-02-10,88
2012-02-11,87
2012-02-12,86
2012-02-13,84
2012-02-14,83
2012-02-15,82
2012-02-16,81
2012-02-17,80
2012-02-18,79
2012-02-19,77
2012-02-20,76
2012-02-21,75
2012-02-22,74
2012-02-23,73
2012-02-24,72
2012-02-25,70
2012-02-26,69
2012-02-27,68
2012-02-28,67
2012-02-29,66
2012-03-01,65
2012-03-02,65
2012-03-03,65
2012-03-04,65
2012-03-05,66
2012-03-06,66
2012-03-07,66
2012-03-08,66
2012-03-09,67
2012-03-10,67
2012-03-11,67
2012-03-12,67
2012-03-13,68
2012-03-14,68
2012-03-15,68
2012-03-16,68
2012-03-17,69
2012-03-18,69
2012-03-19,69
2012-03-20,69
2012-03-21,70
2012-03-22,70
2012-03-23,70
2012-03-24,70
2012-03-25,71
2012-03-26,71
2012-03-27,71
2012-03-28,71
2012-03-29,72
2012-03-30,72
2012-03-31,72
2012-04-01,73
2012-04-02,70
2012-04-03,68
2012-04-04,65
2012-04-05,63
2012-04-06,60
2012-04-07,58
2012-04-08,55
2012-04-09,53
2012-04-10,51
2012-04-11,48
2012-04-12,46
2012-04-13,43
2012-04-14,41
2012-04-15,38
2012-04-16,36
2012-04-17,34
2012-04-18,31
2012-04-19,29
2012-04-20,26
2012-04-21,24
2012-04-22,21
2012-04-23,19
2012-04-24,17
2012-04-25,14
2012-04-26,12
2012-04-27,9
2012-04-28,7
2012-04-29,4
2012-04-30,2
2012-05-01,0
2012-05-02,0
2012-05-03,0
2012-05-04,0
2012-05-05,0
2012-05-06,0
2012-05-07,0
2012-05-08,0
2012-05-09,0
2012-05-10,0
2012-05-11,0
2012-05-12,0
2012-05-13,0
2012-05-14,0
2012-05-15,0
2012-05-16,0
2012-05-17,0
2012-05-18,0
2012-05-19,0
2012-05-20,0
2012-05-21,0
2012-05-22,0
2012-05-23,0
2012-05-24,0
2012-05-25,0
2012-05-26,0
2012-05-27,0
2012-05-28,0
2012-05-29,0
2012-05-30,0
2012-05-31,0
2012-06-01,0
2012-06-02,0
2012-06-03,0
2012-06-04,0
2012-06-05,0
2012-06-06,0
2012-06-07,0
2012-06-08,0
2012-06-09,0
2012-06-10,0
2012-06-11,0
2012-06-12,0
2012-06-13,0
2012-06-14,0
2012-06-15,0
2012-06-16,0
2012-06-17,0
2012-06-18,0
2012-06-19,0
2012-06-20,0
2012-06-21,0
2012-06-22,0
2012-06-23,0
2012-06-24,0
2012-06-25,0
2012-06-26,0
2012-06-27,0
2012-06-28,0
2012-06-29,0
2012-06-30,0
2012-07-01,0
2012-07-02,0
2012-07-03,0
2012-07-04,0
2012-07-05,0
2012-07-06,0
2012-07-07,0
2012-07-08,0
2012-07-09,0
2012-07-10,0
2012-07-11,0
2012-07-12,0
2012-07-13,0
2012-07-14,0
2012-07-15,0
2012-07-16,0
2012-07-17,0
2012-07-18,0
2012-07-19,0
2012-07-20,0
2012-07-21,0
2012-07-22,0
2012-07-23,0
2012-07-24,0
2012-07-25,0
2012-07-26,0
2012-07-27,0
2012-07-28,0
2012-07-29,0
2012-07-30,0
2012-07-31,0
2012-08-01,0
2012-08-02,0
2012-08-03,0
2012-08-04,0
2012-08-05,0
2012-08-06,0
2012-08-07,0
2012-08-08,0
2012-08-09,0
2012-08-10,0
2012-08-11,0
2012-08-12,0
2012-08-13,0
2012-08-14,0
2012-08-15,0
2012-08-16,0
2012-08-17,0
2012-08-18,0
2012-08-19,0
2012-08-20,0
2012-08-21,0
2012-08-22,0
2012-08-23,0
2012-08-24,0
2012-08-25,0
2012-08-26,0
2012-08-27,0
2012-08-28,0
2012-08-29,0
2012-08-30,0
2012-08-31,0
2012-09-01,0
2012-09-02,0
2012-09-03,0
2012-09-04,0
2012-09-05,0
2012-09-06,0
2012-09-07,0
2012-09-08,0
2012-09-09,0
2012-09-10,0
2012-09-11,0
2012-09-12,0
2012-09-13,0
2012-09-14,0
2012-09-15,0
2012-09-16,0
2012-09-17,0
2012-09-18,0
2012-09-19,0
2012-09-20,0
2012-09-21,0
2012-09-22,0
2012-09-23,0
2012-09-24,0
2012-09-25,0
2012-09-26,0
2012-09-27,0
2012-09-28,0
2012-09-29,0
2012-09-30,0
2012-10-01,0
2012-10-02,2
2012-10-03,4
2012-10-04,6
2012-10-05,8
2012-10-06,10
2012-10-07,12
2012-10-08,14
2012-10-09,16
2012-10-10,18
2012-10-11,20
2012-10-12,22
2012-10-13,24
2012-10-14,26
2012-10-15,28
2012-10-16,30
2012-10-17,32
2012-10-18,34
2012-10-19,36
2012-10-20,38
2012-10-21,40
2012-10-22,42
2012-10-23,44
2012-10-24,46
2012-10-25,48
2012-10-26,50
2012-10-27,52
2012-10-28,54
2012-10-29,56
2012-10-30,58
2012-10-31,60
2012-11-01,63
2012-11-02,62
2012-11-03,62
2012-11-04,62
2012-11-05,62
2012-11-06,62
2012-11-07,62
2012-11-08,62
2012-11-09,62
2012-11-10,62
2012-11-11,62
2012-11-12,62
2012-11-13,62
2012-11-14,62
2012-11-15,62
2012-11-16,62
2012-11-17,61
2012-11-18,61
2012-11-19,61
2012-11-20,61
2012-11-21,61
2012-11-22,61
2012-11-23,61
2012-11-24,61
2012-11-25,61
2012-11-26,61
2012-11-27,61
2012-11-28,61
2012-11-29,61
2012-11-30,61
2012-12-01,61
2012-12-02,61
2012-12-03,61
2012-12-04,61
2012-12-05,61
2012-12-06,61
2012-12-07,61
2012-12-08,61
2012-12-09,61
2012-12-10,61
2012-12-11,61
2012-12-12,61
2012-12-13,61
2012-12-14,61
2012-12-15,61
2012-12-16,61
2012-12-17,61
2012-12-18,61
2012-12-19,61
2012-12-20,61
2012-12-21,61
2012-12-22,61
2012-12-23,61
2012-12-24,61
2012-12-25,61
2012-12-26,61
2012-12-27,61
2012-12-28,61
2012-12-29,61
2012-12-30,61
2012-12-31,61
2013-01-01,61
2013-01-02,61
2013-01-03,61
2013-01-04,61
2013-01-05,61
2013-01-06,61
2013-01-07,61
2013-01-08,61
2013-01-09,61
2013-01-10,61
2013-01-11,61
2013-01-12,61
2013-01-13,61
2013-01-14,61
2013-01-15,61
2013-01-16,61
2013-01-17,61
2013-01-18,61
2013-01-19,61
2013-01-20,61
2013-01-21,61
2013-01-22,61
2013-01-23,61
2013-01-24,61
2013-01-25,61
2013-01-26,61
2013-01-27,61
2013-01-28,61
2013-01-29,61
2013-01-30,61
2013-01-31,61
2013-02-01,61
2013-02-02,60
2013-02-03,59
2013-02-04,59
2013-02-05,58
2013-02-06,57
2013-02-07,57
2013-02-08,56
2013-02-09,55
2013-02-10,55
2013-02-11,54
2013-02-12,53
2013-02-13,53
2013-02-14,52
2013-02-15,52
2013-02-16,51
2013-02-17,50
2013-02-18,50
2013-02-19,49
2013-02-20,48
2013-02-21,48
2013-02-22,47
2013-02-23,46
2013-02-24,46
2013-02-25,45
2013-02-26,44
2013-02-27,44
2013-02-28,43
2013-03-01,43
