Date,Graham Packaging
2009-06-13,29
2009-06-14,29
2009-06-15,30
2009-06-16,31
2009-06-17,31
2009-06-18,32
2009-06-19,33
2009-06-20,34
2009-06-21,34
2009-06-22,35
2009-06-23,36
2009-06-24,36
2009-06-25,37
2009-06-26,38
2009-06-27,39
2009-06-28,39
2009-06-29,40
2009-06-30,41
2009-07-01,42
2009-07-02,43
2009-07-03,44
2009-07-04,45
2009-07-05,45
2009-07-06,47
2009-07-07,48
2009-07-08,49
2009-07-09,51
2009-07-10,52
2009-07-11,55
2009-07-12,46
2009-07-13,43
2009-07-14,40
2009-07-15,37
2009-07-16,34
2009-07-17,31
2009-07-18,28
2009-07-19,28
2009-07-20,28
2009-07-21,28
2009-07-22,28
2009-07-23,28
2009-07-24,28
2009-07-25,28
2009-07-26,28
2009-07-27,29
2009-07-28,29
2009-07-29,30
2009-07-30,30
2009-07-31,31
2009-08-01,32
2009-08-02,32
2009-08-03,33
2009-08-04,33
2009-08-05,34
2009-08-06,34
2009-08-07,35
2009-08-08,36
2009-08-09,36
2009-08-10,39
2009-08-11,37
2009-08-12,38
2009-08-13,38
2009-08-14,39
2009-08-15,40
2009-08-16,40
2009-08-17,41
2009-08-18,42
2009-08-19,42
2009-08-20,43
2009-08-21,43
2009-08-22,44
2009-08-23,42
2009-08-24,40
2009-08-25,38
2009-08-26,36
2009-08-27,34
2009-08-28,32
2009-08-29,30
2009-08-30,30
2009-09-06,30
2009-09-07,30
2009-09-08,30
2009-09-09,30
2009-09-10,30
2009-09-11,30
2009-09-12,30
2009-09-13,30
2009-09-14,36
2009-09-15,30
2009-09-16,30
2009-09-17,30
2009-09-18,30
2009-09-19,30
2009-09-20,30
2009-09-21,30
2009-09-22,30
2009-09-23,30
2009-09-24,30
2009-09-25,30
2009-09-26,30
2009-09-27,25
2009-09-28,21
2009-09-29,17
2009-09-30,12
2009-10-01,8
2009-10-02,4
2009-10-03,0
2009-10-04,0
2009-10-05,0
2009-10-06,0
2009-10-07,0
2009-10-08,0
2009-10-09,0
2009-10-10,0
2009-10-11,0
2009-10-12,0
2009-10-13,0
2009-10-14,0
2009-10-15,0
2009-10-16,0
2009-10-17,0
2009-10-18,0
2009-10-19,0
2009-10-20,0
2009-10-21,0
2009-10-22,0
2009-10-23,0
2009-10-24,0
2009-10-25,0
2009-10-26,0
2009-10-27,0
2009-10-28,0
2009-10-29,0
2009-10-30,0
2009-10-31,0
2009-11-01,0
2009-11-02,0
2009-11-03,0
2009-11-04,0
2009-11-05,0
2009-11-06,0
2009-11-07,0
2009-11-08,0
2009-11-09,0
2009-11-10,0
2009-11-11,0
2009-11-12,0
2009-11-13,0
2009-11-14,0
2009-11-15,4
2009-11-16,8
2009-11-17,12
2009-11-18,16
2009-11-19,21
2009-11-20,25
2009-11-21,31
2009-11-22,28
2009-11-23,28
2009-11-24,28
2009-11-25,28
2009-11-26,28
2009-11-27,28
2009-11-28,29
2009-11-29,29
2009-12-06,30
2009-12-07,30
2009-12-08,30
2009-12-09,30
2009-12-10,30
2009-12-11,30
2009-12-12,30
2009-12-13,29
2009-12-14,28
2009-12-15,28
2009-12-16,27
2009-12-17,27
2009-12-18,26
2009-12-19,26
2009-12-20,25
2009-12-21,25
2009-12-22,25
2009-12-23,24
2009-12-24,24
2009-12-25,24
2009-12-26,24
2009-12-27,24
2009-12-28,24
2009-12-29,24
2009-12-30,24
2009-12-31,24
2010-01-01,24
2010-01-02,24
2010-01-03,24
2010-01-04,24
2010-01-05,24
2010-01-06,24
2010-01-07,24
2010-01-08,24
2010-01-09,24
2010-01-10,24
2010-01-11,24
2010-01-12,24
2010-01-13,24
2010-01-14,24
2010-01-15,24
2010-01-16,24
2010-01-17,25
2010-01-18,27
2010-01-19,28
2010-01-20,30
2010-01-21,31
2010-01-22,33
2010-01-23,35
2010-01-24,34
2010-01-25,33
2010-01-26,32
2010-01-27,31
2010-01-28,30
2010-01-29,29
2010-01-30,28
2010-01-31,29
2010-02-01,31
2010-02-02,32
2010-02-03,34
2010-02-04,35
2010-02-05,37
2010-02-06,39
2010-02-07,40
2010-02-08,42
2010-02-09,44
2010-02-10,45
2010-02-11,47
2010-02-12,48
2010-02-13,50
2010-02-14,48
2010-02-15,45
2010-02-16,43
2010-02-17,40
2010-02-18,38
2010-02-19,35
2010-02-20,33
2010-02-21,33
2010-02-22,33
2010-02-23,34
2010-02-24,34
2010-02-25,34
2010-02-26,35
2010-02-27,36
2010-02-28,31
2010-03-07,23
2010-03-08,29
2010-03-09,23
2010-03-10,23
2010-03-11,23
2010-03-12,23
2010-03-13,23
2010-03-14,23
2010-03-15,23
2010-03-16,23
2010-03-17,23
2010-03-18,23
2010-03-19,23
2010-03-20,23
2010-03-21,23
2010-03-22,23
2010-03-23,23
2010-03-24,23
2010-03-25,23
2010-03-26,23
2010-03-27,23
2010-03-28,22
2010-03-29,22
2010-03-30,22
