Date,Air Lease
2010-07-01,94
2010-07-02,93
2010-07-03,92
2010-07-04,91
2010-07-05,90
2010-07-06,89
2010-07-07,88
2010-07-08,88
2010-07-09,87
2010-07-10,86
2010-07-11,85
2010-07-12,84
2010-07-13,83
2010-07-14,83
2010-07-15,82
2010-07-16,81
2010-07-17,80
2010-07-18,79
2010-07-19,78
2010-07-20,78
2010-07-21,77
2010-07-22,76
2010-07-23,75
2010-07-24,74
2010-07-25,73
2010-07-26,73
2010-07-27,72
2010-07-28,71
2010-07-29,70
2010-07-30,69
2010-07-31,68
2010-08-01,68
2010-08-02,67
2010-08-03,67
2010-08-04,67
2010-08-05,66
2010-08-06,66
2010-08-07,66
2010-08-08,66
2010-08-09,65
2010-08-10,65
2010-08-11,65
2010-08-12,65
2010-08-13,64
2010-08-14,64
2010-08-15,64
2010-08-16,64
2010-08-17,63
2010-08-18,63
2010-08-19,63
2010-08-20,63
2010-08-21,62
2010-08-22,62
2010-08-23,62
2010-08-24,62
2010-08-25,61
2010-08-26,61
2010-08-27,61
2010-08-28,61
2010-08-29,60
2010-08-30,60
2010-08-31,60
2010-09-01,60
2010-09-02,59
2010-09-03,58
2010-09-04,57
2010-09-05,57
2010-09-06,56
2010-09-07,55
2010-09-08,55
2010-09-09,54
2010-09-10,53
2010-09-11,53
2010-09-12,52
2010-09-13,51
2010-09-14,50
2010-09-15,50
2010-09-16,49
2010-09-17,48
2010-09-18,48
2010-09-19,47
2010-09-20,46
2010-09-21,46
2010-09-22,45
2010-09-23,44
2010-09-24,43
2010-09-25,43
2010-09-26,42
2010-09-27,41
2010-09-28,41
2010-09-29,40
2010-09-30,39
2010-10-01,39
2010-10-02,39
2010-10-03,40
2010-10-04,41
2010-10-05,41
2010-10-06,42
2010-10-07,43
2010-10-08,43
2010-10-09,44
2010-10-10,45
2010-10-11,45
2010-10-12,46
2010-10-13,47
2010-10-14,47
2010-10-15,48
2010-10-16,49
2010-10-17,49
2010-10-18,50
2010-10-19,51
2010-10-20,51
2010-10-21,52
2010-10-22,53
2010-10-23,53
2010-10-24,54
2010-10-25,55
2010-10-26,55
2010-10-27,56
2010-10-28,57
2010-10-29,57
2010-10-30,58
2010-10-31,59
2010-11-01,60
2010-11-02,59
2010-11-03,58
2010-11-04,57
2010-11-05,56
2010-11-06,56
2010-11-07,55
2010-11-08,54
2010-11-09,53
2010-11-10,53
2010-11-11,52
2010-11-12,51
2010-11-13,50
2010-11-14,50
2010-11-15,49
2010-11-16,48
2010-11-17,47
2010-11-18,46
2010-11-19,46
2010-11-20,45
2010-11-21,44
2010-11-22,43
2010-11-23,43
2010-11-24,42
2010-11-25,41
2010-11-26,40
2010-11-27,40
2010-11-28,39
2010-11-29,38
2010-11-30,37
2010-12-01,37
2010-12-02,38
2010-12-03,39
2010-12-04,40
2010-12-05,41
2010-12-06,42
2010-12-07,43
2010-12-08,44
2010-12-09,45
2010-12-10,46
2010-12-11,47
2010-12-12,48
2010-12-13,49
2010-12-14,50
2010-12-15,51
2010-12-16,52
2010-12-17,54
2010-12-18,55
2010-12-19,56
2010-12-20,57
2010-12-21,58
2010-12-22,59
2010-12-23,60
2010-12-24,61
2010-12-25,62
2010-12-26,63
2010-12-27,64
2010-12-28,65
2010-12-29,66
2010-12-30,67
2010-12-31,68
2011-01-01,70
2011-01-02,69
2011-01-03,68
2011-01-04,67
2011-01-05,66
2011-01-06,65
2011-01-07,64
2011-01-08,64
2011-01-09,63
2011-01-10,62
2011-01-11,61
2011-01-12,60
2011-01-13,59
2011-01-14,59
2011-01-15,58
2011-01-16,57
2011-01-17,56
2011-01-18,55
2011-01-19,54
2011-01-20,54
2011-01-21,53
2011-01-22,52
2011-01-23,51
2011-01-24,50
2011-01-25,49
2011-01-26,49
2011-01-27,48
2011-01-28,47
2011-01-29,46
2011-01-30,45
2011-01-31,44
2011-02-01,44
2011-02-02,44
2011-02-03,44
2011-02-04,44
2011-02-05,44
2011-02-06,45
2011-02-07,45
2011-02-08,45
2011-02-09,45
2011-02-10,45
2011-02-11,46
2011-02-12,46
2011-02-13,46
2011-02-14,46
2011-02-15,47
2011-02-16,47
2011-02-17,47
2011-02-18,47
2011-02-19,47
2011-02-20,48
2011-02-21,48
2011-02-22,48
2011-02-23,48
2011-02-24,48
2011-02-25,49
2011-02-26,49
2011-02-27,49
2011-02-28,49
2011-03-01,50
2011-03-02,51
2011-03-03,53
2011-03-04,54
2011-03-05,56
2011-03-06,58
2011-03-07,59
2011-03-08,61
2011-03-09,62
2011-03-10,64
2011-03-11,66
2011-03-12,67
