Date,Vera Bradley
2010-01-03,32
2010-01-04,31
2010-01-05,30
2010-01-06,28
2010-01-07,27
2010-01-08,26
2010-01-09,25
2010-01-10,25
2010-01-11,25
2010-01-12,25
2010-01-13,25
2010-01-14,25
2010-01-15,25
2010-01-16,25
2010-01-17,25
2010-01-18,26
2010-01-19,26
2010-01-20,27
2010-01-21,28
2010-01-22,28
2010-01-23,29
2010-01-24,30
2010-01-25,31
2010-01-26,32
2010-01-27,33
2010-01-28,34
2010-01-29,35
2010-01-30,36
2010-01-31,35
2010-02-01,34
2010-02-02,33
2010-02-03,32
2010-02-04,31
2010-02-05,30
2010-02-06,29
2010-02-07,31
2010-02-08,35
2010-02-09,38
2010-02-10,41
2010-02-11,44
2010-02-12,47
2010-02-13,50
2010-02-14,48
2010-02-15,44
2010-02-16,41
2010-02-17,39
2010-02-18,36
2010-02-19,34
2010-02-20,32
2010-02-21,33
2010-02-22,35
2010-02-23,37
2010-02-24,38
2010-02-25,40
2010-02-26,41
2010-02-27,43
2010-02-28,41
2010-03-01,39
2010-03-02,37
2010-03-03,35
2010-03-04,33
2010-03-05,31
2010-03-06,29
2010-03-07,29
2010-03-08,29
2010-03-09,29
2010-03-10,30
2010-03-11,30
2010-03-12,30
2010-03-13,31
2010-03-14,32
2010-03-15,34
2010-03-16,35
2010-03-17,37
2010-03-18,38
2010-03-19,39
2010-03-20,41
2010-03-21,41
2010-03-22,40
2010-03-23,39
2010-03-24,39
2010-03-25,38
2010-03-26,38
2010-03-27,38
2010-03-28,36
2010-04-04,27
2010-04-05,28
2010-04-06,29
2010-04-07,30
2010-04-08,31
2010-04-09,32
2010-04-10,33
2010-04-11,34
2010-04-12,35
2010-04-13,37
2010-04-14,38
2010-04-15,40
2010-04-16,41
2010-04-17,43
2010-04-18,45
2010-04-19,47
2010-04-20,49
2010-04-21,51
2010-04-22,53
2010-04-23,55
2010-04-24,57
2010-04-25,55
2010-04-26,53
2010-04-27,52
2010-04-28,50
2010-04-29,49
2010-04-30,47
2010-05-01,46
2010-05-02,44
2010-05-03,43
2010-05-04,42
2010-05-05,41
2010-05-06,39
2010-05-07,38
2010-05-08,37
2010-05-09,37
2010-05-10,37
2010-05-11,37
2010-05-12,38
2010-05-13,38
2010-05-14,38
2010-05-15,39
2010-05-16,38
2010-05-17,38
2010-05-18,38
2010-05-19,37
2010-05-20,37
2010-05-21,37
2010-05-22,37
2010-05-23,37
2010-05-24,37
2010-05-25,37
2010-05-26,37
2010-05-27,37
2010-05-28,37
2010-05-29,37
2010-05-30,38
2010-05-31,39
2010-06-01,40
2010-06-02,41
2010-06-03,42
2010-06-04,43
2010-06-05,45
2010-06-06,42
2010-06-07,40
2010-06-08,38
2010-06-09,35
2010-06-10,33
2010-06-11,31
2010-06-12,29
2010-06-13,29
2010-06-14,29
2010-06-15,30
2010-06-16,30
2010-06-17,31
2010-06-18,31
2010-06-19,32
2010-06-20,32
2010-06-21,32
2010-06-22,32
2010-06-23,32
2010-06-24,32
2010-06-25,32
2010-06-26,32
2010-06-27,35
2010-07-04,56
2010-07-05,56
2010-07-06,56
2010-07-07,55
2010-07-08,55
2010-07-09,55
2010-07-10,55
2010-07-11,57
2010-07-12,61
2010-07-13,63
2010-07-14,66
2010-07-15,69
2010-07-16,72
2010-07-17,75
2010-07-18,71
2010-07-19,66
2010-07-20,62
2010-07-21,58
2010-07-22,53
2010-07-23,49
2010-07-24,45
2010-07-25,44
2010-07-26,44
2010-07-27,43
2010-07-28,43
2010-07-29,42
2010-07-30,42
2010-07-31,42
2010-08-01,44
2010-08-02,48
2010-08-03,51
2010-08-04,53
2010-08-05,56
2010-08-06,59
2010-08-07,62
2010-08-08,60
2010-08-09,58
2010-08-10,56
2010-08-11,54
2010-08-12,52
2010-08-13,50
2010-08-14,49
2010-08-15,47
2010-08-16,46
2010-08-17,44
2010-08-18,42
2010-08-19,41
2010-08-20,39
2010-08-21,38
2010-08-22,42
2010-08-23,45
2010-08-24,49
2010-08-25,53
2010-08-26,57
2010-08-27,61
2010-08-28,65
2010-08-29,62
2010-08-30,59
2010-08-31,56
2010-09-01,53
2010-09-02,50
2010-09-03,47
2010-09-04,44
2010-09-05,43
2010-09-06,42
2010-09-07,41
2010-09-08,40
2010-09-09,39
2010-09-10,38
2010-09-11,37
2010-09-12,37
2010-09-13,37
2010-09-14,37
2010-09-15,37
2010-09-16,37
2010-09-17,37
2010-09-18,38
2010-09-19,40
2010-09-20,42
2010-09-21,44
2010-09-22,46
2010-09-23,48
2010-09-24,51
2010-09-25,53
2010-09-26,54
2010-10-03,56
2010-10-04,55
2010-10-05,53
2010-10-06,52
2010-10-07,50
2010-10-08,49
2010-10-09,48
2010-10-10,48
2010-10-11,49
2010-10-12,50
2010-10-13,50
2010-10-14,51
2010-10-15,51
2010-10-16,52
2010-10-17,52
2010-10-18,53
2010-10-19,53
2010-10-20,54
2010-10-21,54
2010-10-22,54
2010-10-23,55
2010-10-24,53
2010-10-25,51
2010-10-26,49
2010-10-27,47
2010-10-28,45
2010-10-29,43
2010-10-30,42
2010-10-31,42
2010-11-01,42
2010-11-02,42
2010-11-03,43
2010-11-04,43
2010-11-05,43
2010-11-06,43
2010-11-07,44
2010-11-08,45
2010-11-09,46
2010-11-10,47
2010-11-11,48
2010-11-12,49
2010-11-13,50
2010-11-14,53
2010-11-15,58
2010-11-16,62
2010-11-17,65
2010-11-18,69
2010-11-19,73
2010-11-20,77
2010-11-21,72
2010-11-22,66
2010-11-23,61
2010-11-24,55
2010-11-25,50
2010-11-26,45
2010-11-27,40
2010-11-28,44
2010-11-29,49
2010-11-30,54
2010-12-01,59
2010-12-02,64
2010-12-03,69
2010-12-04,74
2010-12-05,75
2010-12-06,77
2010-12-07,79
2010-12-08,81
2010-12-09,82
2010-12-10,84
2010-12-11,86
2010-12-12,84
2010-12-13,83
2010-12-14,81
2010-12-15,79
2010-12-16,77
2010-12-17,75
2010-12-18,74
2010-12-19,71
2010-12-20,68
2010-12-21,66
2010-12-22,63
2010-12-23,61
2010-12-24,59
2010-12-25,57
2010-12-26,55
2011-01-02,46
2011-01-03,47
2011-01-04,49
2011-01-05,50
2011-01-06,51
2011-01-07,53
2011-01-08,54
2011-01-09,51
2011-01-10,48
2011-01-11,46
2011-01-12,43
2011-01-13,41
2011-01-14,38
2011-01-15,36
2011-01-16,37
2011-01-17,39
2011-01-18,41
2011-01-19,43
2011-01-20,45
2011-01-21,47
2011-01-22,49
2011-01-23,48
2011-01-24,47
2011-01-25,46
2011-01-26,44
2011-01-27,43
2011-01-28,42
2011-01-29,41
2011-01-30,41
2011-01-31,41
2011-02-01,41
2011-02-02,41
2011-02-03,41
2011-02-04,41
2011-02-05,42
2011-02-06,41
2011-02-07,40
2011-02-08,39
2011-02-09,39
2011-02-10,38
2011-02-11,37
2011-02-12,37
2011-02-13,37
2011-02-14,38
2011-02-15,39
2011-02-16,39
2011-02-17,40
2011-02-18,41
2011-02-19,42
2011-02-20,43
2011-02-21,44
2011-02-22,45
2011-02-23,46
2011-02-24,47
2011-02-25,48
2011-02-26,50
2011-02-27,48
2011-02-28,47
2011-03-01,46
2011-03-02,44
2011-03-03,43
2011-03-04,42
2011-03-05,41
2011-03-06,40
2011-03-07,39
2011-03-08,39
2011-03-09,38
2011-03-10,37
2011-03-11,37
2011-03-12,36
2011-03-13,35
2011-03-14,34
2011-03-15,34
2011-03-16,33
2011-03-17,33
2011-03-18,32
2011-03-19,32
2011-03-20,33
2011-03-21,35
2011-03-22,37
2011-03-23,39
2011-03-24,41
2011-03-25,43
2011-03-26,45
2011-03-27,46
2011-04-03,52
2011-04-04,49
2011-04-05,46
2011-04-06,42
2011-04-07,39
2011-04-08,36
2011-04-09,33
2011-04-10,36
2011-04-11,40
2011-04-12,44
2011-04-13,48
2011-04-14,52
2011-04-15,56
2011-04-16,60
2011-04-17,59
2011-04-18,60
2011-04-19,59
2011-04-20,59
2011-04-21,59
2011-04-22,59
2011-04-23,58
2011-04-24,55
2011-04-25,52
2011-04-26,49
2011-04-27,45
2011-04-28,42
