Date,NetSpend
2010-01-09,30
2010-01-10,30
2010-01-11,31
2010-01-12,32
2010-01-13,33
2010-01-14,34
2010-01-15,35
2010-01-16,36
2010-01-17,35
2010-01-18,34
2010-01-19,33
2010-01-20,33
2010-01-21,32
2010-01-22,31
2010-01-23,31
2010-01-24,34
2010-01-25,37
2010-01-26,40
2010-01-27,43
2010-01-28,46
2010-01-29,49
2010-01-30,52
2010-01-31,51
2010-02-01,51
2010-02-02,50
2010-02-03,50
2010-02-04,49
2010-02-05,48
2010-02-06,48
2010-02-07,47
2010-02-08,46
2010-02-09,45
2010-02-10,45
2010-02-11,44
2010-02-12,43
2010-02-13,43
2010-02-14,42
2010-02-15,42
2010-02-16,42
2010-02-17,41
2010-02-18,41
2010-02-19,41
2010-02-20,41
2010-02-21,42
2010-02-22,44
2010-02-23,46
2010-02-24,48
2010-02-25,49
2010-02-26,51
2010-02-27,53
2010-02-28,50
2010-03-01,46
2010-03-02,43
2010-03-03,40
2010-03-04,37
2010-03-05,34
2010-03-06,31
2010-03-07,31
2010-03-08,31
2010-03-09,32
2010-03-10,32
2010-03-11,32
2010-03-12,33
2010-03-13,33
2010-03-14,33
2010-03-15,33
2010-03-16,33
2010-03-17,33
2010-03-18,33
2010-03-19,33
2010-03-20,33
2010-03-21,33
2010-03-22,34
2010-03-23,35
2010-03-24,35
2010-03-25,36
2010-03-26,37
2010-03-27,38
2010-03-28,39
2010-04-04,49
2010-04-05,48
2010-04-06,47
2010-04-07,46
2010-04-08,46
2010-04-09,45
2010-04-10,44
2010-04-11,43
2010-04-12,41
2010-04-13,40
2010-04-14,38
2010-04-15,37
2010-04-16,36
2010-04-17,35
2010-04-18,34
2010-04-19,33
2010-04-20,32
2010-04-21,32
2010-04-22,31
2010-04-23,30
2010-04-24,30
2010-04-25,32
2010-04-26,35
2010-04-27,37
2010-04-28,40
2010-04-29,42
2010-04-30,45
2010-05-01,48
2010-05-02,45
2010-05-03,43
2010-05-04,40
2010-05-05,38
2010-05-06,35
2010-05-07,33
2010-05-08,31
2010-05-09,30
2010-05-10,30
2010-05-11,30
2010-05-12,29
2010-05-13,29
2010-05-14,29
2010-05-15,29
2010-05-16,31
2010-05-17,33
2010-05-18,35
2010-05-19,37
2010-05-20,39
2010-05-21,41
2010-05-22,43
2010-05-23,43
2010-05-24,43
2010-05-25,43
2010-05-26,43
2010-05-27,43
2010-05-28,44
2010-05-29,44
2010-05-30,42
2010-05-31,40
2010-06-01,38
2010-06-02,37
2010-06-03,35
2010-06-04,33
2010-06-05,32
2010-06-06,33
2010-06-07,35
2010-06-08,36
2010-06-09,38
2010-06-10,39
2010-06-11,41
2010-06-12,43
2010-06-13,42
2010-06-14,42
2010-06-15,42
2010-06-16,42
2010-06-17,41
2010-06-18,41
2010-06-19,41
2010-06-20,40
2010-06-21,39
2010-06-22,38
2010-06-23,37
2010-06-24,36
2010-06-25,35
2010-06-26,34
2010-06-27,36
2010-07-04,55
2010-07-05,57
2010-07-06,60
2010-07-07,62
2010-07-08,65
2010-07-09,67
2010-07-10,70
2010-07-11,70
2010-07-12,70
2010-07-13,70
2010-07-14,70
2010-07-15,70
2010-07-16,71
2010-07-17,71
2010-07-18,71
2010-07-19,71
2010-07-20,71
2010-07-21,71
2010-07-22,71
2010-07-23,71
2010-07-24,72
2010-07-25,73
2010-07-26,74
2010-07-27,75
2010-07-28,76
2010-07-29,77
2010-07-30,78
2010-07-31,80
2010-08-01,78
2010-08-02,77
2010-08-03,75
2010-08-04,73
2010-08-05,72
2010-08-06,70
2010-08-07,69
2010-08-08,66
2010-08-09,63
2010-08-10,60
2010-08-11,57
2010-08-12,54
2010-08-13,51
2010-08-14,48
2010-08-15,51
2010-08-16,54
2010-08-17,57
2010-08-18,61
2010-08-19,64
2010-08-20,67
2010-08-21,71
2010-08-22,72
2010-08-23,73
2010-08-24,75
2010-08-25,76
2010-08-26,78
2010-08-27,79
2010-08-28,81
2010-08-29,81
2010-08-30,82
2010-08-31,82
2010-09-01,82
2010-09-02,83
2010-09-03,83
2010-09-04,83
2010-09-05,80
2010-09-06,76
2010-09-07,73
2010-09-08,70
2010-09-09,67
2010-09-10,64
2010-09-11,61
2010-09-12,59
2010-09-13,58
2010-09-14,56
2010-09-15,55
2010-09-16,53
2010-09-17,52
2010-09-18,51
2010-09-19,53
2010-09-20,56
2010-09-21,59
2010-09-22,62
2010-09-23,65
2010-09-24,68
2010-09-25,71
2010-09-26,70
2010-10-03,63
2010-10-04,62
2010-10-05,61
2010-10-06,60
2010-10-07,59
2010-10-08,58
2010-10-09,57
2010-10-10,58
2010-10-11,60
2010-10-12,61
2010-10-13,63
2010-10-14,64
2010-10-15,66
2010-10-16,68
2010-10-17,72
2010-10-18,77
2010-10-19,82
2010-10-20,87
2010-10-21,92
2010-10-22,96
2010-10-23,101
2010-10-24,95
2010-10-25,88
2010-10-26,82
2010-10-27,76
2010-10-28,70
2010-10-29,64
2010-10-30,58
2010-10-31,59
2010-11-01,61
2010-11-02,62
2010-11-03,64
2010-11-04,65
2010-11-05,66
2010-11-06,68
2010-11-07,68
2010-11-08,68
2010-11-09,69
2010-11-10,69
2010-11-11,70
2010-11-12,70
2010-11-13,71
2010-11-14,68
2010-11-15,66
2010-11-16,64
2010-11-17,61
2010-11-18,59
2010-11-19,56
2010-11-20,54
2010-11-21,50
2010-11-22,45
2010-11-23,41
2010-11-24,38
2010-11-25,34
2010-11-26,30
2010-11-27,27
2010-11-28,31
2010-11-29,35
2010-11-30,39
2010-12-01,44
2010-12-02,48
2010-12-03,52
2010-12-04,57
2010-12-05,56
2010-12-06,55
2010-12-07,54
2010-12-08,54
2010-12-09,53
2010-12-10,52
2010-12-11,52
2010-12-12,55
2010-12-13,58
2010-12-14,61
2010-12-15,64
2010-12-16,67
2010-12-17,70
2010-12-18,73
2010-12-19,72
2010-12-20,72
2010-12-21,71
2010-12-22,70
2010-12-23,69
2010-12-24,68
2010-12-25,68
2010-12-26,64
2011-01-02,46
2011-01-03,48
2011-01-04,50
2011-01-05,52
2011-01-06,54
2011-01-07,56
2011-01-08,58
2011-01-09,58
2011-01-10,57
2011-01-11,57
2011-01-12,57
2011-01-13,57
2011-01-14,57
2011-01-15,57
2011-01-16,54
2011-01-17,51
2011-01-18,48
2011-01-19,46
2011-01-20,43
2011-01-21,40
2011-01-22,38
2011-01-23,42
2011-01-24,47
