Date,Laredo Petroleum
2011-02-01,0
2011-02-02,0
2011-02-03,0
2011-02-04,0
2011-02-05,0
2011-02-06,0
2011-02-07,0
2011-02-08,0
2011-02-09,0
2011-02-10,0
2011-02-11,0
2011-02-12,0
2011-02-13,0
2011-02-14,0
2011-02-15,0
2011-02-16,0
2011-02-17,0
2011-02-18,0
2011-02-19,0
2011-02-20,0
2011-02-21,0
2011-02-22,0
2011-02-23,0
2011-02-24,0
2011-02-25,0
2011-02-26,0
2011-02-27,0
2011-02-28,0
2011-03-01,0
2011-03-02,0
2011-03-03,0
2011-03-04,0
2011-03-05,0
2011-03-06,0
2011-03-07,0
2011-03-08,0
2011-03-09,0
2011-03-10,0
2011-03-11,0
2011-03-12,0
2011-03-13,0
2011-03-14,0
2011-03-15,0
2011-03-16,0
2011-03-17,0
2011-03-18,0
2011-03-19,0
2011-03-20,0
2011-03-21,0
2011-03-22,0
2011-03-23,0
2011-03-24,0
2011-03-25,0
2011-03-26,0
2011-03-27,0
2011-03-28,0
2011-03-29,0
2011-03-30,0
2011-03-31,0
2011-04-01,0
2011-04-02,0
2011-04-03,0
2011-04-04,0
2011-04-05,0
2011-04-06,0
2011-04-07,0
2011-04-08,0
2011-04-09,0
2011-04-10,0
2011-04-11,0
2011-04-12,0
2011-04-13,0
2011-04-14,0
2011-04-15,0
2011-04-16,0
2011-04-17,0
2011-04-18,0
2011-04-19,0
2011-04-20,0
2011-04-21,0
2011-04-22,0
2011-04-23,0
2011-04-24,0
2011-04-25,0
2011-04-26,0
2011-04-27,0
2011-04-28,0
2011-04-29,0
2011-04-30,0
2011-05-01,0
2011-05-02,0
2011-05-03,0
2011-05-04,0
2011-05-05,0
2011-05-06,0
2011-05-07,0
2011-05-08,0
2011-05-09,0
2011-05-10,0
2011-05-11,0
2011-05-12,0
2011-05-13,0
2011-05-14,0
2011-05-15,0
2011-05-16,0
2011-05-17,0
2011-05-18,0
2011-05-19,0
2011-05-20,0
2011-05-21,0
2011-05-22,0
2011-05-23,0
2011-05-24,0
2011-05-25,0
2011-05-26,0
2011-05-27,0
2011-05-28,0
2011-05-29,0
2011-05-30,0
2011-05-31,0
2011-06-01,0
2011-06-02,0
2011-06-03,0
2011-06-04,0
2011-06-05,0
2011-06-06,0
2011-06-07,0
2011-06-08,0
2011-06-09,0
2011-06-10,0
2011-06-11,0
2011-06-12,0
2011-06-13,0
2011-06-14,0
2011-06-15,0
2011-06-16,0
2011-06-17,0
2011-06-18,0
2011-06-19,0
2011-06-20,0
2011-06-21,0
2011-06-22,0
2011-06-23,0
2011-06-24,0
2011-06-25,0
2011-06-26,0
2011-06-27,0
2011-06-28,0
2011-06-29,0
2011-06-30,0
2011-07-01,0
2011-07-02,0
2011-07-03,0
2011-07-04,0
2011-07-05,0
2011-07-06,0
2011-07-07,0
2011-07-08,0
2011-07-09,0
2011-07-10,0
2011-07-11,0
2011-07-12,0
2011-07-13,0
2011-07-14,0
2011-07-15,0
2011-07-16,0
2011-07-17,0
2011-07-18,0
2011-07-19,0
2011-07-20,0
2011-07-21,0
2011-07-22,0
2011-07-23,0
2011-07-24,0
2011-07-25,0
2011-07-26,0
2011-07-27,0
2011-07-28,0
2011-07-29,0
2011-07-30,0
2011-07-31,0
2011-08-01,0
2011-08-02,1
2011-08-03,3
2011-08-04,4
2011-08-05,6
2011-08-06,8
2011-08-07,9
2011-08-08,11
2011-08-09,12
2011-08-10,14
2011-08-11,16
2011-08-12,17
2011-08-13,19
2011-08-14,20
2011-08-15,22
2011-08-16,24
2011-08-17,25
2011-08-18,27
2011-08-19,29
2011-08-20,30
2011-08-21,32
2011-08-22,33
2011-08-23,35
2011-08-24,37
2011-08-25,38
2011-08-26,40
2011-08-27,41
2011-08-28,43
2011-08-29,45
2011-08-30,46
2011-08-31,48
2011-09-01,50
2011-09-02,50
2011-09-03,51
2011-09-04,51
2011-09-05,52
2011-09-06,52
2011-09-07,53
2011-09-08,53
2011-09-09,54
2011-09-10,54
2011-09-11,55
2011-09-12,55
2011-09-13,56
2011-09-14,56
2011-09-15,57
2011-09-16,58
2011-09-17,58
2011-09-18,59
2011-09-19,59
2011-09-20,60
2011-09-21,60
2011-09-22,61
2011-09-23,61
2011-09-24,62
2011-09-25,62
2011-09-26,63
2011-09-27,63
2011-09-28,64
2011-09-29,64
2011-09-30,65
2011-10-01,66
2011-10-02,66
2011-10-03,67
2011-10-04,67
2011-10-05,68
2011-10-06,68
2011-10-07,69
2011-10-08,69
2011-10-09,70
2011-10-10,70
2011-10-11,71
2011-10-12,71
2011-10-13,72
2011-10-14,72
2011-10-15,73
2011-10-16,73
2011-10-17,74
2011-10-18,74
2011-10-19,75
2011-10-20,75
2011-10-21,76
2011-10-22,76
2011-10-23,77
2011-10-24,77
2011-10-25,78
2011-10-26,78
2011-10-27,79
2011-10-28,79
2011-10-29,80
2011-10-30,80
2011-10-31,81
2011-11-01,82
2011-11-02,82
2011-11-03,83
2011-11-04,83
2011-11-05,84
2011-11-06,84
2011-11-07,85
2011-11-08,85
2011-11-09,86
2011-11-10,86
2011-11-11,87
2011-11-12,87
2011-11-13,88
2011-11-14,88
2011-11-15,89
2011-11-16,89
2011-11-17,90
2011-11-18,90
2011-11-19,91
2011-11-20,91
2011-11-21,92
2011-11-22,92
2011-11-23,93
2011-11-24,93
2011-11-25,94
2011-11-26,94
2011-11-27,95
2011-11-28,95
2011-11-29,96
2011-11-30,96
2011-12-01,97
2011-12-02,96
2011-12-03,96
2011-12-04,95
2011-12-05,95
2011-12-06,94
2011-12-07,94
2011-12-08,94
2011-12-09,93
2011-12-10,93
2011-12-11,92
2011-12-12,92
2011-12-13,91
2011-12-14,91
2011-12-15,91
2011-12-16,90
2011-12-17,90
2011-12-18,89
2011-12-19,89
2011-12-20,89
2011-12-21,88
2011-12-22,88
2011-12-23,87
2011-12-24,87
2011-12-25,86
2011-12-26,86
2011-12-27,86
2011-12-28,85
2011-12-29,85
2011-12-30,84
2011-12-31,84
2012-01-01,84
2012-01-02,84
2012-01-03,84
2012-01-04,84
2012-01-05,84
2012-01-06,84
2012-01-07,84
2012-01-08,84
2012-01-09,84
2012-01-10,84
2012-01-11,84
2012-01-12,84
2012-01-13,84
2012-01-14,84
2012-01-15,84
2012-01-16,84
2012-01-17,84
2012-01-18,84
2012-01-19,84
2012-01-20,84
2012-01-21,84
2012-01-22,84
2012-01-23,84
2012-01-24,84
2012-01-25,84
2012-01-26,84
2012-01-27,84
2012-01-28,84
2012-01-29,84
2012-01-30,84
2012-01-31,84
2012-02-01,84
2012-02-02,84
2012-02-03,84
2012-02-04,84
2012-02-05,84
2012-02-06,84
2012-02-07,84
2012-02-08,84
2012-02-09,84
2012-02-10,84
2012-02-11,84
2012-02-12,84
2012-02-13,84
2012-02-14,84
2012-02-15,84
2012-02-16,84
2012-02-17,84
2012-02-18,84
2012-02-19,84
2012-02-20,84
2012-02-21,84
2012-02-22,84
2012-02-23,84
2012-02-24,84
2012-02-25,84
2012-02-26,84
2012-02-27,84
2012-02-28,84
2012-02-29,84
2012-03-01,84
2012-03-02,82
2012-03-03,81
2012-03-04,80
2012-03-05,79
2012-03-06,78
2012-03-07,77
2012-03-08,75
2012-03-09,74
2012-03-10,73
2012-03-11,72
2012-03-12,71
2012-03-13,70
2012-03-14,68
2012-03-15,67
2012-03-16,66
2012-03-17,65
2012-03-18,64
2012-03-19,63
2012-03-20,61
2012-03-21,60
2012-03-22,59
2012-03-23,58
2012-03-24,57
2012-03-25,56
2012-03-26,54
2012-03-27,53
2012-03-28,52
2012-03-29,51
2012-03-30,50
2012-03-31,49
2012-04-01,48
2012-04-02,48
2012-04-03,48
2012-04-04,48
2012-04-05,48
2012-04-06,48
2012-04-07,48
2012-04-08,48
2012-04-09,49
2012-04-10,49
2012-04-11,49
2012-04-12,49
2012-04-13,49
2012-04-14,49
2012-04-15,49
2012-04-16,50
2012-04-17,50
2012-04-18,50
2012-04-19,50
2012-04-20,50
2012-04-21,50
2012-04-22,50
2012-04-23,50
2012-04-24,51
2012-04-25,51
2012-04-26,51
2012-04-27,51
2012-04-28,51
2012-04-29,51
2012-04-30,51
2012-05-01,52
2012-05-02,51
2012-05-03,51
2012-05-04,51
