Date,Tumi Inc
2011-06-05,35
2011-06-06,34
2011-06-07,33
2011-06-08,31
2011-06-09,30
2011-06-10,29
2011-06-11,28
2011-06-12,27
2011-06-13,27
2011-06-14,27
2011-06-15,26
2011-06-16,26
2011-06-17,26
2011-06-18,26
2011-06-19,27
2011-06-20,28
2011-06-21,29
2011-06-22,30
2011-06-23,31
2011-06-24,32
2011-06-25,33
2011-06-26,34
2011-06-27,35
2011-06-28,36
2011-06-29,37
2011-06-30,38
2011-07-01,39
2011-07-02,40
2011-07-03,41
2011-07-04,42
2011-07-05,43
2011-07-06,44
2011-07-07,45
2011-07-08,46
2011-07-09,47
2011-07-10,46
2011-07-11,45
2011-07-12,44
2011-07-13,43
2011-07-14,42
2011-07-15,41
2011-07-16,40
2011-07-17,39
2011-07-18,38
2011-07-19,37
2011-07-20,36
2011-07-21,35
2011-07-22,34
2011-07-23,34
2011-07-24,34
2011-07-25,35
2011-07-26,35
2011-07-27,36
2011-07-28,36
2011-07-29,36
2011-07-30,37
2011-07-31,35
2011-08-01,33
2011-08-02,32
2011-08-03,30
2011-08-04,29
2011-08-05,27
2011-08-06,26
2011-08-07,27
2011-08-08,28
2011-08-09,29
2011-08-10,30
2011-08-11,31
2011-08-12,32
2011-08-13,33
2011-08-14,34
2011-08-15,36
2011-08-16,37
2011-08-17,39
2011-08-18,40
2011-08-19,42
2011-08-20,44
2011-08-21,44
2011-08-22,45
2011-08-23,45
2011-08-24,45
2011-08-25,46
2011-08-26,46
2011-08-27,47
2011-08-28,46
2011-09-04,39
2011-09-05,38
2011-09-06,37
2011-09-07,36
2011-09-08,35
2011-09-09,34
2011-09-10,33
2011-09-11,33
2011-09-12,33
2011-09-13,33
2011-09-14,33
2011-09-15,33
2011-09-16,33
2011-09-17,33
2011-09-18,34
2011-09-19,35
2011-09-20,37
2011-09-21,38
2011-09-22,40
2011-09-23,41
2011-09-24,43
2011-09-25,42
2011-09-26,41
2011-09-27,41
2011-09-28,40
2011-09-29,39
2011-09-30,38
2011-10-01,38
2011-10-02,36
2011-10-03,35
2011-10-04,33
2011-10-05,32
2011-10-06,30
2011-10-07,29
2011-10-08,28
2011-10-09,27
2011-10-10,27
2011-10-11,26
2011-10-12,26
2011-10-13,25
2011-10-14,25
2011-10-15,25
2011-10-16,25
2011-10-17,25
2011-10-18,26
2011-10-19,26
2011-10-20,27
2011-10-21,27
2011-10-22,28
2011-10-23,29
2011-10-24,30
2011-10-25,31
