Date,EVERTEC
2012-08-01,0
2012-08-02,0
2012-08-03,0
2012-08-04,0
2012-08-05,0
2012-08-06,0
2012-08-07,0
2012-08-08,0
2012-08-09,0
2012-08-10,0
2012-08-11,0
2012-08-12,0
2012-08-13,0
2012-08-14,0
2012-08-15,0
2012-08-16,0
2012-08-17,0
2012-08-18,0
2012-08-19,0
2012-08-20,0
2012-08-21,0
2012-08-22,0
2012-08-23,0
2012-08-24,0
2012-08-25,0
2012-08-26,0
2012-08-27,0
2012-08-28,0
2012-08-29,0
2012-08-30,0
2012-08-31,0
2012-09-01,0
2012-09-02,0
2012-09-03,0
2012-09-04,0
2012-09-05,0
2012-09-06,0
2012-09-07,0
2012-09-08,0
2012-09-09,4
2012-09-10,8
2012-09-11,13
2012-09-12,17
2012-09-13,22
2012-09-14,26
2012-09-15,31
2012-09-16,31
2012-09-17,31
2012-09-18,31
2012-09-19,31
2012-09-20,31
2012-09-21,31
2012-09-22,31
2012-09-23,26
2012-09-24,22
2012-09-25,17
2012-09-26,13
2012-09-27,8
2012-09-28,4
2012-09-29,0
2012-09-30,0
2012-10-01,0
2012-10-02,0
2012-10-03,0
2012-10-04,0
2012-10-05,0
2012-10-06,0
2012-10-07,0
2012-10-08,0
2012-10-09,0
2012-10-10,0
2012-10-11,0
2012-10-12,0
2012-10-13,0
2012-10-14,0
2012-10-15,0
2012-10-16,0
2012-10-17,0
2012-10-18,0
2012-10-19,0
2012-10-20,0
2012-10-21,0
2012-10-22,0
2012-10-23,0
2012-10-24,0
2012-10-25,0
2012-10-26,0
2012-10-27,0
2012-10-28,0
2012-10-29,0
2012-10-30,0
2012-10-31,0
2012-11-01,0
2012-11-02,0
2012-11-03,0
2012-11-04,0
2012-11-05,0
2012-11-06,0
2012-11-07,0
2012-11-08,0
2012-11-09,0
2012-11-10,0
2012-11-11,0
2012-11-12,0
2012-11-13,0
2012-11-14,0
2012-11-15,0
2012-11-16,0
2012-11-17,0
2012-11-18,0
2012-11-19,0
2012-11-20,0
2012-11-21,0
2012-11-22,0
2012-11-23,0
2012-11-24,0
2012-11-25,0
2012-11-26,0
2012-11-27,0
2012-11-28,0
2012-11-29,0
2012-11-30,0
2012-12-01,0
2012-12-02,0
2012-12-03,0
2012-12-04,0
2012-12-05,0
2012-12-06,0
2012-12-07,0
2012-12-08,0
2012-12-09,5
2012-12-10,10
2012-12-11,15
2012-12-12,20
2012-12-13,25
2012-12-14,30
2012-12-15,36
2012-12-16,35
2012-12-17,34
2012-12-18,34
2012-12-19,33
2012-12-20,33
2012-12-21,32
2012-12-22,32
2012-12-23,32
2012-12-24,32
2012-12-25,32
2012-12-26,32
2012-12-27,32
2012-12-28,32
2012-12-29,32
2012-12-30,32
2012-12-31,32
2013-01-01,32
2013-01-02,32
2013-01-03,32
2013-01-04,32
2013-01-05,32
2013-01-06,32
2013-01-07,32
2013-01-08,32
2013-01-09,32
2013-01-10,32
2013-01-11,32
2013-01-12,32
2013-01-13,32
2013-01-14,32
2013-01-15,32
2013-01-16,32
2013-01-17,32
2013-01-18,32
2013-01-19,32
2013-01-20,32
2013-01-21,33
2013-01-22,34
2013-01-23,34
2013-01-24,35
2013-01-25,36
2013-01-26,37
2013-01-27,37
2013-01-28,38
2013-01-29,39
2013-01-30,39
2013-01-31,40
2013-02-01,41
2013-02-02,42
2013-02-03,42
2013-02-04,43
2013-02-05,44
2013-02-06,45
2013-02-07,46
2013-02-08,47
2013-02-09,48
2013-02-10,45
2013-02-11,43
2013-02-12,40
2013-02-13,38
2013-02-14,35
2013-02-15,33
2013-02-16,31
2013-02-17,31
2013-02-18,31
2013-02-19,31
2013-02-20,31
2013-02-21,31
2013-02-22,31
2013-02-23,31
2013-02-24,31
2013-02-25,31
2013-02-26,31
2013-02-27,31
2013-02-28,31
2013-03-01,31
2013-03-02,31
2013-03-03,31
2013-03-04,31
2013-03-05,31
2013-03-06,31
2013-03-07,31
2013-03-08,31
2013-03-09,31
2013-03-10,31
2013-03-11,31
2013-03-12,31
2013-03-13,31
2013-03-14,31
2013-03-15,31
2013-03-16,31
2013-03-17,33
2013-03-18,35
2013-03-19,38
2013-03-20,40
2013-03-21,43
2013-03-22,45
2013-03-23,48
2013-03-24,50
2013-03-25,52
2013-03-26,55
2013-03-27,57
2013-03-28,60
2013-03-29,62
2013-03-30,65
2013-03-31,67
2013-04-01,70
2013-04-02,72
2013-04-03,75
2013-04-04,77
2013-04-05,80
2013-04-06,83
2013-04-07,85
2013-04-08,87
2013-04-09,90
2013-04-10,92
2013-04-11,95
2013-04-12,97
2013-04-13,100
2013-04-14,91
2013-04-15,83
2013-04-16,74
2013-04-17,66
2013-04-18,57
2013-04-19,49
2013-04-20,41
2013-04-21,39
2013-04-22,37
2013-04-23,35
2013-04-24,33
2013-04-25,31
2013-04-26,29
2013-04-27,28
2013-04-28,28
2013-04-29,28
2013-04-30,28
2013-05-05,28
2013-05-06,28
2013-05-07,28
2013-05-08,29
2013-05-09,29
2013-05-10,29
2013-05-11,31
2013-05-12,27
2013-05-13,27
2013-05-14,27
2013-05-15,26
2013-05-16,26
2013-05-17,26
2013-05-18,26
2013-05-19,26
2013-05-20,26
2013-05-21,26
2013-05-22,26
2013-05-23,26
2013-05-24,26
2013-05-25,26
2013-05-26,26
2013-05-27,26
2013-05-28,26
2013-05-29,26
2013-05-30,26
2013-05-31,26
2013-06-01,26
2013-06-02,26
2013-06-03,26
2013-06-04,26
2013-06-05,26
2013-06-06,26
2013-06-07,26
2013-06-08,26
2013-06-09,26
2013-06-10,26
2013-06-11,26
2013-06-12,26
2013-06-13,26
2013-06-14,26
2013-06-15,26
2013-06-16,26
2013-06-17,27
2013-06-18,26
2013-06-19,26
2013-06-20,26
2013-06-21,26
2013-06-22,27
2013-06-23,27
2013-06-24,27
2013-06-25,27
2013-06-26,27
2013-06-27,27
2013-06-28,27
2013-06-29,27
2013-06-30,27
2013-07-01,27
2013-07-02,27
2013-07-03,27
2013-07-04,27
2013-07-05,27
2013-07-06,28
2013-07-07,28
2013-07-08,28
2013-07-09,28
2013-07-10,28
2013-07-11,28
2013-07-12,28
2013-07-13,29
2013-07-14,29
2013-07-15,29
