Date,Jones Energy
2012-11-10,35
2012-11-11,33
2012-11-12,31
2012-11-13,29
2012-11-14,27
2012-11-15,25
2012-11-16,23
2012-11-17,21
2012-11-18,21
2012-11-19,22
2012-11-20,23
2012-11-21,23
2012-11-22,24
2012-11-23,25
2012-11-24,26
2012-11-25,25
2012-11-26,24
2012-11-27,23
2012-11-28,23
2012-11-29,22
2012-11-30,21
2012-12-01,21
2012-12-02,20
2012-12-03,20
2012-12-04,20
2012-12-05,19
2012-12-06,19
2012-12-07,19
2012-12-08,19
2012-12-09,19
2012-12-10,20
2012-12-11,20
2012-12-12,21
2012-12-13,21
2012-12-14,22
2012-12-15,23
2012-12-16,22
2012-12-17,22
2012-12-18,21
2012-12-19,21
2012-12-20,21
2012-12-21,20
2012-12-22,20
2012-12-23,20
2012-12-24,20
2012-12-25,21
2012-12-26,21
2012-12-27,22
2012-12-28,22
2012-12-29,23
2012-12-30,23
2012-12-31,23
2013-01-01,24
2013-01-02,24
2013-01-03,25
2013-01-04,25
2013-01-05,26
2013-01-06,24
2013-01-07,23
2013-01-08,22
2013-01-09,20
2013-01-10,19
2013-01-11,18
2013-01-12,17
2013-01-13,18
2013-01-14,20
2013-01-15,22
2013-01-16,23
2013-01-17,25
2013-01-18,27
2013-01-19,29
2013-01-20,28
2013-01-21,28
2013-01-22,28
2013-01-23,28
2013-01-24,28
2013-01-25,28
2013-01-26,28
2013-01-27,27
2013-02-03,20
2013-02-04,20
2013-02-05,20
2013-02-06,20
2013-02-07,20
2013-02-08,20
2013-02-09,21
2013-02-10,20
2013-02-11,19
2013-02-12,18
2013-02-13,18
2013-02-14,17
2013-02-15,16
2013-02-16,16
2013-02-17,17
2013-02-18,19
2013-02-19,21
2013-02-20,22
2013-02-21,24
2013-02-22,26
2013-02-23,28
2013-02-24,26
2013-02-25,25
2013-02-26,23
2013-02-27,21
2013-02-28,20
2013-03-01,18
2013-03-02,17
2013-03-03,16
2013-03-04,16
2013-03-05,16
2013-03-06,15
2013-03-07,15
2013-03-08,15
2013-03-09,15
2013-03-10,16
2013-03-11,17
2013-03-12,18
2013-03-13,19
2013-03-14,20
2013-03-15,21
2013-03-16,22
2013-03-17,21
2013-03-18,21
2013-03-19,21
2013-03-20,20
2013-03-21,20
2013-03-22,20
2013-03-23,20
2013-03-24,20
2013-03-25,20
2013-03-26,20
2013-03-27,20
2013-03-28,20
2013-03-29,20
2013-03-30,21
2013-03-31,21
2013-05-05,17
2013-05-06,19
2013-05-07,22
2013-05-08,24
2013-05-09,27
2013-05-10,29
2013-05-11,32
2013-05-12,31
2013-05-13,31
2013-05-14,31
2013-05-15,31
2013-05-16,30
2013-05-17,30
2013-05-18,30
2013-05-19,30
2013-05-20,29
2013-05-21,29
2013-05-22,29
2013-05-23,29
2013-05-24,29
2013-05-25,29
2013-05-26,28
2013-05-27,28
2013-05-28,27
2013-05-29,27
2013-05-30,26
2013-05-31,26
2013-06-01,26
2013-06-02,27
2013-06-03,29
2013-06-04,31
2013-06-05,32
2013-06-06,34
