Date,SunPower
2005-02-12,0
2005-02-13,0
2005-02-14,0
2005-02-15,0
2005-02-16,0
2005-02-17,0
2005-02-18,0
2005-02-19,0
2005-02-20,0
2005-02-21,0
2005-02-22,0
2005-02-23,0
2005-02-24,0
2005-02-25,0
2005-02-26,0
2005-02-27,3
2005-02-28,7
2005-03-01,11
2005-03-02,14
2005-03-03,18
2005-03-04,22
2005-03-05,26
2005-03-06,22
2005-03-07,18
2005-03-08,14
2005-03-09,11
2005-03-10,7
2005-03-11,3
2005-03-12,0
2005-03-13,0
2005-03-14,0
2005-03-15,0
2005-03-16,0
2005-03-17,0
2005-03-18,0
2005-03-19,0
2005-03-20,0
2005-03-21,0
2005-03-22,0
2005-03-23,0
2005-03-24,0
2005-03-25,0
2005-03-26,0
2005-03-27,0
2005-03-28,0
2005-03-29,0
2005-03-30,0
2005-03-31,0
2005-04-01,0
2005-04-02,0
2005-04-03,0
2005-04-04,0
2005-04-05,0
2005-04-06,0
2005-04-07,0
2005-04-08,0
2005-04-09,0
2005-04-10,3
2005-04-11,6
2005-04-12,9
2005-04-13,13
2005-04-14,16
2005-04-15,19
2005-04-16,23
2005-04-17,24
2005-04-18,25
2005-04-19,26
2005-04-20,27
2005-04-21,28
2005-04-22,29
2005-04-23,31
2005-04-24,30
2005-04-25,30
2005-04-26,30
2005-04-27,30
2005-04-28,30
2005-04-29,30
2005-04-30,30
2005-05-01,29
2005-05-02,28
2005-05-03,27
2005-05-04,26
2005-05-05,25
2005-05-06,24
2005-05-07,23
2005-05-08,23
2005-05-09,23
2005-05-10,23
2005-05-11,23
2005-05-12,23
2005-05-13,23
2005-05-14,24
2005-05-15,25
2005-05-16,26
2005-05-17,27
2005-05-18,28
2005-05-19,29
2005-05-20,30
2005-05-21,31
2005-05-22,32
2005-05-23,33
2005-05-24,34
2005-05-25,35
2005-05-26,36
2005-05-27,37
2005-05-28,38
2005-05-29,35
2005-05-30,33
2005-05-31,30
2005-06-01,28
2005-06-02,25
2005-06-03,23
2005-06-04,21
2005-06-05,21
2005-06-06,21
2005-06-07,21
2005-06-08,21
2005-06-09,21
2005-06-10,22
2005-06-11,22
2005-06-12,21
2005-06-13,20
2005-06-14,20
2005-06-15,19
2005-06-16,19
2005-06-17,18
2005-06-18,18
2005-06-19,18
2005-06-20,18
2005-06-21,19
2005-06-22,19
2005-06-23,20
2005-06-24,20
2005-06-25,21
2005-06-26,21
2005-06-27,21
2005-06-28,22
2005-06-29,22
2005-06-30,23
2005-07-01,23
2005-07-02,24
2005-07-03,24
2005-07-04,24
2005-07-05,25
2005-07-06,25
2005-07-07,26
2005-07-08,26
2005-07-09,27
2005-07-10,27
2005-07-11,27
2005-07-12,27
2005-07-13,27
2005-07-14,27
2005-07-15,27
2005-07-16,27
2005-07-17,26
2005-07-18,26
2005-07-19,26
2005-07-20,25
2005-07-21,25
2005-07-22,25
2005-07-23,25
2005-07-24,24
2005-07-25,23
2005-07-26,22
2005-07-27,22
2005-07-28,21
2005-07-29,20
2005-07-30,20
2005-07-31,20
2005-08-07,20
2005-08-08,20
2005-08-09,20
2005-08-10,20
2005-08-11,20
2005-08-12,20
2005-08-13,20
2005-08-14,20
2005-08-15,20
2005-08-16,20
2005-08-17,20
2005-08-18,20
2005-08-19,20
2005-08-20,20
2005-08-21,21
2005-08-22,22
2005-08-23,23
2005-08-24,24
2005-08-25,25
2005-08-26,26
2005-08-27,27
2005-08-28,30
2005-08-29,34
2005-08-30,38
2005-08-31,41
2005-09-01,45
2005-09-02,49
2005-09-03,53
2005-09-04,50
2005-09-05,46
2005-09-06,43
2005-09-07,40
2005-09-08,37
2005-09-09,34
2005-09-10,31
2005-09-11,31
2005-09-12,32
2005-09-13,33
2005-09-14,34
2005-09-15,34
2005-09-16,35
2005-09-17,36
2005-09-18,33
2005-09-19,30
2005-09-20,28
2005-09-21,25
2005-09-22,23
2005-09-23,20
2005-09-24,18
2005-09-25,19
2005-09-26,21
2005-09-27,23
2005-09-28,24
2005-09-29,26
2005-09-30,28
2005-10-01,30
2005-10-02,28
2005-10-03,27
2005-10-04,26
2005-10-05,25
2005-10-06,24
2005-10-07,23
2005-10-08,22
2005-10-09,22
2005-10-10,22
2005-10-11,22
2005-10-12,22
2005-10-13,22
2005-10-14,22
2005-10-15,22
2005-10-16,22
2005-10-17,22
2005-10-18,22
2005-10-19,22
2005-10-20,22
2005-10-21,22
2005-10-22,23
2005-10-23,23
2005-10-24,24
2005-10-25,25
2005-10-26,26
2005-10-27,27
2005-10-28,28
2005-10-29,29
2005-10-30,28
2005-11-06,22
2005-11-07,22
2005-11-08,22
2005-11-09,21
2005-11-10,21
2005-11-11,21
2005-11-12,21
2005-11-13,32
2005-11-14,44
2005-11-15,55
2005-11-16,67
2005-11-17,78
