Date,Education Management Corporation
2007-06-01,0
2007-06-02,0
2007-06-03,0
2007-06-04,0
2007-06-05,0
2007-06-06,0
2007-06-07,0
2007-06-08,0
2007-06-09,0
2007-06-10,0
2007-06-11,0
2007-06-12,0
2007-06-13,0
2007-06-14,0
2007-06-15,0
2007-06-16,0
2007-06-17,0
2007-06-18,0
2007-06-19,0
2007-06-20,0
2007-06-21,0
2007-06-22,0
2007-06-23,0
2007-06-24,0
2007-06-25,0
2007-06-26,0
2007-06-27,0
2007-06-28,0
2007-06-29,0
2007-06-30,0
2007-07-01,0
2007-07-02,3
2007-07-03,6
2007-07-04,9
2007-07-05,12
2007-07-06,16
2007-07-07,19
2007-07-08,22
2007-07-09,25
2007-07-10,29
2007-07-11,32
2007-07-12,35
2007-07-13,38
2007-07-14,41
2007-07-15,45
2007-07-16,48
2007-07-17,51
2007-07-18,54
2007-07-19,58
2007-07-20,61
2007-07-21,64
2007-07-22,67
2007-07-23,70
2007-07-24,74
2007-07-25,77
2007-07-26,80
2007-07-27,83
2007-07-28,87
2007-07-29,90
2007-07-30,93
2007-07-31,96
2007-08-01,100
2007-08-02,99
2007-08-03,99
2007-08-04,98
2007-08-05,98
2007-08-06,97
2007-08-07,97
2007-08-08,97
2007-08-09,96
2007-08-10,96
2007-08-11,95
2007-08-12,95
2007-08-13,94
2007-08-14,94
2007-08-15,94
2007-08-16,93
2007-08-17,93
2007-08-18,92
2007-08-19,92
2007-08-20,92
2007-08-21,91
2007-08-22,91
2007-08-23,90
2007-08-24,90
2007-08-25,89
2007-08-26,89
2007-08-27,89
2007-08-28,88
2007-08-29,88
2007-08-30,87
2007-08-31,87
2007-09-01,87
2007-09-02,87
2007-09-03,87
2007-09-04,87
2007-09-05,87
2007-09-06,87
2007-09-07,87
2007-09-08,87
2007-09-09,87
2007-09-10,87
2007-09-11,87
2007-09-12,87
2007-09-13,87
2007-09-14,87
2007-09-15,87
2007-09-16,87
2007-09-17,87
2007-09-18,87
2007-09-19,87
2007-09-20,87
2007-09-21,87
2007-09-22,87
2007-09-23,87
2007-09-24,87
2007-09-25,87
2007-09-26,87
2007-09-27,87
2007-09-28,87
2007-09-29,87
2007-09-30,87
2007-10-01,87
2007-10-02,87
2007-10-03,87
2007-10-04,87
2007-10-05,87
2007-10-06,87
2007-10-07,87
2007-10-08,87
2007-10-09,87
2007-10-10,87
2007-10-11,87
2007-10-12,87
2007-10-13,87
2007-10-14,87
2007-10-15,87
2007-10-16,87
2007-10-17,87
2007-10-18,87
2007-10-19,87
2007-10-20,87
2007-10-21,87
2007-10-22,87
2007-10-23,87
2007-10-24,87
2007-10-25,87
2007-10-26,87
2007-10-27,87
2007-10-28,87
2007-10-29,87
2007-10-30,87
2007-10-31,87
2007-11-01,87
2007-11-02,87
2007-11-03,87
2007-11-04,87
2007-11-05,87
2007-11-06,87
2007-11-07,87
2007-11-08,87
2007-11-09,87
2007-11-10,87
2007-11-11,87
2007-11-12,87
2007-11-13,87
2007-11-14,87
2007-11-15,87
2007-11-16,87
2007-11-17,87
2007-11-18,87
2007-11-19,87
2007-11-20,87
2007-11-21,87
2007-11-22,87
2007-11-23,87
2007-11-24,87
2007-11-25,87
2007-11-26,87
2007-11-27,87
2007-11-28,87
2007-11-29,87
2007-11-30,87
2007-12-01,87
2007-12-02,87
2007-12-03,87
2007-12-04,87
2007-12-05,87
2007-12-06,87
2007-12-07,87
2007-12-08,87
2007-12-09,87
2007-12-10,87
2007-12-11,87
2007-12-12,87
2007-12-13,87
2007-12-14,87
2007-12-15,87
2007-12-16,87
2007-12-17,87
2007-12-18,87
2007-12-19,87
2007-12-20,87
2007-12-21,87
2007-12-22,87
2007-12-23,87
2007-12-24,87
2007-12-25,87
2007-12-26,87
2007-12-27,87
2007-12-28,87
2007-12-29,87
2007-12-30,87
2007-12-31,87
2008-01-01,87
2008-01-02,86
2008-01-03,86
2008-01-04,86
2008-01-05,86
2008-01-06,86
2008-01-07,86
2008-01-08,86
2008-01-09,85
2008-01-10,85
2008-01-11,85
2008-01-12,85
2008-01-13,85
2008-01-14,85
2008-01-15,85
