Date,Viewsonic
2007-01-01,80
2007-01-02,80
2007-01-03,80
2007-01-04,80
2007-01-05,80
2007-01-06,80
2007-01-07,80
2007-01-08,80
2007-01-09,80
2007-01-10,80
2007-01-11,80
2007-01-12,80
2007-01-13,80
2007-01-14,80
2007-01-15,80
2007-01-16,80
2007-01-17,80
2007-01-18,80
2007-01-19,80
2007-01-20,80
2007-01-21,80
2007-01-22,80
2007-01-23,80
2007-01-24,80
2007-01-25,80
2007-01-26,80
2007-01-27,80
2007-01-28,80
2007-01-29,80
2007-01-30,80
2007-01-31,80
2007-02-01,80
2007-02-02,80
2007-02-03,80
2007-02-04,80
2007-02-05,80
2007-02-06,80
2007-02-07,80
2007-02-08,80
2007-02-09,80
2007-02-10,80
2007-02-11,80
2007-02-12,80
2007-02-13,80
2007-02-14,80
2007-02-15,80
2007-02-16,80
2007-02-17,80
2007-02-18,80
2007-02-19,80
2007-02-20,80
2007-02-21,80
2007-02-22,80
2007-02-23,80
2007-02-24,80
2007-02-25,80
2007-02-26,80
2007-02-27,80
2007-02-28,80
2007-03-01,80
2007-03-02,80
2007-03-03,80
2007-03-04,80
2007-03-05,80
2007-03-06,80
2007-03-07,80
2007-03-08,80
2007-03-09,80
2007-03-10,80
2007-03-11,80
2007-03-12,80
2007-03-13,80
2007-03-14,80
2007-03-15,80
2007-03-16,80
2007-03-17,80
2007-03-18,80
2007-03-19,80
2007-03-20,80
2007-03-21,80
2007-03-22,80
2007-03-23,80
2007-03-24,80
2007-03-25,80
2007-03-26,80
2007-03-27,80
2007-03-28,80
2007-03-29,80
2007-03-30,80
2007-03-31,80
2007-04-01,81
2007-04-02,81
2007-04-03,81
2007-04-04,81
2007-04-05,81
2007-04-06,81
2007-04-07,81
2007-04-08,81
2007-04-09,81
2007-04-10,81
2007-04-11,81
2007-04-12,81
2007-04-13,81
2007-04-14,81
2007-04-15,81
2007-04-16,81
2007-04-17,81
2007-04-18,81
2007-04-19,81
2007-04-20,81
2007-04-21,81
2007-04-22,81
2007-04-23,81
2007-04-24,81
2007-04-25,81
2007-04-26,81
2007-04-27,81
2007-04-28,81
2007-04-29,81
2007-04-30,81
2007-05-01,82
2007-05-02,82
2007-05-03,82
2007-05-04,82
2007-05-05,82
2007-05-06,82
2007-05-07,82
2007-05-08,82
2007-05-09,82
2007-05-10,82
2007-05-11,82
2007-05-12,82
2007-05-13,82
2007-05-14,82
2007-05-15,82
2007-05-16,82
2007-05-17,82
2007-05-18,82
2007-05-19,82
2007-05-20,82
2007-05-21,82
2007-05-22,82
2007-05-23,82
2007-05-24,82
2007-05-25,82
2007-05-26,82
2007-05-27,82
2007-05-28,82
2007-05-29,82
2007-05-30,82
2007-05-31,82
2007-06-01,83
2007-06-02,80
2007-06-03,77
2007-06-04,74
2007-06-05,71
2007-06-06,69
2007-06-07,66
2007-06-08,63
2007-06-09,60
2007-06-10,58
2007-06-11,55
2007-06-12,52
2007-06-13,49
2007-06-14,47
2007-06-15,44
2007-06-16,41
2007-06-17,38
2007-06-18,35
2007-06-19,33
2007-06-20,30
2007-06-21,27
2007-06-22,24
2007-06-23,22
2007-06-24,19
2007-06-25,16
2007-06-26,13
2007-06-27,11
2007-06-28,8
2007-06-29,5
2007-06-30,2
2007-07-01,0
2007-07-02,0
2007-07-03,0
2007-07-04,0
2007-07-05,0
2007-07-06,0
2007-07-07,0
2007-07-08,0
2007-07-09,0
2007-07-10,0
2007-07-11,0
2007-07-12,0
2007-07-13,0
2007-07-14,0
2007-07-15,0
2007-07-16,0
2007-07-17,0
2007-07-18,0
2007-07-19,0
2007-07-20,0
2007-07-21,0
2007-07-22,0
2007-07-23,0
2007-07-24,0
2007-07-25,0
2007-07-26,0
2007-07-27,0
2007-07-28,0
2007-07-29,0
2007-07-30,0
2007-07-31,0
2007-08-01,0
2007-08-02,0
2007-08-03,0
2007-08-04,0
2007-08-05,0
2007-08-06,0
2007-08-07,0
2007-08-08,0
2007-08-09,0
