Date,Cvent
2013-01-01,48
2013-01-02,46
2013-01-03,44
2013-01-04,43
2013-01-05,41
2013-01-06,40
2013-01-07,38
2013-01-08,37
2013-01-09,35
2013-01-10,34
2013-01-11,32
2013-01-12,30
2013-01-13,29
2013-01-14,27
2013-01-15,26
2013-01-16,24
2013-01-17,23
2013-01-18,21
2013-01-19,20
2013-01-20,18
2013-01-21,17
2013-01-22,15
2013-01-23,13
2013-01-24,12
2013-01-25,10
2013-01-26,9
2013-01-27,7
2013-01-28,6
2013-01-29,4
2013-01-30,3
2013-01-31,1
2013-02-01,0
2013-02-02,0
2013-02-03,0
2013-02-04,0
2013-02-05,0
2013-02-06,0
2013-02-07,0
2013-02-08,0
2013-02-09,0
2013-02-10,0
2013-02-11,0
2013-02-12,0
2013-02-13,0
2013-02-14,0
2013-02-15,0
2013-02-16,0
2013-02-17,0
2013-02-18,0
2013-02-19,0
2013-02-20,0
2013-02-21,0
2013-02-22,0
2013-02-23,0
2013-02-24,0
2013-02-25,0
2013-02-26,0
2013-02-27,0
2013-02-28,0
2013-03-01,0
2013-03-02,0
2013-03-03,0
2013-03-04,0
2013-03-05,0
2013-03-06,0
2013-03-07,0
2013-03-08,0
2013-03-09,0
2013-03-10,0
2013-03-11,0
2013-03-12,0
2013-03-13,0
2013-03-14,0
2013-03-15,0
2013-03-16,0
2013-03-17,0
2013-03-18,0
2013-03-19,0
2013-03-20,0
2013-03-21,0
2013-03-22,0
2013-03-23,0
2013-03-24,0
2013-03-25,0
2013-03-26,0
2013-03-27,0
2013-03-28,0
2013-03-29,0
2013-03-30,0
2013-03-31,0
2013-04-01,0
2013-04-02,0
2013-04-03,0
2013-04-04,0
2013-04-05,0
2013-04-06,0
2013-04-07,0
2013-04-08,0
2013-04-09,0
2013-04-10,0
2013-04-11,0
2013-04-12,0
2013-04-13,0
2013-04-14,0
2013-04-15,0
2013-04-16,0
2013-04-17,0
2013-04-18,0
2013-04-19,0
2013-04-20,0
2013-04-21,0
2013-04-22,0
2013-04-23,0
2013-04-24,0
2013-04-25,0
2013-04-26,0
2013-04-27,0
2013-04-28,0
2013-04-29,0
2013-04-30,0
2013-05-01,0
2013-05-02,0
2013-05-03,0
2013-05-04,0
2013-05-05,0
2013-05-06,0
2013-05-07,0
2013-05-08,0
2013-05-09,0
2013-05-10,0
2013-05-11,0
2013-05-12,0
2013-05-13,0
2013-05-14,0
2013-05-15,0
2013-05-16,0
2013-05-17,0
2013-05-18,0
2013-05-19,0
2013-05-20,0
2013-05-21,0
2013-05-22,0
2013-05-23,0
2013-05-24,0
2013-05-25,0
2013-05-26,0
2013-05-27,0
2013-05-28,0
2013-05-29,0
2013-05-30,0
2013-05-31,0
2013-06-01,0
2013-06-02,1
2013-06-03,3
2013-06-04,4
2013-06-05,6
2013-06-06,7
2013-06-07,9
2013-06-08,10
2013-06-09,12
2013-06-10,13
2013-06-11,15
2013-06-12,16
2013-06-13,18
2013-06-14,19
2013-06-15,21
2013-06-16,23
2013-06-17,24
2013-06-18,26
2013-06-19,27
2013-06-20,29
2013-06-21,30
2013-06-22,32
2013-06-23,33
2013-06-24,35
2013-06-25,36
2013-06-26,38
2013-06-27,39
2013-06-28,41
2013-06-29,42
2013-06-30,44
2013-07-01,46
2013-07-02,47
2013-07-03,49
2013-07-04,51
2013-07-05,52
2013-07-06,54
2013-07-07,56
2013-07-08,58
2013-07-09,59
2013-07-10,61
2013-07-11,63
2013-07-12,65
2013-07-13,66
2013-07-14,68
2013-07-15,70
2013-07-16,72
2013-07-17,73
2013-07-18,75
2013-07-19,77
2013-07-20,79
2013-07-21,80
2013-07-22,82
2013-07-23,84
2013-07-24,86
2013-07-25,87
2013-07-26,89
2013-07-27,91
2013-07-28,93
2013-07-29,94
2013-07-30,96
2013-07-31,98
2013-08-01,100
2013-08-02,98
2013-08-03,97
2013-08-04,96
2013-08-05,95
2013-08-06,94
2013-08-07,93
2013-08-08,92
2013-08-09,90
2013-08-10,89
2013-08-11,88
2013-08-12,87
2013-08-13,86
2013-08-14,85
2013-08-15,84
2013-08-16,83
2013-08-17,81
2013-08-18,80
2013-08-19,79
2013-08-20,78
2013-08-21,77
2013-08-22,76
2013-08-23,75
2013-08-24,74
2013-08-25,72
2013-08-26,71
2013-08-27,70
2013-08-28,69
2013-08-29,68
2013-08-30,67
2013-08-31,66
2013-09-01,65
2013-09-02,64
2013-09-03,64
2013-09-04,64
2013-09-05,64
2013-09-06,64
2013-09-07,64
2013-09-08,64
2013-09-09,64
2013-09-10,64
2013-09-11,64
2013-09-12,63
2013-09-13,63
2013-09-14,63
2013-09-15,63
2013-09-16,63
2013-09-17,63
2013-09-18,63
2013-09-19,63
2013-09-20,63
2013-09-21,63
2013-09-22,62
2013-09-23,62
2013-09-24,62
2013-09-25,62
2013-09-26,62
2013-09-27,62
2013-09-28,62
2013-09-29,62
2013-09-30,62
2013-10-01,62
2013-10-02,61
2013-10-03,61
2013-10-04,60
2013-10-05,60
2013-10-06,60
2013-10-07,59
2013-10-08,59
2013-10-09,59
2013-10-10,58
2013-10-11,58
2013-10-12,58
2013-10-13,57
2013-10-14,57
2013-10-15,57
2013-10-16,56
2013-10-17,56
2013-10-18,55
2013-10-19,55
2013-10-20,55
2013-10-21,54
2013-10-22,54
2013-10-23,54
2013-10-24,53
2013-10-25,53
2013-10-26,53
2013-10-27,52
2013-10-28,52
2013-10-29,52
2013-10-30,51
2013-10-31,51
2013-11-01,51
2013-11-02,50
2013-11-03,50
2013-11-04,50
2013-11-05,50
2013-11-06,49
2013-11-07,49
2013-11-08,49
2013-11-09,49
2013-11-10,48
2013-11-11,48
2013-11-12,48
2013-11-13,48
2013-11-14,47
2013-11-15,47
2013-11-16,47
2013-11-17,47
2013-11-18,47
2013-11-19,46
2013-11-20,46
2013-11-21,46
2013-11-22,46
2013-11-23,45
2013-11-24,45
2013-11-25,45
2013-11-26,45
2013-11-27,44
2013-11-28,44
2013-11-29,44
2013-11-30,44
2013-12-01,44
2013-12-02,44
2013-12-03,44
2013-12-04,44
2013-12-05,44
2013-12-06,44
2013-12-07,44
2013-12-08,44
2013-12-09,44
2013-12-10,44
2013-12-11,44
2013-12-12,44
2013-12-13,44
2013-12-14,44
2013-12-15,44
2013-12-16,44
2013-12-17,44
2013-12-18,44
2013-12-19,44
2013-12-20,44
2013-12-21,44
2013-12-22,44
2013-12-23,44
2013-12-24,44
2013-12-25,44
2013-12-26,44
2013-12-27,44
2013-12-28,44
2013-12-29,44
2013-12-30,44
2013-12-31,44
2014-01-01,44
