Date,Eastern Insurance
2005-04-01,81
2005-04-02,80
2005-04-03,80
2005-04-04,80
2005-04-05,80
2005-04-06,80
2005-04-07,80
2005-04-08,80
2005-04-09,80
2005-04-10,80
2005-04-11,80
2005-04-12,80
2005-04-13,80
2005-04-14,80
2005-04-15,80
2005-04-16,80
2005-04-17,79
2005-04-18,79
2005-04-19,79
2005-04-20,79
2005-04-21,79
2005-04-22,79
2005-04-23,79
2005-04-24,79
2005-04-25,79
2005-04-26,79
2005-04-27,79
2005-04-28,79
2005-04-29,79
2005-04-30,79
2005-05-01,79
2005-05-02,78
2005-05-03,78
2005-05-04,78
2005-05-05,78
2005-05-06,78
2005-05-07,78
2005-05-08,78
2005-05-09,77
2005-05-10,77
2005-05-11,77
2005-05-12,77
2005-05-13,77
2005-05-14,77
2005-05-15,77
2005-05-16,77
2005-05-17,76
2005-05-18,76
2005-05-19,76
2005-05-20,76
2005-05-21,76
2005-05-22,76
2005-05-23,76
2005-05-24,76
2005-05-25,75
2005-05-26,75
2005-05-27,75
2005-05-28,75
2005-05-29,75
2005-05-30,75
2005-05-31,75
2005-06-01,75
2005-06-02,75
2005-06-03,75
2005-06-04,76
2005-06-05,76
2005-06-06,77
2005-06-07,77
2005-06-08,78
2005-06-09,78
2005-06-10,79
2005-06-11,79
2005-06-12,80
2005-06-13,80
2005-06-14,81
2005-06-15,81
2005-06-16,82
2005-06-17,82
2005-06-18,82
2005-06-19,83
2005-06-20,83
2005-06-21,84
2005-06-22,84
2005-06-23,85
2005-06-24,85
2005-06-25,86
2005-06-26,86
2005-06-27,87
2005-06-28,87
2005-06-29,88
2005-06-30,88
2005-07-01,89
2005-07-02,89
2005-07-03,89
2005-07-04,89
2005-07-05,90
2005-07-06,90
2005-07-07,90
2005-07-08,91
2005-07-09,91
2005-07-10,91
2005-07-11,92
2005-07-12,92
2005-07-13,92
2005-07-14,93
2005-07-15,93
2005-07-16,93
2005-07-17,94
2005-07-18,94
2005-07-19,94
2005-07-20,95
2005-07-21,95
2005-07-22,95
2005-07-23,96
2005-07-24,96
2005-07-25,96
2005-07-26,97
2005-07-27,97
2005-07-28,97
2005-07-29,98
2005-07-30,98
2005-07-31,98
2005-08-01,99
2005-08-02,98
2005-08-03,98
2005-08-04,97
2005-08-05,97
2005-08-06,96
2005-08-07,96
2005-08-08,95
2005-08-09,95
2005-08-10,94
2005-08-11,94
2005-08-12,94
2005-08-13,93
2005-08-14,93
2005-08-15,92
2005-08-16,92
2005-08-17,91
2005-08-18,91
2005-08-19,90
2005-08-20,90
2005-08-21,89
2005-08-22,89
2005-08-23,89
2005-08-24,88
2005-08-25,88
2005-08-26,87
2005-08-27,87
2005-08-28,86
2005-08-29,86
2005-08-30,85
2005-08-31,85
2005-09-01,85
2005-09-02,84
2005-09-03,83
2005-09-04,82
2005-09-05,81
2005-09-06,80
2005-09-07,79
2005-09-08,78
2005-09-09,77
2005-09-10,76
2005-09-11,75
2005-09-12,74
2005-09-13,73
2005-09-14,72
2005-09-15,71
2005-09-16,70
2005-09-17,69
2005-09-18,68
2005-09-19,67
2005-09-20,66
2005-09-21,65
2005-09-22,64
2005-09-23,63
2005-09-24,62
2005-09-25,61
2005-09-26,60
2005-09-27,59
2005-09-28,58
2005-09-29,57
2005-09-30,56
2005-10-01,56
2005-10-02,56
2005-10-03,56
2005-10-04,56
2005-10-05,56
2005-10-06,57
2005-10-07,57
2005-10-08,57
2005-10-09,57
2005-10-10,58
2005-10-11,58
2005-10-12,58
2005-10-13,58
2005-10-14,58
2005-10-15,59
2005-10-16,59
2005-10-17,59
2005-10-18,59
2005-10-19,60
2005-10-20,60
2005-10-21,60
2005-10-22,60
2005-10-23,60
2005-10-24,61
2005-10-25,61
2005-10-26,61
2005-10-27,61
2005-10-28,62
2005-10-29,62
2005-10-30,62
2005-10-31,62
2005-11-01,63
2005-11-02,63
2005-11-03,63
2005-11-04,63
2005-11-05,63
2005-11-06,64
2005-11-07,64
2005-11-08,64
2005-11-09,64
2005-11-10,64
2005-11-11,65
2005-11-12,65
2005-11-13,65
2005-11-14,65
2005-11-15,65
2005-11-16,66
2005-11-17,66
2005-11-18,66
2005-11-19,66
2005-11-20,66
2005-11-21,67
2005-11-22,67
2005-11-23,67
2005-11-24,67
2005-11-25,67
2005-11-26,68
2005-11-27,68
2005-11-28,68
2005-11-29,68
2005-11-30,68
2005-12-01,69
2005-12-02,68
2005-12-03,68
2005-12-04,68
2005-12-05,67
2005-12-06,67
2005-12-07,67
2005-12-08,67
2005-12-09,66
2005-12-10,66
2005-12-11,66
2005-12-12,66
2005-12-13,65
2005-12-14,65
2005-12-15,65
2005-12-16,65
2005-12-17,64
2005-12-18,64
2005-12-19,64
2005-12-20,64
2005-12-21,63
2005-12-22,63
2005-12-23,63
2005-12-24,63
2005-12-25,62
2005-12-26,62
2005-12-27,62
