Date,Facebook
2011-08-01,76
2011-08-02,78
2011-08-03,77
2011-08-04,77
2011-08-05,78
2011-08-06,82
2011-08-07,82
2011-08-08,73
2011-08-09,80
2011-08-10,81
2011-08-11,81
2011-08-12,83
2011-08-13,86
2011-08-14,84
2011-08-15,76
2011-08-16,79
2011-08-17,80
2011-08-18,78
2011-08-19,78
2011-08-20,79
2011-08-21,78
2011-08-22,71
2011-08-23,76
2011-08-24,75
2011-08-25,74
2011-08-26,75
2011-08-27,77
2011-08-28,77
2011-08-29,70
2011-08-30,74
2011-08-31,74
2011-09-01,74
2011-09-02,75
2011-09-03,78
2011-09-04,77
2011-09-05,70
2011-09-06,75
2011-09-07,77
2011-09-08,77
2011-09-09,77
2011-09-10,81
2011-09-11,79
2011-09-12,71
2011-09-13,78
2011-09-14,77
2011-09-15,76
2011-09-16,77
2011-09-17,79
2011-09-18,79
2011-09-19,71
2011-09-20,76
2011-09-21,76
2011-09-22,76
2011-09-23,76
2011-09-24,78
2011-09-25,78
2011-09-26,72
2011-09-27,78
2011-09-28,79
2011-09-29,80
2011-09-30,80
2011-10-01,84
2011-10-02,84
2011-10-03,75
2011-10-04,81
2011-10-05,82
2011-10-06,81
2011-10-07,80
2011-10-08,84
2011-10-09,81
2011-10-10,73
2011-10-11,78
2011-10-12,77
2011-10-13,75
2011-10-14,74
2011-10-15,77
2011-10-16,75
2011-10-17,68
2011-10-18,73
2011-10-19,74
2011-10-20,74
2011-10-21,74
2011-10-22,76
2011-10-23,76
2011-10-24,67
2011-10-25,72
2011-10-26,72
2011-10-27,72
2011-10-28,71
2011-10-29,74
2011-10-30,74
2011-10-31,67
2011-11-01,74
2011-11-02,74
2011-11-03,75
2011-11-04,75
2011-11-05,79
2011-11-06,79
2011-11-07,71
2011-11-08,75
2011-11-09,75
2011-11-10,74
2011-11-11,75
2011-11-12,75
2011-11-13,76
2011-11-14,69
2011-11-15,74
2011-11-16,74
2011-11-17,74
2011-11-18,74
2011-11-19,78
2011-11-20,76
2011-11-21,68
2011-11-22,73
2011-11-23,72
2011-11-24,72
2011-11-25,71
2011-11-26,73
2011-11-27,74
2011-11-28,67
2011-11-29,73
2011-11-30,73
2011-12-01,75
2011-12-02,76
2011-12-03,79
2011-12-04,78
2011-12-05,71
2011-12-06,76
2011-12-07,76
2011-12-08,76
2011-12-09,74
2011-12-10,77
2011-12-11,77
2011-12-12,70
2011-12-13,76
2011-12-14,76
2011-12-15,76
2011-12-16,78
2011-12-17,80
2011-12-18,80
2011-12-19,72
2011-12-20,78
2011-12-21,78
2011-12-22,80
2011-12-23,79
2011-12-24,83
2011-12-25,83
2011-12-26,71
2011-12-27,76
2011-12-28,77
2011-12-29,77
2011-12-30,76
2011-12-31,79
2012-01-01,78
2012-01-02,70
2012-01-03,77
2012-01-04,79
2012-01-05,78
2012-01-06,79
2012-01-07,81
2012-01-08,82
2012-01-09,74
2012-01-10,78
2012-01-11,78
2012-01-12,77
2012-01-13,77
2012-01-14,79
2012-01-15,79
2012-01-16,71
2012-01-17,77
2012-01-18,78
2012-01-19,77
2012-01-20,77
2012-01-21,80
2012-01-22,80
2012-01-23,72
2012-01-24,77
2012-01-25,77
2012-01-26,77
2012-01-27,76
2012-01-28,79
2012-01-29,80
2012-01-30,73
2012-01-31,81
2012-02-01,83
2012-02-02,84
2012-02-03,87
2012-02-04,91
2012-02-05,89
2012-02-06,79
2012-02-07,85
2012-02-08,85
2012-02-09,83
2012-02-10,83
2012-02-11,84
2012-02-12,85
2012-02-13,73
2012-02-14,80
2012-02-15,79
2012-02-16,79
2012-02-17,78
2012-02-18,81
2012-02-19,79
2012-02-20,71
2012-02-21,76
2012-02-22,75
2012-02-23,75
2012-02-24,75
2012-02-25,77
2012-02-26,79
2012-02-27,71
2012-02-28,79
2012-02-29,80
2012-03-01,82
2012-03-02,84
2012-03-03,88
2012-03-04,88
2012-03-05,78
2012-03-06,86
2012-03-07,85
2012-03-08,85
2012-03-09,83
2012-03-10,86
2012-03-11,86
2012-03-12,76
2012-03-13,82
2012-03-14,82
2012-03-15,81
2012-03-16,82
2012-03-17,83
2012-03-18,83
2012-03-19,73
2012-03-20,79
2012-03-21,79
2012-03-22,77
2012-03-23,78
2012-03-24,79
2012-03-25,78
2012-03-26,70
2012-03-27,76
2012-03-28,75
2012-03-29,77
2012-03-30,75
2012-03-31,78
2012-04-01,78
2012-04-02,69
2012-04-03,76
2012-04-04,76
2012-04-05,76
2012-04-06,77
2012-04-07,78
2012-04-08,77
2012-04-09,70
2012-04-10,72
2012-04-11,76
2012-04-12,75
2012-04-13,75
2012-04-14,78
2012-04-15,76
2012-04-16,69
2012-04-17,75
2012-04-18,76
2012-04-19,74
2012-04-20,75
2012-04-21,78
2012-04-22,77
2012-04-23,68
2012-04-24,74
2012-04-25,74
2012-04-26,73
2012-04-27,73
2012-04-28,76
2012-04-29,76
2012-04-30,68
2012-05-01,75
2012-05-02,73
2012-05-03,75
2012-05-04,76
2012-05-05,80
2012-05-06,79
2012-05-07,69
2012-05-08,76
2012-05-09,75
2012-05-10,75
2012-05-11,75
2012-05-12,78
2012-05-13,79
2012-05-14,70
2012-05-15,81
2012-05-16,83
2012-05-17,86
2012-05-18,77
2012-05-19,98
2012-05-20,94
2012-05-21,80
2012-05-22,88
2012-05-23,89
2012-05-24,90
2012-05-25,89
2012-05-26,92
2012-05-27,92
2012-05-28,81
2012-05-29,85
2012-05-30,85
2012-05-31,85
2012-06-01,86
2012-06-02,89
2012-06-03,86
2012-06-04,77
2012-06-05,83
2012-06-06,82
2012-06-07,82
2012-06-08,81
2012-06-09,84
2012-06-10,82
2012-06-11,73
2012-06-12,79
2012-06-13,80
2012-06-14,78
2012-06-15,77
2012-06-16,81
2012-06-17,80
2012-06-18,70
2012-06-19,77
2012-06-20,76
2012-06-21,77
2012-06-22,76
2012-06-23,78
2012-06-24,78
2012-06-25,70
2012-06-26,76
2012-06-27,77
2012-06-28,77
2012-06-29,76
2012-06-30,80
2012-07-01,80
2012-07-02,72
2012-07-03,79
2012-07-04,79
2012-07-05,79
2012-07-06,81
2012-07-07,84
2012-07-08,82
2012-07-09,73
2012-07-10,77
2012-07-11,78
2012-07-12,77
2012-07-13,75
2012-07-14,78
2012-07-15,76
2012-07-16,69
2012-07-17,74
2012-07-18,74
2012-07-19,74
2012-07-20,74
2012-07-21,76
2012-07-22,75
2012-07-23,68
2012-07-24,74
2012-07-25,73
2012-07-26,74
2012-07-27,73
2012-07-28,77
2012-07-29,76
2012-07-30,68
2012-07-31,75
2012-08-01,76
2012-08-02,77
2012-08-03,78
2012-08-04,82
2012-08-05,80
2012-08-06,71
2012-08-07,78
2012-08-08,77
2012-08-09,77
2012-08-10,76
2012-08-11,79
2012-08-12,77
2012-08-13,69
2012-08-14,75
2012-08-15,75
2012-08-16,73
2012-08-17,73
2012-08-18,77
2012-08-19,75
2012-08-20,68
2012-08-21,73
2012-08-22,73
2012-08-23,73
2012-08-24,73
2012-08-25,75
2012-08-26,74
2012-08-27,68
2012-08-28,73
2012-08-29,74
2012-08-30,74
2012-08-31,73
2012-09-01,77
2012-09-02,77
2012-09-03,69
2012-09-04,76
2012-09-05,76
2012-09-06,77
2012-09-07,78
2012-09-08,80
2012-09-09,79
2012-09-10,70
2012-09-11,77
2012-09-12,76
2012-09-13,75
2012-09-14,75
2012-09-15,77
2012-09-16,76
2012-09-17,68
2012-09-18,74
2012-09-19,74
2012-09-20,73
2012-09-21,73
2012-09-22,76
2012-09-23,74
2012-09-24,67
2012-09-25,72
2012-09-26,74
2012-09-27,73
2012-09-28,73
2012-09-29,77
2012-09-30,77
2012-10-01,70
2012-10-02,79
2012-10-03,80
2012-10-04,77
2012-10-05,82
2012-10-06,89
2012-10-07,89
2012-10-08,80
2012-10-09,88
2012-10-10,90
2012-10-11,92
2012-10-12,94
2012-10-13,98
2012-10-14,97
2012-10-15,85
2012-10-16,94
2012-10-17,95
2012-10-18,93
2012-10-19,94
2012-10-20,98
2012-10-21,96
2012-10-22,85
2012-10-23,93
2012-10-24,92
2012-10-25,93
2012-10-26,92
2012-10-27,96
2012-10-28,95
2012-10-29,84
2012-10-30,93
2012-10-31,94
2012-11-01,95
2012-11-02,95
2012-11-03,101
2012-11-04,99
2012-11-05,89
2012-11-06,98
2012-11-07,99
2012-11-08,98
2012-11-09,99
2012-11-10,105
2012-11-11,103
2012-11-12,89
2012-11-13,99
2012-11-14,97
2012-11-15,97
2012-11-16,97
2012-11-17,101
2012-11-18,99
2012-11-19,86
2012-11-20,95
2012-11-21,93
2012-11-22,93
2012-11-23,93
2012-11-24,95
2012-11-25,94
2012-11-26,85
2012-11-27,92
2012-11-28,93
2012-11-29,94
2012-11-30,93
2012-12-01,99
2012-12-02,97
2012-12-03,87
2012-12-04,95
2012-12-05,96
2012-12-06,97
2012-12-07,96
2012-12-08,101
2012-12-09,100
2012-12-10,87
2012-12-11,97
2012-12-12,98
2012-12-13,97
2012-12-14,97
2012-12-15,102
2012-12-16,101
2012-12-17,89
2012-12-18,98
2012-12-19,99
2012-12-20,99
2012-12-21,99
2012-12-22,104
2012-12-23,102
2012-12-24,93
2012-12-25,99
2012-12-26,88
2012-12-27,92
2012-12-28,92
2012-12-29,97
2012-12-30,95
2012-12-31,88
2013-01-01,97
2013-01-02,88
2013-01-03,97
2013-01-04,98
2013-01-05,103
2013-01-06,102
2013-01-07,90
2013-01-08,98
2013-01-09,99
2013-01-10,99
2013-01-11,99
2013-01-12,103
2013-01-13,101
2013-01-14,90
2013-01-15,96
2013-01-16,99
2013-01-17,98
2013-01-18,98
2013-01-19,102
2013-01-20,100
2013-01-21,87
2013-01-22,95
2013-01-23,94
2013-01-24,93
2013-01-25,93
2013-01-26,96
2013-01-27,96
2013-01-28,84
2013-01-29,93
2013-01-30,95
2013-01-31,95
2013-02-01,97
2013-02-02,102
2013-02-03,101
2013-02-04,88
2013-02-05,96
2013-02-06,97
2013-02-07,96
2013-02-08,96
2013-02-09,101
2013-02-10,97
2013-02-11,87
2013-02-12,94
2013-02-13,91
2013-02-14,92
2013-02-15,90
2013-02-16,95
2013-02-17,93
2013-02-18,83
2013-02-19,91
2013-02-20,91
2013-02-21,90
2013-02-22,91
2013-02-23,95
2013-02-24,93
2013-02-25,84
2013-02-26,93
2013-02-27,94
2013-02-28,93
2013-03-01,96
2013-03-02,102
2013-03-03,99
2013-03-04,87
2013-03-05,95
2013-03-06,96
2013-03-07,94
2013-03-08,95
2013-03-09,97
2013-03-10,96
2013-03-11,85
2013-03-12,92
2013-03-13,92
2013-03-14,91
2013-03-15,89
2013-03-16,94
2013-03-17,92
2013-03-18,81
2013-03-19,89
2013-03-20,87
2013-03-21,88
2013-03-22,88
2013-03-23,90
2013-03-24,90
2013-03-25,79
2013-03-26,88
2013-03-27,89
2013-03-28,90
2013-03-29,92
2013-03-30,93
2013-03-31,93
2013-05-01,90
2013-05-02,87
2013-05-03,92
2013-05-04,96
2013-05-05,94
2013-05-06,82
2013-05-07,91
2013-05-08,91
2013-05-09,91
2013-05-10,88
2013-05-11,94
2013-05-12,92
2013-05-13,81
2013-05-14,90
2013-05-15,90
2013-05-16,90
2013-05-17,90
2013-05-18,94
2013-05-19,93
2013-05-20,81
2013-05-21,88
2013-05-22,89
2013-05-23,90
2013-05-24,90
2013-05-25,94
2013-05-26,92
2013-05-27,81
2013-05-28,90
2013-05-29,91
2013-05-30,91
2013-05-31,90
2013-06-01,96
2013-06-02,95
2013-06-03,82
2013-06-04,92
2013-06-05,92
2013-06-06,92
2013-06-07,91
2013-06-08,96
2013-06-09,94
2013-06-10,83
2013-06-11,92
2013-06-12,91
2013-06-13,92
2013-06-14,91
2013-06-15,96
2013-06-16,94
2013-06-17,82
2013-06-18,91
2013-06-19,90
2013-06-20,90
2013-06-21,90
2013-06-22,94
2013-06-23,92
2013-06-24,82
2013-06-25,90
2013-06-26,91
2013-06-27,90
2013-06-28,90
2013-06-29,97
2013-06-30,94
2013-07-01,85
2013-07-02,95
2013-07-03,96
2013-07-04,97
2013-07-05,97
2013-07-06,104
2013-07-07,100
2013-07-08,88
2013-07-09,96
2013-07-10,95
2013-07-11,94
2013-07-12,94
2013-07-13,97
