Date,Montage
2013-02-09,85
2013-02-10,82
2013-02-11,80
2013-02-12,77
2013-02-13,74
2013-02-14,72
2013-02-15,69
2013-02-16,66
2013-02-17,65
2013-02-18,62
2013-02-19,61
2013-02-20,59
2013-02-21,58
2013-02-22,57
2013-02-23,55
2013-02-24,57
2013-02-25,59
2013-02-26,61
2013-02-27,63
2013-02-28,65
2013-03-01,67
2013-03-02,68
2013-03-03,72
2013-03-04,75
2013-03-05,78
2013-03-06,81
2013-03-07,84
2013-03-08,87
2013-03-09,91
2013-03-10,88
2013-03-11,84
2013-03-12,82
2013-03-13,79
2013-03-14,76
2013-03-15,74
2013-03-16,71
2013-03-17,75
2013-03-18,80
2013-03-19,84
2013-03-20,88
2013-03-21,93
2013-03-22,97
2013-03-23,101
2013-03-24,96
2013-03-25,89
2013-03-26,83
2013-03-27,78
2013-03-28,73
2013-03-29,68
2013-03-30,63
2013-03-31,63
2013-05-05,42
2013-05-06,46
2013-05-07,48
2013-05-08,51
2013-05-09,54
2013-05-10,57
2013-05-11,60
2013-05-12,59
2013-05-13,55
2013-05-14,55
2013-05-15,54
2013-05-16,53
2013-05-17,52
2013-05-18,51
2013-05-19,56
2013-05-20,64
2013-05-21,70
2013-05-22,76
2013-05-23,81
2013-05-24,87
2013-05-25,93
2013-05-26,90
2013-05-27,85
2013-05-28,81
2013-05-29,78
2013-05-30,74
2013-05-31,70
2013-06-01,67
2013-06-02,67
2013-06-03,68
2013-06-04,69
2013-06-05,70
2013-06-06,71
2013-06-07,72
2013-06-08,73
2013-06-09,71
2013-06-10,68
2013-06-11,66
2013-06-12,65
2013-06-13,63
2013-06-14,61
2013-06-15,59
2013-06-16,60
2013-06-17,61
2013-06-18,61
2013-06-19,62
2013-06-20,62
2013-06-21,63
2013-06-22,63
2013-06-23,66
2013-06-24,69
2013-06-25,72
2013-06-26,75
2013-06-27,77
2013-06-28,80
2013-06-29,83
2013-06-30,80
2013-07-01,77
2013-07-02,74
2013-07-03,71
2013-07-04,68
2013-07-05,65
2013-07-06,62
2013-07-07,62
2013-07-08,63
2013-07-09,63
2013-07-10,64
2013-07-11,64
2013-07-12,65
2013-07-13,65
2013-07-14,63
2013-07-15,60
2013-07-16,57
2013-07-17,55
2013-07-18,53
2013-07-19,51
2013-07-20,48
2013-07-21,51
2013-07-22,54
2013-07-23,57
2013-07-24,60
2013-07-25,63
2013-07-26,66
2013-07-27,69
2013-07-28,66
2013-08-04,50
2013-08-05,49
2013-08-06,49
2013-08-07,48
2013-08-08,47
2013-08-09,46
2013-08-10,46
2013-08-11,46
2013-08-12,45
2013-08-13,45
2013-08-14,45
2013-08-15,45
2013-08-16,45
2013-08-17,45
2013-08-18,46
2013-08-19,48
2013-08-20,49
2013-08-21,50
2013-08-22,51
2013-08-23,52
2013-08-24,53
2013-08-25,54
2013-08-26,53
2013-08-27,54
2013-08-28,54
2013-08-29,54
2013-08-30,55
2013-08-31,55
2013-09-01,55
2013-09-02,55
2013-09-03,55
2013-09-04,54
2013-09-05,54
2013-09-06,53
2013-09-07,53
2013-09-08,56
2013-09-09,58
2013-09-10,61
2013-09-11,64
2013-09-12,66
2013-09-13,69
2013-09-14,72
2013-09-15,70
2013-09-16,67
2013-09-17,65
2013-09-18,63
2013-09-19,61
2013-09-20,59
2013-09-21,57
2013-09-22,62
2013-09-23,69
