Date,Conatus
2012-12-01,0
2012-12-02,2
2012-12-03,5
2012-12-04,8
2012-12-05,11
2012-12-06,14
2012-12-07,17
2012-12-08,19
2012-12-09,22
2012-12-10,25
2012-12-11,28
2012-12-12,31
2012-12-13,34
2012-12-14,36
2012-12-15,39
2012-12-16,42
2012-12-17,45
2012-12-18,48
2012-12-19,51
2012-12-20,53
2012-12-21,56
2012-12-22,59
2012-12-23,62
2012-12-24,65
2012-12-25,68
2012-12-26,70
2012-12-27,73
2012-12-28,76
2012-12-29,79
2012-12-30,82
2012-12-31,85
2013-01-01,88
2013-01-02,87
2013-01-03,87
2013-01-04,87
2013-01-05,87
2013-01-06,87
2013-01-07,87
2013-01-08,87
2013-01-09,86
2013-01-10,86
2013-01-11,86
2013-01-12,86
2013-01-13,86
2013-01-14,86
2013-01-15,86
2013-01-16,86
2013-01-17,85
2013-01-18,85
2013-01-19,85
2013-01-20,85
2013-01-21,85
2013-01-22,85
2013-01-23,85
2013-01-24,85
2013-01-25,84
2013-01-26,84
2013-01-27,84
2013-01-28,84
2013-01-29,84
2013-01-30,84
2013-01-31,84
2013-02-01,84
2013-02-02,84
2013-02-03,84
2013-02-04,84
2013-02-05,84
2013-02-06,84
2013-02-07,84
2013-02-08,84
2013-02-09,84
2013-02-10,84
2013-02-11,84
2013-02-12,84
2013-02-13,84
2013-02-14,84
2013-02-15,84
2013-02-16,84
2013-02-17,84
2013-02-18,84
2013-02-19,84
2013-02-20,84
2013-02-21,84
2013-02-22,84
2013-02-23,84
2013-02-24,84
2013-02-25,84
2013-02-26,84
2013-02-27,84
2013-02-28,84
2013-03-01,84
2013-03-02,84
2013-03-03,84
2013-03-04,84
2013-03-05,84
2013-03-06,84
2013-03-07,84
2013-03-08,84
2013-03-09,84
2013-03-10,84
2013-03-11,84
2013-03-12,84
2013-03-13,84
2013-03-14,84
2013-03-15,84
2013-03-16,84
2013-03-17,84
2013-03-18,84
2013-03-19,84
2013-03-20,84
2013-03-21,84
2013-03-22,84
2013-03-23,84
2013-03-24,84
2013-03-25,84
2013-03-26,84
2013-03-27,84
2013-03-28,84
2013-03-29,84
2013-03-30,84
2013-03-31,84
2013-04-01,84
2013-04-02,84
2013-04-03,84
2013-04-04,84
2013-04-05,84
2013-04-06,84
2013-04-07,84
2013-04-08,84
2013-04-09,84
2013-04-10,84
2013-04-11,84
2013-04-12,84
2013-04-13,84
2013-04-14,84
2013-04-15,84
2013-04-16,84
2013-04-17,84
2013-04-18,84
2013-04-19,84
2013-04-20,84
2013-04-21,84
2013-04-22,84
2013-04-23,84
2013-04-24,84
2013-04-25,84
2013-04-26,84
2013-04-27,84
2013-04-28,84
2013-04-29,84
2013-04-30,84
2013-05-01,84
2013-05-02,84
2013-05-03,84
2013-05-04,84
2013-05-05,85
2013-05-06,85
2013-05-07,85
2013-05-08,85
2013-05-09,86
2013-05-10,86
2013-05-11,86
2013-05-12,86
2013-05-13,87
2013-05-14,87
2013-05-15,87
2013-05-16,87
2013-05-17,88
2013-05-18,88
2013-05-19,88
2013-05-20,88
2013-05-21,89
2013-05-22,89
2013-05-23,89
2013-05-24,89
2013-05-25,90
2013-05-26,90
2013-05-27,90
2013-05-28,90
2013-05-29,91
2013-05-30,91
2013-05-31,91
2013-06-01,92
2013-06-02,92
2013-06-03,92
2013-06-04,92
2013-06-05,93
2013-06-06,93
2013-06-07,93
2013-06-08,93
2013-06-09,94
2013-06-10,94
2013-06-11,94
2013-06-12,94
2013-06-13,95
2013-06-14,95
2013-06-15,95
2013-06-16,96
2013-06-17,96
2013-06-18,96
2013-06-19,96
2013-06-20,97
2013-06-21,97
2013-06-22,97
2013-06-23,97
2013-06-24,98
2013-06-25,98
2013-06-26,98
2013-06-27,98
2013-06-28,99
2013-06-29,99
2013-06-30,99
2013-07-01,100
2013-07-02,99
2013-07-03,99
2013-07-04,98
2013-07-05,98
2013-07-06,97
2013-07-07,97
2013-07-08,96
2013-07-09,96
2013-07-10,95
2013-07-11,95
2013-07-12,94
2013-07-13,94
2013-07-14,93
2013-07-15,93
2013-07-16,92
2013-07-17,92
2013-07-18,91
2013-07-19,91
2013-07-20,90
2013-07-21,90
2013-07-22,89
2013-07-23,89
2013-07-24,88
2013-07-25,88
2013-07-26,87
2013-07-27,87
2013-07-28,86
2013-07-29,86
2013-07-30,85
2013-07-31,85
2013-08-01,85
2013-08-02,85
2013-08-03,85
2013-08-04,85
2013-08-05,85
2013-08-06,85
2013-08-07,85
2013-08-08,85
2013-08-09,85
2013-08-10,85
2013-08-11,85
2013-08-12,85
2013-08-13,85
2013-08-14,85
2013-08-15,85
2013-08-16,85
2013-08-17,85
2013-08-18,85
2013-08-19,85
2013-08-20,85
2013-08-21,85
2013-08-22,85
2013-08-23,85
2013-08-24,85
2013-08-25,85
2013-08-26,85
2013-08-27,85
2013-08-28,85
2013-08-29,85
2013-08-30,85
2013-08-31,85
2013-09-01,85
2013-09-02,85
2013-09-03,85
2013-09-04,85
2013-09-05,85
2013-09-06,85
2013-09-07,85
2013-09-08,85
2013-09-09,85
2013-09-10,85
2013-09-11,85
2013-09-12,85
2013-09-13,85
2013-09-14,85
2013-09-15,85
2013-09-16,85
2013-09-17,85
2013-09-18,85
2013-09-19,85
2013-09-20,85
2013-09-21,85
2013-09-22,85
2013-09-23,85
2013-09-24,85
2013-09-25,85
2013-09-26,85
2013-09-27,85
2013-09-28,85
2013-09-29,85
2013-09-30,85
2013-10-01,85
2013-10-02,84
2013-10-03,84
2013-10-04,84
2013-10-05,84
2013-10-06,84
2013-10-07,84
2013-10-08,84
2013-10-09,84
2013-10-10,84
2013-10-11,84
2013-10-12,83
2013-10-13,83
2013-10-14,83
2013-10-15,83
2013-10-16,83
2013-10-17,83
2013-10-18,83
2013-10-19,83
2013-10-20,83
2013-10-21,83
2013-10-22,82
2013-10-23,82
2013-10-24,82
2013-10-25,82
2013-10-26,82
2013-10-27,82
2013-10-28,82
2013-10-29,82
2013-10-30,82
2013-10-31,82
2013-11-01,82
2013-11-02,82
2013-11-03,82
2013-11-04,82
2013-11-05,82
2013-11-06,82
2013-11-07,82
2013-11-08,82
2013-11-09,82
2013-11-10,82
2013-11-11,82
2013-11-12,82
2013-11-13,82
2013-11-14,82
2013-11-15,82
2013-11-16,82
2013-11-17,82
2013-11-18,82
2013-11-19,82
2013-11-20,82
2013-11-21,82
2013-11-22,82
2013-11-23,82
2013-11-24,82
2013-11-25,82
2013-11-26,82
2013-11-27,82
2013-11-28,82
2013-11-29,82
2013-11-30,82
2013-12-01,82
2013-12-02,82
2013-12-03,82
2013-12-04,82
2013-12-05,82
2013-12-06,82
2013-12-07,82
2013-12-08,82
2013-12-09,82
2013-12-10,82
2013-12-11,82
2013-12-12,82
2013-12-13,82
2013-12-14,82
2013-12-15,82
2013-12-16,82
2013-12-17,82
2013-12-18,82
2013-12-19,82
2013-12-20,82
2013-12-21,82
2013-12-22,82
2013-12-23,82
2013-12-24,82
2013-12-25,82
2013-12-26,82
2013-12-27,82
2013-12-28,82
2013-12-29,82
2013-12-30,82
2013-12-31,82
2014-01-01,82
