Date,Constant Contact
2007-01-01,0
2007-01-02,0
2007-01-03,0
2007-01-04,0
2007-01-05,0
2007-01-06,0
2007-01-07,0
2007-01-08,0
2007-01-09,0
2007-01-10,0
2007-01-11,0
2007-01-12,0
2007-01-13,0
2007-01-14,0
2007-01-15,0
2007-01-16,0
2007-01-17,0
2007-01-18,0
2007-01-19,0
2007-01-20,0
2007-01-21,0
2007-01-22,0
2007-01-23,0
2007-01-24,0
2007-01-25,0
2007-01-26,0
2007-01-27,0
2007-01-28,0
2007-01-29,0
2007-01-30,0
2007-01-31,0
2007-02-01,0
2007-02-02,1
2007-02-03,3
2007-02-04,5
2007-02-05,7
2007-02-06,9
2007-02-07,11
2007-02-08,13
2007-02-09,14
2007-02-10,16
2007-02-11,18
2007-02-12,20
2007-02-13,22
2007-02-14,24
2007-02-15,26
2007-02-16,27
2007-02-17,29
2007-02-18,31
2007-02-19,33
2007-02-20,35
2007-02-21,37
2007-02-22,39
2007-02-23,40
2007-02-24,42
2007-02-25,44
2007-02-26,46
2007-02-27,48
2007-02-28,50
2007-03-01,52
2007-03-02,53
2007-03-03,54
2007-03-04,55
2007-03-05,56
2007-03-06,57
2007-03-07,58
2007-03-08,60
2007-03-09,61
2007-03-10,62
2007-03-11,63
2007-03-12,64
2007-03-13,65
2007-03-14,67
2007-03-15,68
2007-03-16,69
2007-03-17,70
2007-03-18,71
2007-03-19,72
2007-03-20,74
2007-03-21,75
2007-03-22,76
2007-03-23,77
2007-03-24,78
2007-03-25,79
2007-03-26,81
2007-03-27,82
2007-03-28,83
2007-03-29,84
2007-03-30,85
2007-03-31,86
2007-04-01,88
2007-04-02,86
2007-04-03,84
2007-04-04,83
2007-04-05,81
2007-04-06,80
2007-04-07,78
2007-04-08,77
2007-04-09,75
2007-04-10,74
2007-04-11,72
2007-04-12,71
2007-04-13,69
2007-04-14,68
2007-04-15,66
2007-04-16,65
2007-04-17,63
2007-04-18,61
2007-04-19,60
2007-04-20,58
2007-04-21,57
2007-04-22,55
2007-04-23,54
2007-04-24,52
2007-04-25,51
2007-04-26,49
2007-04-27,48
2007-04-28,46
2007-04-29,45
2007-04-30,43
2007-05-01,42
2007-05-02,42
2007-05-03,42
2007-05-04,42
2007-05-05,42
2007-05-06,42
2007-05-07,42
2007-05-08,42
2007-05-09,42
2007-05-10,42
2007-05-11,42
2007-05-12,42
2007-05-13,42
2007-05-14,42
2007-05-15,42
2007-05-16,42
2007-05-17,42
2007-05-18,42
2007-05-19,42
2007-05-20,42
2007-05-21,42
2007-05-22,42
2007-05-23,42
2007-05-24,42
2007-05-25,42
2007-05-26,42
2007-05-27,42
2007-05-28,42
2007-05-29,42
2007-05-30,42
2007-05-31,42
2007-06-01,42
2007-06-02,42
2007-06-03,42
2007-06-04,42
2007-06-05,42
2007-06-06,42
2007-06-07,42
2007-06-08,42
2007-06-09,42
2007-06-10,42
2007-06-11,42
2007-06-12,42
2007-06-13,42
2007-06-14,42
2007-06-15,42
2007-06-16,42
2007-06-17,42
2007-06-18,42
2007-06-19,42
2007-06-20,42
2007-06-21,42
2007-06-22,42
2007-06-23,42
2007-06-24,42
2007-06-25,42
2007-06-26,42
2007-06-27,42
2007-06-28,42
2007-06-29,42
2007-06-30,42
2007-07-01,42
2007-07-02,42
2007-07-03,43
2007-07-04,43
2007-07-05,44
2007-07-06,45
2007-07-07,45
2007-07-08,46
2007-07-09,46
2007-07-10,47
2007-07-11,48
2007-07-12,48
2007-07-13,49
2007-07-14,49
2007-07-15,50
2007-07-16,51
2007-07-17,51
2007-07-18,52
2007-07-19,53
2007-07-20,53
2007-07-21,54
2007-07-22,54
2007-07-23,55
2007-07-24,56
2007-07-25,56
2007-07-26,57
2007-07-27,57
2007-07-28,58
2007-07-29,59
2007-07-30,59
2007-07-31,60
2007-08-01,61
2007-08-02,61
2007-08-03,62
2007-08-04,62
2007-08-05,63
2007-08-06,63
2007-08-07,64
2007-08-08,65
2007-08-09,65
2007-08-10,66
2007-08-11,66
2007-08-12,67
2007-08-13,67
2007-08-14,68
2007-08-15,69
2007-08-16,69
2007-08-17,70
2007-08-18,70
2007-08-19,71
2007-08-20,72
2007-08-21,72
2007-08-22,73
2007-08-23,73
2007-08-24,74
2007-08-25,74
2007-08-26,75
2007-08-27,76
2007-08-28,76
2007-08-29,77
2007-08-30,77
2007-08-31,78
2007-09-01,79
2007-09-02,79
2007-09-03,80
2007-09-04,81
2007-09-05,81
2007-09-06,82
2007-09-07,83
2007-09-08,83
2007-09-09,84
2007-09-10,85
2007-09-11,86
2007-09-12,86
2007-09-13,87
2007-09-14,88
2007-09-15,88
2007-09-16,89
2007-09-17,90
2007-09-18,90
2007-09-19,91
2007-09-20,92
2007-09-21,93
2007-09-22,93
2007-09-23,94
2007-09-24,95
2007-09-25,95
2007-09-26,96
2007-09-27,97
2007-09-28,97
2007-09-29,98
2007-09-30,99
2007-10-01,100
2007-10-02,98
2007-10-03,97
2007-10-04,96
2007-10-05,95
2007-10-06,94
2007-10-07,92
2007-10-08,91
2007-10-09,90
2007-10-10,89
2007-10-11,88
2007-10-12,86
2007-10-13,85
2007-10-14,84
2007-10-15,83
2007-10-16,82
2007-10-17,80
2007-10-18,79
2007-10-19,78
2007-10-20,77
2007-10-21,76
2007-10-22,74
2007-10-23,73
2007-10-24,72
2007-10-25,71
2007-10-26,70
2007-10-27,68
2007-10-28,67
2007-10-29,66
2007-10-30,65
2007-10-31,64
2007-11-01,63
2007-11-02,62
2007-11-03,61
2007-11-04,60
2007-11-05,59
2007-11-06,58
2007-11-07,57
2007-11-08,56
2007-11-09,56
2007-11-10,55
2007-11-11,54
2007-11-12,53
2007-11-13,52
2007-11-14,51
2007-11-15,50
2007-11-16,50
2007-11-17,49
2007-11-18,48
2007-11-19,47
2007-11-20,46
2007-11-21,45
2007-11-22,44
2007-11-23,43
2007-11-24,43
2007-11-25,42
2007-11-26,41
2007-11-27,40
2007-11-28,39
2007-11-29,38
2007-11-30,37
2007-12-01,37
2007-12-02,38
2007-12-03,39
2007-12-04,40
2007-12-05,41
2007-12-06,42
2007-12-07,43
2007-12-08,44
2007-12-09,46
2007-12-10,47
2007-12-11,48
2007-12-12,49
2007-12-13,50
2007-12-14,51
2007-12-15,52
2007-12-16,53
2007-12-17,55
2007-12-18,56
2007-12-19,57
2007-12-20,58
2007-12-21,59
2007-12-22,60
2007-12-23,61
2007-12-24,62
2007-12-25,64
2007-12-26,65
2007-12-27,66
2007-12-28,67
2007-12-29,68
2007-12-30,69
2007-12-31,70
2008-01-01,72
2008-01-02,72
2008-01-03,73
2008-01-04,73
2008-01-05,74
2008-01-06,74
2008-01-07,75
2008-01-08,75
2008-01-09,76
2008-01-10,76
2008-01-11,77
2008-01-12,77
2008-01-13,78
2008-01-14,78
2008-01-15,79
2008-01-16,79
2008-01-17,80
2008-01-18,80
2008-01-19,81
2008-01-20,81
2008-01-21,82
2008-01-22,82
2008-01-23,83
2008-01-24,83
2008-01-25,84
2008-01-26,84
2008-01-27,85
2008-01-28,85
2008-01-29,86
2008-01-30,86
2008-01-31,87
2008-02-01,88
2008-02-02,87
2008-02-03,86
2008-02-04,86
2008-02-05,85
2008-02-06,84
2008-02-07,84
2008-02-08,83
2008-02-09,82
2008-02-10,82
2008-02-11,81
2008-02-12,80
2008-02-13,80
2008-02-14,79
2008-02-15,78
2008-02-16,78
2008-02-17,77
2008-02-18,76
2008-02-19,76
2008-02-20,75
2008-02-21,74
2008-02-22,74
2008-02-23,73
2008-02-24,72
2008-02-25,72
2008-02-26,71
2008-02-27,70
2008-02-28,70
2008-02-29,69
2008-03-01,69
2008-03-02,68
2008-03-03,67
2008-03-04,66
2008-03-05,65
2008-03-06,64
2008-03-07,63
2008-03-08,63
2008-03-09,62
2008-03-10,61
2008-03-11,60
2008-03-12,59
2008-03-13,58
2008-03-14,58
2008-03-15,57
2008-03-16,56
2008-03-17,55
2008-03-18,54
2008-03-19,53
2008-03-20,53
2008-03-21,52
2008-03-22,51
2008-03-23,50
2008-03-24,49
2008-03-25,48
2008-03-26,48
2008-03-27,47
2008-03-28,46
2008-03-29,45
2008-03-30,44
2008-03-31,43
2008-04-01,43
2008-04-02,43
2008-04-03,43
2008-04-04,44
2008-04-05,44
2008-04-06,45
2008-04-07,45
2008-04-08,45
2008-04-09,46
2008-04-10,46
2008-04-11,47
2008-04-12,47
2008-04-13,47
2008-04-14,48
2008-04-15,48
2008-04-16,49
2008-04-17,49
2008-04-18,49
2008-04-19,50
2008-04-20,50
2008-04-21,51
2008-04-22,51
2008-04-23,51
2008-04-24,52
2008-04-25,52
2008-04-26,53
2008-04-27,53
2008-04-28,53
2008-04-29,54
2008-04-30,54
2008-05-01,55
2008-05-02,55
2008-05-03,55
2008-05-04,56
2008-05-05,56
2008-05-06,57
2008-05-07,57
2008-05-08,58
2008-05-09,58
2008-05-10,59
2008-05-11,59
2008-05-12,59
2008-05-13,60
2008-05-14,60
2008-05-15,61
2008-05-16,61
2008-05-17,62
2008-05-18,62
2008-05-19,63
2008-05-20,63
2008-05-21,64
2008-05-22,64
2008-05-23,64
2008-05-24,65
2008-05-25,65
2008-05-26,66
2008-05-27,66
2008-05-28,67
2008-05-29,67
2008-05-30,68
2008-05-31,68
2008-06-01,69
2008-06-02,68
2008-06-03,67
2008-06-04,67
2008-06-05,66
2008-06-06,66
2008-06-07,65
2008-06-08,65
2008-06-09,64
2008-06-10,63
2008-06-11,63
2008-06-12,62
2008-06-13,62
2008-06-14,61
2008-06-15,61
2008-06-16,60
2008-06-17,59
2008-06-18,59
2008-06-19,58
2008-06-20,58
2008-06-21,57
2008-06-22,57
2008-06-23,56
2008-06-24,55
2008-06-25,55
2008-06-26,54
2008-06-27,54
2008-06-28,53
2008-06-29,53
2008-06-30,52
2008-07-01,52
2008-07-02,52
2008-07-03,52
2008-07-04,52
2008-07-05,52
2008-07-06,52
2008-07-07,52
2008-07-08,52
2008-07-09,53
2008-07-10,53
2008-07-11,53
2008-07-12,53
2008-07-13,53
2008-07-14,53
2008-07-15,53
2008-07-16,53
2008-07-17,54
2008-07-18,54
2008-07-19,54
2008-07-20,54
2008-07-21,54
2008-07-22,54
2008-07-23,54
2008-07-24,54
2008-07-25,55
2008-07-26,55
2008-07-27,55
2008-07-28,55
2008-07-29,55
2008-07-30,55
2008-07-31,55
2008-08-01,56
2008-08-02,56
2008-08-03,56
2008-08-04,56
2008-08-05,56
2008-08-06,56
2008-08-07,56
2008-08-08,56
2008-08-09,56
2008-08-10,56
2008-08-11,56
2008-08-12,56
2008-08-13,56
2008-08-14,56
2008-08-15,56
2008-08-16,56
2008-08-17,56
2008-08-18,56
2008-08-19,56
2008-08-20,56
2008-08-21,56
2008-08-22,56
2008-08-23,56
2008-08-24,56
2008-08-25,56
2008-08-26,56
2008-08-27,56
2008-08-28,56
2008-08-29,56
2008-08-30,56
2008-08-31,56
2008-09-01,56
2008-09-02,56
2008-09-03,57
2008-09-04,58
2008-09-05,59
2008-09-06,60
2008-09-07,61
2008-09-08,62
2008-09-09,63
2008-09-10,64
2008-09-11,65
2008-09-12,66
2008-09-13,67
2008-09-14,68
2008-09-15,69
2008-09-16,70
2008-09-17,70
2008-09-18,71
2008-09-19,72
2008-09-20,73
2008-09-21,74
2008-09-22,75
2008-09-23,76
2008-09-24,77
2008-09-25,78
2008-09-26,79
2008-09-27,80
2008-09-28,81
2008-09-29,82
2008-09-30,83
2008-10-01,84
2008-10-02,83
2008-10-03,83
2008-10-04,83
2008-10-05,83
2008-10-06,83
2008-10-07,83
2008-10-08,83
2008-10-09,83
2008-10-10,83
2008-10-11,83
2008-10-12,83
2008-10-13,83
2008-10-14,83
2008-10-15,83
2008-10-16,83
2008-10-17,83
2008-10-18,83
2008-10-19,83
2008-10-20,83
2008-10-21,83
2008-10-22,83
2008-10-23,83
2008-10-24,83
2008-10-25,83
2008-10-26,83
2008-10-27,83
2008-10-28,83
2008-10-29,83
2008-10-30,83
2008-10-31,83
2008-11-01,83
2008-11-02,82
2008-11-03,81
2008-11-04,81
2008-11-05,80
2008-11-06,80
2008-11-07,79
2008-11-08,79
2008-11-09,78
2008-11-10,78
2008-11-11,77
2008-11-12,77
2008-11-13,76
2008-11-14,76
2008-11-15,75
2008-11-16,75
2008-11-17,74
2008-11-18,73
2008-11-19,73
2008-11-20,72
2008-11-21,72
2008-11-22,71
2008-11-23,71
2008-11-24,70
2008-11-25,70
2008-11-26,69
2008-11-27,69
2008-11-28,68
2008-11-29,68
2008-11-30,67
2008-12-01,67
