Date,CommScope Holding
2013-02-01,64
2013-02-02,63
2013-02-03,63
2013-02-04,62
2013-02-05,62
2013-02-06,62
2013-02-07,61
2013-02-08,61
2013-02-09,61
2013-02-10,60
2013-02-11,60
2013-02-12,60
2013-02-13,59
2013-02-14,59
2013-02-15,59
2013-02-16,58
2013-02-17,58
2013-02-18,57
2013-02-19,57
2013-02-20,57
2013-02-21,56
2013-02-22,56
2013-02-23,56
2013-02-24,55
2013-02-25,55
2013-02-26,55
2013-02-27,54
2013-02-28,54
2013-03-01,54
2013-03-02,54
2013-03-03,54
2013-03-04,54
2013-03-05,54
2013-03-06,54
2013-03-07,54
2013-03-08,54
2013-03-09,54
2013-03-10,54
2013-03-11,54
2013-03-12,55
2013-03-13,55
2013-03-14,55
2013-03-15,55
2013-03-16,55
2013-03-17,55
2013-03-18,55
2013-03-19,55
2013-03-20,55
2013-03-21,55
2013-03-22,56
2013-03-23,56
2013-03-24,56
2013-03-25,56
2013-03-26,56
2013-03-27,56
2013-03-28,56
2013-03-29,56
2013-03-30,56
2013-03-31,56
2013-04-01,57
2013-04-02,57
2013-04-03,57
2013-04-04,57
2013-04-05,57
2013-04-06,57
2013-04-07,57
2013-04-08,57
2013-04-09,57
2013-04-10,57
2013-04-11,57
2013-04-12,57
2013-04-13,57
2013-04-14,57
2013-04-15,57
2013-04-16,58
2013-04-17,58
2013-04-18,58
2013-04-19,58
2013-04-20,58
2013-04-21,58
2013-04-22,58
2013-04-23,58
2013-04-24,58
2013-04-25,58
2013-04-26,58
2013-04-27,58
2013-04-28,58
2013-04-29,58
2013-04-30,58
2013-05-01,59
2013-05-02,59
2013-05-03,59
2013-05-04,59
2013-05-05,59
2013-05-06,59
2013-05-07,59
2013-05-08,59
2013-05-09,59
2013-05-10,59
2013-05-11,59
2013-05-12,59
2013-05-13,59
2013-05-14,59
2013-05-15,59
2013-05-16,59
2013-05-17,60
2013-05-18,60
2013-05-19,60
2013-05-20,60
2013-05-21,60
2013-05-22,60
2013-05-23,60
2013-05-24,60
2013-05-25,60
2013-05-26,60
2013-05-27,60
2013-05-28,60
2013-05-29,60
2013-05-30,60
2013-05-31,60
2013-06-01,61
2013-06-02,61
2013-06-03,62
2013-06-04,62
2013-06-05,63
2013-06-06,63
2013-06-07,64
2013-06-08,64
2013-06-09,65
2013-06-10,65
2013-06-11,66
2013-06-12,66
2013-06-13,67
2013-06-14,67
2013-06-15,68
2013-06-16,69
2013-06-17,69
2013-06-18,70
2013-06-19,70
2013-06-20,71
2013-06-21,71
2013-06-22,72
2013-06-23,72
2013-06-24,73
2013-06-25,73
2013-06-26,74
2013-06-27,74
2013-06-28,75
2013-06-29,75
2013-06-30,76
2013-07-01,77
2013-07-02,76
2013-07-03,75
2013-07-04,74
2013-07-05,74
2013-07-06,73
2013-07-07,72
2013-07-08,71
2013-07-09,71
2013-07-10,70
2013-07-11,69
2013-07-12,68
2013-07-13,68
2013-07-14,67
2013-07-15,66
2013-07-16,65
2013-07-17,65
2013-07-18,64
2013-07-19,63
2013-07-20,62
2013-07-21,62
2013-07-22,61
2013-07-23,60
2013-07-24,59
2013-07-25,59
2013-07-26,58
2013-07-27,57
2013-07-28,56
2013-07-29,56
2013-07-30,55
2013-07-31,54
2013-08-01,54
2013-08-02,54
2013-08-03,54
2013-08-04,54
2013-08-05,54
2013-08-06,55
2013-08-07,55
2013-08-08,55
2013-08-09,55
2013-08-10,56
2013-08-11,56
2013-08-12,56
2013-08-13,56
2013-08-14,56
2013-08-15,57
2013-08-16,57
2013-08-17,57
2013-08-18,57
2013-08-19,58
2013-08-20,58
2013-08-21,58
2013-08-22,58
2013-08-23,58
2013-08-24,59
2013-08-25,59
2013-08-26,59
2013-08-27,59
2013-08-28,60
2013-08-29,60
2013-08-30,60
2013-08-31,60
2013-09-01,61
2013-09-02,62
2013-09-03,63
2013-09-04,64
