Date,Convergex
2012-12-01,82
2012-12-02,82
2012-12-03,83
2012-12-04,83
2012-12-05,84
2012-12-06,84
2012-12-07,85
2012-12-08,86
2012-12-09,86
2012-12-10,87
2012-12-11,87
2012-12-12,88
2012-12-13,88
2012-12-14,89
2012-12-15,90
2012-12-16,90
2012-12-17,91
2012-12-18,91
2012-12-19,92
2012-12-20,93
2012-12-21,93
2012-12-22,94
2012-12-23,94
2012-12-24,95
2012-12-25,95
2012-12-26,96
2012-12-27,97
2012-12-28,97
2012-12-29,98
2012-12-30,98
2012-12-31,99
2013-01-01,100
2013-01-02,99
2013-01-03,98
2013-01-04,98
2013-01-05,97
2013-01-06,97
2013-01-07,96
2013-01-08,95
2013-01-09,95
2013-01-10,94
2013-01-11,94
2013-01-12,93
2013-01-13,93
2013-01-14,92
2013-01-15,91
2013-01-16,91
2013-01-17,90
2013-01-18,90
2013-01-19,89
2013-01-20,88
2013-01-21,88
2013-01-22,87
2013-01-23,87
2013-01-24,86
2013-01-25,86
2013-01-26,85
2013-01-27,84
2013-01-28,84
2013-01-29,83
2013-01-30,83
2013-01-31,82
2013-02-01,82
2013-02-02,81
2013-02-03,80
2013-02-04,80
2013-02-05,79
2013-02-06,78
2013-02-07,78
2013-02-08,77
2013-02-09,76
2013-02-10,76
2013-02-11,75
2013-02-12,74
2013-02-13,74
2013-02-14,73
2013-02-15,73
2013-02-16,72
2013-02-17,71
2013-02-18,71
2013-02-19,70
2013-02-20,69
2013-02-21,69
2013-02-22,68
2013-02-23,67
2013-02-24,67
2013-02-25,66
2013-02-26,65
2013-02-27,65
2013-02-28,64
2013-03-01,64
2013-03-02,64
2013-03-03,64
2013-03-04,64
2013-03-05,64
2013-03-06,64
2013-03-07,64
2013-03-08,64
2013-03-09,65
2013-03-10,65
2013-03-11,65
2013-03-12,65
2013-03-13,65
2013-03-14,65
2013-03-15,65
2013-03-16,65
2013-03-17,66
2013-03-18,66
2013-03-19,66
2013-03-20,66
2013-03-21,66
2013-03-22,66
2013-03-23,66
2013-03-24,66
2013-03-25,67
2013-03-26,67
2013-03-27,67
2013-03-28,67
2013-03-29,67
2013-03-30,67
2013-03-31,67
2013-04-01,68
2013-04-02,67
2013-04-03,67
2013-04-04,67
2013-04-05,67
2013-04-06,67
2013-04-07,67
2013-04-08,67
2013-04-09,67
2013-04-10,67
2013-04-11,67
2013-04-12,67
2013-04-13,67
2013-04-14,67
2013-04-15,67
2013-04-16,67
2013-04-17,67
2013-04-18,67
2013-04-19,67
2013-04-20,67
2013-04-21,67
2013-04-22,67
2013-04-23,67
2013-04-24,67
2013-04-25,67
2013-04-26,67
2013-04-27,67
2013-04-28,67
2013-04-29,67
2013-04-30,67
2013-05-01,67
2013-05-02,66
2013-05-03,65
2013-05-04,65
2013-05-05,64
2013-05-06,64
2013-05-07,63
2013-05-08,63
2013-05-09,62
2013-05-10,62
2013-05-11,61
2013-05-12,60
2013-05-13,60
2013-05-14,59
2013-05-15,59
2013-05-16,58
2013-05-17,58
2013-05-18,57
2013-05-19,57
2013-05-20,56
2013-05-21,56
2013-05-22,55
2013-05-23,54
2013-05-24,54
2013-05-25,53
2013-05-26,53
2013-05-27,52
2013-05-28,52
2013-05-29,51
2013-05-30,51
2013-05-31,50
2013-06-01,50
2013-06-02,50
2013-06-03,50
2013-06-04,51
2013-06-05,51
2013-06-06,52
2013-06-07,52
2013-06-08,53
2013-06-09,53
2013-06-10,53
2013-06-11,54
2013-06-12,54
2013-06-13,55
2013-06-14,55
2013-06-15,56
2013-06-16,56
2013-06-17,56
2013-06-18,57
2013-06-19,57
2013-06-20,58
2013-06-21,58
2013-06-22,59
2013-06-23,59
2013-06-24,59
2013-06-25,60
2013-06-26,60
2013-06-27,61
2013-06-28,61
2013-06-29,62
2013-06-30,62
2013-07-01,63
2013-07-02,63
2013-07-03,63
2013-07-04,63
2013-07-05,63
2013-07-06,64
2013-07-07,64
2013-07-08,64
2013-07-09,64
2013-07-10,65
2013-07-11,65
2013-07-12,65
2013-07-13,65
2013-07-14,65
2013-07-15,66
2013-07-16,66
2013-07-17,66
2013-07-18,66
2013-07-19,67
2013-07-20,67
2013-07-21,67
2013-07-22,67
2013-07-23,67
2013-07-24,68
2013-07-25,68
2013-07-26,68
2013-07-27,68
2013-07-28,69
2013-07-29,69
2013-07-30,69
2013-07-31,69
2013-08-01,70
2013-08-02,68
2013-08-03,67
2013-08-04,66
2013-08-05,65
2013-08-06,64
2013-08-07,63
2013-08-08,62
2013-08-09,61
2013-08-10,60
2013-08-11,59
2013-08-12,57
2013-08-13,56
2013-08-14,55
2013-08-15,54
2013-08-16,53
2013-08-17,52
2013-08-18,51
2013-08-19,50
2013-08-20,49
2013-08-21,48
2013-08-22,46
2013-08-23,45
2013-08-24,44
2013-08-25,43
2013-08-26,42
2013-08-27,41
2013-08-28,40
2013-08-29,39
2013-08-30,38
2013-08-31,37
2013-09-01,36
2013-09-02,36
2013-09-03,37
2013-09-04,37
2013-09-05,38
2013-09-06,39
2013-09-07,39
2013-09-08,40
2013-09-09,41
2013-09-10,41
2013-09-11,42
2013-09-12,42
2013-09-13,43
2013-09-14,44
2013-09-15,44
2013-09-16,45
2013-09-17,46
2013-09-18,46
2013-09-19,47
2013-09-20,48
2013-09-21,48
2013-09-22,49
2013-09-23,49
2013-09-24,50
2013-09-25,51
2013-09-26,51
2013-09-27,52
2013-09-28,53
2013-09-29,53
2013-09-30,54
2013-10-01,55
2013-10-02,55
2013-10-03,55
2013-10-04,55
2013-10-05,55
2013-10-06,55
2013-10-07,55
2013-10-08,55
2013-10-09,55
2013-10-10,55
2013-10-11,55
2013-10-12,55
2013-10-13,55
2013-10-14,55
2013-10-15,55
2013-10-16,55
2013-10-17,55
2013-10-18,55
