Date,Service Team
2012-03-01,56
2012-03-02,56
2012-03-03,57
2012-03-04,58
2012-03-05,59
2012-03-06,60
2012-03-07,61
2012-03-08,61
2012-03-09,62
2012-03-10,63
2012-03-11,64
2012-03-12,65
2012-03-13,66
2012-03-14,66
2012-03-15,67
2012-03-16,68
2012-03-17,69
2012-03-18,70
2012-03-19,71
2012-03-20,71
2012-03-21,72
2012-03-22,73
2012-03-23,74
2012-03-24,75
2012-03-25,76
2012-03-26,76
2012-03-27,77
2012-03-28,78
2012-03-29,79
2012-03-30,80
2012-03-31,81
2012-04-01,82
2012-04-02,82
2012-04-03,82
2012-04-04,82
2012-04-05,82
2012-04-06,82
2012-04-07,82
2012-04-08,82
2012-04-09,82
2012-04-10,82
2012-04-11,82
2012-04-12,82
2012-04-13,82
2012-04-14,82
2012-04-15,82
2012-04-16,82
2012-04-17,82
2012-04-18,82
2012-04-19,82
2012-04-20,82
2012-04-21,82
2012-04-22,82
2012-04-23,82
2012-04-24,82
2012-04-25,82
2012-04-26,82
2012-04-27,82
2012-04-28,82
2012-04-29,82
2012-04-30,82
2012-05-01,82
2012-05-02,81
2012-05-03,81
2012-05-04,81
2012-05-05,81
2012-05-06,81
2012-05-07,80
2012-05-08,80
2012-05-09,80
2012-05-10,80
2012-05-11,80
2012-05-12,79
2012-05-13,79
2012-05-14,79
2012-05-15,79
2012-05-16,79
2012-05-17,78
2012-05-18,78
2012-05-19,78
2012-05-20,78
2012-05-21,78
2012-05-22,77
2012-05-23,77
2012-05-24,77
2012-05-25,77
2012-05-26,77
2012-05-27,76
2012-05-28,76
2012-05-29,76
2012-05-30,76
2012-05-31,76
2012-06-03,76
2012-06-04,76
2012-06-05,76
2012-06-06,76
2012-06-07,76
2012-06-08,76
2012-06-09,76
2012-06-10,76
2012-06-11,76
2012-06-12,76
2012-06-13,76
2012-06-14,76
2012-06-15,76
2012-06-16,76
2012-06-17,76
2012-06-18,76
2012-06-19,76
2012-06-20,76
2012-06-21,76
2012-06-22,76
2012-06-23,76
2012-06-24,76
2012-06-25,76
2012-06-26,76
2012-06-27,76
2012-06-28,76
2012-06-29,76
2012-06-30,76
2012-07-01,77
2012-07-02,89
2012-07-03,77
2012-07-04,78
2012-07-05,78
2012-07-06,79
2012-07-07,79
2012-07-08,79
2012-07-09,80
2012-07-10,80
2012-07-11,81
2012-07-12,81
2012-07-13,82
2012-07-14,82
2012-07-15,82
2012-07-16,83
2012-07-17,83
2012-07-18,84
2012-07-19,84
2012-07-20,84
2012-07-21,85
2012-07-22,85
2012-07-23,86
2012-07-24,86
2012-07-25,87
2012-07-26,87
2012-07-27,87
2012-07-28,88
2012-07-29,88
2012-07-30,89
2012-07-31,89
2012-08-01,90
2012-08-02,89
2012-08-03,88
2012-08-04,88
2012-08-05,87
2012-08-06,89
2012-08-07,89
2012-08-08,89
2012-08-09,90
2012-08-10,91
2012-08-11,94
2012-08-12,84
2012-08-13,83
2012-08-14,83
2012-08-15,82
2012-08-16,82
2012-08-17,81
2012-08-18,81
2012-08-19,80
2012-08-20,80
2012-08-21,79
2012-08-22,79
2012-08-23,78
2012-08-24,78
2012-08-25,77
2012-08-26,77
2012-09-01,74
2012-09-02,74
2012-09-03,74
2012-09-04,74
2012-09-05,75
2012-09-06,75
2012-09-07,75
2012-09-08,76
2012-09-09,76
2012-09-10,76
2012-09-11,77
2012-09-12,77
2012-09-13,77
