Date,Durata
2011-09-10,62
2011-09-11,62
2011-09-12,61
2011-09-13,60
2011-09-14,60
2011-09-15,59
2011-09-16,59
2011-09-17,58
2011-09-18,58
2011-09-19,55
2011-09-20,55
2011-09-21,54
2011-09-22,53
2011-09-23,52
2011-09-24,52
2011-09-25,55
2011-09-26,59
2011-09-27,63
2011-09-28,66
2011-09-29,69
2011-09-30,73
2011-10-01,76
2011-10-02,77
2011-10-03,77
2011-10-04,78
2011-10-05,79
2011-10-06,80
2011-10-07,81
2011-10-08,82
2011-10-09,80
2011-10-10,77
2011-10-11,75
2011-10-12,73
2011-10-13,71
2011-10-14,69
2011-10-15,67
2011-10-16,64
2011-10-17,63
2011-10-18,61
2011-10-19,58
2011-10-20,56
2011-10-21,54
2011-10-22,52
2011-10-23,51
2011-10-24,49
2011-10-25,48
2011-10-26,47
2011-10-27,46
2011-10-28,45
2011-10-29,44
2011-10-30,48
2011-10-31,52
2011-11-01,56
2011-11-02,59
2011-11-03,63
2011-11-04,66
2011-11-05,70
2011-11-06,68
2011-11-07,66
2011-11-08,65
2011-11-09,63
2011-11-10,62
2011-11-11,60
2011-11-12,59
2011-11-13,59
2011-11-14,59
2011-11-15,59
2011-11-16,59
2011-11-17,60
2011-11-18,60
2011-11-19,60
2011-11-20,57
2011-11-21,54
2011-11-22,52
2011-11-23,49
2011-11-24,47
2011-11-25,45
2011-11-26,42
2011-11-27,46
2011-12-04,66
2011-12-05,63
2011-12-06,61
2011-12-07,59
2011-12-08,57
2011-12-09,55
2011-12-10,53
2011-12-11,53
2011-12-12,54
2011-12-13,54
2011-12-14,55
2011-12-15,55
2011-12-16,55
2011-12-17,55
2011-12-18,56
2011-12-19,56
2011-12-20,57
2011-12-21,57
2011-12-22,58
2011-12-23,59
2011-12-24,59
2011-12-25,58
2011-12-26,56
2011-12-27,54
2011-12-28,52
2011-12-29,50
2011-12-30,49
2011-12-31,47
2012-01-01,50
2012-01-02,52
2012-01-03,55
2012-01-04,57
2012-01-05,60
2012-01-06,62
2012-01-07,65
2012-01-08,66
2012-01-09,67
2012-01-10,69
2012-01-11,70
2012-01-12,72
2012-01-13,73
2012-01-14,75
2012-01-15,74
2012-01-16,73
2012-01-17,72
2012-01-18,71
2012-01-19,70
2012-01-20,69
2012-01-21,68
2012-01-22,66
2012-01-23,65
2012-01-24,64
2012-01-25,63
2012-01-26,61
2012-01-27,60
2012-01-28,59
2012-01-29,59
2012-01-30,60
2012-01-31,60
2012-02-01,61
2012-02-02,61
2012-02-03,62
2012-02-04,63
2012-02-05,64
2012-02-06,66
2012-02-07,67
2012-02-08,69
2012-02-09,71
2012-02-10,72
2012-02-11,74
2012-02-12,72
2012-02-13,71
2012-02-14,70
2012-02-15,68
2012-02-16,66
2012-02-17,65
2012-02-18,63
2012-02-19,61
2012-02-20,60
2012-02-21,58
2012-02-22,57
2012-02-23,56
2012-02-24,54
2012-02-25,53
2012-02-26,53
2012-03-04,53
2012-03-05,54
2012-03-06,54
2012-03-07,55
2012-03-08,55
2012-03-09,56
2012-03-10,57
2012-03-11,58
2012-03-12,58
2012-03-13,59
2012-03-14,60
2012-03-15,61
2012-03-16,62
2012-03-17,63
2012-03-18,65
2012-03-19,67
2012-03-20,68
2012-03-21,70
2012-03-22,72
2012-03-23,74
2012-03-24,75
2012-03-25,77
2012-03-26,79
2012-03-27,80
2012-03-28,82
2012-03-29,83
2012-03-30,84
2012-03-31,86
2012-04-01,82
2012-04-02,77
2012-04-03,73
2012-04-04,70
2012-04-05,67
2012-04-06,63
2012-04-07,60
2012-04-08,61
2012-04-09,62
2012-04-10,62
2012-04-11,63
2012-04-12,64
2012-04-13,64
2012-04-14,65
2012-04-15,64
2012-04-16,64
2012-04-17,64
2012-04-18,63
2012-04-19,63
2012-04-20,63
2012-04-21,62
2012-04-22,60
2012-04-23,57
2012-04-24,55
2012-04-25,52
2012-04-26,50
2012-04-27,48
2012-04-28,46
2012-04-29,45
2012-04-30,43
2012-05-01,42
2012-05-02,41
2012-05-03,40
2012-05-04,39
2012-05-05,38
2012-05-06,40
2012-05-07,43
2012-05-08,45
2012-05-09,47
2012-05-10,49
2012-05-11,51
2012-05-12,54
2012-05-13,54
2012-05-14,54
2012-05-15,55
2012-05-16,56
2012-05-17,57
2012-05-18,57
2012-05-19,58
2012-05-20,60
2012-05-21,63
2012-05-22,66
2012-05-23,68
2012-05-24,70
2012-05-25,73
2012-05-26,75
2012-05-27,74
2012-06-03,65
2012-06-04,63
2012-06-05,61
2012-06-06,59
2012-06-07,56
2012-06-08,54
2012-06-09,52
2012-06-10,51
2012-06-11,50
2012-06-12,50
2012-06-13,49
2012-06-14,49
2012-06-15,49
2012-06-16,48
2012-06-17,49
2012-06-18,49
2012-06-19,50
2012-06-20,50
2012-06-21,51
2012-06-22,51
2012-06-23,51
2012-06-24,55
2012-06-25,60
2012-06-26,64
2012-06-27,68
2012-06-28,72
2012-06-29,76
2012-06-30,80
2012-07-01,78
2012-07-02,77
2012-07-03,76
2012-07-04,74
2012-07-05,73
2012-07-06,72
2012-07-07,71
2012-07-08,68
2012-07-09,65
2012-07-10,63
2012-07-11,61
2012-07-12,59
2012-07-13,56
2012-07-14,54
2012-07-15,57
2012-07-16,60
2012-07-17,62
2012-07-18,65
2012-07-19,67
2012-07-20,70
2012-07-21,72
2012-07-22,71
2012-07-23,68
2012-07-24,66
2012-07-25,65
2012-07-26,63
2012-07-27,62
2012-07-28,60
2012-07-29,61
2012-07-30,62
2012-07-31,63
2012-08-01,63
2012-08-02,64
2012-08-03,65
2012-08-04,65
2012-08-05,63
2012-08-06,61
2012-08-07,59
2012-08-08,57
2012-08-09,55
