Date,LinkedIn
2010-07-10,7
2010-07-11,6
2010-07-12,6
2010-07-13,6
2010-07-14,6
2010-07-15,6
2010-07-16,6
2010-07-17,6
2010-07-18,6
2010-07-19,6
2010-07-20,6
2010-07-21,5
2010-07-22,6
2010-07-23,6
2010-07-24,6
2010-07-25,6
2010-07-26,6
2010-07-27,6
2010-07-28,6
2010-07-29,6
2010-07-30,7
2010-07-31,7
2010-08-01,7
2010-08-02,7
2010-08-03,7
2010-08-04,7
2010-08-05,7
2010-08-06,8
2010-08-07,7
2010-08-08,7
2010-08-09,6
2010-08-10,6
2010-08-11,6
2010-08-12,5
2010-08-13,5
2010-08-14,5
2010-08-15,5
2010-08-16,5
2010-08-17,6
2010-08-18,6
2010-08-19,7
2010-08-20,7
2010-08-21,8
2010-08-22,7
2010-08-23,7
2010-08-24,6
2010-08-25,6
2010-08-26,5
2010-08-27,5
2010-08-28,5
2010-08-29,5
2010-08-30,5
2010-08-31,5
2010-09-01,4
2010-09-02,4
2010-09-03,4
2010-09-04,4
2010-09-05,5
2010-09-06,5
2010-09-07,5
2010-09-08,6
2010-09-09,6
2010-09-10,6
2010-09-11,7
2010-09-12,6
2010-09-13,6
2010-09-14,6
2010-09-15,6
2010-09-16,6
2010-09-17,6
2010-09-18,5
2010-09-19,6
2010-09-20,6
2010-09-21,6
2010-09-22,6
2010-09-23,6
2010-09-24,6
2010-09-25,7
2010-09-26,7
2010-09-27,7
2010-09-28,6
2010-09-29,7
2010-09-30,7
2010-10-01,7
2010-10-02,8
2010-10-03,8
2010-10-04,8
2010-10-05,8
2010-10-06,8
2010-10-07,7
2010-10-08,7
2010-10-09,8
2010-10-10,7
2010-10-11,7
2010-10-12,7
2010-10-13,7
2010-10-14,7
2010-10-15,7
2010-10-16,6
2010-10-17,7
2010-10-18,7
2010-10-19,7
2010-10-20,6
2010-10-21,7
2010-10-22,7
2010-10-23,6
2010-10-24,6
2010-10-25,6
2010-10-26,7
2010-10-27,6
2010-10-28,6
2010-10-29,6
2010-10-30,5
2010-10-31,6
2010-11-01,6
2010-11-02,6
2010-11-03,7
2010-11-04,7
2010-11-05,7
2010-11-06,8
2010-11-07,8
2010-11-08,8
2010-11-09,8
2010-11-10,8
2010-11-11,8
2010-11-12,8
2010-11-13,9
2010-11-14,8
2010-11-15,8
2010-11-16,7
2010-11-17,8
2010-11-18,8
2010-11-19,8
2010-11-20,7
2010-11-21,7
2010-11-22,7
2010-11-23,7
2010-11-24,6
2010-11-25,6
2010-11-26,6
2010-11-27,5
2010-11-28,6
2010-11-29,6
2010-11-30,6
2010-12-01,6
2010-12-02,6
2010-12-03,7
2010-12-04,6
2010-12-05,6
2010-12-06,6
2010-12-07,6
2010-12-08,6
2010-12-09,6
2010-12-10,6
2010-12-11,5
2010-12-12,6
2010-12-13,6
2010-12-14,6
2010-12-15,6
2010-12-16,6
2010-12-17,6
2010-12-18,6
2010-12-19,6
2010-12-20,6
2010-12-21,6
2010-12-22,5
2010-12-23,6
2010-12-24,6
2010-12-25,6
2010-12-26,5
2010-12-27,5
2010-12-28,5
2010-12-29,4
2010-12-30,4
2010-12-31,4
2011-01-01,4
2011-01-02,4
2011-01-03,5
2011-01-04,5
2011-01-05,6
2011-01-06,6
2011-01-07,7
2011-01-08,7
2011-01-09,7
2011-01-10,7
2011-01-11,7
2011-01-12,7
2011-01-13,8
2011-01-14,8
2011-01-15,7
2011-01-16,7
2011-01-17,7
2011-01-18,8
2011-01-19,7
2011-01-20,8
2011-01-21,7
2011-01-22,8
2011-01-23,8
2011-01-24,8
