Date,Kinder Morgan
2010-05-01,0
2010-05-02,2
2010-05-03,4
2010-05-04,6
2010-05-05,8
2010-05-06,10
2010-05-07,12
2010-05-08,14
2010-05-09,17
2010-05-10,19
2010-05-11,21
2010-05-12,23
2010-05-13,25
2010-05-14,27
2010-05-15,29
2010-05-16,31
2010-05-17,34
2010-05-18,36
2010-05-19,38
2010-05-20,40
2010-05-21,42
2010-05-22,44
2010-05-23,46
2010-05-24,48
2010-05-25,51
2010-05-26,53
2010-05-27,55
2010-05-28,57
2010-05-29,59
2010-05-30,61
2010-05-31,63
2010-06-01,66
2010-06-02,65
2010-06-03,64
2010-06-04,63
2010-06-05,62
2010-06-06,61
2010-06-07,61
2010-06-08,60
2010-06-09,59
2010-06-10,58
2010-06-11,57
2010-06-12,56
2010-06-13,56
2010-06-14,55
2010-06-15,54
2010-06-16,53
2010-06-17,52
2010-06-18,51
2010-06-19,51
2010-06-20,50
2010-06-21,49
2010-06-22,48
2010-06-23,47
2010-06-24,46
2010-06-25,46
2010-06-26,45
2010-06-27,44
2010-06-28,43
2010-06-29,42
2010-06-30,41
2010-07-01,41
2010-07-02,41
2010-07-03,41
2010-07-04,41
2010-07-05,41
2010-07-06,41
2010-07-07,41
2010-07-08,41
2010-07-09,41
2010-07-10,41
2010-07-11,41
2010-07-12,41
2010-07-13,41
2010-07-14,41
2010-07-15,41
2010-07-16,41
2010-07-17,41
2010-07-18,41
2010-07-19,41
2010-07-20,41
2010-07-21,41
2010-07-22,41
2010-07-23,41
2010-07-24,41
2010-07-25,41
2010-07-26,41
2010-07-27,41
2010-07-28,41
2010-07-29,41
2010-07-30,41
2010-07-31,41
2010-08-01,41
2010-08-02,40
2010-08-03,40
2010-08-04,40
2010-08-05,39
2010-08-06,39
2010-08-07,39
2010-08-08,39
2010-08-09,38
2010-08-10,38
2010-08-11,38
2010-08-12,38
2010-08-13,37
2010-08-14,37
2010-08-15,37
2010-08-16,37
2010-08-17,36
2010-08-18,36
2010-08-19,36
2010-08-20,36
2010-08-21,35
2010-08-22,35
2010-08-23,35
2010-08-24,35
2010-08-25,34
2010-08-26,34
2010-08-27,34
2010-08-28,34
2010-08-29,33
2010-08-30,33
2010-08-31,33
2010-09-01,33
2010-09-02,33
2010-09-03,33
2010-09-04,33
2010-09-05,33
2010-09-06,33
2010-09-07,33
2010-09-08,33
2010-09-09,33
2010-09-10,33
2010-09-11,33
2010-09-12,33
2010-09-13,33
2010-09-14,33
2010-09-15,33
2010-09-16,33
2010-09-17,33
2010-09-18,33
2010-09-19,33
2010-09-20,33
2010-09-21,33
2010-09-22,33
2010-09-23,33
2010-09-24,33
2010-09-25,33
2010-09-26,33
2010-09-27,33
2010-09-28,33
2010-09-29,33
2010-09-30,33
2010-10-01,33
2010-10-02,33
2010-10-03,33
2010-10-04,33
2010-10-05,33
2010-10-06,33
2010-10-07,33
2010-10-08,33
2010-10-09,33
2010-10-10,33
2010-10-11,33
2010-10-12,33
2010-10-13,33
2010-10-14,33
2010-10-15,33
2010-10-16,33
2010-10-17,33
2010-10-18,33
2010-10-19,33
2010-10-20,33
2010-10-21,33
2010-10-22,33
2010-10-23,33
2010-10-24,33
2010-10-25,33
2010-10-26,33
2010-10-27,33
2010-10-28,33
2010-10-29,33
2010-10-30,33
2010-10-31,33
2010-11-01,33
2010-11-02,33
2010-11-03,33
2010-11-04,33
2010-11-05,33
2010-11-06,33
2010-11-07,33
2010-11-08,33
2010-11-09,33
2010-11-10,33
2010-11-11,33
2010-11-12,33
2010-11-13,33
2010-11-14,33
2010-11-15,33
2010-11-16,33
2010-11-17,33
2010-11-18,33
2010-11-19,33
2010-11-20,33
2010-11-21,33
2010-11-22,33
2010-11-23,33
2010-11-24,33
2010-11-25,33
2010-11-26,33
2010-11-27,33
2010-11-28,33
2010-11-29,33
2010-11-30,33
2010-12-01,33
2010-12-02,32
2010-12-03,32
2010-12-04,32
2010-12-05,32
2010-12-06,32
2010-12-07,32
2010-12-08,32
2010-12-09,32
2010-12-10,32
2010-12-11,32
2010-12-12,32
2010-12-13,32
2010-12-14,32
2010-12-15,32
2010-12-16,32
2010-12-17,31
2010-12-18,31
2010-12-19,31
2010-12-20,31
2010-12-21,31
2010-12-22,31
2010-12-23,31
2010-12-24,31
2010-12-25,31
2010-12-26,31
2010-12-27,31
2010-12-28,31
2010-12-29,31
2010-12-30,31
2010-12-31,31
2011-01-01,31
2011-01-02,33
2011-01-03,35
2011-01-04,37
2011-01-05,39
2011-01-06,42
2011-01-07,44
2011-01-08,46
2011-01-09,48
2011-01-10,51
2011-01-11,53
2011-01-12,55
2011-01-13,57
2011-01-14,59
2011-01-15,62
2011-01-16,64
2011-01-17,66
2011-01-18,68
2011-01-19,71
2011-01-20,73
2011-01-21,75
2011-01-22,77
2011-01-23,79
