Date,Durata
2011-09-01,0
2011-09-02,0
2011-09-03,0
2011-09-04,0
2011-09-05,0
2011-09-06,0
2011-09-07,0
2011-09-08,0
2011-09-09,0
2011-09-10,0
2011-09-11,0
2011-09-12,0
2011-09-13,0
2011-09-14,0
2011-09-15,0
2011-09-16,0
2011-09-17,0
2011-09-18,0
2011-09-19,0
2011-09-20,0
2011-09-21,0
2011-09-22,0
2011-09-23,0
2011-09-24,0
2011-09-25,0
2011-09-26,0
2011-09-27,0
2011-09-28,0
2011-09-29,0
2011-09-30,0
2011-10-01,0
2011-10-02,3
2011-10-03,6
2011-10-04,9
2011-10-05,12
2011-10-06,16
2011-10-07,19
2011-10-08,22
2011-10-09,25
2011-10-10,29
2011-10-11,32
2011-10-12,35
2011-10-13,38
2011-10-14,41
2011-10-15,45
2011-10-16,48
2011-10-17,51
2011-10-18,54
2011-10-19,58
2011-10-20,61
2011-10-21,64
2011-10-22,67
2011-10-23,70
2011-10-24,74
2011-10-25,77
2011-10-26,80
2011-10-27,83
2011-10-28,87
2011-10-29,90
2011-10-30,93
2011-10-31,96
2011-11-01,100
2011-11-02,99
2011-11-03,98
2011-11-04,97
2011-11-05,96
2011-11-06,95
2011-11-07,95
2011-11-08,94
2011-11-09,93
2011-11-10,92
2011-11-11,91
2011-11-12,90
2011-11-13,90
2011-11-14,89
2011-11-15,88
2011-11-16,87
2011-11-17,86
2011-11-18,85
2011-11-19,85
2011-11-20,84
2011-11-21,83
2011-11-22,82
2011-11-23,81
2011-11-24,80
2011-11-25,80
2011-11-26,79
2011-11-27,78
2011-11-28,77
2011-11-29,76
2011-11-30,75
2011-12-01,75
2011-12-02,75
2011-12-03,75
2011-12-04,75
2011-12-05,75
2011-12-06,75
2011-12-07,75
2011-12-08,75
2011-12-09,75
2011-12-10,75
2011-12-11,75
2011-12-12,75
2011-12-13,75
2011-12-14,75
2011-12-15,75
2011-12-16,75
2011-12-17,75
2011-12-18,75
2011-12-19,75
2011-12-20,75
2011-12-21,75
2011-12-22,75
2011-12-23,75
2011-12-24,75
2011-12-25,75
2011-12-26,75
2011-12-27,75
2011-12-28,75
2011-12-29,75
2011-12-30,75
2011-12-31,75
2012-01-01,75
2012-01-02,72
2012-01-03,70
2012-01-04,67
2012-01-05,65
2012-01-06,62
2012-01-07,60
2012-01-08,58
2012-01-09,55
2012-01-10,53
2012-01-11,50
2012-01-12,48
2012-01-13,45
2012-01-14,43
2012-01-15,41
2012-01-16,38
2012-01-17,36
2012-01-18,33
2012-01-19,31
2012-01-20,29
2012-01-21,26
2012-01-22,24
2012-01-23,21
2012-01-24,19
2012-01-25,16
2012-01-26,14
2012-01-27,12
2012-01-28,9
2012-01-29,7
2012-01-30,4
2012-01-31,2
2012-02-01,0
2012-02-02,0
2012-02-03,0
2012-02-04,0
2012-02-05,0
2012-02-06,0
2012-02-07,0
2012-02-08,0
2012-02-09,0
2012-02-10,0
2012-02-11,0
2012-02-12,0
2012-02-13,0
2012-02-14,0
2012-02-15,0
2012-02-16,0
2012-02-17,0
2012-02-18,0
2012-02-19,0
2012-02-20,0
2012-02-21,0
2012-02-22,0
2012-02-23,0
2012-02-24,0
2012-02-25,0
2012-02-26,0
2012-02-27,0
2012-02-28,0
2012-02-29,0
2012-03-01,0
2012-03-02,0
2012-03-03,0
2012-03-04,0
2012-03-05,0
2012-03-06,0
2012-03-07,0
2012-03-08,0
2012-03-09,0
2012-03-10,0
2012-03-11,0
2012-03-12,0
2012-03-13,0
2012-03-14,0
2012-03-15,0
2012-03-16,0
2012-03-17,0
2012-03-18,0
2012-03-19,0
2012-03-20,0
2012-03-21,0
2012-03-22,0
2012-03-23,0
2012-03-24,0
2012-03-25,0
2012-03-26,0
2012-03-27,0
2012-03-28,0
2012-03-29,0
2012-03-30,0
2012-03-31,0
2012-04-01,0
2012-04-02,0
2012-04-03,0
2012-04-04,0
2012-04-05,0
2012-04-06,0
2012-04-07,0
2012-04-08,0
2012-04-09,0
2012-04-10,0
2012-04-11,0
2012-04-12,0
2012-04-13,0
2012-04-14,0
2012-04-15,0
2012-04-16,0
2012-04-17,0
2012-04-18,0
2012-04-19,0
2012-04-20,0
2012-04-21,0
2012-04-22,0
2012-04-23,0
2012-04-24,0
2012-04-25,0
2012-04-26,0
2012-04-27,0
2012-04-28,0
2012-04-29,0
2012-04-30,0
2012-05-01,0
2012-05-02,0
2012-05-03,0
2012-05-04,0
2012-05-05,0
2012-05-06,0
2012-05-07,0
2012-05-08,0
2012-05-09,0
2012-05-10,0
2012-05-11,0
2012-05-12,0
2012-05-13,0
2012-05-14,0
2012-05-15,0
2012-05-16,0
2012-05-17,0
2012-05-18,0
2012-05-19,0
2012-05-20,0
2012-05-21,0
2012-05-22,0
2012-05-23,0
2012-05-24,0
2012-05-25,0
2012-05-26,0
2012-05-27,0
2012-05-28,0
2012-05-29,0
2012-05-30,0
2012-05-31,0
2012-06-01,0
2012-06-02,0
2012-06-03,0
2012-06-04,0
2012-06-05,0
2012-06-06,0
2012-06-07,0
2012-06-08,0
2012-06-09,0
2012-06-10,0
2012-06-11,0
2012-06-12,0
2012-06-13,0
2012-06-14,0
2012-06-15,0
2012-06-16,0
2012-06-17,0
2012-06-18,0
2012-06-19,0
2012-06-20,0
2012-06-21,0
2012-06-22,0
2012-06-23,0
2012-06-24,0
2012-06-25,0
2012-06-26,0
2012-06-27,0
2012-06-28,0
2012-06-29,0
2012-06-30,0
2012-07-01,0
2012-07-02,0
2012-07-03,0
2012-07-04,0
2012-07-05,0
2012-07-06,0
2012-07-07,0
2012-07-08,0
2012-07-09,0
2012-07-10,0
2012-07-11,0
2012-07-12,0
2012-07-13,0
2012-07-14,0
2012-07-15,0
2012-07-16,0
2012-07-17,0
2012-07-18,0
2012-07-19,0
2012-07-20,0
2012-07-21,0
2012-07-22,0
2012-07-23,0
2012-07-24,0
2012-07-25,0
2012-07-26,0
2012-07-27,0
2012-07-28,0
2012-07-29,0
2012-07-30,0
2012-07-31,0
2012-08-01,0
2012-08-02,0
2012-08-03,0
2012-08-04,0
2012-08-05,0
2012-08-06,0
2012-08-07,0
2012-08-08,0
2012-08-09,0
2012-08-10,0
2012-08-11,0
2012-08-12,0
2012-08-13,0
2012-08-14,0
2012-08-15,0
2012-08-16,0
2012-08-17,0
2012-08-18,0
2012-08-19,0
2012-08-20,0
2012-08-21,0
2012-08-22,0
2012-08-23,0
2012-08-24,0
2012-08-25,0
2012-08-26,0
2012-08-27,0
2012-08-28,0
2012-08-29,0
2012-08-30,0
2012-08-31,0
2012-09-01,0
2012-09-02,2
2012-09-03,4
2012-09-04,7
2012-09-05,9
2012-09-06,12
2012-09-07,14
2012-09-08,16
2012-09-09,19
2012-09-10,21
2012-09-11,24
2012-09-12,26
2012-09-13,28
2012-09-14,31
2012-09-15,33
2012-09-16,36
2012-09-17,38
2012-09-18,40
2012-09-19,43
2012-09-20,45
2012-09-21,48
2012-09-22,50
2012-09-23,52
2012-09-24,55
2012-09-25,57
2012-09-26,60
2012-09-27,62
2012-09-28,64
2012-09-29,67
2012-09-30,69
2012-10-01,72
2012-10-02,72
2012-10-03,72
2012-10-04,72
2012-10-05,72
2012-10-06,72
2012-10-07,72
2012-10-08,72
2012-10-09,72
2012-10-10,72
2012-10-11,72
2012-10-12,72
2012-10-13,72
2012-10-14,72
2012-10-15,72
2012-10-16,72
2012-10-17,73
2012-10-18,73
2012-10-19,73
2012-10-20,73
2012-10-21,73
2012-10-22,73
2012-10-23,73
2012-10-24,73
2012-10-25,73
2012-10-26,73
2012-10-27,73
2012-10-28,73
2012-10-29,73
2012-10-30,73
2012-10-31,73
2012-11-01,74
2012-11-02,73
2012-11-03,73
2012-11-04,73
2012-11-05,72
2012-11-06,72
2012-11-07,72
2012-11-08,71
2012-11-09,71
2012-11-10,71
2012-11-11,71
2012-11-12,70
2012-11-13,70
2012-11-14,70
2012-11-15,69
2012-11-16,69
2012-11-17,69
2012-11-18,68
2012-11-19,68
2012-11-20,68
2012-11-21,68
2012-11-22,67
2012-11-23,67
2012-11-24,67
2012-11-25,66
2012-11-26,66
2012-11-27,66
2012-11-28,65
2012-11-29,65
2012-11-30,65
2012-12-01,65
2012-12-02,65
2012-12-03,65
2012-12-04,65
2012-12-05,65
2012-12-06,65
2012-12-07,65
2012-12-08,65
2012-12-09,65
2012-12-10,65
2012-12-11,65
2012-12-12,65
2012-12-13,65
2012-12-14,65
2012-12-15,65
2012-12-16,65
2012-12-17,65
2012-12-18,65
2012-12-19,65
2012-12-20,65
2012-12-21,65
2012-12-22,65
2012-12-23,65
2012-12-24,65
2012-12-25,65
2012-12-26,65
2012-12-27,65
2012-12-28,65
2012-12-29,65
2012-12-30,65
2012-12-31,65
2013-01-01,65
2013-01-02,65
2013-01-03,65
2013-01-04,65
2013-01-05,65
2013-01-06,65
2013-01-07,65
2013-01-08,65
2013-01-09,65
2013-01-10,65
2013-01-11,65
2013-01-12,65
