Date,Goldman Sachs
2009-04-01,16
2009-04-02,16
2009-04-03,16
2009-04-04,17
2009-04-05,17
2009-04-06,16
2009-04-07,16
2009-04-08,16
2009-04-09,17
2009-04-10,17
2009-04-11,17
2009-04-12,18
2009-04-13,20
2009-04-14,22
2009-04-15,26
2009-04-16,26
2009-04-17,28
2009-04-18,31
2009-04-19,27
2009-04-20,25
2009-04-21,24
2009-04-22,22
2009-04-23,20
2009-04-24,18
2009-04-25,18
2009-04-26,16
2009-04-27,16
2009-04-28,16
2009-04-29,16
2009-04-30,16
2009-05-01,16
2009-05-02,17
2009-05-03,15
2009-05-04,15
2009-05-05,15
2009-05-06,15
2009-05-07,15
2009-05-08,15
2009-05-09,16
2009-05-10,15
2009-05-11,15
2009-05-12,15
2009-05-13,15
2009-05-14,15
2009-05-15,15
2009-05-16,16
2009-05-17,15
2009-05-18,15
2009-05-19,15
2009-05-20,15
2009-05-21,15
2009-05-22,15
2009-05-23,16
2009-05-24,14
2009-05-25,14
2009-05-26,14
2009-05-27,13
2009-05-28,13
2009-05-29,13
2009-05-30,13
2009-05-31,13
2009-06-01,13
2009-06-02,14
2009-06-03,14
2009-06-04,15
2009-06-05,15
2009-06-06,17
2009-06-07,16
2009-06-08,16
2009-06-09,16
2009-06-10,16
2009-06-11,16
2009-06-12,16
2009-06-13,17
2009-06-14,16
2009-06-15,16
2009-06-16,16
2009-06-17,16
2009-06-18,16
2009-06-19,16
2009-06-20,17
2009-06-21,16
2009-06-22,16
2009-06-23,16
2009-06-24,17
2009-06-25,17
2009-06-26,18
2009-06-27,19
2009-06-28,18
2009-06-29,18
2009-06-30,18
2009-07-01,18
2009-07-02,18
2009-07-03,19
2009-07-04,20
2009-07-05,20
2009-07-06,20
2009-07-07,20
2009-07-08,21
2009-07-09,21
2009-07-10,23
2009-07-11,24
2009-07-12,26
2009-07-13,30
2009-07-14,33
2009-07-15,39
2009-07-16,42
2009-07-17,45
2009-07-18,51
2009-07-19,46
2009-07-20,42
2009-07-21,39
2009-07-22,36
2009-07-23,33
2009-07-24,30
2009-07-25,28
2009-07-26,26
2009-07-27,26
2009-07-28,25
2009-07-29,25
2009-07-30,25
2009-07-31,24
2009-08-01,25
2009-08-02,24
2009-08-03,24
2009-08-04,24
2009-08-05,24
2009-08-06,24
2009-08-07,24
2009-08-08,26
2009-08-09,23
2009-08-10,22
2009-08-11,21
2009-08-12,21
2009-08-13,20
2009-08-14,20
2009-08-15,20
2009-08-16,19
2009-08-17,18
2009-08-18,18
2009-08-19,18
2009-08-20,18
2009-08-21,18
2009-08-22,19
2009-08-23,18
2009-08-24,18
2009-08-25,18
2009-08-26,19
2009-08-27,18
2009-08-28,19
2009-08-29,21
2009-08-30,18
2009-08-31,18
2009-09-01,17
2009-09-02,17
2009-09-03,17
2009-09-04,16
2009-09-05,17
2009-09-06,16
2009-09-07,16
2009-09-08,17
2009-09-09,17
2009-09-10,18
2009-09-11,19
2009-09-12,20
2009-09-13,19
2009-09-14,19
2009-09-15,19
2009-09-16,20
2009-09-17,21
2009-09-18,21
2009-09-19,22
2009-09-20,20
2009-09-21,20
2009-09-22,20
2009-09-23,19
2009-09-24,20
2009-09-25,19
2009-09-26,20
2009-09-27,19
2009-09-28,19
2009-09-29,19
2009-09-30,19
2009-10-01,19
2009-10-02,20
2009-10-03,20
2009-10-04,20
2009-10-05,20
2009-10-06,20
2009-10-07,20
2009-10-08,20
2009-10-09,20
2009-10-10,22
2009-10-11,22
2009-10-12,24
2009-10-13,25
2009-10-14,27
2009-10-15,28
2009-10-16,30
2009-10-17,34
2009-10-18,31
2009-10-19,30
2009-10-20,29
2009-10-21,28
2009-10-22,27
2009-10-23,26
2009-10-24,26
2009-10-25,24
2009-10-26,23
2009-10-27,23
2009-10-28,22
2009-10-29,22
2009-10-30,21
2009-10-31,22
2009-11-01,21
2009-11-02,21
2009-11-03,21
2009-11-04,22
2009-11-05,22
2009-11-06,23
2009-11-07,24
2009-11-08,23
2009-11-09,23
2009-11-10,24
2009-11-11,25
2009-11-12,25
2009-11-13,26
2009-11-14,27
2009-11-15,26
2009-11-16,26
2009-11-17,26
2009-11-18,26
2009-11-19,26
2009-11-20,26
2009-11-21,28
2009-11-22,25
2009-11-23,24
2009-11-24,23
2009-11-25,22
2009-11-26,21
2009-11-27,20
2009-11-28,20
2009-11-29,19
2009-11-30,19
2009-12-01,19
2009-12-02,20
2009-12-03,20
2009-12-04,21
2009-12-05,22
2009-12-06,21
2009-12-07,21
2009-12-08,21
2009-12-09,21
2009-12-10,21
2009-12-11,21
2009-12-12,22
2009-12-13,21
2009-12-14,20
2009-12-15,19
2009-12-16,19
2009-12-17,18
2009-12-18,18
2009-12-19,19
2009-12-20,17
2009-12-21,17
2009-12-22,17
2009-12-23,17
2009-12-24,17
2009-12-25,17
2009-12-26,17
2009-12-27,16
2009-12-28,16
