Date,Citibank
2007-02-04,76
2007-02-05,73
2007-02-06,70
2007-02-07,68
2007-02-08,65
2007-02-09,62
2007-02-10,60
2007-02-11,63
2007-02-12,67
2007-02-13,71
2007-02-14,74
2007-02-15,78
2007-02-16,81
2007-02-17,85
2007-02-18,81
2007-02-19,77
2007-02-20,73
2007-02-21,69
2007-02-22,65
2007-02-23,61
2007-02-24,58
2007-02-25,58
2007-02-26,58
2007-02-27,58
2007-02-28,59
2007-03-01,59
2007-03-02,59
2007-03-03,60
2007-03-04,63
2007-03-05,66
2007-03-06,70
2007-03-07,73
2007-03-08,76
2007-03-09,80
2007-03-10,83
2007-03-11,81
2007-03-12,79
2007-03-13,77
2007-03-14,76
2007-03-15,74
2007-03-16,72
2007-03-17,70
2007-03-18,67
2007-03-19,64
2007-03-20,61
2007-03-21,58
2007-03-22,55
2007-03-23,52
2007-03-24,50
2007-03-25,52
2007-05-06,81
2007-05-07,77
2007-05-08,72
2007-05-09,68
2007-05-10,63
2007-05-11,59
2007-05-12,55
2007-05-13,56
2007-05-14,58
2007-05-15,60
2007-05-16,61
2007-05-17,63
2007-05-18,65
2007-05-19,67
2007-05-20,67
2007-05-21,67
2007-05-22,67
2007-05-23,68
2007-05-24,68
2007-05-25,68
2007-05-26,69
2007-05-27,69
2007-05-28,70
2007-05-29,71
2007-05-30,72
2007-05-31,73
2007-06-01,73
2007-06-02,74
2007-06-03,72
2007-06-04,69
2007-06-05,67
2007-06-06,65
2007-06-07,62
2007-06-08,60
2007-06-09,58
2007-06-10,57
2007-06-11,56
2007-06-12,55
2007-06-13,54
2007-06-14,53
2007-06-15,52
2007-06-16,52
2007-06-17,54
2007-06-18,56
2007-06-19,58
2007-06-20,60
2007-06-21,62
2007-06-22,64
2007-06-23,67
2007-06-24,70
2007-06-25,74
2007-06-26,78
2007-06-27,81
2007-06-28,85
2007-06-29,88
2007-06-30,92
2007-07-01,90
2007-07-02,89
2007-07-03,87
2007-07-04,85
2007-07-05,83
2007-07-06,81
2007-07-07,79
2007-07-08,76
2007-07-09,72
2007-07-10,69
2007-07-11,66
2007-07-12,63
2007-07-13,60
2007-07-14,57
2007-07-15,59
2007-07-16,62
2007-07-17,65
