Date,Piper Jaffray
2006-01-01,36
2006-01-02,40
2006-01-03,44
2006-01-04,48
2006-01-05,52
2006-01-06,57
2006-01-07,61
2006-01-08,61
2006-01-09,62
2006-01-10,63
2006-01-11,64
2006-01-12,64
2006-01-13,65
2006-01-14,66
2006-01-15,61
2006-01-16,56
2006-01-17,52
2006-01-18,47
2006-01-19,43
2006-01-20,38
2006-01-21,34
2006-01-22,37
2006-01-23,40
2006-01-24,43
2006-01-25,46
2006-01-26,49
2006-01-27,52
2006-01-28,56
2006-01-29,56
2006-01-30,56
2006-01-31,57
2006-02-01,57
2006-02-02,57
2006-02-03,58
2006-02-04,58
2006-02-05,56
2006-02-06,54
2006-02-07,53
2006-02-08,51
2006-02-09,50
2006-02-10,48
2006-02-11,47
2006-02-12,45
2006-02-13,44
2006-02-14,43
2006-02-15,42
2006-02-16,40
2006-02-17,39
2006-02-18,38
2006-02-19,38
2006-02-20,38
2006-02-21,38
2006-02-22,38
2006-02-23,38
2006-02-24,38
2006-02-25,39
2006-02-26,42
2006-02-27,46
2006-02-28,49
2006-03-01,53
2006-03-02,56
2006-03-03,60
2006-03-04,64
2006-03-05,60
2006-03-06,57
2006-03-07,54
2006-03-08,50
2006-03-09,47
2006-03-10,44
2006-03-11,41
2006-03-12,41
2006-03-13,42
2006-03-14,42
2006-03-15,43
2006-03-16,44
2006-03-17,44
2006-03-18,45
2006-03-19,45
2006-03-20,46
2006-03-21,47
2006-03-22,47
2006-03-23,48
2006-03-24,49
2006-03-25,50
2006-03-26,49
2006-04-02,49
2006-04-03,49
2006-04-04,50
2006-04-05,50
2006-04-06,51
2006-04-07,51
2006-04-08,52
2006-04-09,58
2006-04-10,66
2006-04-11,73
2006-04-12,80
2006-04-13,87
2006-04-14,94
2006-04-15,102
2006-04-16,95
2006-04-17,86
2006-04-18,80
2006-04-19,73
2006-04-20,66
2006-04-21,59
2006-04-22,52
2006-04-23,51
2006-04-24,50
2006-04-25,49
2006-04-26,48
2006-04-27,47
2006-04-28,46
2006-04-29,46
2006-04-30,47
2006-05-01,49
2006-05-02,50
2006-05-03,52
2006-05-04,53
2006-05-05,54
2006-05-06,56
2006-05-07,54
2006-05-08,52
2006-05-09,50
2006-05-10,48
2006-05-11,46
2006-05-12,45
2006-05-13,43
2006-05-14,42
2006-05-15,41
2006-05-16,40
2006-05-17,39
2006-05-18,38
2006-05-19,37
2006-05-20,36
2006-05-21,35
2006-05-22,33
2006-05-23,32
2006-05-24,31
2006-05-25,30
2006-05-26,29
2006-05-27,28
2006-05-28,27
2006-05-29,26
2006-05-30,25
2006-05-31,25
2006-06-01,24
2006-06-02,23
2006-06-03,23
2006-06-04,26
2006-06-05,30
2006-06-06,34
2006-06-07,38
2006-06-08,42
2006-06-09,46
2006-06-10,50
2006-06-11,49
2006-06-12,49
2006-06-13,48
2006-06-14,48
2006-06-15,47
2006-06-16,47
2006-06-17,47
2006-06-18,46
2006-06-19,45
2006-06-20,45
2006-06-21,44
2006-06-22,43
2006-06-23,42
2006-06-24,42
2006-06-25,41
2006-07-02,38
2006-07-03,38
2006-07-04,38
2006-07-05,38
2006-07-06,38
2006-07-07,38
2006-07-08,39
2006-07-09,42
2006-07-10,45
2006-07-11,48
2006-07-12,51
2006-07-13,54
2006-07-14,57
2006-07-15,60
2006-07-16,57
2006-07-17,52
2006-07-18,48
2006-07-19,45
2006-07-20,41
2006-07-21,37
2006-07-22,34
2006-07-23,34
2006-07-24,35
2006-07-25,36
2006-07-26,37
2006-07-27,38
2006-07-28,39
2006-07-29,40
2006-07-30,39
2006-07-31,38
2006-08-01,37
2006-08-02,36
2006-08-03,35
2006-08-04,34
2006-08-05,34
2006-08-06,34
2006-08-07,34
2006-08-08,34
2006-08-09,34
2006-08-10,34
2006-08-11,34
2006-08-12,34
2006-08-13,35
2006-08-14,36
2006-08-15,38
2006-08-16,39
2006-08-17,40
2006-08-18,42
2006-08-19,43
2006-08-20,41
2006-08-21,38
2006-08-22,36
2006-08-23,34
2006-08-24,32
2006-08-25,30
2006-08-26,28
2006-08-27,28
2006-08-28,28
2006-08-29,28
2006-08-30,28
2006-08-31,28
2006-09-01,28
2006-09-02,28
2006-09-03,29
2006-09-04,31
2006-09-05,32
2006-09-06,33
2006-09-07,35
2006-09-08,36
2006-09-09,38
2006-09-10,36
2006-09-11,34
2006-09-12,32
2006-09-13,31
2006-09-14,29
2006-09-15,27
2006-09-16,26
2006-09-17,26
2006-09-18,27
2006-09-19,28
2006-09-20,29
2006-09-21,30
2006-09-22,31
2006-09-23,32
2006-09-24,31
2006-10-01,25
2006-10-02,25
2006-10-03,25
2006-10-04,24
2006-10-05,24
2006-10-06,24
2006-10-07,24
2006-10-08,25
2006-10-09,26
2006-10-10,27
2006-10-11,28
2006-10-12,29
2006-10-13,30
2006-10-14,32
2006-10-15,31
2006-10-16,31
2006-10-17,31
2006-10-18,31
2006-10-19,31
2006-10-20,31
2006-10-21,31
2006-10-22,31
2006-10-23,32
2006-10-24,33
2006-10-25,34
