Date,Merrill Lynch
2010-04-01,91
2010-04-02,93
2010-04-03,93
2010-04-04,92
2010-04-05,91
2010-04-06,92
2010-04-07,93
2010-04-08,96
2010-04-09,95
2010-04-10,101
2010-04-11,99
2010-04-12,97
2010-04-13,97
2010-04-14,100
2010-04-15,98
2010-04-16,100
2010-04-17,108
2010-04-18,100
2010-04-19,97
2010-04-20,96
2010-04-21,96
2010-04-22,95
2010-04-23,93
2010-04-24,97
2010-04-25,95
2010-04-26,91
2010-04-27,90
2010-04-28,90
2010-04-29,91
2010-04-30,89
2010-05-01,96
2010-05-02,90
2010-05-03,88
2010-05-04,87
2010-05-05,88
2010-05-06,86
2010-05-07,86
2010-05-08,94
2010-05-09,87
2010-05-10,86
2010-05-11,88
2010-05-12,87
2010-05-13,88
2010-05-14,92
2010-05-15,95
2010-05-16,90
2010-05-17,87
2010-05-18,86
2010-05-19,85
2010-05-20,85
2010-05-21,83
2010-05-22,88
2010-05-23,85
2010-05-24,81
2010-05-25,82
2010-05-26,80
2010-05-27,81
2010-05-28,79
2010-05-29,85
2010-05-30,85
2010-05-31,78
2010-06-01,78
2010-06-02,77
2010-06-03,78
2010-06-04,78
2010-06-05,84
2010-06-06,79
2010-06-07,77
2010-06-08,78
2010-06-09,80
2010-06-10,79
2010-06-11,83
2010-06-12,82
2010-06-13,84
2010-06-14,81
2010-06-15,82
2010-06-16,82
2010-06-17,84
2010-06-18,86
2010-06-19,91
2010-06-20,86
2010-06-21,85
2010-06-22,85
2010-06-23,89
2010-06-24,86
2010-06-25,88
2010-06-26,93
2010-06-27,90
2010-06-28,85
2010-06-29,86
2010-06-30,84
2010-07-01,84
2010-07-02,86
2010-07-03,89
2010-07-04,86
2010-07-05,82
2010-07-06,81
2010-07-07,83
2010-07-08,80
2010-07-09,84
2010-07-10,85
2010-07-11,84
2010-07-12,81
2010-07-13,82
2010-07-14,84
2010-07-15,84
2010-07-16,86
2010-07-17,90
2010-07-18,86
2010-07-19,85
2010-07-20,86
2010-07-21,86
2010-07-22,87
2010-07-23,86
2010-07-24,92
2010-07-25,92
2010-07-26,87
2010-07-27,88
2010-07-28,90
2010-07-29,89
2010-07-30,89
2010-07-31,99
2010-08-01,91
2010-08-02,89
2010-08-03,89
2010-08-04,89
2010-08-05,88
2010-08-06,90
2010-08-07,96
2010-08-08,88
2010-08-09,87
2010-08-10,86
2010-08-11,87
2010-08-12,88
2010-08-13,85
2010-08-14,92
2010-08-15,86
2010-08-16,85
2010-08-17,85
2010-08-18,85
2010-08-19,85
2010-08-20,85
2010-08-21,93
2010-08-22,84
2010-08-23,84
2010-08-24,84
2010-08-25,84
2010-08-26,83
2010-08-27,83
2010-08-28,92
2010-08-29,83
2010-08-30,82
2010-08-31,82
2010-09-01,81
2010-09-02,81
2010-09-03,81
2010-09-04,88
2010-09-05,81
2010-09-06,81
2010-09-07,81
