Date,WR Hambrecht + Co
2004-11-01,66
2004-11-02,66
2004-11-03,67
2004-11-04,67
2004-11-05,68
2004-11-06,69
2004-11-07,69
2004-11-08,70
2004-11-09,71
2004-11-10,71
2004-11-11,72
2004-11-12,72
2004-11-13,73
2004-11-14,74
2004-11-15,74
2004-11-16,75
2004-11-17,76
2004-11-18,76
2004-11-19,77
2004-11-20,78
2004-11-21,78
2004-11-22,79
2004-11-23,79
2004-11-24,80
2004-11-25,81
2004-11-26,81
2004-11-27,82
2004-11-28,83
2004-11-29,83
2004-11-30,84
2004-12-01,85
2004-12-02,85
2004-12-03,85
2004-12-04,85
2004-12-05,85
2004-12-06,85
2004-12-07,85
2004-12-08,86
2004-12-09,86
2004-12-10,86
2004-12-11,86
2004-12-12,86
2004-12-13,86
2004-12-14,87
2004-12-15,87
2004-12-16,87
2004-12-17,87
2004-12-18,87
2004-12-19,87
2004-12-20,88
2004-12-21,88
2004-12-22,88
2004-12-23,88
2004-12-24,88
2004-12-25,88
2004-12-26,89
2004-12-27,89
2004-12-28,89
2004-12-29,89
2004-12-30,89
2004-12-31,89
2005-01-01,90
2005-01-02,89
2005-01-03,88
2005-01-04,87
2005-01-05,87
2005-01-06,86
2005-01-07,85
2005-01-08,85
2005-01-09,84
2005-01-10,83
2005-01-11,82
2005-01-12,82
2005-01-13,81
2005-01-14,80
2005-01-15,80
2005-01-16,79
2005-01-17,78
2005-01-18,77
2005-01-19,77
2005-01-20,76
2005-01-21,75
2005-01-22,75
2005-01-23,74
2005-01-24,73
2005-01-25,72
2005-01-26,72
2005-01-27,71
2005-01-28,70
2005-01-29,70
2005-01-30,69
2005-01-31,68
2005-02-01,68
2005-02-02,67
2005-02-03,67
2005-02-04,67
2005-02-05,67
2005-02-06,66
2005-02-07,66
2005-02-08,66
2005-02-09,66
2005-02-10,66
2005-02-11,65
2005-02-12,65
2005-02-13,65
2005-02-14,65
2005-02-15,65
2005-02-16,64
2005-02-17,64
2005-02-18,64
2005-02-19,64
2005-02-20,63
2005-02-21,63
2005-02-22,63
2005-02-23,63
2005-02-24,63
2005-02-25,62
2005-02-26,62
2005-02-27,62
2005-02-28,62
2005-03-01,62
2005-03-02,62
2005-03-03,63
2005-03-04,63
2005-03-05,64
2005-03-06,64
2005-03-07,65
2005-03-08,65
2005-03-09,66
2005-03-10,66
2005-03-11,67
2005-03-12,68
2005-03-13,68
2005-03-14,69
2005-03-15,69
2005-03-16,70
2005-03-17,70
2005-03-18,71
2005-03-19,71
2005-03-20,72
2005-03-21,72
2005-03-22,73
2005-03-23,74
2005-03-24,74
2005-03-25,75
2005-03-26,75
2005-03-27,76
2005-03-28,76
2005-03-29,77
2005-03-30,77
2005-03-31,78
2005-04-01,79
2005-04-02,78
2005-04-03,78
2005-04-04,78
2005-04-05,77
2005-04-06,77
2005-04-07,77
2005-04-08,76
2005-04-09,76
2005-04-10,76
2005-04-11,76
2005-04-12,75
2005-04-13,75
2005-04-14,75
2005-04-15,74
2005-04-16,74
2005-04-17,74
2005-04-18,73
2005-04-19,73
2005-04-20,73
2005-04-21,73
2005-04-22,72
2005-04-23,72
2005-04-24,72
2005-04-25,71
2005-04-26,71
2005-04-27,71
2005-04-28,70
2005-04-29,70
2005-04-30,70
2005-05-01,70
2005-05-02,70
2005-05-03,71
2005-05-04,72
2005-05-05,73
2005-05-06,74
2005-05-07,75
2005-05-08,76
2005-05-09,77
2005-05-10,78
2005-05-11,79
2005-05-12,80
2005-05-13,81
2005-05-14,82
2005-05-15,83
2005-05-16,84
2005-05-17,84
2005-05-18,85
2005-05-19,86
2005-05-20,87
2005-05-21,88
2005-05-22,89
2005-05-23,90
2005-05-24,91
2005-05-25,92
2005-05-26,93
2005-05-27,94
2005-05-28,95
2005-05-29,96
2005-05-30,97
2005-05-31,98
2005-06-01,99
2005-06-02,98
2005-06-03,97
2005-06-04,96
2005-06-05,95
2005-06-06,95
2005-06-07,94
2005-06-08,93
2005-06-09,92
2005-06-10,91
2005-06-11,91
2005-06-12,90
2005-06-13,89
2005-06-14,88
2005-06-15,87
2005-06-16,87
2005-06-17,86
2005-06-18,85
2005-06-19,84
2005-06-20,83
2005-06-21,83
2005-06-22,82
2005-06-23,81
2005-06-24,80
2005-06-25,79
2005-06-26,79
2005-06-27,78
2005-06-28,77
2005-06-29,76
2005-06-30,75
2005-07-01,75
2005-07-02,75
2005-07-03,76
2005-07-04,76
2005-07-05,77
2005-07-06,77
2005-07-07,78
2005-07-08,78
2005-07-09,79
2005-07-10,79
2005-07-11,80
2005-07-12,81
2005-07-13,81
2005-07-14,82
2005-07-15,82
2005-07-16,83
2005-07-17,83
2005-07-18,84
2005-07-19,84
2005-07-20,85
2005-07-21,85
2005-07-22,86
2005-07-23,87
2005-07-24,87
2005-07-25,88
2005-07-26,88
2005-07-27,89
2005-07-28,89
2005-07-29,90
2005-07-30,90
2005-07-31,91
2005-08-01,92
2005-08-02,91
2005-08-03,90
2005-08-04,89
2005-08-05,88
2005-08-06,87
2005-08-07,86
2005-08-08,86
2005-08-09,85
2005-08-10,84
2005-08-11,83
2005-08-12,82
2005-08-13,81
2005-08-14,81
2005-08-15,80
2005-08-16,79
2005-08-17,78
2005-08-18,77
2005-08-19,76
2005-08-20,76
2005-08-21,75
2005-08-22,74
2005-08-23,73
2005-08-24,72
2005-08-25,71
2005-08-26,71
2005-08-27,70
2005-08-28,69
2005-08-29,68
2005-08-30,67
2005-08-31,66
2005-09-01,66
2005-09-02,65
2005-09-03,65
2005-09-04,65
2005-09-05,65
2005-09-06,65
2005-09-07,65
2005-09-08,65
2005-09-09,65
2005-09-10,65
2005-09-11,65
2005-09-12,64
2005-09-13,64
2005-09-14,64
2005-09-15,64
2005-09-16,64
2005-09-17,64
2005-09-18,64
2005-09-19,64
2005-09-20,64
2005-09-21,64
2005-09-22,63
2005-09-23,63
2005-09-24,63
2005-09-25,63
2005-09-26,63
2005-09-27,63
2005-09-28,63
2005-09-29,63
2005-09-30,63
2005-10-01,63
2005-10-02,63
2005-10-03,63
2005-10-04,64
2005-10-05,64
2005-10-06,64
2005-10-07,65
2005-10-08,65
2005-10-09,65
2005-10-10,66
2005-10-11,66
2005-10-12,66
2005-10-13,67
2005-10-14,67
2005-10-15,67
2005-10-16,68
2005-10-17,68
2005-10-18,69
2005-10-19,69
2005-10-20,69
2005-10-21,70
2005-10-22,70
2005-10-23,70
2005-10-24,71
2005-10-25,71
2005-10-26,71
2005-10-27,72
2005-10-28,72
2005-10-29,72
2005-10-30,73
2005-10-31,73
2005-11-01,74
2005-11-02,74
2005-11-03,75
2005-11-04,76
2005-11-05,77
2005-11-06,78
2005-11-07,79
2005-11-08,80
2005-11-09,80
2005-11-10,81
2005-11-11,82
2005-11-12,83
