Date,SG Cowen
2006-10-01,65
2006-10-02,64
2006-10-03,62
2006-10-04,59
2006-10-05,57
2006-10-06,55
2006-10-07,53
2006-10-08,51
2006-10-09,49
2006-10-10,47
2006-10-11,46
2006-10-12,44
2006-10-13,42
2006-10-14,41
2006-10-15,44
2006-10-16,47
2006-10-17,50
2006-10-18,53
2006-10-19,56
2006-10-20,59
2006-10-21,62
2006-10-22,64
2006-10-23,67
2006-10-24,70
2006-10-25,73
2006-10-26,76
2006-10-27,78
2006-10-28,81
2006-10-29,76
2006-10-30,70
2006-10-31,65
2006-11-01,60
2006-11-02,55
2006-11-03,50
2006-11-04,45
2006-11-05,51
2006-11-06,58
2006-11-07,64
2006-11-08,71
2006-11-09,77
2006-11-10,84
2006-11-11,90
2006-11-12,82
2006-11-13,74
2006-11-14,66
2006-11-15,58
2006-11-16,50
2006-11-17,42
2006-11-18,35
2006-11-19,35
2006-11-20,35
2006-11-21,36
2006-11-22,36
2006-11-23,37
2006-11-24,37
2006-11-25,38
2006-11-26,39
2006-11-27,40
2006-11-28,41
2006-11-29,42
2006-11-30,43
2006-12-01,44
2006-12-02,45
2006-12-03,47
2006-12-04,50
2006-12-05,52
2006-12-06,55
2006-12-07,58
2006-12-08,60
2006-12-09,63
2006-12-10,63
2006-12-11,63
2006-12-12,63
2006-12-13,63
2006-12-14,63
2006-12-15,64
2006-12-16,64
2006-12-17,64
2006-12-18,63
2006-12-19,63
2006-12-20,63
2006-12-21,63
2006-12-22,63
2006-12-23,63
2006-12-24,60
2006-12-25,58
2006-12-26,56
2006-12-27,54
2006-12-28,52
2006-12-29,50
2006-12-30,48
2006-12-31,48
2007-01-07,54
2007-01-08,55
2007-01-09,57
2007-01-10,58
2007-01-11,59
2007-01-12,60
2007-01-13,62
2007-01-14,59
2007-01-15,57
2007-01-16,55
2007-01-17,53
2007-01-18,50
2007-01-19,48
2007-01-20,46
2007-01-21,46
2007-01-22,46
2007-01-23,47
2007-01-24,47
2007-01-25,48
2007-01-26,48
2007-01-27,49
2007-01-28,50
2007-01-29,52
2007-01-30,54
2007-01-31,56
2007-02-01,58
2007-02-02,60
2007-02-03,62
2007-02-04,61
2007-02-05,60
2007-02-06,59
2007-02-07,58
2007-02-08,57
2007-02-09,56
2007-02-10,56
2007-02-11,55
2007-02-12,55
2007-02-13,55
2007-02-14,54
2007-02-15,54
2007-02-16,54
2007-02-17,53
2007-02-18,51
2007-02-19,49
2007-02-20,47
2007-02-21,46
2007-02-22,44
2007-02-23,42
2007-02-24,41
2007-02-25,42
2007-02-26,43
2007-02-27,44
2007-02-28,46
2007-03-01,47
2007-03-02,48
2007-03-03,50
2007-03-04,52
2007-03-05,55
2007-03-06,58
2007-03-07,60
2007-03-08,63
2007-03-09,66
2007-03-10,69
2007-03-11,73
2007-03-12,77
2007-03-13,82
2007-03-14,86
2007-03-15,91
2007-03-16,95
2007-03-17,100
2007-03-18,94
2007-03-19,89
2007-03-20,84
2007-03-21,79
2007-03-22,73
2007-03-23,68
2007-03-24,62
2007-03-25,60
2007-04-01,41
2007-04-02,39
2007-04-03,37
2007-04-04,35
2007-04-05,33
2007-04-06,31
2007-04-07,29
2007-04-08,31
2007-04-09,34
2007-04-10,37
2007-04-11,40
2007-04-12,43
2007-04-13,46
2007-04-14,49
2007-04-15,53
2007-04-16,57
2007-04-17,61
2007-04-18,65
2007-04-19,69
2007-04-20,73
2007-04-21,77
2007-04-22,76
2007-04-23,74
2007-04-24,73
2007-04-25,71
2007-04-26,70
2007-04-27,69
2007-04-28,67
2007-04-29,66
2007-04-30,64
2007-05-01,62
2007-05-02,61
2007-05-03,60
2007-05-04,58
2007-05-05,57
2007-05-06,55
2007-05-07,54
2007-05-08,52
2007-05-09,51
2007-05-10,49
2007-05-11,48
2007-05-12,47
2007-05-13,46
2007-05-14,46
2007-05-15,46
2007-05-16,46
2007-05-17,46
2007-05-18,46
2007-05-19,46
2007-05-20,48
2007-05-21,50
2007-05-22,53
2007-05-23,55
2007-05-24,57
2007-05-25,59
2007-05-26,62
2007-05-27,62
2007-05-28,61
2007-05-29,61
2007-05-30,61
2007-05-31,61
2007-06-01,61
2007-06-02,61
2007-06-03,58
2007-06-04,56
2007-06-05,53
2007-06-06,50
2007-06-07,47
2007-06-08,45
2007-06-09,42
2007-06-10,42
2007-06-11,41
2007-06-12,41
2007-06-13,41
2007-06-14,41
2007-06-15,41
2007-06-16,41
2007-06-17,42
2007-06-18,44
2007-06-19,45
2007-06-20,47
2007-06-21,48
2007-06-22,50
2007-06-23,52
2007-06-24,51
2007-07-01,46
2007-07-02,45
2007-07-03,45
2007-07-04,44
2007-07-05,44
2007-07-06,43
2007-07-07,43
2007-07-08,42
2007-07-09,42
2007-07-10,41
2007-07-11,41
2007-07-12,40
2007-07-13,40
2007-07-14,40
2007-07-15,44
2007-07-16,48
2007-07-17,52
2007-07-18,56
2007-07-19,60
2007-07-20,64
2007-07-21,68
2007-07-22,67
2007-07-23,66
2007-07-24,65
2007-07-25,64
2007-07-26,63
2007-07-27,62
2007-07-28,62
2007-07-29,63
2007-07-30,64
2007-07-31,65
2007-08-01,66
2007-08-02,67
2007-08-03,68
2007-08-04,69
2007-08-05,68
2007-08-06,68
2007-08-07,67
2007-08-08,67
2007-08-09,66
2007-08-10,65
2007-08-11,65
2007-08-12,64
2007-08-13,64
2007-08-14,63
2007-08-15,63
2007-08-16,62
2007-08-17,62
2007-08-18,61
