Date,SunTrust Robinson Humphrey
2004-07-01,50
2004-07-02,50
2004-07-03,56
2004-07-04,49
2004-07-05,49
2004-07-06,48
2004-07-07,49
2004-07-08,49
2004-07-09,48
2004-07-10,47
2004-07-11,48
2004-07-12,48
2004-07-13,49
2004-07-14,50
2004-07-15,51
2004-07-16,53
2004-07-17,59
2004-07-18,52
2004-07-19,52
2004-07-20,51
2004-07-21,51
2004-07-22,53
2004-07-23,50
2004-07-24,58
2004-07-25,49
2004-07-26,50
2004-07-27,49
2004-07-28,51
2004-07-29,49
2004-07-30,49
2004-07-31,54
2004-08-01,51
2004-08-02,50
2004-08-03,50
2004-08-04,53
2004-08-05,51
2004-08-06,53
2004-08-07,56
2004-08-08,57
2004-08-09,53
2004-08-10,56
2004-08-11,53
2004-08-12,53
2004-08-13,55
2004-08-14,58
2004-08-15,56
2004-08-16,58
2004-08-17,62
2004-08-18,63
2004-08-19,71
2004-08-20,68
2004-08-21,77
2004-08-22,74
2004-08-23,66
2004-08-24,64
2004-08-25,64
2004-08-26,60
2004-08-27,59
2004-08-28,61
2004-08-29,56
2004-08-30,56
2004-08-31,60
2004-09-01,56
2004-09-02,56
2004-09-03,56
2004-09-04,57
2004-09-05,61
2004-09-06,53
2004-09-07,52
2004-09-08,51
2004-09-09,51
2004-09-10,51
2004-09-11,48
2004-09-12,50
2004-09-13,53
2004-09-14,59
2004-09-15,58
2004-09-16,65
2004-09-17,64
2004-09-18,69
2004-09-19,65
2004-09-20,64
2004-09-21,64
2004-09-22,60
2004-09-23,60
2004-09-24,58
2004-09-25,58
2004-09-26,58
2004-09-27,59
2004-09-28,65
2004-09-29,62
2004-09-30,63
2004-10-01,65
2004-10-02,70
2004-10-03,68
2004-10-04,67
2004-10-05,68
2004-10-06,68
2004-10-07,71
2004-10-08,69
2004-10-09,74
2004-10-10,69
2004-10-11,68
2004-10-12,67
2004-10-13,66
2004-10-14,65
2004-10-15,64
2004-10-16,69
2004-10-17,63
2004-10-18,63
2004-10-19,63
2004-10-20,67
2004-10-21,64
2004-10-22,68
2004-10-23,65
2004-10-24,63
2004-10-25,62
2004-10-26,64
2004-10-27,63
2004-10-28,61
2004-10-29,60
2004-10-30,60
2004-10-31,65
2004-11-01,63
2004-11-02,65
2004-11-03,71
2004-11-04,69
2004-11-05,70
2004-11-06,79
2004-11-07,75
2004-11-08,78
2004-11-09,83
2004-11-10,84
2004-11-11,90
2004-11-12,90
2004-11-13,97
2004-11-14,100
2004-11-15,87
2004-11-16,89
2004-11-17,82
2004-11-18,77
2004-11-19,77
2004-11-20,71
2004-11-21,75
2004-11-22,70
2004-11-23,70
2004-11-24,70
2004-11-25,73
2004-11-26,69
2004-11-27,70
2004-11-28,73
2004-11-29,77
2004-11-30,83
2004-12-01,86
2004-12-02,91
2004-12-03,100
2004-12-04,104
2004-12-05,98
2004-12-06,96
2004-12-07,96
2004-12-08,93
2004-12-09,90
2004-12-10,89
