Date,BofA Merrill Lynch
2012-03-04,0
2012-03-05,0
2012-03-06,0
2012-03-07,0
2012-03-08,0
2012-03-09,0
2012-03-10,0
2012-03-11,0
2012-03-12,0
2012-03-13,0
2012-03-14,0
2012-03-15,0
2012-03-16,0
2012-03-17,0
2012-03-18,0
2012-03-19,0
2012-03-20,0
2012-03-21,0
2012-03-22,0
2012-03-23,0
2012-03-24,0
2012-03-25,0
2012-03-26,0
2012-03-27,0
2012-03-28,0
2012-03-29,0
2012-03-30,0
2012-03-31,0
2012-04-01,9
2012-04-02,19
2012-04-03,28
2012-04-04,38
2012-04-05,47
2012-04-06,57
2012-04-07,67
2012-04-08,64
2012-04-09,62
2012-04-10,59
2012-04-11,57
2012-04-12,54
2012-04-13,52
2012-04-14,50
2012-04-15,50
2012-04-16,50
2012-04-17,50
2012-04-18,50
2012-04-19,50
2012-04-20,50
2012-04-21,50
2012-04-22,51
2012-04-23,52
2012-04-24,53
2012-04-25,55
2012-04-26,56
2012-04-27,57
2012-04-28,59
2012-04-29,58
2012-04-30,58
2012-05-01,57
2012-05-02,56
2012-05-03,56
2012-05-04,55
2012-05-05,55
2012-05-06,56
2012-05-07,57
2012-05-08,58
2012-05-09,59
2012-05-10,60
2012-05-11,61
2012-05-12,63
2012-05-13,64
2012-05-14,65
2012-05-15,66
2012-05-16,67
2012-05-17,68
2012-05-18,69
2012-05-19,71
2012-05-20,72
2012-05-21,75
2012-05-22,76
2012-05-23,78
2012-05-24,80
2012-05-25,83
2012-05-26,87
2012-05-27,74
2012-06-03,50
2012-06-04,51
2012-06-05,51
2012-06-06,52
2012-06-07,53
2012-06-08,53
2012-06-09,54
2012-06-10,54
2012-06-11,53
2012-06-12,53
2012-06-13,53
2012-06-14,53
2012-06-15,53
2012-06-16,53
2012-06-17,53
2012-06-18,53
2012-06-19,53
2012-06-20,53
2012-06-21,53
2012-06-22,53
2012-06-23,54
2012-06-24,54
2012-06-25,54
2012-06-26,54
2012-06-27,54
2012-06-28,54
2012-06-29,54
2012-06-30,55
2012-07-01,55
2012-07-02,55
2012-07-03,55
2012-07-04,55
2012-07-05,55
2012-07-06,55
2012-07-07,55
2012-07-08,54
2012-07-09,53
2012-07-10,52
2012-07-11,51
2012-07-12,50
2012-07-13,49
2012-07-14,49
2012-07-15,51
2012-07-16,54
2012-07-17,57
2012-07-18,60
2012-07-19,63
2012-07-20,66
2012-07-21,69
2012-07-22,67
2012-07-23,68
2012-07-24,67
2012-07-25,66
2012-07-26,65
2012-07-27,65
2012-07-28,66
2012-07-29,59
2012-07-30,58
2012-07-31,57
2012-08-01,57
2012-08-02,56
2012-08-03,55
2012-08-04,55
2012-08-05,55
2012-08-06,55
2012-08-07,55
2012-08-08,55
2012-08-09,55
2012-08-10,55
2012-08-11,55
2012-08-12,57
2012-08-13,59
2012-08-14,61
2012-08-15,64
2012-08-16,66
2012-08-17,68
2012-08-18,71
2012-08-19,68
2012-08-20,65
2012-08-21,63
2012-08-22,60
2012-08-23,58
2012-08-24,55
2012-08-25,53
2012-08-26,53
2012-09-02,53
2012-09-03,53
2012-09-04,53
2012-09-05,53
2012-09-06,53
2012-09-07,53
2012-09-08,53
2012-09-09,54
2012-09-10,54
2012-09-11,54
2012-09-12,55
2012-09-13,55
2012-09-14,56
2012-09-15,57
2012-09-16,56
2012-09-17,55
2012-09-18,54
2012-09-19,54
2012-09-20,53
2012-09-21,52
2012-09-22,52
2012-09-23,53
2012-09-24,54
2012-09-25,56
2012-09-26,57
2012-09-27,58
2012-09-28,60
2012-09-29,61
2012-09-30,60
2012-10-01,58
2012-10-02,56
2012-10-03,55
2012-10-04,53
2012-10-05,52
2012-10-06,51
2012-10-07,50
2012-10-08,49
2012-10-09,48
2012-10-10,47
2012-10-11,46
2012-10-12,45
2012-10-13,45
2012-10-14,46
2012-10-15,47
2012-10-16,48
2012-10-17,50
2012-10-18,51
2012-10-19,52
2012-10-20,54
2012-10-21,54
2012-10-22,54
2012-10-23,54
2012-10-24,54
2012-10-25,54
2012-10-26,54
2012-10-27,55
2012-10-28,55
2012-10-29,55
2012-10-30,55
2012-10-31,55
2012-11-01,55
2012-11-02,55
2012-11-03,56
2012-11-04,56
2012-11-05,56
2012-11-06,56
2012-11-07,56
2012-11-08,56
2012-11-09,56
2012-11-10,57
2012-11-11,57
2012-11-12,57
2012-11-13,57
2012-11-14,57
2012-11-15,57
2012-11-16,57
2012-11-17,58
2012-11-18,57
2012-11-19,56
2012-11-20,55
2012-11-21,54
2012-11-22,53
2012-11-23,52
2012-11-24,51
2012-11-25,51
2012-12-02,51
2012-12-03,51
2012-12-04,52
2012-12-05,52
2012-12-06,53
2012-12-07,53
2012-12-08,54
2012-12-09,54
2012-12-10,54
2012-12-11,54
2012-12-12,55
2012-12-13,55
2012-12-14,55
2012-12-15,56
2012-12-16,56
2012-12-17,56
2012-12-18,56
2012-12-19,57
2012-12-20,57
2012-12-21,57
2012-12-22,58
2012-12-23,57
2012-12-24,56
2012-12-25,55
2012-12-26,54
2012-12-27,53
2012-12-28,52
2012-12-29,51
2012-12-30,51
2012-12-31,59
2013-01-01,51
2013-01-02,51
2013-01-03,51
2013-01-04,51
2013-01-05,51
2013-01-06,56
2013-01-07,61
2013-01-08,67
2013-01-09,72
2013-01-10,77
2013-01-11,83
2013-01-12,88
2013-01-13,85
2013-01-14,81
2013-01-15,78
2013-01-16,75
2013-01-17,71
2013-01-18,68
2013-01-19,65
2013-01-20,63
2013-01-21,60
2013-01-22,58
2013-01-23,55
2013-01-24,53
2013-01-25,51
2013-01-26,49
2013-01-27,50
2013-01-28,51
2013-01-29,52
2013-01-30,53
2013-01-31,54
2013-02-01,55
2013-02-02,57
2013-02-03,55
2013-02-04,53
2013-02-05,51
2013-02-06,50
2013-02-07,48
2013-02-08,46
2013-02-09,45
2013-02-10,49
2013-02-11,55
2013-02-12,60
2013-02-13,65
2013-02-14,70
2013-02-15,75
2013-02-16,80
2013-02-17,75
2013-02-18,70
2013-02-19,65
2013-02-20,61
2013-02-21,56
2013-02-22,52
2013-02-23,48
2013-02-24,46
2013-03-03,43
2013-03-04,48
2013-03-05,53
2013-03-06,58
2013-03-07,63
2013-03-08,68
2013-03-09,73
2013-03-10,71
2013-03-11,69
2013-03-12,67
2013-03-13,65
2013-03-14,63
2013-03-15,61
2013-03-16,59
2013-03-17,59
2013-03-18,59
2013-03-19,59
2013-03-20,59
2013-03-21,59
2013-03-22,59
2013-03-23,59
2013-03-24,57
2013-03-25,55
2013-03-26,53
2013-03-27,51
2013-03-28,49
2013-03-29,47
2013-03-30,45
2013-03-31,45
2013-04-01,46
2013-04-02,47
2013-04-03,47
2013-04-04,48
2013-04-05,49
2013-04-06,50
2013-04-07,50
2013-04-08,51
2013-04-09,52
2013-04-10,53
2013-04-11,53
2013-04-12,54
2013-04-13,55
2013-04-14,54
2013-04-15,52
2013-04-16,51
2013-04-17,50
2013-04-18,49
2013-04-19,48
2013-04-20,47
2013-04-21,47
2013-04-22,47
2013-04-23,47
2013-04-24,47
2013-04-25,47
2013-04-26,47
2013-04-27,47
2013-04-28,47
2013-04-29,47
2013-04-30,47
2013-05-01,47
2013-05-02,47
2013-05-03,47
2013-05-04,47
2013-05-05,47
2013-05-06,47
2013-05-07,47
2013-05-08,47
2013-05-09,47
2013-05-10,47
2013-05-11,47
2013-05-12,47
2013-05-13,48
2013-05-14,48
2013-05-15,48
2013-05-16,49
2013-05-17,50
2013-05-18,52
2013-05-19,48
2013-05-20,49
2013-05-21,51
2013-05-22,52
2013-05-23,54
2013-05-24,55
2013-05-25,57
2013-05-26,58
2013-06-02,67
2013-06-03,69
2013-06-04,70
2013-06-05,72
2013-06-06,73
2013-06-07,74
2013-06-08,76
2013-06-09,72
2013-06-10,67
2013-06-11,63
2013-06-12,59
2013-06-13,55
2013-06-14,51
2013-06-15,48
2013-06-16,47
2013-06-17,46
2013-06-18,46
2013-06-19,45
2013-06-20,45
2013-06-21,44
2013-06-22,44
2013-06-23,43
2013-06-24,42
2013-06-25,42
2013-06-26,41
2013-06-27,41
2013-06-28,40
2013-06-29,40
2013-06-30,40
2013-07-01,41
2013-07-02,42
2013-07-03,42
2013-07-04,43
2013-07-05,44
2013-07-06,45
2013-07-07,44
2013-07-08,43
2013-07-09,43
2013-07-10,42
2013-07-11,42
2013-07-12,41
2013-07-13,41
2013-07-14,44
2013-07-15,48
2013-07-16,51
2013-07-17,55
2013-07-18,59
2013-07-19,62
2013-07-20,66
2013-07-21,64
2013-07-22,63
2013-07-23,62
2013-07-24,60
2013-07-25,59
2013-07-26,58
2013-07-27,57
2013-07-28,57
2013-07-29,58
2013-07-30,58
2013-07-31,59
2013-08-01,59
2013-08-02,60
2013-08-03,61
2013-08-04,62
2013-08-05,63
2013-08-06,64
2013-08-07,65
2013-08-08,66
2013-08-09,67
2013-08-10,69
2013-08-11,70
2013-08-12,71
2013-08-13,72
2013-08-14,74
2013-08-15,75
2013-08-16,76
2013-08-17,78
2013-08-18,81
2013-08-19,85
2013-08-20,88
2013-08-21,92
2013-08-22,95
2013-08-23,99
2013-08-24,102
2013-08-25,94
2013-09-01,42
2013-09-02,42
2013-09-03,42
2013-09-04,42
2013-09-05,42
2013-09-06,42
2013-09-07,42
2013-09-08,42
2013-09-09,42
2013-09-10,42
2013-09-11,42
2013-09-12,42
2013-09-13,42
2013-09-14,42
2013-09-15,42
2013-09-16,42
2013-09-17,42
2013-09-18,42
2013-09-19,42
2013-09-20,42
2013-09-21,42
2013-09-22,43
2013-09-23,45
2013-09-24,46
2013-09-25,48
2013-09-26,49
2013-09-27,51
2013-09-28,53
2013-09-29,53
2013-09-30,54
2013-10-01,55
2013-10-02,55
2013-10-03,56
2013-10-04,56
2013-10-05,57
2013-10-06,56
2013-10-07,54
2013-10-08,53
2013-10-09,52
2013-10-10,51
2013-10-11,50
2013-10-12,50
2013-10-13,50
2013-10-14,50
2013-10-15,50
2013-10-16,50
2013-10-17,50
2013-10-18,50
2013-10-19,50
2013-10-20,50
2013-10-21,50
2013-10-22,50
2013-10-23,50
2013-10-24,50
2013-10-25,50
2013-10-26,51
2013-10-27,51
2013-10-28,51
2013-10-29,51
2013-10-30,51
2013-10-31,51
2013-11-01,51
2013-11-02,52
2013-11-03,55
2013-11-04,59
2013-11-05,62
2013-11-06,66
2013-11-07,69
2013-11-08,73
2013-11-09,76
2013-11-10,73
2013-11-11,71
2013-11-12,68
2013-11-13,65
2013-11-14,62
2013-11-15,59
2013-11-16,56
2013-11-17,54
2013-11-18,51
2013-11-19,49
2013-11-20,46
2013-11-21,44
2013-11-22,42
2013-11-23,40
2013-11-24,37
2013-12-01,37
2013-12-02,37
2013-12-03,37
2013-12-04,38
2013-12-05,38
2013-12-06,38
2013-12-07,39
2013-12-08,43
2013-12-09,49
2013-12-10,53
2013-12-11,58
2013-12-12,63
2013-12-13,68
2013-12-14,73
2013-12-15,70
2013-12-16,66
2013-12-17,62
2013-12-18,59
2013-12-19,55
2013-12-20,52
2013-12-21,49
2013-12-22,49
2013-12-23,50
2013-12-24,50
2013-12-25,51
2013-12-26,52
2013-12-27,52
2013-12-28,53
2013-12-29,52
2013-12-30,51
2013-12-31,50
2014-01-01,49
2014-01-02,48
2014-01-03,47
2014-01-04,47
2014-01-05,47
2014-01-06,47
2014-01-07,47
2014-01-08,47
2014-01-09,47
2014-01-10,47
2014-01-11,47
2014-01-12,49
2014-01-13,51
2014-01-14,54
2014-01-15,56
2014-01-16,58
2014-01-17,61
2014-01-18,63
2014-01-19,61
2014-01-20,59
2014-01-21,57
2014-01-22,55
2014-01-23,53
2014-01-24,51
2014-01-25,49
