Date,Credit Suisse
2005-01-01,57
2005-01-02,60
2005-01-03,60
2005-01-04,62
2005-01-05,63
2005-01-06,68
2005-01-07,69
2005-01-08,75
2005-01-09,70
2005-01-10,71
2005-01-11,72
2005-01-12,73
2005-01-13,77
2005-01-14,75
2005-01-15,88
2005-01-16,77
2005-01-17,78
2005-01-18,79
2005-01-19,80
2005-01-20,81
2005-01-21,85
2005-01-22,91
2005-01-23,82
2005-01-24,82
2005-01-25,85
2005-01-26,84
2005-01-27,81
2005-01-28,82
2005-01-29,89
2005-01-30,80
2005-01-31,80
2005-02-01,81
2005-02-02,80
2005-02-03,85
2005-02-04,80
2005-02-05,89
2005-02-06,79
2005-02-07,78
2005-02-08,77
2005-02-09,78
2005-02-10,77
2005-02-11,75
2005-02-12,77
2005-02-13,77
2005-02-14,77
2005-02-15,81
2005-02-16,80
2005-02-17,82
2005-02-18,84
2005-02-19,98
2005-02-20,82
2005-02-21,80
2005-02-22,78
2005-02-23,76
2005-02-24,74
2005-02-25,75
2005-02-26,70
2005-02-27,71
2005-02-28,72
2005-03-01,76
2005-03-02,75
2005-03-03,77
2005-03-04,82
2005-03-05,82
2005-03-06,83
2005-03-07,78
2005-03-08,77
2005-03-09,76
2005-03-10,81
2005-03-11,74
2005-03-12,84
2005-03-13,72
2005-03-14,72
2005-03-15,72
2005-03-16,75
2005-03-17,71
2005-03-18,71
2005-03-19,79
2005-03-20,70
2005-03-21,70
2005-03-22,69
2005-03-23,72
2005-03-24,69
2005-03-25,73
2005-03-26,68
2005-03-27,67
2005-03-28,66
2005-03-29,65
2005-03-30,65
2005-03-31,63
2005-04-01,62
2005-04-02,64
2005-04-03,64
2005-04-04,63
2005-04-05,64
2005-04-06,65
2005-04-07,71
2005-04-08,69
2005-04-09,78
2005-04-10,70
2005-04-11,71
2005-04-12,73
2005-04-13,73
2005-04-14,74
2005-04-15,76
2005-04-16,86
2005-04-17,76
2005-04-18,77
2005-04-19,74
2005-04-20,76
2005-04-21,73
2005-04-22,71
2005-04-23,76
2005-04-24,70
2005-04-25,70
2005-04-26,75
2005-04-27,71
2005-04-28,71
2005-04-29,75
2005-04-30,80
2005-05-01,70
2005-05-02,69
2005-05-03,67
2005-05-04,70
2005-05-05,64
2005-05-06,63
2005-05-07,69
2005-05-08,63
2005-05-09,62
2005-05-10,62
2005-05-11,62
2005-05-12,62
2005-05-13,62
2005-05-14,68
2005-05-15,67
2005-05-16,64
2005-05-17,65
2005-05-18,70
2005-05-19,69
2005-05-20,73
2005-05-21,73
2005-05-22,70
2005-05-23,70
2005-05-24,71
2005-05-25,71
2005-05-26,71
2005-05-27,71
2005-05-28,76
2005-05-29,72
2005-05-30,72
2005-05-31,76
2005-06-01,73
2005-06-02,74
2005-06-03,73
2005-06-04,84
2005-06-05,73
2005-06-06,72
2005-06-07,71
2005-06-08,70
2005-06-09,69
2005-06-10,69
2005-06-11,72
2005-06-12,68
2005-06-13,70
2005-06-14,73
2005-06-15,74
2005-06-16,83
2005-06-17,79
2005-06-18,84
2005-06-19,79
2005-06-20,79
2005-06-21,84
2005-06-22,79
2005-06-23,78
2005-06-24,78
2005-06-25,88
2005-06-26,79
2005-06-27,80
2005-06-28,82
2005-06-29,82
2005-06-30,84
2005-07-01,84
2005-07-02,96
2005-07-03,88
2005-07-04,86
2005-07-05,86
2005-07-06,87
2005-07-07,88
2005-07-08,87
2005-07-09,94
2005-07-10,84
2005-07-11,82
2005-07-12,83
2005-07-13,78
2005-07-14,76
2005-07-15,77
2005-07-16,80
2005-07-17,72
2005-07-18,73
2005-07-19,77
2005-07-20,74
2005-07-21,74
2005-07-22,80
2005-07-23,86
2005-07-24,75
2005-07-25,75
2005-07-26,77
2005-07-27,75
2005-07-28,75
2005-07-29,79
2005-07-30,79
2005-07-31,77
2005-08-01,73
2005-08-02,73
2005-08-03,72
2005-08-04,74
2005-08-05,71
2005-08-06,81
2005-08-07,71
2005-08-08,72
2005-08-09,73
2005-08-10,77
2005-08-11,75
2005-08-12,76
2005-08-13,89
2005-08-14,76
2005-08-15,74
2005-08-16,73
2005-08-17,71
2005-08-18,75
2005-08-19,69
2005-08-20,75
2005-08-21,68
2005-08-22,68
2005-08-23,68
2005-08-24,68
2005-08-25,68
2005-08-26,74
2005-08-27,75
2005-08-28,71
2005-08-29,71
