Date,Oppenheimer Holdings
2005-03-06,70
2005-03-07,71
2005-03-08,72
2005-03-09,72
2005-03-10,73
2005-03-11,74
2005-03-12,75
2005-03-13,76
2005-03-14,95
2005-03-15,80
2005-03-16,82
2005-03-17,84
2005-03-18,86
2005-03-19,88
2005-03-20,89
2005-03-21,91
2005-03-22,93
2005-03-23,95
2005-03-24,97
2005-03-25,98
2005-03-26,100
2005-03-27,98
2005-03-28,96
2005-03-29,94
2005-03-30,92
2005-03-31,90
2005-04-01,88
2005-04-02,86
2005-04-03,86
2005-04-04,86
2005-04-05,86
2005-04-06,86
2005-04-07,86
2005-04-08,86
2005-04-09,86
2005-04-10,86
2005-04-11,86
2005-04-12,86
2005-04-13,86
2005-04-14,86
2005-04-15,86
2005-04-16,86
2005-04-17,86
2005-04-18,86
2005-04-19,86
2005-04-20,86
2005-04-21,86
2005-04-22,86
2005-04-23,86
2005-04-24,82
2005-04-25,79
2005-04-26,75
2005-04-27,72
2005-04-28,68
2005-04-29,65
2005-04-30,62
2005-05-01,61
2005-05-02,60
2005-05-03,59
2005-05-04,58
2005-05-05,57
2005-05-06,56
2005-05-07,55
2005-05-08,54
2005-05-09,53
2005-05-10,53
2005-05-11,52
2005-05-12,52
2005-05-13,51
2005-05-14,51
2005-05-15,54
2005-05-16,57
2005-05-17,61
2005-05-18,64
2005-05-19,68
2005-05-20,71
2005-05-21,75
2005-05-22,78
2005-05-23,84
2005-05-24,88
2005-05-25,92
2005-05-26,97
2005-05-27,103
2005-05-28,110
2005-05-29,99
2005-06-05,96
2005-06-06,96
2005-06-07,96
2005-06-08,96
2005-06-09,96
2005-06-10,96
2005-06-11,96
2005-06-12,96
2005-06-13,96
2005-06-14,96
2005-06-15,96
2005-06-16,96
2005-06-17,96
2005-06-18,96
2005-06-19,96
2005-06-20,96
2005-06-21,96
2005-06-22,96
2005-06-23,96
2005-06-24,97
2005-06-25,97
2005-06-26,92
2005-06-27,86
2005-06-28,82
2005-06-29,77
2005-06-30,73
2005-07-01,68
2005-07-02,64
2005-07-03,65
2005-07-04,67
2005-07-05,69
2005-07-06,70
2005-07-07,72
2005-07-08,74
2005-07-09,76
2005-07-10,77
2005-07-11,79
2005-07-12,81
2005-07-13,82
2005-07-14,84
2005-07-15,86
2005-07-16,88
2005-07-17,89
2005-07-18,92
2005-07-19,93
2005-07-20,95
2005-07-21,97
2005-07-22,99
2005-07-23,101
2005-07-24,98
2005-07-25,95
2005-07-26,93
2005-07-27,90
2005-07-28,88
2005-07-29,86
2005-07-30,84
2005-07-31,84
2005-08-01,84
2005-08-02,85
2005-08-03,85
2005-08-04,85
2005-08-05,85
2005-08-06,85
2005-08-07,83
2005-08-08,79
2005-08-09,77
2005-08-10,74
2005-08-11,72
2005-08-12,69
2005-08-13,67
2005-08-14,64
2005-08-15,62
2005-08-16,60
2005-08-17,58
2005-08-18,56
2005-08-19,54
2005-08-20,52
2005-08-21,56
2005-08-22,60
2005-08-23,64
2005-08-24,69
2005-08-25,73
2005-08-26,77
2005-08-27,82
2005-08-28,80
2005-09-04,71
2005-09-05,86
2005-09-06,68
2005-09-07,67
2005-09-08,65
2005-09-09,64
2005-09-10,63
2005-09-11,63
2005-09-12,63
2005-09-13,63
2005-09-14,63
2005-09-15,63
2005-09-16,63
2005-09-17,63
2005-09-18,60
2005-09-19,57
2005-09-20,54
2005-09-21,52
2005-09-22,49
2005-09-23,46
2005-09-24,44
2005-09-25,44
2005-09-26,44
2005-09-27,44
2005-09-28,44
2005-09-29,44
2005-09-30,44
2005-10-01,44
2005-10-02,44
2005-10-03,44
2005-10-04,44
2005-10-05,45
2005-10-06,45
2005-10-07,45
2005-10-08,46
2005-10-09,46
2005-10-10,46
2005-10-11,47
2005-10-12,47
2005-10-13,48
2005-10-14,48
2005-10-15,49
2005-10-16,53
2005-10-17,59
2005-10-18,63
2005-10-19,68
2005-10-20,73
2005-10-21,78
2005-10-22,83
2005-10-23,79
2005-10-24,75
2005-10-25,72
2005-10-26,69
2005-10-27,66
2005-10-28,63
2005-10-29,60
2005-10-30,60
2005-10-31,60
2005-11-01,60
2005-11-02,60
2005-11-03,60
2005-11-04,60
2005-11-05,60
2005-11-06,59
2005-11-07,58
2005-11-08,57
2005-11-09,56
2005-11-10,55
2005-11-11,55
2005-11-12,54
2005-11-13,53
2005-11-14,53
2005-11-15,53
2005-11-16,52
2005-11-17,52
2005-11-18,52
2005-11-19,52
2005-11-20,52
2005-11-21,52
2005-11-22,52
2005-11-23,52
2005-11-24,52
2005-11-25,52
2005-11-26,52
2005-11-27,52
2005-12-04,53
2005-12-05,56
2005-12-06,57
2005-12-07,59
2005-12-08,61
2005-12-09,63
2005-12-10,65
2005-12-11,63
2005-12-12,61
2005-12-13,59
2005-12-14,58
2005-12-15,56
2005-12-16,54
2005-12-17,53
2005-12-18,52
2005-12-19,52
2005-12-20,51
2005-12-21,51
2005-12-22,50
2005-12-23,50
2005-12-24,50
2005-12-25,50
2005-12-26,50
2005-12-27,50
2005-12-28,50
2005-12-29,50
2005-12-30,50
2005-12-31,50
2006-01-01,50
2006-01-02,50
2006-01-03,50
2006-01-04,50
2006-01-05,50
2006-01-06,50
2006-01-07,50
2006-01-08,53
2006-01-09,58
2006-01-10,61
2006-01-11,65
2006-01-12,69
2006-01-13,73
2006-01-14,77
2006-01-15,74
2006-01-16,71
2006-01-17,68
2006-01-18,65
2006-01-19,62
2006-01-20,59
2006-01-21,56
2006-01-22,54
2006-01-23,53
2006-01-24,52
2006-01-25,51
2006-01-26,50
2006-01-27,49
2006-01-28,48
2006-01-29,48
2006-01-30,48
2006-01-31,49
2006-02-01,49
2006-02-02,50
2006-02-03,50
2006-02-04,51
2006-02-05,49
2006-02-06,47
2006-02-07,46
2006-02-08,44
2006-02-09,43
2006-02-10,41
2006-02-11,40
2006-02-12,43
2006-02-13,48
2006-02-14,51
2006-02-15,55
2006-02-16,59
2006-02-17,63
2006-02-18,67
2006-02-19,65
2006-02-20,63
2006-02-21,61
2006-02-22,59
2006-02-23,57
2006-02-24,55
2006-02-25,54
2006-02-26,53
2006-03-05,50
2006-03-06,51
2006-03-07,52
2006-03-08,52
2006-03-09,53
2006-03-10,54
2006-03-11,55
2006-03-12,57
2006-03-13,60
2006-03-14,62
2006-03-15,65
2006-03-16,67
2006-03-17,70
2006-03-18,72
2006-03-19,72
2006-03-20,70
2006-03-21,70
2006-03-22,69
2006-03-23,69
2006-03-24,68
2006-03-25,68
2006-03-26,67
2006-03-27,67
2006-03-28,66
2006-03-29,66
2006-03-30,65
2006-03-31,65
2006-04-01,65
2006-04-02,64
2006-04-03,64
2006-04-04,63
2006-04-05,62
2006-04-06,62
2006-04-07,61
2006-04-08,61
2006-04-09,61
2006-04-10,62
2006-04-11,63
2006-04-12,63
2006-04-13,64
2006-04-14,65
2006-04-15,66
2006-04-16,66
2006-04-17,67
2006-04-18,68
2006-04-19,68
2006-04-20,69
2006-04-21,69
2006-04-22,70
2006-04-23,67
2006-04-24,63
2006-04-25,60
2006-04-26,57
2006-04-27,53
2006-04-28,50
2006-04-29,47
2006-04-30,47
2006-05-01,47
2006-05-02,47
2006-05-03,48
2006-05-04,48
2006-05-05,48
2006-05-06,49
2006-05-07,47
2006-05-08,45
2006-05-09,43
2006-05-10,41
2006-05-11,39
2006-05-12,37
2006-05-13,36
2006-05-14,36
2006-05-15,36
2006-05-16,36
2006-05-17,36
2006-05-18,36
2006-05-19,36
2006-05-20,36
2006-05-21,39
2006-05-22,42
2006-05-23,45
2006-05-24,48
2006-05-25,51
2006-05-26,54
2006-05-27,57
2006-05-28,56
2006-06-04,50
2006-06-05,49
2006-06-06,47
2006-06-07,45
2006-06-08,44
2006-06-09,42
2006-06-10,41
2006-06-11,40
2006-06-12,39
2006-06-13,38
2006-06-14,37
2006-06-15,36
2006-06-16,35
2006-06-17,34
2006-06-18,35
2006-06-19,36
2006-06-20,37
2006-06-21,38
2006-06-22,39
2006-06-23,40
2006-06-24,41
2006-06-25,40
2006-06-26,40
2006-06-27,40
2006-06-28,40
2006-06-29,40
2006-06-30,40
2006-07-01,40
2006-07-02,40
2006-07-03,41
2006-07-04,42
2006-07-05,43
2006-07-06,44
2006-07-07,45
2006-07-08,46
2006-07-09,46
2006-07-10,47
2006-07-11,48
2006-07-12,49
2006-07-13,49
2006-07-14,50
2006-07-15,51
2006-07-16,49
2006-07-17,48
2006-07-18,46
2006-07-19,45
2006-07-20,43
2006-07-21,42
2006-07-22,41
2006-07-23,44
2006-07-24,48
2006-07-25,51
2006-07-26,55
2006-07-27,58
2006-07-28,62
2006-07-29,65
2006-07-30,65
2006-07-31,65
2006-08-01,65
2006-08-02,65
2006-08-03,65
2006-08-04,65
2006-08-05,65
2006-08-06,65
2006-08-07,65
2006-08-08,65
2006-08-09,65
2006-08-10,65
2006-08-11,65
2006-08-12,66
2006-08-13,65
2006-08-14,65
2006-08-15,65
2006-08-16,64
2006-08-17,64
2006-08-18,64
2006-08-19,64
2006-08-20,62
2006-08-21,61
2006-08-22,59
2006-08-23,58
2006-08-24,56
2006-08-25,55
2006-08-26,54
2006-08-27,56
2006-09-03,66
2006-09-04,65
2006-09-05,64
2006-09-06,62
2006-09-07,61
2006-09-08,60
2006-09-09,58
2006-09-10,56
2006-09-11,53
2006-09-12,51
2006-09-13,48
2006-09-14,46
2006-09-15,44
2006-09-16,42
2006-09-17,42
2006-09-18,43
2006-09-19,44
2006-09-20,44
2006-09-21,45
2006-09-22,46
2006-09-23,47
2006-09-24,45
2006-09-25,43
2006-09-26,42
2006-09-27,40
2006-09-28,38
2006-09-29,36
2006-09-30,35
2006-10-01,37
2006-10-02,39
2006-10-03,41
2006-10-04,43
2006-10-05,45
2006-10-06,47
2006-10-07,49
2006-10-08,48
2006-10-09,48
2006-10-10,48
2006-10-11,47
2006-10-12,47
2006-10-13,47
2006-10-14,46
2006-10-15,44
2006-10-16,41
2006-10-17,39
2006-10-18,37
2006-10-19,35
2006-10-20,33
2006-10-21,31
2006-10-22,35
2006-10-23,39
2006-10-24,43
2006-10-25,48
2006-10-26,52
2006-10-27,56
2006-10-28,61
2006-10-29,59
2006-10-30,57
2006-10-31,55
2006-11-01,53
2006-11-02,51
2006-11-03,49
2006-11-04,47
2006-11-05,48
2006-11-06,50
2006-11-07,52
2006-11-08,53
2006-11-09,55
2006-11-10,57
2006-11-11,59
2006-11-12,56
2006-11-13,54
2006-11-14,51
2006-11-15,49
2006-11-16,46
2006-11-17,44
2006-11-18,42
2006-11-19,41
2006-11-20,40
2006-11-21,40
2006-11-22,39
2006-11-23,39
2006-11-24,38
2006-11-25,38
2006-11-26,41
2006-12-03,59
2006-12-04,60
2006-12-05,60
2006-12-06,59
2006-12-07,59
2006-12-08,59
2006-12-09,59
2006-12-10,60
2006-12-11,60
2006-12-12,61
2006-12-13,61
2006-12-14,62
2006-12-15,62
2006-12-16,63
2006-12-17,58
2006-12-18,53
2006-12-19,49
2006-12-20,44
2006-12-21,40
2006-12-22,35
2006-12-23,31
2006-12-24,31
2006-12-25,32
2006-12-26,33
2006-12-27,33
2006-12-28,34
2006-12-29,35
2006-12-30,36
2006-12-31,37
2007-01-01,39
2007-01-02,41
2007-01-03,43
2007-01-04,45
2007-01-05,47
2007-01-06,49
2007-01-07,51
2007-01-08,53
2007-01-09,55
2007-01-10,58
2007-01-11,60
2007-01-12,62
2007-01-13,64
2007-01-14,62
2007-01-15,59
2007-01-16,57
2007-01-17,54
2007-01-18,52
2007-01-19,50
2007-01-20,48
2007-01-21,46
2007-01-22,44
2007-01-23,43
2007-01-24,41
2007-01-25,39
2007-01-26,37
2007-01-27,36
2007-01-28,38
2007-01-29,40
2007-01-30,42
2007-01-31,45
2007-02-01,47
2007-02-02,49
2007-02-03,52
2007-02-04,50
2007-02-05,49
2007-02-06,48
2007-02-07,47
2007-02-08,46
2007-02-09,45
2007-02-10,44
2007-02-11,46
2007-02-12,48
2007-02-13,50
2007-02-14,52
2007-02-15,54
