Date,ThinkEquity
2005-09-01,87
2005-09-02,85
2005-09-03,84
2005-09-04,83
2005-09-05,82
2005-09-06,81
2005-09-07,80
2005-09-08,78
2005-09-09,77
2005-09-10,76
2005-09-11,75
2005-09-12,74
2005-09-13,73
2005-09-14,71
2005-09-15,70
2005-09-16,69
2005-09-17,68
2005-09-18,67
2005-09-19,66
2005-09-20,64
2005-09-21,63
2005-09-22,62
2005-09-23,61
2005-09-24,60
2005-09-25,59
2005-09-26,57
2005-09-27,56
2005-09-28,55
2005-09-29,54
2005-09-30,53
2005-10-01,52
2005-10-02,51
2005-10-03,51
2005-10-04,50
2005-10-05,50
2005-10-06,49
2005-10-07,49
2005-10-08,48
2005-10-09,48
2005-10-10,47
2005-10-11,47
2005-10-12,46
2005-10-13,46
2005-10-14,45
2005-10-15,45
2005-10-16,44
2005-10-17,44
2005-10-18,43
2005-10-19,43
2005-10-20,42
2005-10-21,42
2005-10-22,41
2005-10-23,41
2005-10-24,40
2005-10-25,40
2005-10-26,39
2005-10-27,39
2005-10-28,38
2005-10-29,38
2005-10-30,37
2005-10-31,37
2005-11-01,37
2005-11-02,37
2005-11-03,37
2005-11-04,37
2005-11-05,37
2005-11-06,37
2005-11-07,37
2005-11-08,37
2005-11-09,37
2005-11-10,37
2005-11-11,37
2005-11-12,37
2005-11-13,37
2005-11-14,37
2005-11-15,37
2005-11-16,37
2005-11-17,37
2005-11-18,37
2005-11-19,37
2005-11-20,37
2005-11-21,37
2005-11-22,37
2005-11-23,37
2005-11-24,37
2005-11-25,37
2005-11-26,37
2005-11-27,37
2005-11-28,37
2005-11-29,37
2005-11-30,37
2005-12-01,37
2005-12-02,37
2005-12-03,37
2005-12-04,37
2005-12-05,37
2005-12-06,37
2005-12-07,37
2005-12-08,37
2005-12-09,37
2005-12-10,37
2005-12-11,37
2005-12-12,37
2005-12-13,37
2005-12-14,37
2005-12-15,37
2005-12-16,37
2005-12-17,37
2005-12-18,37
2005-12-19,37
2005-12-20,37
2005-12-21,37
2005-12-22,37
2005-12-23,37
2005-12-24,37
2005-12-25,37
2005-12-26,37
2005-12-27,37
2005-12-28,37
2005-12-29,37
2005-12-30,37
2005-12-31,37
2006-01-01,37
2006-01-02,39
2006-01-03,41
2006-01-04,43
2006-01-05,45
2006-01-06,47
2006-01-07,49
2006-01-08,51
2006-01-09,53
2006-01-10,55
2006-01-11,57
2006-01-12,59
2006-01-13,61
2006-01-14,63
2006-01-15,65
2006-01-16,67
2006-01-17,69
2006-01-18,71
2006-01-19,73
2006-01-20,75
2006-01-21,77
2006-01-22,79
2006-01-23,81
2006-01-24,83
2006-01-25,85
2006-01-26,87
2006-01-27,89
2006-01-28,91
2006-01-29,93
2006-01-30,95
2006-01-31,97
2006-02-01,100
2006-02-02,98
2006-02-03,97
2006-02-04,95
2006-02-05,94
2006-02-06,92
2006-02-07,91
2006-02-08,89
2006-02-09,88
2006-02-10,86
2006-02-11,85
2006-02-12,83
2006-02-13,82
2006-02-14,80
2006-02-15,79
2006-02-16,78
2006-02-17,76
2006-02-18,75
2006-02-19,73
2006-02-20,72
2006-02-21,70
2006-02-22,69
2006-02-23,67
2006-02-24,66
2006-02-25,64
2006-02-26,63
2006-02-27,61
2006-02-28,60
2006-03-01,59
2006-03-02,58
2006-03-03,57
2006-03-04,57
2006-03-05,56
2006-03-06,56
2006-03-07,55
2006-03-08,55
2006-03-09,54
2006-03-10,54
2006-03-11,53
2006-03-12,53
2006-03-13,52
2006-03-14,52
2006-03-15,51
2006-03-16,51
2006-03-17,50
2006-03-18,50
2006-03-19,49
2006-03-20,49
2006-03-21,48
2006-03-22,48
2006-03-23,47
2006-03-24,47
2006-03-25,46
2006-03-26,46
2006-03-27,45
2006-03-28,45
2006-03-29,44
2006-03-30,44
2006-03-31,43
2006-04-01,43
2006-04-02,43
2006-04-03,44
2006-04-04,45
2006-04-05,46
2006-04-06,47
2006-04-07,48
2006-04-08,48
2006-04-09,49
2006-04-10,50
2006-04-11,51
2006-04-12,52
2006-04-13,53
2006-04-14,53
2006-04-15,54
2006-04-16,55
2006-04-17,56
2006-04-18,57
