Date,Bank of America
2004-10-01,53
2004-10-02,56
2004-10-03,56
2004-10-04,59
2004-10-05,61
2004-10-06,64
2004-10-07,68
2004-10-08,69
2004-10-09,74
2004-10-10,72
2004-10-11,72
2004-10-12,75
2004-10-13,73
2004-10-14,74
2004-10-15,73
2004-10-16,80
2004-10-17,72
2004-10-18,70
2004-10-19,71
2004-10-20,66
2004-10-21,67
2004-10-22,62
2004-10-23,61
2004-10-24,60
2004-10-25,58
2004-10-26,59
2004-10-27,55
2004-10-28,57
2004-10-29,53
2004-10-30,51
2004-10-31,53
2004-11-01,55
2004-11-02,59
2004-11-03,61
2004-11-04,63
2004-11-05,65
2004-11-06,75
2004-11-07,67
2004-11-08,66
2004-11-09,65
2004-11-10,64
2004-11-11,65
2004-11-12,62
2004-11-13,64
2004-11-14,66
2004-11-15,62
2004-11-16,65
2004-11-17,67
2004-11-18,64
2004-11-19,64
2004-11-20,65
2004-11-21,62
2004-11-22,59
2004-11-23,58
2004-11-24,58
2004-11-25,54
2004-11-26,49
2004-11-27,47
2004-11-28,54
2004-11-29,52
2004-11-30,56
2004-12-01,59
2004-12-02,61
2004-12-03,67
2004-12-04,70
2004-12-05,65
2004-12-06,64
2004-12-07,66
2004-12-08,61
2004-12-09,65
2004-12-10,59
2004-12-11,58
2004-12-12,60
2004-12-13,62
2004-12-14,64
2004-12-15,66
2004-12-16,69
2004-12-17,76
2004-12-18,76
2004-12-19,69
2004-12-20,65
2004-12-21,61
2004-12-22,58
2004-12-23,55
2004-12-24,54
2004-12-25,47
2004-12-26,51
2004-12-27,55
2004-12-28,59
2004-12-29,64
2004-12-30,68
2004-12-31,72
2005-01-01,77
2005-01-02,80
2005-01-03,74
2005-01-04,74
2005-01-05,76
2005-01-06,70
2005-01-07,69
2005-01-08,71
2005-01-09,74
2005-01-10,72
2005-01-11,76
2005-01-12,78
2005-01-13,80
2005-01-14,82
2005-01-15,95
2005-01-16,82
2005-01-17,80
2005-01-18,78
2005-01-19,80
2005-01-20,73
2005-01-21,73
2005-01-22,71
2005-01-23,74
2005-01-24,69
2005-01-25,71
2005-01-26,69
2005-01-27,71
2005-01-28,69
2005-01-29,71
2005-01-30,69
2005-01-31,69
2005-02-01,69
2005-02-02,72
2005-02-03,70
2005-02-04,69
2005-02-05,73
2005-02-06,71
2005-02-07,73
2005-02-08,76
2005-02-09,78
2005-02-10,81
2005-02-11,83
2005-02-12,96
2005-02-13,85
2005-02-14,84
2005-02-15,83
2005-02-16,82
2005-02-17,85
2005-02-18,83
2005-02-19,84
2005-02-20,78
2005-02-21,76
2005-02-22,75
2005-02-23,73
2005-02-24,74
2005-02-25,70
2005-02-26,69
2005-02-27,69
2005-02-28,69
2005-03-01,70
2005-03-02,73
2005-03-03,74
2005-03-04,69
2005-03-05,72
2005-03-06,73
2005-03-07,69
2005-03-08,69
2005-03-09,72
2005-03-10,70
2005-03-11,70
2005-03-12,77
2005-03-13,70
2005-03-14,71
2005-03-15,72
2005-03-16,73
2005-03-17,76
2005-03-18,79
2005-03-19,79
2005-03-20,74
2005-03-21,74
2005-03-22,73
2005-03-23,74
2005-03-24,75
2005-03-25,75
2005-03-26,72
2005-03-27,77
2005-03-28,72
2005-03-29,72
2005-03-30,73
2005-03-31,72
2005-04-01,72
2005-04-02,87
2005-04-03,74
2005-04-04,75
2005-04-05,76
2005-04-06,77
2005-04-07,78
2005-04-08,79
2005-04-09,90
2005-04-10,82
2005-04-11,82
2005-04-12,87
2005-04-13,87
2005-04-14,87
2005-04-15,88
2005-04-16,99
2005-04-17,98
2005-04-18,84
2005-04-19,82
2005-04-20,79
2005-04-21,84
2005-04-22,74
2005-04-23,79
2005-04-24,72
2005-04-25,72
2005-04-26,75
2005-04-27,72
2005-04-28,72
2005-04-29,72
2005-04-30,80
2005-05-01,73
2005-05-02,75
2005-05-03,80
2005-05-04,81
2005-05-05,79
2005-05-06,81
2005-05-07,95
2005-05-08,82
2005-05-09,82
2005-05-10,84
2005-05-11,81
2005-05-12,83
2005-05-13,83
2005-05-14,81
2005-05-15,87
2005-05-16,79
2005-05-17,78
2005-05-18,83
2005-05-19,76
2005-05-20,75
2005-05-21,82
2005-05-22,73
2005-05-23,73
2005-05-24,73
2005-05-25,76
2005-05-26,72
2005-05-27,72
2005-05-28,81
2005-05-29,72
2005-05-30,73
2005-05-31,73
2005-06-01,74
2005-06-02,74
2005-06-03,79
2005-06-04,83
2005-06-05,77
2005-06-06,78
2005-06-07,79
2005-06-08,85
2005-06-09,81
2005-06-10,82
2005-06-11,94
2005-06-12,84
2005-06-13,83
2005-06-14,84
2005-06-15,86
2005-06-16,86
2005-06-17,85
2005-06-18,95
2005-06-19,86
2005-06-20,83
2005-06-21,82
2005-06-22,81
2005-06-23,85
2005-06-24,79
2005-06-25,84
2005-06-26,83
2005-06-27,78
2005-06-28,78
2005-06-29,78
2005-06-30,78
2005-07-01,78
2005-07-02,85
2005-07-03,80
2005-07-04,83
2005-07-05,78
2005-07-06,79
2005-07-07,81
2005-07-08,81
2005-07-09,83
2005-07-10,85
2005-07-11,82
2005-07-12,83
2005-07-13,89
2005-07-14,86
2005-07-15,91
2005-07-16,96
2005-07-17,95
2005-07-18,86
2005-07-19,84
2005-07-20,83
2005-07-21,88
2005-07-22,80
2005-07-23,80
2005-07-24,82
2005-07-25,85
2005-07-26,92
2005-07-27,91
2005-07-28,94
2005-07-29,99
2005-07-30,105
2005-07-31,105
2005-08-01,95
2005-08-02,96
2005-08-03,94
2005-08-04,89
2005-08-05,87
2005-08-06,96
2005-08-07,86
2005-08-08,88
2005-08-09,90
2005-08-10,100
2005-08-11,94
2005-08-12,96
2005-08-13,102
2005-08-14,98
2005-08-15,98
2005-08-16,100
2005-08-17,101
2005-08-18,98
2005-08-19,102
2005-08-20,98
2005-08-21,104
2005-08-22,91
2005-08-23,89
2005-08-24,85
2005-08-25,85
2005-08-26,79
2005-08-27,81
2005-08-28,75
2005-08-29,75
2005-08-30,75
2005-08-31,76
2005-09-01,75
2005-09-02,79
2005-09-03,80
2005-09-04,79
2005-09-05,75
2005-09-06,75
2005-09-07,75
2005-09-08,75
2005-09-09,75
2005-09-10,85
2005-09-11,77
2005-09-12,78
2005-09-13,79
2005-09-14,81
2005-09-15,84
2005-09-16,84
2005-09-17,98
2005-09-18,86
2005-09-19,79
2005-09-20,78
2005-09-21,73
2005-09-22,70
2005-09-23,69
2005-09-24,71
2005-09-25,65
2005-09-26,66
2005-09-27,69
2005-09-28,69
2005-09-29,72
2005-09-30,72
2005-10-01,74
2005-10-02,74
2005-10-03,74
2005-10-04,75
2005-10-05,76
2005-10-06,74
2005-10-07,76
2005-10-08,79
2005-10-09,78
2005-10-10,82
2005-10-11,85
2005-10-12,91
2005-10-13,96
2005-10-14,96
2005-10-15,111
2005-10-16,102
2005-10-17,88
2005-10-18,88
2005-10-19,77
2005-10-20,77
2005-10-21,66
2005-10-22,66
2005-10-23,65
2005-10-24,64
2005-10-25,66
2005-10-26,70
2005-10-27,76
2005-10-28,72
2005-10-29,78
2005-10-30,85
2005-10-31,72
2005-11-01,72
2005-11-02,71
2005-11-03,73
2005-11-04,70
2005-11-05,74
2005-11-06,70
2005-11-07,69
2005-11-08,69
2005-11-09,71
2005-11-10,69
2005-11-11,69
2005-11-12,74
2005-11-13,70
2005-11-14,71
2005-11-15,72
2005-11-16,75
2005-11-17,79
2005-11-18,76
2005-11-19,84
2005-11-20,78
2005-11-21,70
2005-11-22,66
2005-11-23,62
2005-11-24,69
2005-11-25,54
2005-11-26,51
2005-11-27,57
2005-11-28,56
2005-11-29,59
2005-11-30,65
2005-12-01,66
2005-12-02,68
2005-12-03,71
2005-12-04,79
2005-12-05,70
2005-12-06,70
2005-12-07,73
2005-12-08,70
2005-12-09,71
2005-12-10,76
2005-12-11,76
2005-12-12,72
2005-12-13,74
2005-12-14,75
2005-12-15,81
2005-12-16,78
2005-12-17,90
2005-12-18,82
2005-12-19,73
2005-12-20,75
2005-12-21,66
2005-12-22,67
2005-12-23,59
2005-12-24,62
2005-12-25,59
2005-12-26,62
2005-12-27,65
2005-12-28,68
2005-12-29,71
2005-12-30,74
2005-12-31,85
2006-01-01,78
2006-01-02,79
2006-01-03,80
2006-01-04,82
2006-01-05,83
2006-01-06,83
2006-01-07,92
2006-01-08,93
2006-01-09,85
2006-01-10,89
2006-01-11,89
2006-01-12,87
2006-01-13,88
2006-01-14,91
2006-01-15,95
2006-01-16,85
2006-01-17,83
2006-01-18,87
2006-01-19,79
2006-01-20,83
2006-01-21,80
2006-01-22,76
2006-01-23,76
2006-01-24,76
2006-01-25,77
2006-01-26,77
2006-01-27,82
2006-01-28,78
2006-01-29,88
2006-01-30,83
2006-01-31,86
2006-02-01,91
2006-02-02,92
2006-02-03,96
2006-02-04,105
2006-02-05,103
2006-02-06,92
2006-02-07,89
2006-02-08,90
2006-02-09,83
2006-02-10,80
2006-02-11,77
2006-02-12,87
2006-02-13,80
2006-02-14,81
2006-02-15,85
2006-02-16,86
2006-02-17,88
2006-02-18,92
2006-02-19,97
2006-02-20,86
2006-02-21,85
2006-02-22,84
2006-02-23,87
2006-02-24,82
2006-02-25,92
2006-02-26,83
2006-02-27,84
2006-02-28,87
2006-03-01,86
2006-03-02,92
2006-03-03,88
2006-03-04,95
2006-03-05,92
2006-03-06,87
2006-03-07,90
2006-03-08,84
2006-03-09,87
2006-03-10,81
2006-03-11,88
2006-03-12,80
2006-03-13,78
2006-03-14,77
2006-03-15,78
2006-03-16,76
2006-03-17,78
2006-03-18,78
2006-03-19,76
2006-03-20,72
2006-03-21,70
2006-03-22,69
2006-03-23,68
2006-03-24,66
2006-03-25,70
2006-03-26,69
2006-03-27,67
2006-03-28,68
2006-03-29,71
2006-03-30,71
