Date,Legg Mason
2005-01-01,12
2005-01-02,13
2005-01-03,14
2005-01-04,15
2005-01-05,17
2005-01-06,18
2005-01-07,19
2005-01-08,22
2005-01-09,20
2005-01-10,19
2005-01-11,19
2005-01-12,19
2005-01-13,18
2005-01-14,17
2005-01-15,17
2005-01-16,16
2005-01-17,15
2005-01-18,15
2005-01-19,14
2005-01-20,14
2005-01-21,13
2005-01-22,13
2005-01-23,13
2005-01-24,14
2005-01-25,15
2005-01-26,15
2005-01-27,15
2005-01-28,16
2005-01-29,17
2005-01-30,17
2005-01-31,17
2005-02-01,18
2005-02-02,17
2005-02-03,17
2005-02-04,17
2005-02-05,17
2005-02-06,16
2005-02-07,15
2005-02-08,15
2005-02-09,14
2005-02-10,14
2005-02-11,13
2005-02-12,13
2005-02-13,13
2005-02-14,13
2005-02-15,14
2005-02-16,14
2005-02-17,15
2005-02-18,15
2005-02-19,16
2005-02-20,15
2005-02-21,14
2005-02-22,14
2005-02-23,13
2005-02-24,12
2005-02-25,11
2005-02-26,11
2005-02-27,11
2005-02-28,12
2005-03-01,13
2005-03-02,13
2005-03-03,15
2005-03-04,15
2005-03-05,16
2005-03-06,15
2005-03-07,14
2005-03-08,14
2005-03-09,13
2005-03-10,13
2005-03-11,12
2005-03-12,12
2005-03-13,12
2005-03-14,13
2005-03-15,14
2005-03-16,14
2005-03-17,15
2005-03-18,16
2005-03-19,17
2005-03-20,16
2005-03-21,16
2005-03-22,15
2005-03-23,15
2005-03-24,14
2005-03-25,14
2005-03-26,14
2005-03-27,13
2005-03-28,12
2005-03-29,12
2005-03-30,11
2005-03-31,11
2005-04-01,10
2005-04-02,10
2005-04-03,10
2005-04-04,10
2005-04-05,10
2005-04-06,10
2005-04-07,10
2005-04-08,10
2005-04-09,11
2005-04-10,11
2005-04-11,11
2005-04-12,11
2005-04-13,11
2005-04-14,11
2005-04-15,11
2005-04-16,11
2005-04-17,10
2005-04-18,10
2005-04-19,10
2005-04-20,10
2005-04-21,10
2005-04-22,10
2005-04-23,10
2005-04-24,10
2005-04-25,10
2005-04-26,11
2005-04-27,11
2005-04-28,12
2005-04-29,12
2005-04-30,13
2005-05-01,12
2005-05-02,12
2005-05-03,11
2005-05-04,11
2005-05-05,10
2005-05-06,10
2005-05-07,10
2005-05-08,10
2005-05-09,10
2005-05-10,10
2005-05-11,11
2005-05-12,11
2005-05-13,11
2005-05-14,12
2005-05-15,11
2005-05-16,11
2005-05-17,11
2005-05-18,12
2005-05-19,11
2005-05-20,11
2005-05-21,11
2005-05-22,11
2005-05-23,11
2005-05-24,12
2005-05-25,12
2005-05-26,13
2005-05-27,13
2005-05-28,14
2005-05-29,14
2005-05-30,15
2005-05-31,16
2005-06-01,17
2005-06-02,17
2005-06-03,18
2005-06-04,19
2005-06-05,19
2005-06-06,19
2005-06-07,21
2005-06-08,20
2005-06-09,22
2005-06-10,21
2005-06-11,22
2005-06-12,22
2005-06-13,22
2005-06-14,22
2005-06-15,22
2005-06-16,24
2005-06-17,22
2005-06-18,23
2005-06-19,25
2005-06-20,27
2005-06-21,32
2005-06-22,31
2005-06-23,33
2005-06-24,35
2005-06-25,41
2005-06-26,37
2005-06-27,36
2005-06-28,35
2005-06-29,35
2005-06-30,33
2005-07-01,32
2005-07-02,31
2005-07-03,29
2005-07-04,28
2005-07-05,27
2005-07-06,27
2005-07-07,25
2005-07-08,25
2005-07-09,23
2005-07-10,22
2005-07-11,21
2005-07-12,20
2005-07-13,20
2005-07-14,21
2005-07-15,18
2005-07-16,18
2005-07-17,18
2005-07-18,19
2005-07-19,19
2005-07-20,21
2005-07-21,20
2005-07-22,21
2005-07-23,22
2005-07-24,24
2005-07-25,26
2005-07-26,28
2005-07-27,31
2005-07-28,32
2005-07-29,34
2005-07-30,36
2005-07-31,44
2005-08-01,52
2005-08-02,61
2005-08-03,71
2005-08-04,79
2005-08-05,86
2005-08-06,100
2005-08-07,85
2005-08-08,86
2005-08-09,67
2005-08-10,55
2005-08-11,48
2005-08-12,35
2005-08-13,26
2005-08-14,24
2005-08-15,22
2005-08-16,21
2005-08-17,18
2005-08-18,16
2005-08-19,14
2005-08-20,12
2005-08-21,12
2005-08-22,12
2005-08-23,12
2005-08-24,12
2005-08-25,12
2005-08-26,12
2005-08-27,12
2005-08-28,11
2005-08-29,11
2005-08-30,11
2005-08-31,11
2005-09-01,11
2005-09-02,11
2005-09-03,11
2005-09-04,11
2005-09-05,11
2005-09-06,11
2005-09-07,11
2005-09-08,11
2005-09-09,11
2005-09-10,11
2005-09-11,10
2005-09-12,10
2005-09-13,10
2005-09-14,10
2005-09-15,10
2005-09-16,10
2005-09-17,10
2005-09-18,10
2005-09-19,10
2005-09-20,10
2005-09-21,10
2005-09-22,10
2005-09-23,10
2005-09-24,10
2005-09-25,10
2005-09-26,10
2005-09-27,10
2005-09-28,11
2005-09-29,11
2005-09-30,11
2005-10-01,12
2005-10-02,12
2005-10-03,12
2005-10-04,12
2005-10-05,12
2005-10-06,12
2005-10-07,12
2005-10-08,12
2005-10-09,11
2005-10-10,11
2005-10-11,11
2005-10-12,11
2005-10-13,11
2005-10-14,11
2005-10-15,11
2005-10-16,11
2005-10-17,12
2005-10-18,11
2005-10-19,11
2005-10-20,11
2005-10-21,11
2005-10-22,11
2005-10-23,11
2005-10-24,11
2005-10-25,11
2005-10-26,11
2005-10-27,13
2005-10-28,12
2005-10-29,12
2005-10-30,12
2005-10-31,12
2005-11-01,12
2005-11-02,13
2005-11-03,13
2005-11-04,14
2005-11-05,14
2005-11-06,13
2005-11-07,13
2005-11-08,13
2005-11-09,13
2005-11-10,13
2005-11-11,13
2005-11-12,13
2005-11-13,13
2005-11-14,13
2005-11-15,13
2005-11-16,13
2005-11-17,13
2005-11-18,13
2005-11-19,13
2005-11-20,12
2005-11-21,12
2005-11-22,12
2005-11-23,12
2005-11-24,12
2005-11-25,12
2005-11-26,12
2005-11-27,12
2005-11-28,13
2005-11-29,13
2005-11-30,14
2005-12-01,14
2005-12-02,15
2005-12-03,16
2005-12-04,16
2005-12-05,16
2005-12-06,17
2005-12-07,16
2005-12-08,16
2005-12-09,16
2005-12-10,16
2005-12-11,15
2005-12-12,15
2005-12-13,14
2005-12-14,15
2005-12-15,13
2005-12-16,13
2005-12-17,13
2005-12-18,13
2005-12-19,13
2005-12-20,13
2005-12-21,13
2005-12-22,13
2005-12-23,13
2005-12-24,14
2005-12-25,14
2005-12-26,14
2005-12-27,14
2005-12-28,14
2005-12-29,14
2005-12-30,14
2005-12-31,14
2006-01-01,14
2006-01-02,14
2006-01-03,15
2006-01-04,15
2006-01-05,16
2006-01-06,16
