Date,Ferris Baker Watts
2005-06-01,67
2005-06-02,67
2005-06-03,67
2005-06-04,67
2005-06-05,67
2005-06-06,67
2005-06-07,68
2005-06-08,68
2005-06-09,68
2005-06-10,68
2005-06-11,68
2005-06-12,68
2005-06-13,69
2005-06-14,69
2005-06-15,69
2005-06-16,69
2005-06-17,69
2005-06-18,69
2005-06-19,70
2005-06-20,70
2005-06-21,70
2005-06-22,70
2005-06-23,70
2005-06-24,70
2005-06-25,71
2005-06-26,71
2005-06-27,71
2005-06-28,71
2005-06-29,71
2005-06-30,71
2005-07-01,72
2005-07-02,72
2005-07-03,72
2005-07-04,72
2005-07-05,73
2005-07-06,73
2005-07-07,73
2005-07-08,73
2005-07-09,74
2005-07-10,74
2005-07-11,74
2005-07-12,74
2005-07-13,75
2005-07-14,75
2005-07-15,75
2005-07-16,75
2005-07-17,76
2005-07-18,76
2005-07-19,76
2005-07-20,76
2005-07-21,77
2005-07-22,77
2005-07-23,77
2005-07-24,77
2005-07-25,78
2005-07-26,78
2005-07-27,78
2005-07-28,78
2005-07-29,79
2005-07-30,79
2005-07-31,79
2005-08-01,80
2005-08-02,80
2005-08-03,81
2005-08-04,81
2005-08-05,82
2005-08-06,83
2005-08-07,83
2005-08-08,84
2005-08-09,85
2005-08-10,85
2005-08-11,86
2005-08-12,87
2005-08-13,87
2005-08-14,88
2005-08-15,89
2005-08-16,89
2005-08-17,90
2005-08-18,90
2005-08-19,91
2005-08-20,92
2005-08-21,92
2005-08-22,93
2005-08-23,94
2005-08-24,94
2005-08-25,95
2005-08-26,96
2005-08-27,96
2005-08-28,97
2005-08-29,98
2005-08-30,98
2005-08-31,99
2005-09-01,100
2005-09-02,98
2005-09-03,97
2005-09-04,96
2005-09-05,94
2005-09-06,93
2005-09-07,92
2005-09-08,90
2005-09-09,89
2005-09-10,88
2005-09-11,86
2005-09-12,85
2005-09-13,84
2005-09-14,82
2005-09-15,81
2005-09-16,80
2005-09-17,78
2005-09-18,77
2005-09-19,76
2005-09-20,74
2005-09-21,73
2005-09-22,72
2005-09-23,70
2005-09-24,69
2005-09-25,68
2005-09-26,66
2005-09-27,65
2005-09-28,64
2005-09-29,62
2005-09-30,61
2005-10-01,60
2005-10-02,60
2005-10-03,61
2005-10-04,61
2005-10-05,62
2005-10-06,63
2005-10-07,63
2005-10-08,64
2005-10-09,65
2005-10-10,65
2005-10-11,66
2005-10-12,67
2005-10-13,67
2005-10-14,68
2005-10-15,69
2005-10-16,69
2005-10-17,70
2005-10-18,70
2005-10-19,71
2005-10-20,72
2005-10-21,72
2005-10-22,73
2005-10-23,74
2005-10-24,74
2005-10-25,75
2005-10-26,76
2005-10-27,76
2005-10-28,77
2005-10-29,78
2005-10-30,78
2005-10-31,79
2005-11-01,80
2005-11-02,79
2005-11-03,78
2005-11-04,78
2005-11-05,77
2005-11-06,77
2005-11-07,76
2005-11-08,76
2005-11-09,75
2005-11-10,74
2005-11-11,74
2005-11-12,73
2005-11-13,73
2005-11-14,72
2005-11-15,72
2005-11-16,71
2005-11-17,70
2005-11-18,70
2005-11-19,69
2005-11-20,69
2005-11-21,68
2005-11-22,68
2005-11-23,67
2005-11-24,66
2005-11-25,66
2005-11-26,65
2005-11-27,65
2005-11-28,64
2005-11-29,64
2005-11-30,63
2005-12-01,63
2005-12-02,63
2005-12-03,64
2005-12-04,64
2005-12-05,65
2005-12-06,65
