Date,Lehman Brothers
2005-08-01,70
2005-08-02,69
2005-08-03,70
2005-08-04,72
2005-08-05,68
2005-08-06,73
2005-08-07,67
2005-08-08,67
2005-08-09,67
2005-08-10,68
2005-08-11,66
2005-08-12,72
2005-08-13,66
2005-08-14,66
2005-08-15,66
2005-08-16,66
2005-08-17,66
2005-08-18,66
2005-08-19,66
2005-08-20,69
2005-08-21,64
2005-08-22,63
2005-08-23,64
2005-08-24,61
2005-08-25,60
2005-08-26,61
2005-08-27,58
2005-08-28,58
2005-08-29,58
2005-08-30,60
2005-08-31,59
2005-09-01,60
2005-09-02,63
2005-09-03,61
2005-09-04,61
2005-09-05,62
2005-09-06,62
2005-09-07,63
2005-09-08,63
2005-09-09,67
2005-09-10,66
2005-09-11,64
2005-09-12,64
2005-09-13,64
2005-09-14,63
2005-09-15,63
2005-09-16,67
2005-09-17,63
2005-09-18,65
2005-09-19,67
2005-09-20,70
2005-09-21,71
2005-09-22,73
2005-09-23,75
2005-09-24,80
2005-09-25,74
2005-09-26,72
2005-09-27,70
2005-09-28,68
2005-09-29,66
2005-09-30,68
2005-10-01,62
2005-10-02,66
2005-10-03,71
2005-10-04,76
2005-10-05,89
2005-10-06,86
2005-10-07,95
2005-10-08,107
2005-10-09,94
2005-10-10,92
2005-10-11,90
2005-10-12,89
2005-10-13,87
2005-10-14,91
2005-10-15,86
2005-10-16,84
2005-10-17,84
2005-10-18,86
2005-10-19,86
2005-10-20,85
2005-10-21,91
2005-10-22,95
2005-10-23,85
2005-10-24,84
2005-10-25,83
2005-10-26,83
2005-10-27,84
2005-10-28,81
2005-10-29,88
2005-10-30,79
2005-10-31,77
2005-11-01,75
2005-11-02,73
2005-11-03,71
2005-11-04,71
2005-11-05,76
2005-11-06,69
2005-11-07,70
2005-11-08,71
2005-11-09,72
2005-11-10,73
2005-11-11,78
2005-11-12,77
2005-11-13,75
2005-11-14,75
2005-11-15,78
2005-11-16,77
2005-11-17,78
2005-11-18,77
2005-11-19,83
2005-11-20,75
2005-11-21,73
2005-11-22,71
2005-11-23,75
2005-11-24,67
2005-11-25,65
2005-11-26,67
2005-11-27,63
2005-11-28,64
2005-11-29,64
2005-11-30,65
2005-12-01,66
2005-12-02,70
2005-12-03,68
2005-12-04,65
2005-12-05,63
2005-12-06,64
2005-12-07,60
2005-12-08,59
2005-12-09,63
2005-12-10,56
2005-12-11,58
2005-12-12,60
2005-12-13,63
2005-12-14,65
2005-12-15,70
2005-12-16,74
2005-12-17,73
2005-12-18,73
2005-12-19,73
2005-12-20,75
2005-12-21,73
2005-12-22,73
2005-12-23,77
2005-12-24,77
2005-12-25,71
2005-12-26,69
2005-12-27,66
2005-12-28,63
2005-12-29,59
2005-12-30,56
2005-12-31,54
2006-01-01,57
2006-01-02,61
2006-01-03,65
2006-01-04,72
2006-01-05,73
2006-01-06,76
2006-01-07,82
2006-01-08,80
2006-01-09,80
2006-01-10,81
2006-01-11,85
2006-01-12,83
2006-01-13,85
2006-01-14,86
2006-01-15,82
2006-01-16,81
2006-01-17,84
2006-01-18,79
2006-01-19,84
2006-01-20,77
2006-01-21,81
2006-01-22,76
2006-01-23,76
2006-01-24,77
2006-01-25,77
2006-01-26,88
2006-01-27,78
2006-01-28,84
2006-01-29,79
2006-01-30,79
2006-01-31,79
2006-02-01,80
2006-02-02,81
2006-02-03,83
2006-02-04,83
2006-02-05,80
2006-02-06,80
2006-02-07,80
2006-02-08,85
2006-02-09,82
2006-02-10,80
2006-02-11,83
2006-02-12,78
2006-02-13,77
2006-02-14,79
2006-02-15,74
2006-02-16,73
2006-02-17,74
2006-02-18,76
2006-02-19,71
2006-02-20,71
2006-02-21,71
2006-02-22,75
2006-02-23,71
2006-02-24,74
2006-02-25,76
2006-02-26,71
2006-02-27,71
2006-02-28,71
2006-03-01,73
2006-03-02,76
2006-03-03,72
2006-03-04,80
2006-03-05,72
2006-03-06,72
2006-03-07,72
2006-03-08,72
2006-03-09,73
2006-03-10,76
2006-03-11,72
2006-03-12,72
2006-03-13,72
2006-03-14,74
2006-03-15,72
2006-03-16,72
2006-03-17,77
2006-03-18,78
2006-03-19,73
2006-03-20,70
2006-03-21,69
2006-03-22,70
2006-03-23,71
2006-03-24,66
2006-03-25,64
2006-03-26,64
2006-03-27,65
2006-03-28,65
2006-03-29,66
2006-03-30,68
2006-03-31,69
2006-05-01,61
2006-05-02,61
2006-05-03,64
2006-05-04,62
2006-05-05,64
2006-05-06,65
2006-05-07,65
2006-05-08,65
2006-05-09,68
2006-05-10,67
2006-05-11,71
2006-05-12,69
2006-05-13,71
2006-05-14,69
2006-05-15,68
2006-05-16,67
2006-05-17,71
2006-05-18,65
2006-05-19,69
2006-05-20,66
2006-05-21,62
2006-05-22,61
2006-05-23,61
2006-05-24,60
2006-05-25,66
2006-05-26,59
2006-05-27,64
2006-05-28,59
2006-05-29,59
2006-05-30,59
2006-05-31,60
2006-06-01,63
2006-06-02,62
2006-06-03,66
2006-06-04,60
2006-06-05,59
2006-06-06,59
2006-06-07,58
2006-06-08,58
2006-06-09,60
2006-06-10,60
2006-06-11,60
2006-06-12,61
2006-06-13,63
2006-06-14,65
2006-06-15,67
2006-06-16,69
2006-06-17,78
2006-06-18,70
2006-06-19,70
2006-06-20,70
2006-06-21,74
2006-06-22,71
2006-06-23,70
2006-06-24,77
2006-06-25,69
2006-06-26,68
2006-06-27,67
2006-06-28,68
2006-06-29,65
2006-06-30,64
2006-07-01,72
2006-07-02,62
2006-07-03,60
2006-07-04,58
2006-07-05,56
2006-07-06,55
2006-07-07,52
2006-07-08,50
2006-07-09,52
2006-07-10,54
2006-07-11,59
2006-07-12,58
2006-07-13,60
2006-07-14,70
2006-07-15,65
2006-07-16,66
2006-07-17,67
2006-07-18,68
2006-07-19,75
2006-07-20,70
2006-07-21,71
2006-07-22,81
2006-07-23,72
2006-07-24,72
2006-07-25,71
2006-07-26,75
2006-07-27,70
2006-07-28,70
2006-07-29,78
2006-07-30,71
2006-07-31,66
2006-08-01,65
2006-08-02,63
2006-08-03,68
2006-08-04,60
2006-08-05,63
2006-08-06,59
2006-08-07,60
2006-08-08,61
2006-08-09,62
2006-08-10,64
2006-08-11,62
2006-08-12,63
2006-08-13,63
2006-08-14,64
2006-08-15,65
2006-08-16,69
2006-08-17,67
2006-08-18,72
2006-08-19,74
2006-08-20,67
2006-08-21,66
2006-08-22,65
2006-08-23,66
2006-08-24,64
2006-08-25,61
2006-08-26,67
2006-08-27,59
2006-08-28,60
2006-08-29,58
2006-08-30,62
2006-08-31,57
2006-09-01,61
2006-09-02,62
2006-09-03,58
2006-09-04,60
2006-09-05,62
2006-09-06,64
2006-09-07,67
2006-09-08,69
2006-09-09,73
2006-09-10,73
2006-09-11,70
