Date,Morgan Stanley
2009-10-01,81
2009-10-02,81
2009-10-03,88
2009-10-04,80
2009-10-05,81
2009-10-06,82
2009-10-07,83
2009-10-08,85
2009-10-09,85
2009-10-10,92
2009-10-11,92
2009-10-12,88
2009-10-13,90
2009-10-14,91
2009-10-15,93
2009-10-16,98
2009-10-17,106
2009-10-18,96
2009-10-19,97
2009-10-20,97
2009-10-21,98
2009-10-22,103
2009-10-23,101
2009-10-24,108
2009-10-25,97
2009-10-26,94
2009-10-27,92
2009-10-28,91
2009-10-29,88
2009-10-30,86
2009-10-31,89
2009-11-01,82
2009-11-02,82
2009-11-03,83
2009-11-04,83
2009-11-05,84
2009-11-06,84
2009-11-07,93
2009-11-08,88
2009-11-09,86
2009-11-10,87
2009-11-11,88
2009-11-12,89
2009-11-13,92
2009-11-14,100
2009-11-15,90
2009-11-16,89
2009-11-17,89
2009-11-18,88
2009-11-19,91
2009-11-20,89
2009-11-21,95
2009-11-22,85
2009-11-23,84
2009-11-24,83
2009-11-25,82
2009-11-26,87
2009-11-27,80
2009-11-28,82
2009-11-29,80
2009-11-30,81
2009-12-01,82
2009-12-02,85
2009-12-03,87
2009-12-04,86
2009-12-05,96
2009-12-06,91
2009-12-07,87
2009-12-08,87
2009-12-09,89
2009-12-10,87
2009-12-11,86
2009-12-12,91
2009-12-13,88
2009-12-14,83
2009-12-15,82
2009-12-16,82
2009-12-17,80
2009-12-18,79
2009-12-19,88
2009-12-20,76
2009-12-21,74
2009-12-22,73
2009-12-23,73
2009-12-24,71
2009-12-25,75
2009-12-26,67
2009-12-27,67
2009-12-28,67
2009-12-29,67
2009-12-30,68
2009-12-31,68
2010-01-01,68
2010-01-02,72
2010-01-03,71
2010-01-04,72
2010-01-05,74
2010-01-06,78
2010-01-07,78
2010-01-08,82
2010-01-09,87
2010-01-10,83
2010-01-11,84
2010-01-12,86
2010-01-13,87
2010-01-14,89
2010-01-15,90
2010-01-16,102
2010-01-17,94
2010-01-18,93
2010-01-19,93
2010-01-20,94
2010-01-21,94
2010-01-22,98
2010-01-23,104
2010-01-24,98
2010-01-25,94
2010-01-26,95
2010-01-27,92
2010-01-28,92
2010-01-29,90
2010-01-30,99
2010-01-31,90
2010-02-01,91
2010-02-02,93
2010-02-03,97
2010-02-04,96
2010-02-05,97
2010-02-06,108
2010-02-07,99
2010-02-08,96
2010-02-09,95
2010-02-10,94
2010-02-11,94
2010-02-12,91
2010-02-13,96
2010-02-14,91
2010-02-15,86
2010-02-16,84
2010-02-17,82
2010-02-18,80
2010-02-19,78
2010-02-20,85
2010-02-21,78
2010-02-22,79
2010-02-23,80
2010-02-24,83
2010-02-25,82
2010-02-26,85
2010-02-27,92
2010-02-28,87
2010-03-01,85
2010-03-02,85
2010-03-03,87
2010-03-04,86
2010-03-05,90
2010-03-06,89
2010-03-07,92
2010-03-08,86
2010-03-09,86
2010-03-10,86
2010-03-11,86
2010-03-12,85
2010-03-13,95
2010-03-14,85
2010-03-15,86
2010-03-16,87
2010-03-17,88
2010-03-18,88
2010-03-19,89
2010-03-20,99
2010-03-21,95
2010-03-22,89
2010-03-23,89
2010-03-24,91
2010-03-25,89
2010-03-26,91
2010-03-27,98
2010-03-28,90
2010-03-29,88
2010-03-30,88
2010-03-31,89
2010-04-01,88
2010-04-02,90
2010-04-03,95
2010-04-04,87
2010-04-05,86
2010-04-06,86
2010-04-07,85
2010-04-08,87
2010-04-09,84
2010-04-10,92
2010-04-11,85
2010-04-12,87
2010-04-13,90
2010-04-14,91
2010-04-15,98
2010-04-16,96
2010-04-17,108
2010-04-18,98
2010-04-19,96
2010-04-20,95
2010-04-21,95
2010-04-22,95
2010-04-23,95
2010-04-24,105
2010-04-25,92
2010-04-26,91
2010-04-27,90
2010-04-28,88
2010-04-29,88
2010-04-30,85
2010-05-01,91
2010-05-02,83
2010-05-03,83
2010-05-04,83
2010-05-05,85
2010-05-06,83
2010-05-07,84
2010-05-08,90
2010-05-09,87
2010-05-10,87
2010-05-11,89
2010-05-12,91
2010-05-13,96
2010-05-14,97
2010-05-15,111
2010-05-16,94
2010-05-17,92
2010-05-18,90
2010-05-19,87
2010-05-20,86
2010-05-21,82
2010-05-22,89
2010-05-23,79
2010-05-24,78
2010-05-25,79
2010-05-26,77
2010-05-27,77
2010-05-28,78
2010-05-29,83
2010-05-30,77
2010-05-31,76
2010-06-01,76
2010-06-02,76
2010-06-03,76
2010-06-04,78
2010-06-05,83
2010-06-06,76
2010-06-07,77
2010-06-08,78
2010-06-09,79
2010-06-10,80
2010-06-11,81
2010-06-12,87
2010-06-13,80
2010-06-14,80
2010-06-15,80
2010-06-16,83
2010-06-17,80
2010-06-18,80
2010-06-19,87
2010-06-20,82
2010-06-21,77
2010-06-22,78
2010-06-23,75
2010-06-24,74
2010-06-25,74
2010-06-26,79
2010-06-27,72
2010-06-28,73
2010-06-29,74
2010-06-30,75
2010-07-01,75
2010-07-02,77
2010-07-03,89
2010-07-04,76
2010-07-05,76
2010-07-06,76
2010-07-07,75
2010-07-08,75
2010-07-09,76
2010-07-10,81
2010-07-11,76
2010-07-12,75
2010-07-13,76
2010-07-14,80
2010-07-15,77
2010-07-16,79
2010-07-17,87
2010-07-18,80
2010-07-19,80
2010-07-20,81
2010-07-21,82
2010-07-22,85
2010-07-23,88
2010-07-24,93
2010-07-25,86
2010-07-26,83
2010-07-27,83
2010-07-28,81
2010-07-29,81
2010-07-30,79
2010-07-31,86
2010-08-01,79
2010-08-02,79
2010-08-03,80
2010-08-04,81
2010-08-05,81
2010-08-06,82
2010-08-07,91
2010-08-08,85
2010-08-09,82
2010-08-10,82
2010-08-11,82
2010-08-12,81
2010-08-13,81
2010-08-14,89
2010-08-15,81
2010-08-16,81
2010-08-17,81
2010-08-18,81
2010-08-19,82
2010-08-20,81
2010-08-21,91
2010-08-22,80
2010-08-23,79
2010-08-24,79
2010-08-25,78
2010-08-26,79
2010-08-27,79
2010-08-28,85
2010-08-29,77
2010-08-30,77
2010-08-31,77
2010-09-01,77
2010-09-02,77
2010-09-03,80
2010-09-04,85
2010-09-05,77
2010-09-06,77
2010-09-07,78
2010-09-08,80
2010-09-09,79
2010-09-10,81
2010-09-11,87
2010-09-12,81
2010-09-13,80
2010-09-14,80
2010-09-15,81
2010-09-16,81
2010-09-17,81
2010-09-18,91
2010-09-19,82
2010-09-20,82
2010-09-21,82
2010-09-22,83
2010-09-23,85
2010-09-24,84
2010-09-25,92
2010-09-26,84
2010-09-27,85
2010-09-28,86
2010-09-29,89
2010-09-30,89
2010-10-01,89
2010-10-02,97
2010-10-03,91
2010-10-04,89
2010-10-05,89
2010-10-06,89
2010-10-07,89
2010-10-08,88
2010-10-09,94
2010-10-10,88
2010-10-11,88
2010-10-12,89
2010-10-13,89
2010-10-14,89
2010-10-15,89
2010-10-16,99
2010-10-17,91
2010-10-18,91
2010-10-19,91
2010-10-20,92
2010-10-21,94
2010-10-22,96
2010-10-23,106
2010-10-24,93
2010-10-25,92
2010-10-26,91
2010-10-27,91
2010-10-28,90
2010-10-29,89
2010-10-30,95
2010-10-31,91
2010-11-01,88
2010-11-02,88
2010-11-03,88
2010-11-04,88
2010-11-05,88
2010-11-06,98
2010-11-07,89
2010-11-08,87
2010-11-09,87
2010-11-10,89
2010-11-11,87
2010-11-12,87
2010-11-13,94
2010-11-14,88
2010-11-15,87
2010-11-16,87
2010-11-17,87
2010-11-18,88
2010-11-19,90
2010-11-20,94
2010-11-21,88
2010-11-22,82
2010-11-23,80
2010-11-24,77
2010-11-25,76
2010-11-26,70
2010-11-27,69
2010-11-28,69
2010-11-29,71
2010-11-30,73
2010-12-01,76
2010-12-02,78
2010-12-03,82
2010-12-04,89
2010-12-05,84
2010-12-06,82
2010-12-07,81
2010-12-08,82
2010-12-09,80
2010-12-10,81
2010-12-11,85
2010-12-12,85
2010-12-13,79
2010-12-14,79
2010-12-15,78
2010-12-16,77
2010-12-17,78
2010-12-18,85
2010-12-19,77
2010-12-20,74
2010-12-21,72
2010-12-22,71
2010-12-23,70
2010-12-24,72
2010-12-25,72
2010-12-26,67
2010-12-27,67
2010-12-28,67
2010-12-29,67
2010-12-30,67
2010-12-31,68
2011-01-01,67
2011-01-02,69
2011-01-03,72
2011-01-04,75
2011-01-05,77
2011-01-06,80
2011-01-07,86
2011-01-08,94
2011-01-09,86
2011-01-10,86
2011-01-11,86
2011-01-12,87
2011-01-13,87
2011-01-14,87
2011-01-15,96
2011-01-16,95
2011-01-17,90
2011-01-18,91
2011-01-19,93
2011-01-20,94
2011-01-21,96
2011-01-22,106
2011-01-23,99
2011-01-24,95
2011-01-25,94
2011-01-26,98
2011-01-27,93
2011-01-28,94
2011-01-29,99
2011-01-30,91
2011-01-31,90
2011-02-01,89
2011-02-02,90
2011-02-03,88
2011-02-04,90
2011-02-05,93
2011-02-06,88
2011-02-07,87
2011-02-08,87
2011-02-09,88
2011-02-10,87
2011-02-11,89
2011-02-12,96
2011-02-13,87
2011-02-14,87
2011-02-15,86
2011-02-16,86
2011-02-17,86
2011-02-18,87
2011-02-19,93
2011-02-20,84
2011-02-21,81
