Date,First Albany
2006-01-01,89
2006-01-02,79
2006-01-03,69
2006-01-04,59
2006-01-05,48
2006-01-06,38
2006-01-07,28
2006-01-08,27
2006-01-09,27
2006-01-10,27
2006-01-11,26
2006-01-12,26
2006-01-13,26
2006-01-14,26
2006-01-15,26
2006-01-16,26
2006-01-17,26
2006-01-18,26
2006-01-19,26
2006-01-20,26
2006-01-21,27
2006-01-22,27
2006-01-23,27
2006-01-24,27
2006-01-25,28
2006-01-26,28
2006-01-27,28
2006-01-28,29
2006-01-29,29
2006-01-30,29
2006-01-31,29
2006-02-01,29
2006-02-02,29
2006-02-03,29
2006-02-04,30
2006-02-05,30
2006-02-06,30
2006-02-07,31
2006-02-08,31
2006-02-09,32
2006-02-10,32
2006-02-11,33
2006-02-12,30
2006-02-13,28
2006-02-14,26
2006-02-15,24
2006-02-16,22
2006-02-17,20
2006-02-18,18
2006-02-19,18
2006-02-20,18
2006-02-21,18
2006-02-22,18
2006-02-23,18
2006-02-24,18
2006-02-25,18
2006-02-26,18
2006-02-27,18
2006-02-28,18
2006-03-01,18
2006-03-02,18
2006-03-03,18
2006-03-04,18
2006-03-05,18
2006-03-06,18
2006-03-07,18
2006-03-08,18
2006-03-09,18
2006-03-10,18
2006-03-11,18
2006-03-12,18
2006-03-13,18
2006-03-14,18
2006-03-15,18
2006-03-16,18
2006-03-17,18
2006-03-18,19
2006-03-19,19
2006-03-20,19
2006-03-21,19
2006-03-22,20
2006-03-23,20
2006-03-24,20
2006-03-25,21
2006-03-26,21
2006-04-02,22
2006-04-03,22
2006-04-04,21
2006-04-05,21
2006-04-06,20
2006-04-07,20
2006-04-08,20
2006-04-09,20
2006-04-10,20
2006-04-11,20
2006-04-12,20
2006-04-13,20
2006-04-14,20
2006-04-15,20
2006-04-16,20
2006-04-17,20
2006-04-18,20
2006-04-19,20
2006-04-20,20
2006-04-21,20
2006-04-22,20
2006-04-23,19
2006-04-24,19
2006-04-25,19
2006-04-26,19
2006-04-27,19
2006-04-28,19
2006-04-29,19
2006-04-30,20
2006-05-01,21
2006-05-02,23
2006-05-03,24
2006-05-04,26
2006-05-05,27
2006-05-06,29
2006-05-07,28
2006-05-08,28
2006-05-09,27
2006-05-10,27
2006-05-11,26
2006-05-12,26
2006-05-13,26
2006-05-14,24
2006-05-15,23
2006-05-16,22
2006-05-17,20
2006-05-18,19
2006-05-19,18
2006-05-20,17
2006-05-21,17
2006-05-22,17
2006-05-23,17
2006-05-24,17
2006-05-25,17
2006-05-26,17
2006-05-27,17
2006-05-28,17
2006-05-29,17
2006-05-30,17
2006-05-31,17
2006-06-01,17
2006-06-02,17
2006-06-03,17
2006-06-04,17
2006-06-05,17
2006-06-06,17
2006-06-07,17
2006-06-08,17
2006-06-09,17
2006-06-10,17
2006-06-11,17
2006-06-12,17
2006-06-13,18
2006-06-14,18
2006-06-15,19
2006-06-16,19
2006-06-17,20
2006-06-18,20
2006-06-19,20
2006-06-20,20
2006-06-21,21
2006-06-22,21
2006-06-23,21
2006-06-24,22
2006-06-25,22
2006-07-02,23
2006-07-03,29
2006-07-04,22
2006-07-05,22
2006-07-06,21
2006-07-07,21
2006-07-08,21
2006-07-09,21
2006-07-10,21
2006-07-11,21
2006-07-12,21
2006-07-13,21
2006-07-14,21
2006-07-15,21
