Date,FBR Capital Markets
2007-01-01,70
2007-01-02,69
2007-01-03,69
2007-01-04,69
2007-01-05,68
2007-01-06,68
2007-01-07,68
2007-01-08,67
2007-01-09,67
2007-01-10,67
2007-01-11,66
2007-01-12,66
2007-01-13,66
2007-01-14,65
2007-01-15,65
2007-01-16,65
2007-01-17,64
2007-01-18,64
2007-01-19,64
2007-01-20,63
2007-01-21,63
2007-01-22,63
2007-01-23,62
2007-01-24,62
2007-01-25,62
2007-01-26,61
2007-01-27,61
2007-01-28,61
2007-01-29,60
2007-01-30,60
2007-01-31,60
2007-02-01,60
2007-02-02,59
2007-02-03,58
2007-02-04,57
2007-02-05,57
2007-02-06,56
2007-02-07,55
2007-02-08,55
2007-02-09,54
2007-02-10,53
2007-02-11,53
2007-02-12,52
2007-02-13,51
2007-02-14,51
2007-02-15,50
2007-02-16,49
2007-02-17,49
2007-02-18,48
2007-02-19,47
2007-02-20,47
2007-02-21,46
2007-02-22,45
2007-02-23,45
2007-02-24,44
2007-02-25,43
2007-02-26,43
2007-02-27,42
2007-02-28,41
2007-03-01,41
2007-03-02,41
2007-03-03,41
2007-03-04,41
2007-03-05,42
2007-03-06,42
2007-03-07,42
2007-03-08,43
2007-03-09,43
2007-03-10,43
2007-03-11,44
2007-03-12,44
2007-03-13,44
2007-03-14,45
2007-03-15,45
2007-03-16,45
2007-03-17,46
2007-03-18,46
2007-03-19,46
2007-03-20,47
2007-03-21,47
2007-03-22,47
2007-03-23,48
2007-03-24,48
2007-03-25,48
2007-03-26,49
2007-03-27,49
2007-03-28,49
2007-03-29,50
2007-03-30,50
2007-03-31,50
2007-04-01,51
2007-04-02,51
2007-04-03,52
2007-04-04,52
2007-04-05,53
2007-04-06,53
2007-04-07,54
2007-04-08,54
2007-04-09,55
2007-04-10,55
2007-04-11,56
2007-04-12,56
2007-04-13,57
2007-04-14,57
2007-04-15,58
2007-04-16,59
2007-04-17,59
2007-04-18,60
2007-04-19,60
2007-04-20,61
2007-04-21,61
2007-04-22,62
2007-04-23,62
2007-04-24,63
2007-04-25,63
2007-04-26,64
2007-04-27,64
2007-04-28,65
2007-04-29,65
2007-04-30,66
2007-05-01,67
2007-05-02,67
2007-05-03,67
2007-05-04,68
2007-05-05,68
2007-05-06,69
2007-05-07,69
2007-05-08,70
2007-05-09,70
2007-05-10,71
2007-05-11,71
2007-05-12,72
2007-05-13,72
2007-05-14,73
2007-05-15,73
2007-05-16,74
2007-05-17,74
2007-05-18,75
2007-05-19,75
2007-05-20,76
2007-05-21,76
2007-05-22,77
2007-05-23,77
2007-05-24,78
2007-05-25,78
2007-05-26,79
2007-05-27,79
2007-05-28,80
2007-05-29,80
2007-05-30,81
2007-05-31,81
2007-06-01,82
2007-06-02,80
2007-06-03,79
2007-06-04,78
2007-06-05,76
2007-06-06,75
2007-06-07,74
2007-06-08,72
2007-06-09,71
2007-06-10,70
2007-06-11,68
2007-06-12,67
2007-06-13,66
2007-06-14,64
2007-06-15,63
2007-06-16,62
2007-06-17,60
2007-06-18,59
2007-06-19,58
2007-06-20,56
2007-06-21,55
2007-06-22,54
2007-06-23,52
2007-06-24,51
2007-06-25,50
2007-06-26,48
2007-06-27,47
2007-06-28,46
2007-06-29,44
2007-06-30,43
2007-07-01,42
2007-07-02,42
2007-07-03,43
2007-07-04,43
2007-07-05,44
2007-07-06,44
2007-07-07,45
2007-07-08,46
2007-07-09,46
2007-07-10,47
2007-07-11,47
2007-07-12,48
2007-07-13,48
2007-07-14,49
2007-07-15,50
2007-07-16,50
2007-07-17,51
2007-07-18,51
2007-07-19,52
2007-07-20,53
2007-07-21,53
2007-07-22,54
2007-07-23,54
2007-07-24,55
2007-07-25,55
2007-07-26,56
2007-07-27,57
2007-07-28,57
2007-07-29,58
2007-07-30,58
2007-07-31,59
2007-08-01,60
2007-08-02,59
2007-08-03,59
2007-08-04,59
2007-08-05,59
