Date,Wachovia
2007-03-01,36
2007-03-02,36
2007-03-03,39
2007-03-04,39
2007-03-05,36
2007-03-06,36
2007-03-07,36
2007-03-08,36
2007-03-09,36
2007-03-10,38
2007-03-11,37
2007-03-12,36
2007-03-13,36
2007-03-14,36
2007-03-15,36
2007-03-16,36
2007-03-17,38
2007-03-18,38
2007-03-19,35
2007-03-20,35
2007-03-21,34
2007-03-22,34
2007-03-23,33
2007-03-24,34
2007-03-25,35
2007-03-26,34
2007-03-27,34
2007-03-28,36
2007-03-29,35
2007-03-30,36
2007-03-31,40
2007-04-01,38
2007-04-02,37
2007-04-03,37
2007-04-04,37
2007-04-05,37
2007-04-06,37
2007-04-07,39
2007-04-08,41
2007-04-09,38
2007-04-10,39
2007-04-11,38
2007-04-12,38
2007-04-13,38
2007-04-14,40
2007-04-15,38
2007-04-16,38
2007-04-17,38
2007-04-18,38
2007-04-19,38
2007-04-20,38
2007-04-21,40
2007-04-22,40
2007-04-23,38
2007-04-24,38
2007-04-25,38
2007-04-26,38
2007-04-27,38
2007-04-28,39
2007-04-29,41
2007-04-30,40
2007-05-01,41
2007-05-02,42
2007-05-03,43
2007-05-04,44
2007-05-05,47
2007-05-06,44
2007-05-07,43
2007-05-08,43
2007-05-09,41
2007-05-10,40
2007-05-11,39
2007-05-12,40
2007-05-13,39
2007-05-14,38
2007-05-15,38
2007-05-16,38
2007-05-17,38
2007-05-18,38
2007-05-19,40
2007-05-20,39
2007-05-21,37
2007-05-22,37
2007-05-23,36
2007-05-24,36
2007-05-25,36
2007-05-26,38
2007-05-27,37
2007-05-28,37
2007-05-29,36
2007-05-30,37
2007-05-31,37
2007-06-01,37
2007-06-02,41
2007-06-03,39
2007-06-04,38
2007-06-05,38
2007-06-06,38
2007-06-07,38
2007-06-08,38
2007-06-09,41
2007-06-10,40
2007-06-11,38
2007-06-12,38
2007-06-13,38
2007-06-14,38
2007-06-15,38
2007-06-16,40
2007-06-17,40
2007-06-18,37
2007-06-19,38
2007-06-20,37
2007-06-21,37
2007-06-22,37
2007-06-23,39
2007-06-24,39
2007-06-25,37
2007-06-26,38
2007-06-27,38
2007-06-28,39
2007-06-29,39
2007-06-30,42
2007-07-01,42
2007-07-02,39
2007-07-03,39
2007-07-04,43
2007-07-05,38
2007-07-06,38
2007-07-07,40
2007-07-08,39
2007-07-09,38
2007-07-10,38
2007-07-11,39
2007-07-12,39
2007-07-13,39
2007-07-14,42
2007-07-15,41
2007-07-16,40
2007-07-17,40
2007-07-18,40
2007-07-19,40
2007-07-20,40
2007-07-21,43
2007-07-22,41
2007-07-23,40
2007-07-24,40
2007-07-25,40
2007-07-26,40
2007-07-27,40
2007-07-28,43
2007-07-29,43
2007-07-30,41
2007-07-31,41
2007-08-01,41
2007-08-02,41
2007-08-03,41
2007-08-04,43
2007-08-05,41
2007-08-06,41
2007-08-07,41
2007-08-08,41
2007-08-09,41
2007-08-10,41
2007-08-11,43
2007-08-12,43
2007-08-13,41
2007-08-14,41
2007-08-15,41
2007-08-16,42
2007-08-17,41
2007-08-18,44
2007-08-19,43
2007-08-20,41
2007-08-21,41
2007-08-22,40
2007-08-23,39
2007-08-24,39
2007-08-25,41
2007-08-26,40
2007-08-27,39
2007-08-28,39
2007-08-29,40
2007-08-30,39
2007-08-31,39
2007-09-01,40
2007-09-02,42
2007-09-03,39
2007-09-04,38
2007-09-05,38
2007-09-06,37
2007-09-07,37
2007-09-08,38
2007-09-09,39
2007-09-10,37
2007-09-11,38
2007-09-12,38
2007-09-13,38
2007-09-14,38
2007-09-15,42
2007-09-16,40
2007-09-17,38
2007-09-18,38
2007-09-19,38
2007-09-20,38
2007-09-21,38
2007-09-22,40
2007-09-23,40
2007-09-24,38
2007-09-25,38
2007-09-26,38
2007-09-27,38
2007-09-28,38
2007-09-29,40
2007-09-30,40
2007-10-01,38
2007-10-02,38
2007-10-03,38
2007-10-04,38
2007-10-05,38
2007-10-06,42
2007-10-07,40
2007-10-08,38
2007-10-09,38
