Date,Jefferies & Company
2009-06-01,60
2009-06-02,59
2009-06-03,58
2009-06-04,58
2009-06-05,57
2009-06-06,57
2009-06-07,56
2009-06-08,56
2009-06-09,55
2009-06-10,54
2009-06-11,54
2009-06-12,53
2009-06-13,53
2009-06-14,52
2009-06-15,52
2009-06-16,51
2009-06-17,50
2009-06-18,50
2009-06-19,49
2009-06-20,49
2009-06-21,48
2009-06-22,48
2009-06-23,47
2009-06-24,46
2009-06-25,46
2009-06-26,45
2009-06-27,45
2009-06-28,44
2009-06-29,44
2009-06-30,43
2009-07-01,43
2009-07-02,43
2009-07-03,43
2009-07-04,44
2009-07-05,44
2009-07-06,45
2009-07-07,45
2009-07-08,45
2009-07-09,46
2009-07-10,46
2009-07-11,47
2009-07-12,47
2009-07-13,48
2009-07-14,48
2009-07-15,48
2009-07-16,49
2009-07-17,49
2009-07-18,50
2009-07-19,50
2009-07-20,50
2009-07-21,51
2009-07-22,51
2009-07-23,52
2009-07-24,52
2009-07-25,53
2009-07-26,53
2009-07-27,53
2009-07-28,54
2009-07-29,54
2009-07-30,55
2009-07-31,55
2009-08-01,56
2009-08-02,55
2009-08-03,55
2009-08-04,55
2009-08-05,55
2009-08-06,54
2009-08-07,54
2009-08-08,54
2009-08-09,54
2009-08-10,53
2009-08-11,53
2009-08-12,53
2009-08-13,53
2009-08-14,53
2009-08-15,52
2009-08-16,52
2009-08-17,52
2009-08-18,52
2009-08-19,51
2009-08-20,51
2009-08-21,51
2009-08-22,51
2009-08-23,51
2009-08-24,50
2009-08-25,50
2009-08-26,50
2009-08-27,50
2009-08-28,49
2009-08-29,49
2009-08-30,49
2009-08-31,49
2009-09-01,49
2009-09-02,49
2009-09-03,49
2009-09-04,50
2009-09-05,50
2009-09-06,51
2009-09-07,51
2009-09-08,51
2009-09-09,52
2009-09-10,52
2009-09-11,53
2009-09-12,53
2009-09-13,53
2009-09-14,54
2009-09-15,54
2009-09-16,55
2009-09-17,55
2009-09-18,55
2009-09-19,56
2009-09-20,56
2009-09-21,57
2009-09-22,57
2009-09-23,57
2009-09-24,58
2009-09-25,58
2009-09-26,59
2009-09-27,59
2009-09-28,59
2009-09-29,60
2009-09-30,60
2009-10-01,61
2009-10-02,61
2009-10-03,62
2009-10-04,62
2009-10-05,63
2009-10-06,63
2009-10-07,64
2009-10-08,64
2009-10-09,65
2009-10-10,65
2009-10-11,66
2009-10-12,66
2009-10-13,67
2009-10-14,67
2009-10-15,68
2009-10-16,68
2009-10-17,69
2009-10-18,69
2009-10-19,70
2009-10-20,70
2009-10-21,71
2009-10-22,71
2009-10-23,72
2009-10-24,72
2009-10-25,73
2009-10-26,73
2009-10-27,74
2009-10-28,74
2009-10-29,75
2009-10-30,75
2009-10-31,76
2009-11-01,77
2009-11-02,75
2009-11-03,74
2009-11-04,73
2009-11-05,72
2009-11-06,71
2009-11-07,70
2009-11-08,69
2009-11-09,67
2009-11-10,66
2009-11-11,65
2009-11-12,64
2009-11-13,63
2009-11-14,62
2009-11-15,61
2009-11-16,60
2009-11-17,58
2009-11-18,57
2009-11-19,56
2009-11-20,55
2009-11-21,54
2009-11-22,53
2009-11-23,52
2009-11-24,50
2009-11-25,49
2009-11-26,48
2009-11-27,47
2009-11-28,46
2009-11-29,45
2009-11-30,44
2009-12-01,43
2009-12-02,43
2009-12-03,43
2009-12-04,44
2009-12-05,44
2009-12-06,44
2009-12-07,45
2009-12-08,45
2009-12-09,45
2009-12-10,46
2009-12-11,46
2009-12-12,46
2009-12-13,47
2009-12-14,47
2009-12-15,47
2009-12-16,48
2009-12-17,48
2009-12-18,49
2009-12-19,49
2009-12-20,49
2009-12-21,50
2009-12-22,50
2009-12-23,50
2009-12-24,51
2009-12-25,51
2009-12-26,51
2009-12-27,52
2009-12-28,52
2009-12-29,52
2009-12-30,53
2009-12-31,53
2010-01-01,54
2010-01-02,54
2010-01-03,54
2010-01-04,54
2010-01-05,54
2010-01-06,54
2010-01-07,54
2010-01-08,54
2010-01-09,54
2010-01-10,54
2010-01-11,54
2010-01-12,55
2010-01-13,55
2010-01-14,55
2010-01-15,55
2010-01-16,55
2010-01-17,55
2010-01-18,55
2010-01-19,55
2010-01-20,55
2010-01-21,55
2010-01-22,56
2010-01-23,56
2010-01-24,56
2010-01-25,56
