Date,Thomas Weisel
2007-08-05,68
2007-08-06,69
2007-08-07,70
2007-08-08,71
2007-08-09,72
2007-08-10,73
2007-08-11,74
2007-08-12,72
2007-08-13,71
2007-08-14,70
2007-08-15,69
2007-08-16,67
2007-08-17,66
2007-08-18,64
2007-08-19,61
2007-08-20,56
2007-08-21,52
2007-08-22,49
2007-08-23,45
2007-08-24,41
2007-08-25,38
2007-08-26,40
2007-08-27,42
2007-08-28,45
2007-08-29,47
2007-08-30,50
2007-08-31,52
2007-09-01,55
2007-09-02,53
2007-09-03,52
2007-09-04,50
2007-09-05,49
2007-09-06,47
2007-09-07,46
2007-09-08,45
2007-09-09,48
2007-09-10,51
2007-09-11,54
2007-09-12,57
2007-09-13,60
2007-09-14,63
2007-09-15,66
2007-09-16,65
2007-09-17,65
2007-09-18,65
2007-09-19,65
2007-09-20,65
2007-09-21,65
2007-09-22,65
2007-09-23,64
2007-09-24,64
2007-09-25,64
2007-09-26,64
2007-09-27,64
2007-09-28,64
2007-09-29,64
2007-09-30,68
2007-10-01,73
2007-10-02,78
2007-10-03,83
2007-10-04,87
2007-10-05,92
2007-10-06,97
2007-10-07,96
2007-10-08,96
2007-10-09,95
2007-10-10,94
2007-10-11,93
2007-10-12,92
2007-10-13,92
2007-10-14,87
2007-10-15,82
2007-10-16,77
2007-10-17,73
2007-10-18,68
2007-10-19,64
2007-10-20,60
2007-10-21,60
2007-10-22,60
2007-10-23,60
2007-10-24,60
2007-10-25,61
2007-10-26,61
2007-10-27,61
2007-10-28,60
2007-11-04,54
2007-11-05,56
2007-11-06,58
2007-11-07,60
2007-11-08,61
2007-11-09,63
2007-11-10,65
2007-11-11,65
2007-11-12,64
2007-11-13,64
2007-11-14,64
2007-11-15,64
2007-11-16,64
2007-11-17,64
2007-11-18,61
2007-11-19,59
2007-11-20,57
2007-11-21,54
2007-11-22,52
2007-11-23,50
2007-11-24,48
2007-11-25,50
2007-11-26,53
2007-11-27,56
2007-11-28,58
2007-11-29,61
2007-11-30,63
2007-12-01,66
2007-12-02,65
2007-12-03,64
2007-12-04,64
2007-12-05,63
2007-12-06,62
2007-12-07,61
2007-12-08,60
2007-12-09,56
2007-12-10,52
2007-12-11,49
2007-12-12,45
2007-12-13,41
2007-12-14,37
2007-12-15,34
2007-12-16,34
2007-12-17,34
2007-12-18,34
2007-12-19,34
2007-12-20,34
2007-12-21,34
2007-12-22,34
2007-12-23,35
2007-12-24,36
2007-12-25,37
2007-12-26,39
2007-12-27,40
2007-12-28,41
2007-12-29,43
2007-12-30,44
2007-12-31,45
2008-01-01,46
2008-01-02,48
2008-01-03,49
2008-01-04,50
2008-01-05,52
2008-01-06,54
2008-01-07,57
2008-01-08,59
2008-01-09,62
2008-01-10,65
2008-01-11,67
2008-01-12,70
2008-01-13,65
2008-01-14,61
2008-01-15,56
2008-01-16,52
2008-01-17,47
2008-01-18,43
2008-01-19,39
2008-01-20,40
2008-01-21,42
2008-01-22,44
2008-01-23,45
2008-01-24,47
2008-01-25,49
2008-01-26,51
2008-01-27,51
2008-02-03,56
2008-02-04,60
2008-02-05,64
2008-02-06,67
2008-02-07,71
2008-02-08,75
2008-02-09,78
2008-02-10,75
2008-02-11,72
2008-02-12,69
2008-02-13,66
2008-02-14,63
2008-02-15,60
2008-02-16,58
2008-02-17,57
2008-02-18,57
2008-02-19,57
2008-02-20,56
2008-02-21,56
2008-02-22,55
2008-02-23,55
2008-02-24,54
2008-02-25,53
2008-02-26,53
2008-02-27,52
2008-02-28,52
2008-02-29,51
2008-03-01,51
2008-03-02,52
2008-03-03,54
2008-03-04,56
2008-03-05,57
2008-03-06,59
2008-03-07,60
2008-03-08,62
2008-03-09,60
2008-03-10,59
2008-03-11,57
2008-03-12,56
2008-03-13,54
2008-03-14,52
2008-03-15,51
2008-03-16,50
2008-03-17,48
2008-03-18,47
2008-03-19,46
2008-03-20,45
2008-03-21,44
2008-03-22,43
2008-03-23,44
2008-03-24,45
2008-03-25,47
2008-03-26,48
2008-03-27,49
2008-03-28,50
2008-03-29,52
2008-03-30,50
2008-03-31,49
2008-04-01,47
2008-04-02,46
2008-04-03,44
2008-04-04,43
2008-04-05,42
2008-04-06,43
2008-04-07,45
2008-04-08,46
2008-04-09,47
2008-04-10,49
2008-04-11,50
2008-04-12,52
2008-04-13,51
2008-04-14,50
2008-04-15,49
2008-04-16,48
2008-04-17,47
2008-04-18,46
2008-04-19,46
2008-04-20,46
2008-04-21,46
2008-04-22,47
2008-04-23,47
2008-04-24,48
2008-04-25,48
2008-04-26,49
2008-04-27,52
2008-05-04,66
2008-05-05,62
2008-05-06,58
2008-05-07,55
2008-05-08,51
2008-05-09,47
2008-05-10,44
2008-05-11,44
2008-05-12,45
2008-05-13,45
2008-05-14,45
2008-05-15,46
2008-05-16,46
2008-05-17,47
2008-05-18,46
2008-05-19,45
2008-05-20,45
2008-05-21,44
2008-05-22,44
2008-05-23,43
2008-05-24,43
2008-05-25,43
2008-05-26,43
2008-05-27,43
2008-05-28,43
2008-05-29,43
2008-05-30,43
2008-05-31,44
2008-06-01,44
2008-06-02,44
2008-06-03,44
2008-06-04,45
2008-06-05,45
2008-06-06,45
2008-06-07,46
2008-06-08,47
2008-06-09,48
2008-06-10,50
2008-06-11,51
2008-06-12,52
2008-06-13,54
2008-06-14,55
2008-06-15,53
2008-06-16,52
2008-06-17,50
2008-06-18,49
2008-06-19,47
2008-06-20,46
2008-06-21,44
2008-06-22,42
2008-06-23,39
2008-06-24,36
2008-06-25,34
2008-06-26,31
2008-06-27,29
2008-06-28,27
2008-06-29,27
2008-06-30,27
2008-07-01,27
2008-07-02,27
2008-07-03,27
2008-07-04,27
2008-07-05,28
2008-07-06,28
2008-07-07,29
2008-07-08,30
2008-07-09,30
2008-07-10,31
2008-07-11,32
2008-07-12,33
2008-07-13,37
2008-07-14,42
2008-07-15,46
2008-07-16,51
2008-07-17,55
2008-07-18,60
2008-07-19,65
