Date,Rodman & Renshaw
2009-10-01,43
2009-10-02,42
2009-10-03,41
2009-10-04,40
2009-10-05,39
2009-10-06,39
2009-10-07,38
2009-10-08,37
2009-10-09,36
2009-10-10,36
2009-10-11,35
2009-10-12,34
2009-10-13,33
2009-10-14,32
2009-10-15,32
2009-10-16,31
2009-10-17,30
2009-10-18,29
2009-10-19,29
2009-10-20,28
2009-10-21,27
2009-10-22,26
2009-10-23,25
2009-10-24,25
2009-10-25,24
2009-10-26,23
2009-10-27,22
2009-10-28,22
2009-10-29,21
2009-10-30,20
2009-10-31,19
2009-11-01,19
2009-11-02,19
2009-11-03,19
2009-11-04,19
2009-11-05,19
2009-11-06,19
2009-11-07,19
2009-11-08,19
2009-11-09,19
2009-11-10,19
2009-11-11,20
2009-11-12,20
2009-11-13,20
2009-11-14,20
2009-11-15,20
2009-11-16,20
2009-11-17,20
2009-11-18,20
2009-11-19,20
2009-11-20,20
2009-11-21,21
2009-11-22,21
2009-11-23,21
2009-11-24,21
2009-11-25,21
2009-11-26,21
2009-11-27,21
2009-11-28,21
2009-11-29,21
2009-11-30,21
2009-12-01,22
2009-12-02,22
2009-12-03,23
2009-12-04,23
2009-12-05,24
2009-12-06,24
2009-12-07,25
2009-12-08,25
2009-12-09,26
2009-12-10,26
2009-12-11,27
2009-12-12,28
2009-12-13,28
2009-12-14,29
2009-12-15,29
2009-12-16,30
2009-12-17,30
2009-12-18,31
2009-12-19,31
2009-12-20,32
2009-12-21,32
2009-12-22,33
2009-12-23,34
2009-12-24,34
2009-12-25,35
2009-12-26,35
2009-12-27,36
2009-12-28,36
2009-12-29,37
2009-12-30,37
2009-12-31,38
2010-01-01,39
2010-01-02,38
2010-01-03,38
2010-01-04,37
2010-01-05,37
2010-01-06,36
2010-01-07,36
2010-01-08,35
2010-01-09,35
2010-01-10,34
2010-01-11,34
2010-01-12,34
2010-01-13,33
2010-01-14,33
2010-01-15,32
2010-01-16,32
2010-01-17,31
2010-01-18,31
2010-01-19,30
2010-01-20,30
2010-01-21,29
2010-01-22,29
2010-01-23,29
2010-01-24,28
2010-01-25,28
2010-01-26,27
2010-01-27,27
2010-01-28,26
2010-01-29,26
2010-01-30,25
2010-01-31,25
2010-02-01,25
2010-02-02,25
2010-02-03,25
2010-02-04,25
2010-02-05,25
2010-02-06,25
2010-02-07,25
2010-02-08,25
2010-02-09,25
2010-02-10,25
2010-02-11,25
2010-02-12,25
2010-02-13,25
2010-02-14,25
2010-02-15,26
2010-02-16,26
2010-02-17,26
2010-02-18,26
2010-02-19,26
2010-02-20,26
2010-02-21,26
2010-02-22,26
2010-02-23,26
2010-02-24,26
2010-02-25,26
2010-02-26,26
2010-02-27,26
2010-02-28,26
2010-03-01,27
2010-03-02,27
2010-03-03,27
2010-03-04,27
2010-03-05,27
2010-03-06,27
2010-03-07,27
2010-03-08,27
2010-03-09,27
2010-03-10,27
2010-03-11,27
2010-03-12,27
2010-03-13,27
2010-03-14,27
2010-03-15,27
2010-03-16,27
2010-03-17,27
2010-03-18,27
2010-03-19,27
2010-03-20,27
2010-03-21,27
2010-03-22,27
2010-03-23,27
2010-03-24,27
2010-03-25,27
2010-03-26,27
2010-03-27,27
2010-03-28,27
2010-03-29,27
2010-03-30,27
2010-03-31,27
2010-04-01,27
2010-04-02,27
2010-04-03,27
