Date,JPMorgan Chase
2009-09-01,73
2009-09-02,74
2009-09-03,75
2009-09-04,75
2009-09-05,80
2009-09-06,76
2009-09-07,74
2009-09-08,74
2009-09-09,73
2009-09-10,74
2009-09-11,73
2009-09-12,79
2009-09-13,74
2009-09-14,75
2009-09-15,76
2009-09-16,77
2009-09-17,78
2009-09-18,81
2009-09-19,87
2009-09-20,81
2009-09-21,77
2009-09-22,76
2009-09-23,75
2009-09-24,74
2009-09-25,74
2009-09-26,78
2009-09-27,74
2009-09-28,73
2009-09-29,74
2009-09-30,77
2009-10-01,76
2009-10-02,78
2009-10-03,86
2009-10-04,78
2009-10-05,78
2009-10-06,78
2009-10-07,78
2009-10-08,78
2009-10-09,78
2009-10-10,84
2009-10-11,81
2009-10-12,81
2009-10-13,82
2009-10-14,84
2009-10-15,91
2009-10-16,90
2009-10-17,98
2009-10-18,87
2009-10-19,85
2009-10-20,83
2009-10-21,83
2009-10-22,79
2009-10-23,78
2009-10-24,82
2009-10-25,76
2009-10-26,74
2009-10-27,74
2009-10-28,73
2009-10-29,73
2009-10-30,73
2009-10-31,76
2009-11-01,73
2009-11-02,73
2009-11-03,75
2009-11-04,76
2009-11-05,76
2009-11-06,77
2009-11-07,83
2009-11-08,78
2009-11-09,78
2009-11-10,78
2009-11-11,79
2009-11-12,78
2009-11-13,81
2009-11-14,85
2009-11-15,78
2009-11-16,77
2009-11-17,78
2009-11-18,76
2009-11-19,76
2009-11-20,76
2009-11-21,80
2009-11-22,75
2009-11-23,72
2009-11-24,70
2009-11-25,70
2009-11-26,71
2009-11-27,66
2009-11-28,68
2009-11-29,66
2009-11-30,67
2009-12-01,68
2009-12-02,70
2009-12-03,70
2009-12-04,73
2009-12-05,80
2009-12-06,73
2009-12-07,73
2009-12-08,74
2009-12-09,74
2009-12-10,75
2009-12-11,76
2009-12-12,81
2009-12-13,78
2009-12-14,74
2009-12-15,73
2009-12-16,73
2009-12-17,71
2009-12-18,72
2009-12-19,76
2009-12-20,68
2009-12-21,65
2009-12-22,63
2009-12-23,63
2009-12-24,60
2009-12-25,61
2009-12-26,54
2009-12-27,55
2009-12-28,56
2009-12-29,57
2009-12-30,58
2009-12-31,59
2010-01-01,63
2010-01-02,61
2010-01-03,65
2010-01-04,67
2010-01-05,70
2010-01-06,74
2010-01-07,76
2010-01-08,79
2010-01-09,90
2010-01-10,84
2010-01-11,86
2010-01-12,87
