Date,Citigroup
2011-02-01,82
2011-02-02,82
2011-02-03,82
2011-02-04,82
2011-02-05,86
2011-02-06,81
2011-02-07,80
2011-02-08,81
2011-02-09,82
2011-02-10,81
2011-02-11,82
2011-02-12,89
2011-02-13,86
2011-02-14,80
2011-02-15,80
2011-02-16,79
2011-02-17,79
2011-02-18,78
2011-02-19,85
2011-02-20,81
2011-02-21,76
2011-02-22,75
2011-02-23,75
2011-02-24,74
2011-02-25,73
2011-02-26,78
2011-02-27,75
2011-02-28,74
2011-03-01,74
2011-03-02,78
2011-03-03,75
2011-03-04,76
2011-03-05,83
2011-03-06,79
2011-03-07,75
2011-03-08,74
2011-03-09,74
2011-03-10,74
2011-03-11,75
2011-03-12,77
2011-03-13,75
2011-03-14,71
2011-03-15,71
2011-03-16,72
2011-03-17,71
2011-03-18,70
2011-03-19,76
2011-03-20,72
2011-03-21,72
2011-03-22,74
2011-03-23,77
2011-03-24,75
2011-03-25,76
2011-03-26,86
2011-03-27,78
2011-03-28,76
2011-03-29,75
2011-03-30,74
2011-03-31,73
2011-05-01,72
2011-05-02,72
2011-05-03,72
2011-05-04,72
2011-05-05,71
2011-05-06,71
2011-05-07,77
2011-05-08,77
2011-05-09,79
2011-05-10,84
2011-05-11,91
2011-05-12,94
2011-05-13,96
2011-05-14,108
2011-05-15,100
2011-05-16,94
2011-05-17,91
2011-05-18,88
2011-05-19,85
2011-05-20,83
2011-05-21,86
2011-05-22,79
2011-05-23,77
2011-05-24,77
2011-05-25,75
2011-05-26,74
2011-05-27,75
2011-05-28,79
2011-05-29,77
2011-05-30,71
2011-05-31,70
2011-06-01,69
2011-06-02,70
2011-06-03,67
2011-06-04,74
2011-06-05,70
2011-06-06,69
2011-06-07,70
2011-06-08,72
2011-06-09,72
2011-06-10,76
2011-06-11,81
2011-06-12,79
2011-06-13,75
2011-06-14,76
2011-06-15,78
2011-06-16,77
2011-06-17,77
2011-06-18,84
2011-06-19,79
2011-06-20,76
2011-06-21,76
2011-06-22,76
2011-06-23,75
2011-06-24,76
2011-06-25,78
2011-06-26,79
2011-06-27,75
2011-06-28,75
2011-06-29,76
2011-06-30,78
2011-07-01,77
2011-07-02,86
2011-07-03,79
2011-07-04,75
2011-07-05,74
2011-07-06,73
2011-07-07,74
2011-07-08,71
2011-07-09,75
2011-07-10,74
2011-07-11,72
2011-07-12,73
2011-07-13,75
2011-07-14,75
2011-07-15,76
2011-07-16,87
2011-07-17,78
2011-07-18,76
2011-07-19,76
2011-07-20,75
2011-07-21,73
2011-07-22,72
2011-07-23,78
2011-07-24,73
2011-07-25,71
2011-07-26,71
2011-07-27,72
2011-07-28,72
2011-07-29,71
2011-07-30,76
2011-07-31,72
2011-08-01,71
2011-08-02,71
2011-08-03,71
2011-08-04,71
2011-08-05,71
2011-08-06,77
2011-08-07,75
2011-08-08,73
2011-08-09,74
2011-08-10,77
2011-08-11,75
2011-08-12,78
2011-08-13,84
2011-08-14,77
2011-08-15,74
2011-08-16,73
2011-08-17,72
2011-08-18,71
2011-08-19,71
2011-08-20,75
2011-08-21,69
2011-08-22,68
2011-08-23,67
2011-08-24,67
2011-08-25,67
2011-08-26,66
2011-08-27,73
2011-08-28,66
2011-08-29,64
2011-08-30,63
2011-08-31,62
2011-09-01,62
2011-09-02,60
2011-09-03,64
2011-09-04,64
2011-09-05,60
2011-09-06,60
2011-09-07,60
2011-09-08,60
2011-09-09,60
2011-09-10,66
2011-09-11,61
2011-09-12,60
2011-09-13,60
2011-09-14,61
