Date,Barclays Capital
2009-07-01,86
2009-07-02,87
2009-07-03,88
2009-07-04,92
2009-07-05,89
2009-07-06,89
2009-07-07,90
2009-07-08,89
2009-07-09,89
2009-07-10,89
2009-07-11,92
2009-07-12,90
2009-07-13,88
2009-07-14,89
2009-07-15,87
2009-07-16,88
2009-07-17,87
2009-07-18,91
2009-07-19,89
2009-07-20,87
2009-07-21,87
2009-07-22,88
2009-07-23,87
2009-07-24,87
2009-07-25,94
2009-07-26,90
2009-07-27,91
2009-07-28,97
2009-07-29,96
2009-07-30,96
2009-07-31,98
2009-08-01,104
2009-08-02,102
2009-08-03,98
2009-08-04,100
2009-08-05,96
2009-08-06,96
2009-08-07,95
2009-08-08,97
2009-08-09,95
2009-08-10,92
2009-08-11,93
2009-08-12,91
2009-08-13,90
2009-08-14,89
2009-08-15,91
2009-08-16,90
2009-08-17,89
2009-08-18,90
2009-08-19,90
2009-08-20,90
2009-08-21,90
2009-08-22,94
2009-08-23,92
2009-08-24,92
2009-08-25,93
2009-08-26,93
2009-08-27,94
2009-08-28,94
2009-08-29,98
2009-08-30,97
2009-08-31,93
2009-09-01,92
2009-09-02,93
2009-09-03,92
2009-09-04,90
2009-09-05,93
2009-09-06,91
2009-09-07,89
2009-09-08,93
2009-09-09,89
2009-09-10,88
2009-09-11,88
2009-09-12,90
2009-09-13,91
2009-09-14,88
2009-09-15,89
2009-09-16,89
2009-09-17,90
2009-09-18,90
2009-09-19,93
2009-09-20,91
2009-09-21,90
2009-09-22,89
2009-09-23,90
2009-09-24,88
2009-09-25,88
2009-09-26,91
2009-09-27,89
2009-09-28,88
2009-09-29,89
2009-09-30,89
2009-10-01,89
2009-10-02,90
2009-10-03,92
2009-10-04,92
2009-10-05,90
2009-10-06,94
2009-10-07,92
2009-10-08,90
2009-10-09,90
2009-10-10,94
2009-10-11,91
2009-10-12,89
2009-10-13,89
2009-10-14,87
2009-10-15,86
2009-10-16,85
2009-10-17,86
2009-10-18,85
2009-10-19,83
2009-10-20,83
2009-10-21,84
2009-10-22,83
2009-10-23,83
2009-10-24,85
2009-10-25,84
2009-10-26,84
2009-10-27,87
2009-10-28,86
2009-10-29,87
2009-10-30,88
2009-10-31,92
2009-11-01,89
2009-11-02,88
2009-11-03,89
2009-11-04,87
2009-11-05,87
2009-11-06,86
2009-11-07,88
2009-11-08,86
2009-11-09,84
2009-11-10,84
2009-11-11,85
2009-11-12,83
2009-11-13,82
2009-11-14,85
2009-11-15,84
2009-11-16,81
2009-11-17,81
2009-11-18,80
2009-11-19,80
2009-11-20,80
2009-11-21,81
2009-11-22,84
2009-11-23,84
2009-11-24,87
2009-11-25,88
2009-11-26,90
2009-11-27,92
2009-11-28,99
2009-11-29,95
2009-11-30,93
2009-12-01,94
2009-12-02,93
2009-12-03,91
2009-12-04,91
2009-12-05,91
2009-12-06,91
2009-12-07,87
2009-12-08,88
2009-12-09,84
2009-12-10,83
2009-12-11,82
2009-12-12,83
2009-12-13,83
2009-12-14,83
2009-12-15,84
2009-12-16,85
2009-12-17,86
2009-12-18,87
2009-12-19,90
2009-12-20,87
2009-12-21,86
2009-12-22,86
2009-12-23,84
2009-12-24,86
2009-12-25,94
2009-12-26,82
2009-12-27,82
2009-12-28,83
2009-12-29,83
2009-12-30,84
2009-12-31,85
2010-01-01,85
2010-01-02,86
2010-01-03,88
2010-01-04,87
2010-01-05,92
2010-01-06,90
2010-01-07,89
2010-01-08,90
2010-01-09,92
2010-01-10,92
2010-01-11,89
2010-01-12,90
2010-01-13,87
2010-01-14,86
2010-01-15,85
2010-01-16,86
2010-01-17,88
2010-01-18,85
2010-01-19,86
2010-01-20,85
2010-01-21,85
2010-01-22,85
2010-01-23,88
2010-01-24,87
2010-01-25,85
2010-01-26,86
2010-01-27,86
2010-01-28,86
2010-01-29,86
2010-01-30,90
2010-01-31,88
2010-02-01,87
2010-02-02,89
2010-02-03,89
2010-02-04,89
2010-02-05,89
2010-02-06,92
2010-02-07,90
2010-02-08,89
2010-02-09,90
2010-02-10,88
2010-02-11,87
2010-02-12,87
2010-02-13,90
2010-02-14,89
2010-02-15,86
2010-02-16,86
2010-02-17,88
2010-02-18,86
2010-02-19,86
2010-02-20,88
2010-02-21,88
2010-02-22,87
2010-02-23,88
2010-02-24,88
2010-02-25,88
2010-02-26,89
2010-02-27,93
2010-02-28,90
2010-03-01,90
2010-03-02,92
2010-03-03,90
2010-03-04,90
2010-03-05,90
2010-03-06,91
2010-03-07,91
2010-03-08,88
2010-03-09,88
2010-03-10,86
2010-03-11,87
2010-03-12,84
2010-03-13,87
2010-03-14,85
2010-03-15,83
2010-03-16,85
2010-03-17,84
2010-03-18,83
2010-03-19,83
2010-03-20,84
2010-03-21,85
2010-03-22,84
2010-03-23,86
2010-03-24,86
2010-03-25,87
2010-03-26,88
2010-03-27,91
2010-03-28,92
2010-03-29,90
2010-03-30,91
2010-03-31,91
2010-04-01,91
2010-04-02,97
2010-04-03,93
2010-04-04,96
2010-04-05,91
2010-04-06,90
2010-04-07,89
2010-04-08,89
2010-04-09,87
2010-04-10,89
2010-04-11,86
2010-04-12,86
2010-04-13,87
2010-04-14,86
2010-04-15,86
2010-04-16,86
2010-04-17,87
2010-04-18,87
2010-04-19,85
2010-04-20,85
2010-04-21,85
2010-04-22,84
2010-04-23,84
2010-04-24,86
2010-04-25,85
2010-04-26,87
2010-04-27,90
2010-04-28,90
2010-04-29,91
2010-04-30,93
2010-05-01,100
2010-05-02,96
2010-05-03,92
2010-05-04,91
2010-05-05,91
2010-05-06,90
2010-05-07,88
2010-05-08,88
2010-05-09,87
2010-05-10,87
2010-05-11,90
2010-05-12,87
2010-05-13,87
2010-05-14,87
2010-05-15,92
2010-05-16,88
2010-05-17,86
2010-05-18,86
2010-05-19,84
2010-05-20,83
2010-05-21,82
2010-05-22,86
2010-05-23,82
2010-05-24,82
2010-05-25,85
2010-05-26,84
2010-05-27,85
2010-05-28,86
2010-05-29,91
2010-05-30,91
2010-05-31,85
2010-06-01,84
2010-06-02,85
2010-06-03,83
2010-06-04,81
2010-06-05,85
2010-06-06,81
2010-06-07,81
2010-06-08,82
2010-06-09,81
2010-06-10,81
2010-06-11,81
2010-06-12,84
2010-06-13,81
2010-06-14,80
2010-06-15,81
2010-06-16,80
2010-06-17,80
2010-06-18,80
2010-06-19,82
2010-06-20,82
2010-06-21,80
2010-06-22,80
2010-06-23,80
2010-06-24,80
2010-06-25,80
2010-06-26,85
2010-06-27,84
2010-06-28,83
2010-06-29,86
2010-06-30,86
2010-07-01,88
2010-07-02,90
2010-07-03,94
2010-07-04,92
2010-07-05,89
2010-07-06,91
2010-07-07,88
2010-07-08,87
2010-07-09,87
2010-07-10,88
2010-07-11,88
2010-07-12,85
2010-07-13,85
2010-07-14,86
2010-07-15,85
2010-07-16,85
2010-07-17,88
2010-07-18,87
2010-07-19,84
2010-07-20,86
2010-07-21,84
2010-07-22,85
2010-07-23,84
2010-07-24,88
2010-07-25,87
2010-07-26,86
2010-07-27,87
2010-07-28,88
2010-07-29,89
2010-07-30,90
2010-07-31,96
2010-08-01,93
2010-08-02,91
2010-08-03,93
2010-08-04,91
2010-08-05,91
2010-08-06,91
2010-08-07,95
2010-08-08,94
2010-08-09,91
2010-08-10,91
2010-08-11,91
2010-08-12,90
2010-08-13,90
2010-08-14,91
2010-08-15,93
2010-08-16,90
2010-08-17,92
2010-08-18,91
2010-08-19,91
2010-08-20,91
2010-08-21,92
2010-08-22,95
2010-08-23,93
2010-08-24,96
2010-08-25,95
2010-08-26,96
2010-08-27,97
2010-08-28,100
2010-08-29,100
2010-08-30,96
2010-08-31,94
2010-09-01,94
2010-09-02,92
2010-09-03,91
2010-09-04,93
2010-09-05,91
2010-09-06,89
2010-09-07,90
2010-09-08,89
2010-09-09,88
2010-09-10,88
2010-09-11,89
2010-09-12,90
2010-09-13,87
2010-09-14,87
2010-09-15,86
2010-09-16,86
2010-09-17,85
2010-09-18,87
2010-09-19,86
2010-09-20,86
2010-09-21,89
2010-09-22,88
2010-09-23,89
2010-09-24,90
